Position,Position_microns,Ga,As,O,In,Se,C
76,0.022717391,1.819177478,0.610480369,7.922722916,34.64825337,32.94547569,22.05389017
77,0.023016304,0.560477323,1.301445969,8.757939438,30.48636444,29.37415449,29.51961834
78,0.023315217,0.203916926,1.301445969,10.05200357,24.9970685,36.10165541,27.34390963
79,0.02361413,0.203916926,1.301445969,11.71625421,23.2864004,38.33059105,25.16139144
80,0.023913043,0.203916926,1.301445969,10.63404892,23.74008794,43.79584891,20.32465133
81,0.024211957,1.01753933,1.301445969,11.35564457,23.49594352,43.9946174,18.83480921
82,0.02451087,1.01753933,0.6909656,11.88808705,25.92340081,46.59227548,13.88773173
83,0.024809783,1.45575575,0.6909656,12.78552504,26.6310555,46.83671369,11.59998441
84,0.025108696,2.424714224,0.662374764,16.15375703,24.53816958,48.50832287,7.712661544
85,0.025407609,2.865082718,0.662374764,17.00665028,24.53816958,44.52796077,10.3997619
86,0.025706522,3.228811999,0.662374764,15.34239964,29.38956707,43.45645027,7.92039626
87,0.026005435,4.106489512,0.662374764,15.34239964,22.83435093,41.10069091,15.95369424
88,0.026304348,3.292867108,0.662374764,11.45449603,27.8056376,42.48582086,14.29880364
89,0.026603261,3.62672824,0.662374764,12.12689432,29.68878215,39.59641689,14.29880364
90,0.026902174,3.18851182,0.989220331,11.22945633,34.4952762,35.79873168,14.29880364
91,0.027201087,2.01563642,0.326845567,7.026007819,38.97031125,36.68391687,14.97728207
92,0.0275,1.575267926,0.326845567,6.263042863,43.95958887,32.19503182,15.68022295
93,0.027798913,4.021541768,0.326845567,7.41398265,34.93791139,37.61949568,15.68022295
94,0.028097826,3.143864255,0.326845567,7.41398265,34.93791139,46.53047118,7.646924966
95,0.028396739,3.143864255,0.326845567,7.41398265,30.10417179,45.29869949,13.71243626
96,0.028695652,2.810003123,0.760765938,3.995356022,28.17973282,45.85329366,18.40084844
97,0.028994565,2.810003123,0.433920372,6.094110288,22.29309821,49.96801957,18.40084844
98,0.029293478,3.403667147,0.433920372,7.917786763,20.61069996,49.86746118,17.76646458
99,0.029592391,3.939705524,1.039369669,6.720026781,20.89377875,49.75982409,17.64729519
100,0.029891304,1.129702401,1.039369669,5.569086994,30.22859963,44.38594611,17.64729519
101,0.030190217,1.379536524,1.039369669,8.63894869,38.13473989,33.16011003,17.64729519
102,0.03048913,1.975522818,1.039369669,9.249218775,40.93534435,33.40042538,13.40011901
103,0.030788043,1.975522818,0.605449297,9.249218775,41.1317068,34.66999379,12.36810851
104,0.031086957,1.975522818,0.605449297,7.820726008,42.9109343,34.31925906,12.36810851
105,0.03138587,1.381858794,0.969592191,5.997049533,47.32726143,35.5786294,8.745608648
106,0.031684783,0.845820417,0.364142894,4.939809008,48.70121689,39.674274,5.474736793
107,0.031983696,0.845820417,0.364142894,4.939809008,46.99908547,41.37640542,5.474736793
108,0.032282609,0.595986294,0.364142894,2.919918217,44.79348325,45.85173255,5.474736793
109,0.032581522,0,1.151962694,3.261938829,40.51143672,45.74344937,9.331212386
110,0.032880435,0.233869719,1.151962694,3.740888412,43.23058741,45.96788107,5.674810696
111,0.033179348,0.233869719,1.151962694,5.210340981,42.10019593,45.62881998,5.674810696
112,0.033478261,0.845216435,1.478329016,7.088336916,40.38142887,44.53187806,5.674810696
113,0.033777174,0.845216435,1.478329016,6.498921188,41.82063564,43.68208702,5.674810696
114,0.034076087,0.845216435,1.478329016,6.498921188,41.20119313,44.30152953,5.674810696
115,0.034375,0.845216435,1.750955323,6.931888047,43.59645999,41.20066951,5.674810696
116,0.034673913,1.467527942,1.197433465,6.404414833,45.63545256,40.23209791,5.063073293
117,0.034972826,1.233658223,1.197433465,7.205989748,37.7912615,43.69318678,8.878470285
118,0.035271739,1.233658223,1.197433465,7.261425268,39.74055572,37.32807339,13.23885393
119,0.035570652,0.622311507,0.506924248,5.383429333,34.25035884,45.99812214,13.23885393
120,0.035869565,1.213346658,0.506924248,5.383429333,32.98914029,44.86507621,15.04208326
121,0.036168478,1.213346658,0.506924248,5.383429333,34.32009023,43.53412627,15.04208326
122,0.036467391,1.213346658,0.768939703,5.35457072,31.28488558,43.44783199,17.93042535
123,0.036766304,0.913692746,1.263517986,8.233659381,30.25387602,46.46790181,12.86735206
124,0.037065217,0.913692746,1.263517986,6.953134882,38.55067666,40.55010399,11.76887373
125,0.03736413,1.263508665,1.263517986,5.474384959,40.21149774,44.37860057,7.408490085
126,0.037663043,1.263508665,1.263517986,6.085117223,46.58805264,35.57160121,9.228202277
127,0.037961957,0.672473514,1.263517986,6.085117223,46.24249288,38.31142545,7.424972951
128,0.03826087,1.524087932,1.263517986,6.085117223,46.63877607,37.06352784,7.424972951
129,0.038559783,2.086075482,1.36363482,8.083777107,41.57817582,42.35170591,4.536630858
130,0.038858696,1.763417887,0.634758596,8.650059367,37.97077163,46.44436166,4.536630858
131,0.039157609,2.893147801,0.634758596,12.12047661,29.67397099,52.85793381,1.819712191
132,0.039456522,2.543331883,0.634758596,14.30193067,28.13107412,52.56919255,1.819712191
133,0.039755435,2.543331883,0.634758596,13.6911984,28.57195481,54.55875631,0
134,0.040054348,2.543331883,0.634758596,13.6911984,31.32329981,51.80741131,0
135,0.040353261,1.691717465,0.634758596,15.79898951,22.58281973,57.19828609,2.093428607
136,0.040652174,1.129729914,0,12.34625048,32.54539621,51.88519479,2.093428607
137,0.040951087,1.946773307,0,9.033812194,38.13583821,43.80460121,7.078975079
138,0.04125,0.817043393,0,9.406905224,45.13013248,37.56694382,7.078975079
139,0.041548913,0.817043393,0,6.509051506,43.34914374,42.24578628,7.078975079
140,0.041847826,1.109565064,0,7.108116374,46.34313599,38.36020749,7.078975079
141,0.042146739,1.517992429,0,7.108116374,45.49677733,36.30594116,9.571172711
142,0.042445652,1.517992429,0,6.367834903,50.25609157,28.94757132,12.91050978
143,0.042744565,1.517992429,0,6.367834903,44.77048339,34.4331795,12.91050978
144,0.043043478,2.0587412,0.766805463,5.810084783,47.59946461,35.83994063,7.924963309
145,0.043342391,2.534853581,1.304569024,1.966574505,50.37825706,35.89078252,7.924963309
146,0.043641304,3.661040825,1.304569024,2.735359953,55.25606157,29.11800532,7.924963309
147,0.043940217,3.368519154,1.304569024,2.136295086,53.1369127,27.73836565,12.31533838
148,0.04423913,2.960091788,1.304569024,2.581435808,49.02901567,28.99645661,15.1284311
149,0.044538043,2.960091788,1.304569024,4.794087012,44.26970143,36.97588532,9.695665429
150,0.044836957,2.960091788,1.304569024,4.794087012,46.4125725,32.58403853,11.94464115
151,0.04513587,1.602299624,0.537763561,5.525955998,44.10620803,36.28313163,11.94464115
152,0.045434783,1.126187243,0,6.127680958,40.11303154,37.10271029,15.53038997
153,0.045733696,0,0,6.885872767,36.85808411,37.6925083,18.56353482
154,0.046032609,0.716059954,0,9.8187588,37.17156023,38.12046127,14.17315975
155,0.046331522,0.716059954,0,9.373618079,40.31077675,40.73167583,8.867869389
156,0.046630435,1.166792479,0,5.793457236,49.17739008,34.99449082,8.867869389
157,0.046929348,1.166792479,0.502208776,7.614617654,50.16332501,33.93416242,6.618893667
158,0.047228261,1.430872715,0.502208776,7.96438608,49.2451373,29.40429939,11.45309574
159,0.047527174,1.430872715,0.502208776,7.36266112,50.77375762,32.06315284,7.867346923
160,0.047826087,1.430872715,0.502208776,5.835683863,50.52856369,36.86846888,4.834202073
161,0.048125,0.71481276,0.934878506,3.687293266,51.36885914,38.45995425,4.834202073
162,0.048423913,0.71481276,0.934878506,3.687293266,52.27883466,37.54997874,4.834202073
163,0.048722826,1.16473863,0.934878506,3.687293266,50.73026071,38.64862682,4.834202073
164,0.049021739,1.16473863,1.579620692,1.866132847,48.80105477,41.75425098,4.834202073
165,0.049320652,2.152638813,1.579620692,0.784495436,43.60618373,51.87706133,0
166,0.049619565,5.183899823,2.720879059,2.853768879,36.29765316,52.94379908,0
167,0.049918478,5.183899823,3.102271135,3.545290199,35.94172805,50.16638293,2.060427869
168,0.050217391,6.29441565,2.669601405,2.760794763,31.21151185,52.74448298,4.31919336
169,0.050516304,6.29441565,2.669601405,5.365126983,22.88649018,58.46517242,4.31919336
170,0.050815217,6.410017191,2.669601405,7.446359532,21.36306573,57.79176278,4.31919336
171,0.05111413,6.410017191,1.522650443,11.0303595,15.68649737,56.75978785,8.590687649
172,0.051413043,5.158036772,1.522650443,11.0303595,19.6135418,47.61925046,15.05616102
173,0.051711957,2.126775762,1.175303717,10.40056753,19.6135418,51.62765017,15.05616102
174,0.05201087,2.126775762,0.793911641,12.28746208,18.86271252,52.93340484,12.99573315
175,0.052309783,1.016259935,0.793911641,12.28746208,23.43438474,51.73101394,10.73696766
176,0.052608696,1.016259935,0.793911641,10.14214785,30.95213799,44.99090421,12.10463837
177,0.052907609,0,0.793911641,9.7723956,31.5904652,45.73858919,12.10463837
178,0.053206522,0.341033772,0.793911641,6.188395629,43.02903054,41.81448434,7.833144079
179,0.053505435,0.341033772,0.793911641,6.816994911,47.50275602,41.30468494,3.240618714
180,0.053804348,0.341033772,0,5.377513439,47.50275602,43.53807806,3.240618714
181,0.054103261,1.174129026,0,2.799097569,49.12785613,43.65829856,3.240618714
182,0.054402174,1.174129026,0,2.799097569,50.624438,42.16171669,3.240618714
183,0.054701087,1.686091727,0,2.340079582,51.86416875,42.23671194,1.872948007
184,0.055,2.11539706,0,0.628599282,49.83736938,41.61629579,5.802338489
185,0.055298913,2.128700533,0.800439839,0.628599282,46.32198753,44.31793432,5.802338489
186,0.055597826,2.128700533,0.800439839,0,47.59116258,45.55030657,3.929390481
187,0.055896739,2.128700533,0.800439839,0,53.59858649,37.95550185,5.516771289
188,0.056195652,1.295605278,0.800439839,1.872362963,53.76279731,36.75202332,5.516771289
189,0.056494565,1.295605278,1.213808428,1.872362963,49.83902997,38.02924468,7.749948681
190,0.056793478,1.450594943,1.213808428,3.238236913,41.08154596,45.26586507,7.749948681
191,0.057092391,1.553235667,1.213808428,3.238236913,42.62271225,44.30554777,7.066458979
192,0.057391304,1.198898422,0.413368589,3.238236913,40.89357886,45.2681215,8.987795721
193,0.057690217,1.198898422,0.413368589,5.933681826,37.97788096,45.48837448,8.987795721
194,0.05798913,1.561566371,0.413368589,5.933681826,38.79451794,43.68347376,9.61339152
195,0.058288043,1.561566371,0.413368589,4.061318863,36.97098879,47.37936586,9.61339152
196,0.058586957,2.936533765,0,4.061318863,30.71066771,54.91126553,7.380214127
197,0.05888587,2.688603282,0,3.124509344,37.73784446,47.79040643,8.658636478
198,0.059184783,2.156657226,0,3.124509344,38.13130095,51.17479678,5.412735699
199,0.059483696,2.309193212,0,4.061659915,35.06833394,48.55406023,10.0067527
200,0.059782609,2.309193212,0,1.366215002,36.46021591,49.85762317,10.0067527
201,0.060081522,2.854032504,0,3.224729291,33.01821853,49.41754286,11.48547682
202,0.060380435,2.854032504,0,3.801270099,33.80600278,48.0532178,11.48547682
203,0.060679348,2.082466416,0,4.625087179,38.79477901,39.33027444,15.16739295
204,0.060978261,2.379293333,0.808543141,4.196022748,35.76929943,40.77383898,16.07300237
205,0.061277174,2.379293333,0.808543141,4.196022748,36.62735216,36.96907753,19.01971108
206,0.061576087,2.550158585,0.808543141,3.258872177,38.75167559,40.15301952,14.47773098
207,0.061875,2.550158585,0.808543141,3.258872177,37.91407712,40.99061799,14.47773098
208,0.062173913,1.642651343,0.808543141,1.400357888,43.15198749,42.21042987,10.78603026
209,0.062472826,2.350820438,0.808543141,2.274100141,37.37320264,42.0861009,15.10723274
210,0.062771739,2.066461409,0.808543141,1.450283062,41.66208076,42.58731502,11.42531661
211,0.063070652,1.350612609,0,1.450283062,45.20539986,39.38810343,12.60560104
212,0.063369565,1.771879564,0,1.450283062,44.13174035,42.9872047,9.658892329
213,0.063668478,1.448478326,0,1.450283062,47.06949864,40.00809324,10.02364673
214,0.063967391,2.21126442,0,1.450283062,49.54696471,36.76784108,10.02364673
215,0.064266304,2.21126442,0,3.436589512,47.2868583,37.04164104,10.02364673
216,0.064565217,1.503095325,0.569750158,3.535870821,55.74639796,32.94244148,5.702444259
217,0.06486413,1.486371701,0.569750158,4.774127687,50.34727436,31.58584465,11.23663145
218,0.065163043,1.486371701,0.569750158,4.774127687,52.99417208,32.30326313,7.872315243
219,0.065461957,1.44047424,0.569750158,4.774127687,55.26248991,30.08084276,7.872315243
220,0.06576087,1.44047424,0.569750158,4.774127687,47.0693251,40.61213562,5.534187191
221,0.066059783,1.078171319,0.569750158,6.414453324,37.28332847,44.23266419,10.42163254
222,0.066358696,1.078171319,0.569750158,4.428146874,37.09556654,46.40673257,10.42163254
223,0.066657609,1.381628354,0,3.500042267,33.82687405,49.01814739,12.27330794
224,0.066956522,2.119183614,0,3.326581602,35.76138719,52.05372685,6.739120745
225,0.067255435,2.119183614,0,3.326581602,34.00807531,53.80703873,6.739120745
226,0.067554348,1.74381412,0,4.337193982,25.6145987,55.54291609,12.76147711
227,0.067853261,1.74381412,0,6.931934016,30.33642174,44.36076383,16.62706629
228,0.068152174,1.343330948,0,5.291608379,36.23436876,42.17211083,14.95858109
229,0.068451087,1.343330948,0,8.039718419,35.03564098,37.89334416,17.68796549
230,0.06875,1.973795025,0,8.055794699,38.36499701,35.76912317,15.83629009
231,0.069048913,1.554948047,0,6.990998498,37.86350555,33.96479121,19.62575669
232,0.069347826,1.995411156,0,6.990998498,37.33605803,34.05177563,19.62575669
233,0.069646739,1.995411156,0,6.78375982,45.05291903,32.56450967,13.60340033
234,0.069945652,1.995411156,0,4.189019786,46.89084248,34.43398812,12.49073845
235,0.070244565,2.793680781,0,4.189019786,49.9177782,33.82774292,9.27177831
236,0.070543478,3.649998547,0,2.025470298,50.80356881,35.23683638,8.284125967
237,0.070842391,3.389467632,0,2.766992454,45.73901025,34.34175854,13.76277112
238,0.071141304,2.768440697,0,2.766992454,40.42745782,44.0638045,9.973304528
239,0.071440217,2.660537649,0,2.766992454,39.95253642,44.64662895,9.973304528
240,0.07173913,2.660537649,0,1.963618752,32.23567541,53.16686366,9.973304528
241,0.072038043,2.660537649,0.433648963,1.963618752,33.88525413,53.83656329,7.220377214
242,0.072336957,2.619684321,1.574306511,3.514756802,32.08624915,52.984626,7.220377214
243,0.07263587,1.763366555,1.936875722,3.58758888,32.81625975,52.45852448,7.437384612
244,0.072934783,1.70623132,4.025034793,4.732628777,29.36061511,58.21675055,1.958739457
245,0.073233696,2.102231582,5.366868275,4.732628777,35.11839994,50.72113197,1.958739457
246,0.073532609,3.651425348,7.917371927,10.89855886,27.68216676,47.89173765,1.958739457
247,0.073831522,7.710723125,11.92918658,10.89855886,27.68216676,39.82062523,1.958739457
248,0.074130435,11.06252019,16.54329356,13.18664445,21.70253051,35.54627183,1.958739457
249,0.074429348,13.69219948,19.50158556,11.6355064,16.64589079,33.61352968,4.911288084
250,0.074728261,19.13608064,22.6864023,10.97811377,12.02658837,29.66501904,5.507795878
251,0.075027174,23.44094545,29.12104541,8.454015675,12.86838071,20.60781688,5.507795878
252,0.075326087,27.63749394,34.26325192,8.454015675,10.31972142,13.81772117,5.507795878
253,0.075625,31.16634649,38.84250358,3.51925903,10.83390057,10.13019444,5.507795878
254,0.075923913,34.41375746,39.95314449,5.067223036,10.83390057,4.22417856,5.507795878
255,0.076222826,37.18830316,40.67175106,3.30190166,8.604211613,3.168430331,7.065402181
256,0.076521739,41.43787136,42.6426158,3.881137881,6.534973576,1.390547837,4.112853553
257,0.076820652,40.56473636,45.15568059,6.323029151,4.565097031,0.62122446,2.770232407
258,0.077119565,42.4220506,40.96027587,8.133696194,4.731564757,0.982180176,2.770232407
259,0.077418478,45.43438927,41.15706273,8.133696194,1.522439216,0.982180176,2.770232407
260,0.077717391,44.2578088,38.8095919,7.865967493,1.008260061,0.982180176,7.076191573
261,0.078016304,43.21664777,38.91786296,9.107443429,1.008260061,0.6735942,7.076191573
262,0.078315217,42.31913096,39.54955868,8.584679209,1.008260061,0.360955716,8.177415368
263,0.07861413,41.59829895,40.17519063,8.679879278,1.008260061,0.360955716,8.177415368
264,0.078913043,41.13911104,39.85139466,7.723905124,1.008260061,0.360955716,9.916373402
265,0.079211957,39.67458441,41.90112054,5.913238081,0.568113397,0,11.94294357
266,0.07951087,38.92982531,42.64587964,5.913238081,0.568113397,0,11.94294357
267,0.079809783,40.27576467,45.42660452,6.09253301,0.568113397,0,7.636984403
268,0.080108696,41.43473379,47.05707534,3.303093067,0.568113397,0,7.636984403
269,0.080407609,42.38543223,46.24277956,4.568618438,0.568113397,0,6.235056377
270,0.080706522,44.81003952,44.49260856,3.894182148,0.568113397,0,6.235056377
271,0.081005435,47.10828903,46.35774957,2.408265032,0.842224132,0,3.28347224
272,0.081304348,48.56433397,45.84300789,2.408265032,0.274110735,0.276386447,2.633895929
273,0.081603261,47.29108885,46.48061055,3.043907482,0.274110735,0.276386447,2.633895929
274,0.081902174,46.13558096,46.91340067,2.505234056,1.535501935,0.276386447,2.633895929
275,0.082201087,44.750405,45.09408346,2.505234056,1.535501935,0.276386447,5.838389095
276,0.0825,42.56795338,48.53961817,2.49905305,1.535501935,0.276386447,4.581487022
277,0.082798913,37.83064994,48.79353267,3.318784759,1.535501935,0.276386447,8.245144256
278,0.083097826,38.2420302,46.32804013,5.647007762,1.2613912,0.276386447,8.245144256
279,0.083396739,36.50254533,45.33582096,5.647007762,1.2613912,0,11.25323474
280,0.083695652,37.77579045,44.6982183,5.011365312,1.2613912,0,11.25323474
281,0.083994565,38.72248056,40.39516258,4.407299076,5.221823049,0,11.25323474
282,0.084293478,38.36946336,38.65635355,5.738180399,5.221823049,0,12.01417964
283,0.084592391,38.38221122,35.23444808,5.651956767,5.221823049,0,15.50956088
284,0.084891304,40.16060904,34.84050502,6.076887415,5.221823049,0,13.70017548
285,0.085190217,39.81031023,35.87099867,4.162787832,5.221823049,0,14.93408022
286,0.08548913,42.44622072,36.97262058,4.162787832,5.221823049,0.647551942,10.54899588
