Position,Position_microns,Ga,As,O,In,Se,C
340,0.101630435,52.79906036,41.99575688,1.880510214,0.18504316,1.819460028,1.320169356
341,0.101929348,53.83842371,42.29957517,1.329226716,0.757963727,0.454641318,1.320169356
342,0.102228261,52.20074746,43.65404846,1.325604961,0.572920567,0.271820129,1.974858421
343,0.102527174,51.08232833,43.02463354,3.073439016,0.572920567,0.271820129,1.974858421
344,0.102826087,48.68972028,44.79339813,3.697282467,0.572920567,0.271820129,1.974858421
345,0.103125,49.86593333,43.61718509,3.697282467,0.572920567,0.271820129,1.974858421
346,0.103423913,51.35241296,42.16561877,3.697282467,0.809827386,0,1.974858421
347,0.103722826,49.65478244,42.47850645,3.697282467,0.809827386,0,3.359601259
348,0.104021739,47.26485411,41.05720747,4.798949512,0.23690682,0,6.642082096
349,0.104320652,47.45728459,42.0056613,5.632923618,0.23690682,0,4.667223674
350,0.104619565,47.17053201,42.28434094,4.326321229,0.23690682,0,5.981899006
351,0.104918478,48.44906313,39.7101332,3.702477778,0.657191237,0,7.481134663
352,0.105217391,45.68812216,37.31571746,4.913229448,0.994291467,0,11.08863947
353,0.105516304,45.24819488,37.45374387,4.913229448,0.757384647,0.53880769,11.08863947
354,0.105815217,45.1486679,34.51130644,6.691181334,0.757384647,0.53880769,12.35265199
355,0.10611413,46.20880703,37.83531518,5.589514289,0.757384647,0.53880769,9.070171158
356,0.106413043,46.24921238,38.20482178,3.429935222,0.757384647,0.53880769,10.81983828
357,0.106711957,45.7841497,38.73740986,4.396451243,0.757384647,0.819441601,9.505162949
358,0.10701087,46.19130018,40.24977945,4.396451243,0.33710023,0.819441601,8.005927292
359,0.107309783,46.04786688,44.86860684,3.865662194,0,0.819441601,4.39842249
360,0.107608696,46.74308446,44.71219694,3.865662194,0,0.280633911,4.39842249
361,0.107907609,46.11589507,49.76609359,2.087710308,0,0.280633911,1.749667123
362,0.108206522,47.43776096,48.4442277,2.087710308,0,0.280633911,1.749667123
363,0.108505435,46.02405394,46.76762326,2.972639982,0,0.280633911,3.955048909
364,0.108804348,44.39408897,46.2434044,4.132434327,0,0,5.230072302
365,0.109103261,43.66054053,46.36641046,4.132434327,0.251045953,0.359496424,5.230072302
366,0.109402174,45.12688055,44.03118533,4.027883658,0.292886945,0.419412495,6.101751019
367,0.109701087,43.3245695,43.66510956,4.833460389,0.351464334,0.503294993,7.322101222
368,0.11,42.71910555,41.01799328,6.041825487,0.439330417,0.629118742,9.152626528
