[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191025 07:09:26"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+0
Delay after setting initial temperature (s) = 1.000000E+2
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 5.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.577310085E+0	0.000000000E+0	-67.600462612E-12	100.000001490E-3	-17.887571967E-12	94.068163633E-12	-5.590473748E+9	29.399495933E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	3.997000000E+0
66.747714996E+0	-5.000000000E+0	-127.656590883E-12	100.000001490E-3	-10.347381767E-12	193.581528253E-12	-9.664280660E+9	180.801893835E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	3.990800000E+0
133.105787754E+0	-10.000000000E+0	-131.753261426E-12	100.000001490E-3	-42.462164440E-12	178.230123218E-12	-2.355037780E+9	9.885004198E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	4.004600000E+0
192.090766907E+0	-15.000000000E+0	-146.237663298E-12	100.000001490E-3	34.534373513E-12	171.597117908E-12	2.895665718E+9	14.388212125E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	3.997700000E+0
254.074776649E+0	-20.000000000E+0	-173.267011155E-12	100.000001490E-3	-25.660797860E-12	133.737337195E-12	-3.896995021E+9	20.310114283E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	4.001800000E+0
310.802322865E+0	-25.000000000E+0	-189.018723821E-12	100.000001490E-3	-35.184887987E-12	219.423475921E-12	-2.842129312E+9	17.724367715E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	3.998200000E+0
379.928312778E+0	-30.000000000E+0	-187.694541911E-12	100.000001490E-3	50.963112567E-12	219.777585012E-12	1.962203571E+9	8.461970639E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	4.000600000E+0
450.883350372E+0	-35.000000000E+0	-202.953389395E-12	100.000001490E-3	-19.763400377E-12	205.232193142E-12	-5.059858101E+9	52.543881881E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	4.004300000E+0
514.446180820E+0	-40.000000000E+0	-214.534507520E-12	100.000001490E-3	-49.070219029E-12	202.889502680E-12	-2.037895968E+9	8.426041448E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	4.001100000E+0
586.483177185E+0	-45.000000000E+0	-222.137822951E-12	100.000001490E-3	-44.689278720E-12	221.329790726E-12	-2.237673204E+9	11.082383876E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	4.001300000E+0
