[Main]
Experiment = "IvsV"
Header length = 54    
Date = "20190903 15:33:04"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear+Reveresed"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 2.500000E+1
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 3.000000E+2
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 200.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
10.463589431E+3	0.000000000E+0	-72.556973508E-12	0.000000000E+0	-445.500908000E-12	201.782602503E-12	-0.000000000E+0	0.000000000E+0	NaN	-25.582427963E-3	-15.690509117E-3	2.284283318E-3	378.184300027E-6	57.423963687E+6	35.219926233E+6	5.127449298E+6	848.896810839E+3
10.476107408E+3	0.000000000E+0	-58.566445588E-12	200.000002980E-3	3.671148267E-9	161.842610859E-12	54.478868314E+6	2.401701496E+6	20.583245567E-9	20.849043947E-3	6.546363975E-3	2.757664017E-3	785.939612258E-6	5.679161514E+6	1.783192478E+6	751.172062937E+3	214.085500004E+3
10.483253130E+3	0.000000000E+0	-64.948100312E-12	400.000005960E-3	7.280062000E-9	161.645258604E-12	54.944587829E+6	1.219980284E+6	18.044568398E-9	75.745856230E-3	31.502251403E-3	3.077850988E-3	897.865216049E-6	10.404561971E+6	4.327195483E+6	422.778128509E+3	123.332083717E+3
10.491743624E+3	0.000000000E+0	-66.719845389E-12	600.000023842E-3	10.410875000E-9	144.549777890E-12	57.632045706E+6	800.192049771E+3	15.654063600E-9	139.097672200E-3	61.146358840E-3	4.533651884E-3	1.091495268E-3	13.360805139E+6	5.873316012E+6	435.472703718E+3	104.841837813E+3
10.498724134E+3	0.000000000E+0	-69.232620360E-12	800.000011921E-3	13.287572667E-9	162.968234919E-12	60.206633069E+6	738.416937979E+3	14.383489191E-9	199.070518067E-3	89.427199710E-3	4.513930167E-3	1.494554789E-3	14.981706822E+6	6.730138149E+6	339.710666534E+3	112.477638052E+3
10.505579417E+3	0.000000000E+0	-71.579409761E-12	1.000000000E+0	15.926752000E-9	132.208544520E-12	62.787440904E+6	521.200818354E+3	13.195897453E-9	258.084766800E-3	116.905336500E-3	3.887504547E-3	1.792033782E-3	16.204482044E+6	7.340186907E+6	244.086462024E+3	112.517215169E+3
10.512432173E+3	0.000000000E+0	-70.989453841E-12	1.200000048E+0	18.398970667E-9	190.611737507E-12	65.221042493E+6	675.684333482E+3	12.361090386E-9	322.459335633E-3	149.225277933E-3	5.526180526E-3	2.102967294E-3	17.525944330E+6	8.110523172E+6	300.352700469E+3	114.298094828E+3
10.519272580E+3	0.000000000E+0	-69.127025342E-12	1.399999976E+0	20.635530667E-9	155.620706913E-12	67.844147009E+6	511.639573899E+3	11.182803999E-9	392.131090867E-3	181.132999567E-3	5.535709055E-3	2.681636759E-3	19.002714163E+6	8.777724329E+6	268.261046646E+3	129.952401139E+3
10.526132271E+3	0.000000000E+0	-65.043543179E-12	1.600000024E+0	22.966313000E-9	196.795721326E-12	69.667256727E+6	596.970791104E+3	11.653908888E-9	450.087460100E-3	212.135889933E-3	5.618077438E-3	2.173363098E-3	19.597723853E+6	9.236828303E+6	244.622523358E+3	94.632651646E+3
10.532996130E+3	0.000000000E+0	-69.864637050E-12	1.799999952E+0	24.578676000E-9	191.555259185E-12	73.234211327E+6	570.754841795E+3	8.061817883E-9	507.187321967E-3	246.120466067E-3	7.581765930E-3	2.901375679E-3	20.635258057E+6	10.013577056E+6	308.469257239E+3	118.044425130E+3
10.539869485E+3	0.000000000E+0	-72.052195691E-12	2.000000000E+0	26.456821000E-9	220.974341518E-12	75.594872113E+6	631.388294429E+3	9.390722761E-9	558.507138967E-3	274.786387367E-3	7.182583781E-3	3.071737275E-3	21.110137872E+6	10.386220906E+6	271.483251191E+3	116.103793228E+3
10.546718331E+3	0.000000000E+0	-61.660893665E-12	2.200000048E+0	27.997261000E-9	336.663184405E-12	78.579116996E+6	944.902994459E+3	7.702198164E-9	616.065059933E-3	299.902522700E-3	6.950791090E-3	2.694652974E-3	22.004476078E+6	10.711852231E+6	248.266824732E+3	96.247021253E+3
10.553558120E+3	0.000000000E+0	-84.731627270E-12	2.400000095E+0	29.568177667E-9	196.450611705E-12	81.168346674E+6	539.281505101E+3	7.854581461E-9	670.744700700E-3	335.453280300E-3	6.469160150E-3	4.261498923E-3	22.684681764E+6	11.345077944E+6	218.787922045E+3	144.124503419E+3
10.560407815E+3	0.000000000E+0	-80.177130444E-12	2.599999905E+0	30.640605667E-9	305.775562246E-12	84.854716415E+6	846.801101235E+3	5.362145114E-9	712.292028733E-3	370.254967667E-3	9.499987901E-3	4.028918759E-3	23.246669354E+6	12.083800552E+6	310.045695709E+3	131.489527408E+3
10.567269003E+3	0.000000000E+0	-70.719589530E-12	2.799999952E+0	31.841969333E-9	308.981994888E-12	87.934258180E+6	853.279589181E+3	6.006816901E-9	760.136692833E-3	395.672728867E-3	7.276368071E-3	3.943496912E-3	23.872163335E+6	12.426138746E+6	228.515014100E+3	123.845886237E+3
10.574114329E+3	0.000000000E+0	-76.056810502E-12	3.000000000E+0	32.812988333E-9	212.360934879E-12	91.427210759E+6	591.703741001E+3	4.855093842E-9	798.273952533E-3	422.717630200E-3	8.995768315E-3	3.456168999E-3	24.327986967E+6	12.882631289E+6	274.152668570E+3	105.329297176E+3
10.580965452E+3	0.000000000E+0	-69.494205124E-12	3.200000048E+0	33.412547000E-9	281.738553494E-12	95.772406925E+6	807.564277926E+3	2.997792619E-9	836.027567767E-3	450.176604900E-3	12.761448154E-3	4.021718394E-3	25.021366009E+6	13.473280109E+6	381.935808546E+3	120.365514009E+3
