[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 17:01:38"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = -100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
718.309682846E+0	-35.999998450E-3	-1.053169600E-9	10.153438910E-12	34.182527154E+6	329.548252483E+3	31.907220868E-9
721.628641605E+0	-37.000000477E-3	-1.080964700E-9	5.218199076E-12	34.228685245E+6	165.233974537E+3	27.795043672E-9
724.494822979E+0	-37.999998778E-3	-1.109223267E-9	7.510149390E-12	34.258205647E+6	231.949914836E+3	28.258614670E-9
727.364859104E+0	-39.000000805E-3	-1.144503300E-9	4.874618409E-12	34.075918177E+6	145.134660637E+3	35.279961836E-9
730.233265400E+0	-39.999999106E-3	-1.163943500E-9	6.690157865E-12	34.365928506E+6	197.529765733E+3	19.440233024E-9
733.104542255E+0	-41.000001132E-3	-1.199050300E-9	5.554100214E-12	34.193729098E+6	158.388182785E+3	35.106728854E-9
735.970711231E+0	-41.999999434E-3	-1.230216533E-9	6.735323737E-12	34.140330824E+6	186.915209123E+3	31.166286277E-9
738.838876724E+0	-43.000001460E-3	-1.264902733E-9	6.939971489E-12	33.994709891E+6	186.514196873E+3	34.686129707E-9
741.706359863E+0	-43.999999762E-3	-1.300006733E-9	5.305511772E-12	33.845978358E+6	138.130235809E+3	35.104059632E-9
744.574194431E+0	-45.000001788E-3	-1.323576000E-9	6.361712684E-12	33.998804593E+6	163.413832244E+3	23.569218902E-9
747.442226887E+0	-46.000000089E-3	-1.352892200E-9	6.267835338E-12	34.001230911E+6	157.524832080E+3	29.316249800E-9
750.311184406E+0	-46.999998391E-3	-1.388704600E-9	6.754278417E-12	33.844489599E+6	164.610317876E+3	35.812460836E-9
753.181448460E+0	-48.000000417E-3	-1.415807067E-9	4.357688306E-12	33.902924733E+6	104.349231004E+3	27.102411742E-9
756.051969528E+0	-48.999998719E-3	-1.440411200E-9	5.848844645E-12	34.018062841E+6	138.131642329E+3	24.604175129E-9
758.925517559E+0	-50.000000745E-3	-1.471381200E-9	7.732845162E-12	33.981677043E+6	178.590732928E+3	30.969937238E-9
761.793326378E+0	-50.999999046E-3	-1.498335400E-9	7.556803021E-12	34.037772215E+6	171.668332679E+3	26.954245788E-9
764.664156437E+0	-52.000001073E-3	-1.538420567E-9	10.127136153E-12	33.800900872E+6	222.505037081E+3	40.085085432E-9
767.533302307E+0	-52.999999374E-3	-1.572278400E-9	6.873679894E-12	33.709042479E+6	147.369045792E+3	33.857890849E-9
770.404331207E+0	-54.000001401E-3	-1.591064467E-9	11.465346874E-12	33.939543326E+6	244.571257254E+3	18.786028596E-9
773.271590233E+0	-54.999999702E-3	-1.622360200E-9	6.904843759E-12	33.901225944E+6	144.285263151E+3	31.295786496E-9
776.142997265E+0	-56.000001729E-3	-1.654444433E-9	7.880297722E-12	33.848221554E+6	161.222739083E+3	32.084168313E-9
779.012244701E+0	-57.000000030E-3	-1.681839067E-9	8.327555107E-12	33.891471045E+6	167.812187494E+3	27.394679870E-9
781.882819653E+0	-57.999998331E-3	-1.712029933E-9	8.715334935E-12	33.877911362E+6	172.460386745E+3	30.190917953E-9
784.752095222E+0	-59.000000358E-3	-1.742188200E-9	6.652507572E-12	33.865457450E+6	129.314509254E+3	30.158205549E-9
787.620120525E+0	-59.999998659E-3	-1.768217167E-9	8.422423138E-12	33.932482836E+6	161.628183446E+3	26.029010883E-9
790.486785412E+0	-61.000000685E-3	-1.791895700E-9	9.271542085E-12	34.042160314E+6	176.139337803E+3	23.678485348E-9
793.355051041E+0	-61.999998987E-3	-1.816694233E-9	8.919886023E-12	34.127921941E+6	167.566543859E+3	24.798575459E-9
796.222015858E+0	-63.000001013E-3	-1.850359933E-9	7.365995211E-12	34.047430383E+6	135.537526844E+3	33.665631775E-9
799.090071678E+0	-64.000003040E-3	-1.883723000E-9	11.682060798E-12	33.975272925E+6	210.700407612E+3	33.362999055E-9
801.955255032E+0	-64.999997616E-3	-1.910561400E-9	7.173796040E-12	34.021412563E+6	127.743957733E+3	26.838545573E-9
804.822719097E+0	-65.999999642E-3	-1.940773000E-9	10.140502759E-12	34.007068133E+6	177.686297282E+3	30.211538775E-9
807.692994118E+0	-67.000001669E-3	-1.964906033E-9	9.098147210E-12	34.098323549E+6	157.886210334E+3	24.132984426E-9
810.562486172E+0	-68.000003695E-3	-1.995693667E-9	7.291415866E-12	34.073367487E+6	124.489592996E+3	30.787570941E-9
813.431482792E+0	-68.999998271E-3	-2.028014933E-9	10.902502389E-12	34.023417253E+6	182.908114620E+3	32.321441979E-9
816.298488617E+0	-70.000000298E-3	-2.068281367E-9	9.746289421E-12	33.844524940E+6	159.484362577E+3	40.266351731E-9
819.165591240E+0	-71.000002325E-3	-2.092631900E-9	11.498366257E-12	33.928567334E+6	186.427003132E+3	24.350483986E-9
822.035950184E+0	-71.999996901E-3	-2.109156100E-9	14.174244983E-12	34.136874412E+6	229.411384431E+3	16.524289628E-9
824.903788567E+0	-72.999998927E-3	-2.149214733E-9	10.213444996E-12	33.965893587E+6	161.411877791E+3	40.058552152E-9
827.773400784E+0	-74.000000954E-3	-2.173247533E-9	11.078799100E-12	34.050424454E+6	173.582533058E+3	24.032751296E-9
830.648542881E+0	-75.000002980E-3	-2.209579367E-9	9.775398891E-12	33.943113387E+6	150.167709733E+3	36.331759705E-9
833.518107891E+0	-75.999997556E-3	-2.242475467E-9	15.527972037E-12	33.891116619E+6	234.678291456E+3	32.896278430E-9
836.392986298E+0	-76.999999583E-3	-2.256081167E-9	11.242525735E-12	34.129977556E+6	170.076837960E+3	13.605672427E-9
