[Main]
Experiment = "IvsV"
Header length = 54    
Date = "20190903 17:51:25"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear+Reveresed"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 2.500000E+1
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 3.000000E+2
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = -10.000000E+0
Voltage step (V) = 200.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
5.063015846E+3	50.000000000E+0	216.321583794E-12	0.000000000E+0	1.405162837E-9	1.362382773E-9	0.000000000E+0	0.000000000E+0	NaN	-76.324223947E-3	-46.624776197E-3	12.390840221E-3	6.072569965E-3	-54.316995835E+6	-33.181048474E+6	8.818081362E+6	4.321612988E+6
5.072616862E+3	50.000000000E+0	191.597535985E-12	-200.000002980E-3	-3.984992333E-9	114.759114808E-12	50.188303076E+6	1.445314006E+6	26.950775448E-9	-129.961283600E-3	-92.090491810E-3	5.179319940E-3	1.668349585E-3	32.612680961E+6	23.109327222E+6	1.299706375E+6	418.658166788E+3
5.079768604E+3	50.000000000E+0	199.467367161E-12	-400.000005960E-3	-10.905944333E-9	119.414705173E-12	36.677246255E+6	401.597735536E+3	34.604759484E-9	-207.274689333E-3	-152.130513333E-3	3.444695777E-3	1.022256575E-3	19.005661775E+6	13.949320543E+6	315.854883529E+3	93.733888944E+3
5.086744746E+3	50.000000000E+0	199.733892388E-12	-600.000023842E-3	-19.797978333E-9	93.138462742E-12	30.306125895E+6	142.573445128E+3	44.460166025E-9	-291.275441800E-3	-215.250572633E-3	3.468934349E-3	1.614080367E-3	14.712383098E+6	10.872351157E+6	175.216594881E+3	81.527534757E+3
5.093597177E+3	50.000000000E+0	205.233473272E-12	-800.000011921E-3	-30.431703333E-9	176.192209823E-12	26.288374435E+6	152.203336554E+3	53.168628169E-9	-374.470165867E-3	-278.187637867E-3	2.142826228E-3	1.137478523E-3	12.305264735E+6	9.141375848E+6	70.414271726E+3	37.378076108E+3
5.100505521E+3	50.000000000E+0	208.438422078E-12	-1.000000000E+0	-42.671438000E-9	315.801703315E-12	23.434879321E+6	173.436264479E+3	61.198676981E-9	-454.781950767E-3	-341.737502500E-3	2.563211294E-3	1.830930134E-3	10.657760134E+6	8.008577131E+6	60.068547355E+3	42.907626726E+3
5.107359402E+3	50.000000000E+0	205.892249546E-12	-1.200000048E+0	-56.299112000E-9	391.083050413E-12	21.314724248E+6	148.063212393E+3	68.138353755E-9	-533.358466067E-3	-401.986897567E-3	4.060811875E-3	1.454695184E-3	9.473656815E+6	7.140199610E+6	72.129234908E+3	25.838687892E+3
5.114192669E+3	50.000000000E+0	203.931069716E-12	-1.399999976E+0	-71.767149667E-9	390.513490203E-12	19.507532104E+6	106.148209629E+3	77.340215992E-9	-616.468371700E-3	-465.275082067E-3	4.451594651E-3	2.118428264E-3	8.589840541E+6	6.483120540E+6	62.028305035E+3	29.518077200E+3
5.121044005E+3	50.000000000E+0	203.456725541E-12	-1.600000024E+0	-87.874097000E-9	536.458440902E-12	18.207868740E+6	111.156361317E+3	80.534717466E-9	-697.840627267E-3	-529.954905700E-3	3.963301238E-3	1.951362327E-3	7.941368971E+6	6.030843261E+6	45.102042272E+3	22.206342867E+3
5.127915863E+3	50.000000000E+0	206.738745105E-12	-1.799999952E+0	-105.875526667E-9	860.982934643E-12	17.001095617E+6	138.253415657E+3	90.007180522E-9	-773.029835900E-3	-597.033966967E-3	3.093273041E-3	2.321180480E-3	7.301308057E+6	5.639017682E+6	29.216128958E+3	21.923673519E+3
