[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 16:46:30"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
646.996018410E+0	28.999999166E-3	872.384963333E-12	1.441051978E-12	33.242204284E+6	54.911244764E+3	36.005951164E-9
654.489280224E+0	29.999999329E-3	900.161556667E-12	2.659423078E-12	33.327350082E+6	98.461796407E+3	27.776588780E-9
661.978769779E+0	30.999999493E-3	932.709410000E-12	3.357260271E-12	33.236503418E+6	119.633823009E+3	32.547847998E-9
669.470553875E+0	32.000001520E-3	966.434533333E-12	1.684186531E-12	33.111401152E+6	57.702590197E+3	33.725054988E-9
676.962620258E+0	32.999999821E-3	995.491800000E-12	2.317462686E-12	33.149444145E+6	77.170499924E+3	29.057316027E-9
684.458129883E+0	34.000001848E-3	1.026796467E-9	7.545263277E-12	33.112698525E+6	243.323809813E+3	31.304603226E-9
687.776383877E+0	35.000000149E-3	1.048532833E-9	4.903446783E-12	33.379975368E+6	156.100913219E+3	21.736403591E-9
690.643807888E+0	35.999998450E-3	1.079180767E-9	5.603128133E-12	33.358636071E+6	173.198705928E+3	30.647985396E-9
693.512876987E+0	37.000000477E-3	1.108509867E-9	6.700775497E-12	33.378142667E+6	201.765854533E+3	29.329040563E-9
696.381401539E+0	37.999998778E-3	1.134066900E-9	6.507182649E-12	33.507722321E+6	192.264556247E+3	25.557076748E-9
699.249903202E+0	39.000000805E-3	1.165530433E-9	5.506722711E-12	33.461160420E+6	158.092252887E+3	31.463469571E-9
702.116938591E+0	39.999999106E-3	1.193636567E-9	8.927492970E-12	33.511036963E+6	250.637049227E+3	28.106181078E-9
704.985440731E+0	41.000001132E-3	1.219428333E-9	8.858262075E-12	33.622313023E+6	244.241709154E+3	25.791714398E-9
707.856576920E+0	41.999999434E-3	1.254950733E-9	6.510675943E-12	33.467448815E+6	173.628898804E+3	35.522460343E-9
710.727149487E+0	43.000001460E-3	1.280685033E-9	5.776211248E-12	33.575781977E+6	151.435211983E+3	25.734247848E-9
713.596499920E+0	43.999999762E-3	1.308129367E-9	8.226041355E-12	33.635816826E+6	211.515487135E+3	27.444379954E-9
716.465867519E+0	45.000001788E-3	1.336580900E-9	6.635246218E-12	33.667997042E+6	167.139490046E+3	28.451475675E-9
719.333068848E+0	46.000000089E-3	1.365236900E-9	5.672660133E-12	33.693786104E+6	140.000169330E+3	28.656048679E-9
722.205756187E+0	46.999998391E-3	1.401799467E-9	6.728324943E-12	33.528332339E+6	160.928520893E+3	36.562628777E-9
725.075801849E+0	48.000000417E-3	1.427389433E-9	8.510855489E-12	33.627823841E+6	200.506983191E+3	25.589914807E-9
727.946518421E+0	48.999998719E-3	1.450369800E-9	6.739836637E-12	33.784486355E+6	156.995766798E+3	22.980405704E-9
730.818256855E+0	50.000000745E-3	1.476884867E-9	8.477724275E-12	33.855043053E+6	194.337234261E+3	26.515012932E-9
733.688053131E+0	50.999999046E-3	1.516905933E-9	8.458485737E-12	33.621068997E+6	187.475918130E+3	40.021134652E-9
736.558359146E+0	52.000001073E-3	1.534619667E-9	8.018798630E-12	33.884617930E+6	177.056200792E+3	17.713697435E-9
739.422570705E+0	52.999999374E-3	1.560758667E-9	6.424159756E-12	33.957844032E+6	139.772163180E+3	26.139044403E-9
742.288341045E+0	54.000001401E-3	1.596923433E-9	9.077987939E-12	33.815022232E+6	192.227352643E+3	36.164693377E-9
745.161747932E+0	54.999999702E-3	1.633668267E-9	6.926401743E-12	33.666565498E+6	142.738989726E+3	36.744895753E-9
748.032456875E+0	56.000001729E-3	1.657029700E-9	10.319851316E-12	33.795412194E+6	210.475182791E+3	23.361385990E-9
750.900687218E+0	57.000000030E-3	1.685422400E-9	10.221044223E-12	33.819415257E+6	205.093832228E+3	28.392748232E-9
753.767993927E+0	57.999998331E-3	1.716081267E-9	8.655523391E-12	33.797932218E+6	170.469078914E+3	30.658918748E-9
756.641397476E+0	59.000000358E-3	1.759725633E-9	9.567243550E-12	33.527954154E+6	182.284156707E+3	43.644278219E-9
759.509402275E+0	59.999998659E-3	1.775432000E-9	7.938695133E-12	33.794591209E+6	151.109677390E+3	15.706393348E-9
762.377521038E+0	61.000000685E-3	1.811042400E-9	9.813551136E-12	33.682259833E+6	182.515096971E+3	35.610327834E-9
765.250301838E+0	61.999998987E-3	1.839016700E-9	9.452988924E-12	33.713668281E+6	173.296377812E+3	27.974347521E-9
768.120928288E+0	63.000001013E-3	1.868826333E-9	7.923698520E-12	33.710998122E+6	142.932374801E+3	29.809572923E-9
770.989923477E+0	64.000003040E-3	1.895688933E-9	10.932621252E-12	33.760814823E+6	194.701881270E+3	26.862545561E-9
773.856198311E+0	64.999997616E-3	1.928207667E-9	10.091381264E-12	33.710060768E+6	176.423463883E+3	32.518909717E-9
776.721392155E+0	65.999999642E-3	1.966136200E-9	9.152567849E-12	33.568376210E+6	156.264271444E+3	37.928456469E-9
779.596873760E+0	67.000001669E-3	1.975443367E-9	9.834857720E-12	33.916437595E+6	168.854923284E+3	9.307147805E-9
