[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20201102 15:58:57"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-9
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
0.000000000E+0	-10.000000000E+0	-1.717233367E-9	171.781649073E-12	5.823320344E+9	582.529777980E+6
3.044028759E+0	-9.899999619E+0	-1.779602533E-9	57.182966122E-12	5.563039742E+9	178.754023533E+6
6.023314953E+0	-9.800000191E+0	-1.749762367E-9	36.154070363E-12	5.600760639E+9	115.724453837E+6
9.001512051E+0	-9.699999809E+0	-1.728411967E-9	28.450981091E-12	5.612087857E+9	92.379252499E+6
11.979707718E+0	-9.600000381E+0	-1.709723100E-9	37.158590963E-12	5.614944538E+9	122.033461068E+6
14.961643696E+0	-9.500000000E+0	-1.702298700E-9	39.641302495E-12	5.580689217E+9	129.957092373E+6
17.940748692E+0	-9.399999619E+0	-1.657003000E-9	51.123994111E-12	5.672892335E+9	175.027392437E+6
20.928071022E+0	-9.300000191E+0	-1.657137600E-9	38.838772080E-12	5.612086884E+9	131.531964152E+6
23.912054062E+0	-9.199999809E+0	-1.615994900E-9	39.049353146E-12	5.693087156E+9	137.569351762E+6
26.893898487E+0	-9.100000381E+0	-1.607697933E-9	34.388601286E-12	5.660267512E+9	121.072919616E+6
29.879361629E+0	-9.000000000E+0	-1.558441167E-9	33.885000150E-12	5.775001452E+9	125.565166813E+6
32.858330250E+0	-8.899999619E+0	-1.562219767E-9	37.806381454E-12	5.697021513E+9	137.870338773E+6
