[Main]
Experiment = "RvsB_300.0K"
Header length = 74    
Date = "20201213 11:28:02"
Comments = "DS: 2I- to 2I+; Volt1: 2Vb to 1I+; Volt2: 2Va to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Automatic"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 9.999999E-10
Final current (A) = 9.999999E-10
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 10.000000
Auto-range = 0
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
921.301038742E+0	-8.999979687E+0	999.999897146E-12	NaN	-180.664567933E-3	5.519830250E+0	NaN	352.584502278E-3	893.940400324E-3	NaN	-180.664586515E+6	5.519830818E+9	NaN	352.584538543E+6	893.940492269E+6	299.988400000E+0
1.168658698E+3	-8.799967188E+0	999.999897146E-12	NaN	NaN	6.123712017E+0	NaN	NaN	20.729406630E-3	NaN	NaN	6.123712647E+9	NaN	NaN	20.729408762E+6	299.992600000E+0
1.412417480E+3	-8.599974219E+0	999.999897146E-12	NaN	NaN	6.123947483E+0	NaN	NaN	30.956791494E-3	NaN	NaN	6.123948113E+9	NaN	NaN	30.956794678E+6	300.004300000E+0
1.656174030E+3	-8.399985156E+0	999.999897146E-12	NaN	NaN	6.088499117E+0	NaN	NaN	34.356233001E-3	NaN	NaN	6.088499743E+9	NaN	NaN	34.356236535E+6	300.008700000E+0
1.899841369E+3	-8.199947656E+0	999.999897146E-12	NaN	NaN	6.046746117E+0	NaN	NaN	35.406928679E-3	NaN	NaN	6.046746739E+9	NaN	NaN	35.406932321E+6	300.003600000E+0
2.143590795E+3	-7.999964063E+0	999.999897146E-12	NaN	NaN	5.994596983E+0	NaN	NaN	39.128004802E-3	NaN	NaN	5.994597600E+9	NaN	NaN	39.128008827E+6	300.008600000E+0
2.387382925E+3	-7.799972656E+0	999.999897146E-12	NaN	NaN	5.970843683E+0	NaN	NaN	43.369043436E-3	NaN	NaN	5.970844297E+9	NaN	NaN	43.369047896E+6	299.981800000E+0
2.628100330E+3	-7.599971094E+0	999.999897146E-12	NaN	NaN	5.958574283E+0	NaN	NaN	44.206703894E-3	NaN	NaN	5.958574896E+9	NaN	NaN	44.206708440E+6	300.002600000E+0
2.868808843E+3	-7.399971094E+0	999.999897146E-12	NaN	NaN	5.917032417E+0	NaN	NaN	43.122237137E-3	NaN	NaN	5.917033025E+9	NaN	NaN	43.122241573E+6	300.012700000E+0
3.109600316E+3	-7.199970312E+0	999.999897146E-12	NaN	NaN	5.856384350E+0	NaN	NaN	42.174722455E-3	NaN	NaN	5.856384952E+9	NaN	NaN	42.174726793E+6	300.004800000E+0
3.350323515E+3	-6.999957812E+0	999.999897146E-12	NaN	NaN	5.801448300E+0	NaN	NaN	43.638104065E-3	NaN	NaN	5.801448897E+9	NaN	NaN	43.638108553E+6	300.003400000E+0
3.588127729E+3	-6.799975781E+0	999.999897146E-12	NaN	NaN	5.756847867E+0	NaN	NaN	42.387346063E-3	NaN	NaN	5.756848459E+9	NaN	NaN	42.387350422E+6	299.999600000E+0
3.825866437E+3	-6.599976563E+0	999.999897146E-12	NaN	NaN	5.728983067E+0	NaN	NaN	41.248050114E-3	NaN	NaN	5.728983656E+9	NaN	NaN	41.248054357E+6	299.986500000E+0
4.063698083E+3	-6.399973828E+0	999.999897146E-12	NaN	NaN	5.694683367E+0	NaN	NaN	40.214366395E-3	NaN	NaN	5.694683952E+9	NaN	NaN	40.214370531E+6	300.003000000E+0
4.301425618E+3	-6.199985938E+0	999.999897146E-12	NaN	-162.788250188E-3	5.637177083E+0	NaN	346.782769385E-3	40.060275449E-3	NaN	-162.788266932E+6	5.637177663E+9	NaN	346.782805052E+6	40.060279569E+6	300.014000000E+0
4.536331202E+3	-5.999982422E+0	999.999897146E-12	NaN	-158.909996368E-3	5.572763050E+0	NaN	346.681941430E-3	36.285049408E-3	NaN	-158.910012713E+6	5.572763623E+9	NaN	346.681977088E+6	36.285053140E+6	300.003900000E+0
4.771026143E+3	-5.799983203E+0	999.999897146E-12	NaN	-153.380416710E-3	5.509355267E+0	NaN	345.048612449E-3	37.033210424E-3	NaN	-153.380432486E+6	5.509355833E+9	NaN	345.048647938E+6	37.033214233E+6	299.997100000E+0
5.005770531E+3	-5.599980469E+0	999.999897146E-12	NaN	-148.964903987E-3	5.451715733E+0	NaN	345.630906735E-3	32.734496564E-3	NaN	-148.964919308E+6	5.451716294E+9	NaN	345.630942284E+6	32.734499931E+6	299.996300000E+0
5.240547548E+3	-5.399989453E+0	999.999897146E-12	NaN	-144.351214233E-3	5.403266750E+0	NaN	346.611886638E-3	34.505433150E-3	NaN	-144.351229080E+6	5.403267306E+9	NaN	346.611922289E+6	34.505436699E+6	299.990000000E+0
5.475359543E+3	-5.199974609E+0	999.999897146E-12	NaN	-103.238961778E-3	5.351991817E+0	NaN	334.707866735E-3	31.697223689E-3	NaN	-103.238972397E+6	5.351992367E+9	NaN	334.707901161E+6	31.697226950E+6	300.000900000E+0
