[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181208 10:39:13"
Comments = "SD: 3I+ to 1V+; Voltage1: 2I- to 2I+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.000000E+1
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = TRUE
Finish temperature (K) = 3.000000E+2
Delay after setting finish temperature (s) = 0.000000E+0
Finish temperature stabiliation (K) = 2.000000E-1
Finish temperature ramp rate (K/min) = 1.000000E+1
Wait for finish temperature to stabilize = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "09"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 2.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Temperature (K)
505.447387695E-6	-1.000000000E-6	-2.487413810E-3	-14.645445000E-3	726.856489300E-9	7.595179392E-6	2.487413810E+3	14.645445000E+3	726.856489300E-3	7.595179392E+0	NaN	NaN	9.991300000E+0
7.603816032E+0	-990.000000000E-9	-2.462255474E-3	-14.525693000E-3	763.129172442E-9	5.324026315E-6	2.487126742E+3	14.672417172E+3	770.837547921E-3	5.377804359E+0	397.482578537E-6	83.505912219E-6	10.006700000E+0
13.060991287E+0	-980.000000000E-9	-2.429129719E-3	-14.336824000E-3	641.433940987E-9	7.631588437E-6	2.478703795E+3	14.629412245E+3	654.524429579E-3	7.787335140E+0	301.879908831E-6	52.946751452E-6	10.056300000E+0
18.548129559E+0	-970.000000000E-9	-2.401124756E-3	-14.157238333E-3	365.577391321E-9	4.592129011E-6	2.475386347E+3	14.595091065E+3	376.883908578E-3	4.734153619E+0	357.079569040E-6	55.683731255E-6	10.049800000E+0
24.001750469E+0	-960.000000000E-9	-2.378619481E-3	-14.019814667E-3	361.912521449E-9	3.962478094E-6	2.477728626E+3	14.603973611E+3	376.992209843E-3	4.127581348E+0	444.340264755E-6	72.767669809E-6	10.019900000E+0
29.494955063E+0	-950.000000000E-9	-2.355796757E-3	-13.891983667E-3	442.517005603E-9	6.089249704E-6	2.479786060E+3	14.623140702E+3	465.807374319E-3	6.409736530E+0	438.159798368E-6	78.228285784E-6	10.008400000E+0
34.952655792E+0	-940.000000000E-9	-2.329784993E-3	-13.748159000E-3	335.722781647E-9	5.304448588E-6	2.478494673E+3	14.625701064E+3	357.151895369E-3	5.643030413E+0	384.441429797E-6	69.529102565E-6	10.024300000E+0
40.415208817E+0	-930.000000000E-9	-2.303002115E-3	-13.585794333E-3	281.542611618E-9	5.824358294E-6	2.476346360E+3	14.608381004E+3	302.733990987E-3	6.262750854E+0	373.372873687E-6	61.589754750E-6	10.033700000E+0
45.870697498E+0	-920.000000000E-9	-2.278811688E-3	-13.438045000E-3	464.119609133E-9	5.436075378E-6	2.476969226E+3	14.606570652E+3	504.477836015E-3	5.908777585E+0	413.386667379E-6	67.682200484E-6	10.018200000E+0
51.316610336E+0	-910.000000000E-9	-2.255633489E-3	-13.301244000E-3	349.610597761E-9	3.909859862E-6	2.478718119E+3	14.616751648E+3	384.187470068E-3	4.296549299E+0	431.439899890E-6	73.098880856E-6	10.008600000E+0
56.798893452E+0	-900.000000000E-9	-2.230387669E-3	-13.160319333E-3	376.378244048E-9	5.674998972E-6	2.478208521E+3	14.622577037E+3	418.198048942E-3	6.305554413E+0	396.105187475E-6	70.959898196E-6	10.015000000E+0
62.292457581E+0	-890.000000000E-9	-2.204764092E-3	-13.007163000E-3	279.621125393E-9	4.369325798E-6	2.477263024E+3	14.614789888E+3	314.181039767E-3	4.909354829E+0	390.265564399E-6	65.292761862E-6	10.018700000E+0
67.756862164E+0	-880.000000000E-9	-2.180213971E-3	-12.857795333E-3	314.321599814E-9	5.524463921E-6	2.477515876E+3	14.611131061E+3	357.183636153E-3	6.277799910E+0	407.329967946E-6	66.948893446E-6	10.013300000E+0
73.206825733E+0	-870.000000000E-9	-2.155474693E-3	-12.716981000E-3	297.723087344E-9	3.738834735E-6	2.477557118E+3	14.617219540E+3	342.210445223E-3	4.297511189E+0	404.215515101E-6	71.015497949E-6	10.011000000E+0
78.675251961E+0	-860.000000000E-9	-2.130440738E-3	-12.568957000E-3	235.506627572E-9	3.320276422E-6	2.477256672E+3	14.615066279E+3	273.844915781E-3	3.860786537E+0	399.457462201E-6	67.556612441E-6	10.010600000E+0
84.166997433E+0	-850.000000000E-9	-2.106361253E-3	-12.424766333E-3	711.851081605E-9	4.215264121E-6	2.478072063E+3	14.617372157E+3	837.471860711E-3	4.959134260E+0	415.291279628E-6	69.352616443E-6	9.986600000E+0
89.617798328E+0	-840.000000000E-9	-2.083317663E-3	-12.297373667E-3	612.640050676E-9	5.343233222E-6	2.480140075E+3	14.639730556E+3	729.333393662E-3	6.360991931E+0	433.960159854E-6	78.497454066E-6	9.994000000E+0
95.092262268E+0	-830.000000000E-9	-2.054408156E-3	-12.134962333E-3	310.796072851E-9	5.113123536E-6	2.475190550E+3	14.620436546E+3	374.453099821E-3	6.160389803E+0	345.906971018E-6	61.572057779E-6	10.019400000E+0
100.551312923E+0	-820.000000000E-9	-2.029367667E-3	-11.978990333E-3	360.832593469E-9	5.339825958E-6	2.474838619E+3	14.608524797E+3	440.039748133E-3	6.511982876E+0	399.353223493E-6	64.114071756E-6	10.018200000E+0
106.014065742E+0	-810.000000000E-9	-2.005167210E-3	-11.835160000E-3	396.468036408E-9	5.179071945E-6	2.475515074E+3	14.611308642E+3	489.466711614E-3	6.393915981E+0	413.215337214E-6	69.526363238E-6	10.008700000E+0
111.488180637E+0	-800.000000000E-9	-1.980367313E-3	-11.690942667E-3	331.658681950E-9	5.060309336E-6	2.475459142E+3	14.613678333E+3	414.573352437E-3	6.325386670E+0	403.227481146E-6	69.339792720E-6	10.006400000E+0
116.951109409E+0	-790.000000000E-9	-1.954931764E-3	-11.544543333E-3	272.942323699E-9	5.236439520E-6	2.474597170E+3	14.613345992E+3	345.496612277E-3	6.628404456E+0	393.150541746E-6	68.306321978E-6	10.021000000E+0
122.424295902E+0	-780.000000000E-9	-1.926005652E-3	-11.376818333E-3	537.749369383E-9	6.230958350E-6	2.469238015E+3	14.585664530E+3	689.422268440E-3	7.988408140E+0	345.708403535E-6	59.621404084E-6	10.060700000E+0
127.916077614E+0	-770.000000000E-9	-1.903166022E-3	-11.226576000E-3	436.980832608E-9	4.357377889E-6	2.471644185E+3	14.579968831E+3	567.507574816E-3	5.658932324E+0	437.835470450E-6	66.559136684E-6	10.020000000E+0
133.406178474E+0	-760.000000000E-9	-1.882012222E-3	-11.107807333E-3	321.250023456E-9	5.118107768E-6	2.476331871E+3	14.615535965E+3	422.697399284E-3	6.734352327E+0	472.728304134E-6	84.197291092E-6	9.992300000E+0
