[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181207 20:47:44"
Comments = "SD: 3I+ to 1V+; Voltage1: 2I- to 2I+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = TRUE
Finish temperature (K) = 2.500000E+2
Delay after setting finish temperature (s) = 0.000000E+0
Finish temperature stabiliation (K) = 2.000000E-1
Finish temperature ramp rate (K/min) = 1.000000E+1
Wait for finish temperature to stabilize = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "09"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 2.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Temperature (K)
544.953411579E+0	-180.000000000E-9	-25.131091643E-6	-96.291106667E-6	18.307229683E-9	3.325016552E-6	139.617175796E+0	534.950592593E+0	101.706831571E-3	18.472314175E+0	7.097956938E-3	1.451941955E-3	300.001300000E+0
551.554772377E+0	-170.000000000E-9	-23.719050063E-6	-88.586798000E-6	14.551851246E-9	4.050211138E-6	139.523823902E+0	521.098811765E+0	85.599124976E-3	23.824771403E+0	7.081944428E-3	1.297974995E-3	300.001000000E+0
558.159837723E+0	-160.000000000E-9	-22.320775823E-6	-84.592866667E-6	18.433446998E-9	2.967982833E-6	139.504848896E+0	528.705416667E+0	115.209043738E-3	18.549892703E+0	7.151672908E-3	2.503798680E-3	299.998400000E+0
564.765643597E+0	-150.000000000E-9	-20.872710370E-6	-80.821689333E-6	14.216407342E-9	4.551546767E-6	139.151402467E+0	538.811262222E+0	94.776048945E-3	30.343645112E+0	6.905765190E-3	2.651691797E-3	300.000700000E+0
571.392549038E+0	-140.000000000E-9	-19.439685640E-6	-72.688563667E-6	18.393269488E-9	4.415793815E-6	138.854897429E+0	519.204026190E+0	131.380496343E-3	31.541384392E+0	6.978246635E-3	1.229539590E-3	300.001000000E+0
578.016324043E+0	-130.000000000E-9	-18.021278817E-6	-63.903881333E-6	17.122154947E-9	3.203263562E-6	138.625221667E+0	491.568317949E+0	131.708884205E-3	24.640488937E+0	7.050163490E-3	1.138345090E-3	300.002500000E+0
584.662971973E+0	-120.000000000E-9	-16.596968617E-6	-56.499998000E-6	15.379165610E-9	5.302651364E-6	138.308071806E+0	470.833316667E+0	128.159713420E-3	44.188761370E+0	7.020942489E-3	1.350642568E-3	300.000500000E+0
591.298708439E+0	-110.000000000E-9	-15.190328157E-6	-50.125849667E-6	12.957005963E-9	3.773230784E-6	138.093892333E+0	455.689542424E+0	117.790963302E-3	34.302098039E+0	7.109137185E-3	1.568837039E-3	300.000500000E+0
597.913666725E+0	-100.000000000E-9	-13.815679180E-6	-78.434711333E-6	17.116730245E-9	3.528652189E-6	138.156791800E+0	784.347113333E+0	171.167302452E-3	35.286521892E+0	7.274584399E-3	-353.246277358E-6	299.998100000E+0
604.562617779E+0	-90.000000000E-9	-12.341493817E-6	-70.362448000E-6	11.676881121E-9	2.863068724E-6	137.127709074E+0	781.804977778E+0	129.743123567E-3	31.811874713E+0	6.783407466E-3	1.238809933E-3	299.998700000E+0
611.151638031E+0	-80.000000000E-9	-10.982089370E-6	-62.421741667E-6	16.186804965E-9	3.387871594E-6	137.276117125E+0	780.271770833E+0	202.335062060E-3	42.348394921E+0	7.356162491E-3	1.259333815E-3	299.998700000E+0
617.766430378E+0	-70.000000000E-9	-9.577021934E-6	-48.117043000E-6	16.323335104E-9	3.542598526E-6	136.814599052E+0	687.386328571E+0	233.190501492E-3	50.608550374E+0	7.117096120E-3	699.070999888E-6	299.999900000E+0
624.383769035E+0	-60.000000000E-9	-8.128290640E-6	-38.248590333E-6	14.013499479E-9	3.375167308E-6	135.471510667E+0	637.476505556E+0	233.558324651E-3	56.252788469E+0	6.902591284E-3	1.013330087E-3	300.001600000E+0
631.033332825E+0	-50.000000000E-9	-6.798770391E-6	-27.050000000E-6	15.835677598E-9	4.426026890E-6	135.975407813E+0	541.000000000E+0	316.713551961E-3	88.520537802E+0	7.521510112E-3	892.969534767E-6	300.000200000E+0
637.657481670E+0	-40.000000000E-9	-5.393674385E-6	-20.311413833E-6	15.767061114E-9	3.344782466E-6	134.841859625E+0	507.785345833E+0	394.176527845E-3	83.619561645E+0	7.116951411E-3	1.483990818E-3	300.004600000E+0
644.294919968E+0	-30.000000000E-9	-3.951458398E-6	-9.832338900E-6	16.161979713E-9	4.396062487E-6	131.715279922E+0	327.744630000E+0	538.732657113E-3	146.535416227E+0	6.933774197E-3	954.282707550E-6	300.001000000E+0
650.934449673E+0	-20.000000000E-9	-2.601412639E-6	-1.122284500E-6	13.356746493E-9	3.837313417E-6	130.070631933E+0	56.114225000E+0	667.837324652E-3	191.865670855E+0	7.407156338E-3	1.148098455E-3	300.000400000E+0
657.568653584E+0	-10.000000000E-9	-1.197183254E-6	-26.992584000E-6	15.348984897E-9	2.977634849E-6	119.718325400E+0	2.699258400E+3	1.534898490E+0	297.763484941E+0	7.121343642E-3	-386.543650181E-6	299.998400000E+0
664.187799454E+0	486.382200181E-24	321.339456667E-9	4.411565733E-3	14.839274327E-9	84.288884747E-9	NaN	NaN	NaN	NaN	6.585347674E-3	2.252983804E-6	300.000800000E+0
682.906013012E+0	10.000000000E-9	1.713883338E-6	67.406966667E-6	14.589444787E-9	4.089830310E-6	171.388333833E+0	6.740696667E+3	1.458944479E+0	408.983031003E+0	7.181102249E-3	-2.301941650E-6	300.001300000E+0
689.543121815E+0	20.000000000E-9	3.059944571E-6	43.555567333E-6	13.055028839E-9	4.322597192E-6	152.997228550E+0	2.177778367E+3	652.751441947E-3	216.129859584E+0	7.429082539E-3	-419.262612656E-6	299.998700000E+0
696.184881210E+0	30.000000000E-9	4.511232466E-6	53.882738000E-6	13.980825543E-9	5.338116542E-6	150.374415522E+0	1.796091267E+3	466.027518110E-3	177.937218060E+0	6.890431621E-3	968.319428697E-6	300.006900000E+0
702.799795628E+0	40.000000000E-9	5.924665592E-6	64.685893000E-6	13.595864097E-9	3.901261047E-6	148.116639808E+0	1.617147325E+3	339.896602435E-3	97.531526167E+0	7.074972145E-3	925.655514523E-6	300.002100000E+0
709.419501781E+0	50.000000000E-9	7.306941242E-6	73.561436333E-6	13.585005328E-9	4.471122501E-6	146.138824847E+0	1.471228727E+3	271.700106555E-3	89.422450020E+0	7.234447051E-3	1.126691587E-3	299.998800000E+0
716.049290657E+0	60.000000000E-9	8.729481069E-6	83.010780333E-6	13.290167726E-9	3.601587309E-6	145.491351150E+0	1.383513006E+3	221.502795431E-3	60.026455152E+0	7.029680163E-3	1.058274521E-3	299.998500000E+0
722.673446655E+0	70.000000000E-9	10.162586117E-6	93.472986333E-6	15.061714190E-9	3.813325498E-6	145.179801667E+0	1.335328376E+3	215.167345577E-3	54.476078548E+0	6.977855543E-3	955.821363104E-6	299.996400000E+0
729.332487583E+0	80.000000000E-9	11.571431620E-6	105.717730333E-6	15.269467951E-9	2.670255196E-6	144.642895250E+0	1.321471629E+3	190.868349392E-3	33.378189944E+0	7.098010375E-3	816.676935018E-6	299.995000000E+0
735.946808815E+0	90.000000000E-9	13.014542220E-6	112.253636667E-6	11.650818001E-9	4.638609384E-6	144.606024667E+0	1.247262630E+3	129.453533349E-3	51.540104264E+0	6.929475814E-3	1.530009686E-3	299.999100000E+0
742.581701756E+0	100.000000000E-9	14.451926870E-6	123.505790000E-6	16.593454073E-9	5.922120222E-6	144.519268700E+0	1.235057900E+3	165.934540732E-3	59.221202218E+0	6.957079999E-3	888.718781531E-6	299.999700000E+0
749.189974785E+0	110.000000000E-9	15.851121860E-6	88.783744333E-6	14.142814134E-9	4.234045054E-6	144.101107818E+0	807.124948485E+0	128.571037581E-3	38.491318675E+0	7.146966700E-3	-288.001464430E-6	300.000300000E+0
755.794617176E+0	120.000000000E-9	17.236425670E-6	93.614801667E-6	14.981211510E-9	2.639033034E-6	143.636880583E+0	780.123347222E+0	124.843429254E-3	21.991941954E+0	7.218633146E-3	2.069940245E-3	300.000600000E+0
762.390609741E+0	130.000000000E-9	18.622939880E-6	99.684835667E-6	12.464496318E-9	3.969658779E-6	143.253383692E+0	766.806428205E+0	95.880740906E-3	30.535836759E+0	7.212331419E-3	1.647437230E-3	300.002100000E+0
769.011643410E+0	140.000000000E-9	19.982575400E-6	106.443518000E-6	9.066149499E-9	3.704659562E-6	142.732681429E+0	760.310842857E+0	64.758210704E-3	26.461854017E+0	7.354912293E-3	1.479578342E-3	300.000900000E+0
775.624776840E+0	150.000000000E-9	21.419691563E-6	113.006563333E-6	15.064399820E-9	3.735981349E-6	142.797943756E+0	753.377088889E+0	100.429332134E-3	24.906542327E+0	6.958379744E-3	1.523682908E-3	300.000000000E+0
782.250194550E+0	160.000000000E-9	22.864251340E-6	120.673310000E-6	17.629581062E-9	4.513594342E-6	142.901570875E+0	754.208187500E+0	110.184881640E-3	28.209964639E+0	6.922524191E-3	1.304334216E-3	299.998300000E+0
788.873212814E+0	170.000000000E-9	24.185955297E-6	127.803463333E-6	14.305207971E-9	3.617010648E-6	142.270325275E+0	751.785078431E+0	84.148282182E-3	21.276533223E+0	7.565990818E-3	1.402494383E-3	299.995500000E+0
795.412963390E+0	180.000000000E-9	25.609294797E-6	134.339366667E-6	15.171610556E-9	4.289865803E-6	142.273859981E+0	746.329814815E+0	84.286725312E-3	23.832587792E+0	7.025730685E-3	1.530010389E-3	299.998500000E+0
802.017693043E+0	190.000000000E-9	27.035735913E-6	142.212143333E-6	16.522450232E-9	3.875648312E-6	142.293346912E+0	748.484964912E+0	86.960264378E-3	20.398149011E+0	7.010454118E-3	1.270199883E-3	299.999100000E+0
808.658248425E+0	200.000000000E-9	28.368375520E-6	147.208636667E-6	17.313871189E-9	3.335619338E-6	141.841877600E+0	736.043183333E+0	86.569355945E-3	16.678096689E+0	7.503904244E-3	2.001403651E-3	300.000900000E+0
815.292470455E+0	210.000000000E-9	29.842080173E-6	151.692120000E-6	20.780775020E-9	4.744800708E-6	142.105143683E+0	722.343428571E+0	98.956071526E-3	22.594289084E+0	6.785620156E-3	2.230408648E-3	300.001500000E+0
821.906060219E+0	220.000000000E-9	31.275065337E-6	160.908543333E-6	15.183747128E-9	3.720324290E-6	142.159387894E+0	731.402469697E+0	69.017032399E-3	16.910564953E+0	6.978439314E-3	1.085019604E-3	299.993200000E+0
828.521505833E+0	230.000000000E-9	32.616509090E-6	168.011476667E-6	16.760629140E-9	3.577837723E-6	141.810909087E+0	730.484681159E+0	72.872300608E-3	15.555816185E+0	7.454654714E-3	1.407869049E-3	299.998800000E+0
835.138172150E+0	240.000000000E-9	34.045503753E-6	179.557596667E-6	14.515962367E-9	4.414056694E-6	141.856265639E+0	748.156652778E+0	60.483176530E-3	18.391902890E+0	6.997926764E-3	866.091812661E-6	300.000000000E+0
841.770737171E+0	250.000000000E-9	35.446495370E-6	182.562110000E-6	15.080712202E-9	3.251383757E-6	141.785981480E+0	730.248440000E+0	60.322848806E-3	13.005535030E+0	7.137801455E-3	3.328326052E-3	300.005700000E+0
848.377981663E+0	260.000000000E-9	36.803913917E-6	189.013783333E-6	12.419139333E-9	4.265189715E-6	141.553515064E+0	726.976089744E+0	47.765920510E-3	16.404575827E+0	7.366924538E-3	1.549985482E-3	300.004200000E+0
855.021936893E+0	270.000000000E-9	38.243102523E-6	196.244776667E-6	12.664548024E-9	3.656452703E-6	141.641120457E+0	726.832506173E+0	46.905733423E-3	13.542417417E+0	6.948359620E-3	1.382935862E-3	300.000000000E+0
861.639432907E+0	280.000000000E-9	39.642431940E-6	200.795750000E-6	14.796518367E-9	3.620709308E-6	141.580114071E+0	717.127678571E+0	52.844708452E-3	12.931104673E+0	7.146280126E-3	2.197332146E-3	300.001500000E+0
868.256575584E+0	290.000000000E-9	41.076108393E-6	204.509250000E-6	14.372506551E-9	4.017503586E-6	141.641753080E+0	705.204310345E+0	49.560367417E-3	13.853460643E+0	6.975074451E-3	2.692877339E-3	299.996200000E+0
874.889441013E+0	300.000000000E-9	42.476658840E-6	211.403100000E-6	18.176883518E-9	4.036986644E-6	141.588862800E+0	704.677000000E+0	60.589611728E-3	13.456622148E+0	7.140049845E-3	1.450568260E-3	300.000000000E+0
881.557239532E+0	310.000000000E-9	43.860604820E-6	218.614353333E-6	15.980302921E-9	3.180341196E-6	141.485822000E+0	705.207591398E+0	51.549364263E-3	10.259165147E+0	7.225715559E-3	1.386721495E-3	300.003400000E+0
888.151878834E+0	320.000000000E-9	45.278176760E-6	224.052960000E-6	14.877170104E-9	3.962439500E-6	141.494302375E+0	700.165500000E+0	46.491156574E-3	12.382623438E+0	7.054315705E-3	1.838706237E-3	300.001000000E+0
894.767952919E+0	330.000000000E-9	46.670744140E-6	230.966953333E-6	12.147974816E-9	2.831551579E-6	141.426497394E+0	699.899858586E+0	36.812044898E-3	8.580459329E+0	7.180981074E-3	1.446342152E-3	299.999000000E+0
901.406781673E+0	340.000000000E-9	48.055935777E-6	237.601003333E-6	20.470053857E-9	3.548924441E-6	141.340987578E+0	698.826480392E+0	60.206040755E-3	10.438013061E+0	7.219217713E-3	1.507374831E-3	299.998700000E+0
908.030197144E+0	350.000000000E-9	49.526445313E-6	241.270766667E-6	14.579529319E-9	4.595867086E-6	141.504129467E+0	689.345047619E+0	41.655798053E-3	13.131048818E+0	6.800363922E-3	2.724971365E-3	300.000200000E+0
914.664536953E+0	360.000000000E-9	50.853586810E-6	247.448716667E-6	15.822894381E-9	4.170020183E-6	141.259963361E+0	687.357546296E+0	43.952484391E-3	11.583389398E+0	7.534991578E-3	1.618659911E-3	299.998000000E+0
921.271068096E+0	370.000000000E-9	52.310054210E-6	257.181563333E-6	15.224849324E-9	4.408493538E-6	141.378524892E+0	695.085306306E+0	41.148241415E-3	11.914847401E+0	6.865927792E-3	1.027448633E-3	299.998700000E+0
927.924577713E+0	380.000000000E-9	53.724271963E-6	261.300560000E-6	13.353142551E-9	2.988606525E-6	141.379663061E+0	687.633052632E+0	35.139848818E-3	7.864754013E+0	7.071046857E-3	2.427775696E-3	299.998700000E+0
934.588344097E+0	390.000000000E-9	55.102010757E-6	267.785603333E-6	13.427754434E-9	4.601049790E-6	141.287207068E+0	686.629752137E+0	34.430139574E-3	11.797563564E+0	7.258269890E-3	1.542009742E-3	300.003100000E+0
941.196789742E+0	400.000000000E-9	56.489103200E-6	279.601900000E-6	17.966700722E-9	4.527630507E-6	141.222758000E+0	699.004750000E+0	44.916751806E-3	11.319076268E+0	7.209324835E-3	846.288840074E-6	300.005500000E+0
947.798524380E+0	410.000000000E-9	57.929258820E-6	280.286926667E-6	15.386013844E-9	3.967534075E-6	141.290875171E+0	683.626650407E+0	37.526863034E-3	9.676912378E+0	6.943694043E-3	14.597971855E-3	300.002000000E+0
954.467468262E+0	420.000000000E-9	59.357897087E-6	287.096530000E-6	13.441535175E-9	3.388439852E-6	141.328326397E+0	683.563166667E+0	32.003655180E-3	8.067713934E+0	6.999672509E-3	1.468514319E-3	299.998400000E+0
961.088236332E+0	430.000000000E-9	60.790783517E-6	294.199436667E-6	16.951857624E-9	4.888048110E-6	141.373915155E+0	684.184736434E+0	39.422924707E-3	11.367553745E+0	6.978920165E-3	1.407874335E-3	299.997800000E+0
967.726912975E+0	440.000000000E-9	62.193676690E-6	301.522156667E-6	12.804679034E-9	3.535695862E-6	141.349265205E+0	685.277628788E+0	29.101543259E-3	8.035672414E+0	7.128126496E-3	1.365612778E-3	299.997500000E+0
974.322440147E+0	450.000000000E-9	63.600126347E-6	305.745386667E-6	18.781613146E-9	3.681683662E-6	141.333614104E+0	679.434192593E+0	41.736918101E-3	8.181519249E+0	7.110101633E-3	2.367855883E-3	299.996000000E+0
980.943363190E+0	460.000000000E-9	65.023594357E-6	314.418383333E-6	12.200791647E-9	2.979922541E-6	141.355639906E+0	683.518224638E+0	26.523460103E-3	6.478092479E+0	7.025096405E-3	1.153004017E-3	299.999000000E+0
987.560142040E+0	470.000000000E-9	66.461469163E-6	321.463776667E-6	18.805341034E-9	4.044701128E-6	141.407381199E+0	683.965482270E+0	40.011363902E-3	8.605747080E+0	6.954708403E-3	1.419367170E-3	299.999900000E+0
994.192815304E+0	480.000000000E-9	67.855833560E-6	326.646243333E-6	21.403923462E-9	3.581982810E-6	141.366319917E+0	680.513006944E+0	44.591507212E-3	7.462464188E+0	7.171726432E-3	1.929583081E-3	300.002200000E+0
1.000819856E+3	490.000000000E-9	69.235379147E-6	329.995216667E-6	18.153958301E-9	4.129424507E-6	141.296692136E+0	673.459625850E+0	37.048894493E-3	8.427396954E+0	7.248763721E-3	2.985989736E-3	299.988400000E+0
1.007424540E+3	500.000000000E-9	70.697549100E-6	337.722806667E-6	13.700590285E-9	3.656900984E-6	141.395098200E+0	675.445613333E+0	27.401180570E-3	7.313801968E+0	6.839150249E-3	1.294064514E-3	299.996500000E+0
1.013971572E+3	510.000000000E-9	72.098644717E-6	344.947573333E-6	16.851827434E-9	2.907580857E-6	141.369891601E+0	676.367790850E+0	33.042798890E-3	5.701138935E+0	7.137271633E-3	1.384127746E-3	300.001200000E+0
1.020592991E+3	520.000000000E-9	73.482777253E-6	350.301796667E-6	13.699073799E-9	3.805178426E-6	141.313033179E+0	673.657301282E+0	26.344372691E-3	7.317650820E+0	7.224741660E-3	1.867684513E-3	300.006300000E+0
1.027232633E+3	530.000000000E-9	74.938700737E-6	355.916026667E-6	17.549981210E-9	3.967772358E-6	141.393774975E+0	671.539672956E+0	33.113172095E-3	7.486362940E+0	6.868492826E-3	1.781188159E-3	300.007100000E+0
1.033866735E+3	540.000000000E-9	76.322509593E-6	364.082570000E-6	17.499264984E-9	3.118441481E-6	141.337980728E+0	674.226981481E+0	32.406046267E-3	5.774891631E+0	7.226431564E-3	1.224508288E-3	300.001800000E+0
1.040502167E+3	550.000000000E-9	77.738713933E-6	368.764546667E-6	11.854625153E-9	4.052874236E-6	141.343116242E+0	670.480993939E+0	21.553863914E-3	7.368862248E+0	7.061127916E-3	2.135850029E-3	300.001500000E+0
1.047121174E+3	560.000000000E-9	79.199308437E-6	375.476120000E-6	19.203399115E-9	3.347770758E-6	141.427336494E+0	670.493071429E+0	34.291784135E-3	5.978162069E+0	6.846527203E-3	1.489963605E-3	299.998200000E+0
1.053736243E+3	570.000000000E-9	80.583725733E-6	383.430076667E-6	16.340015814E-9	4.105164431E-6	141.374957427E+0	672.684345029E+0	28.666694411E-3	7.202042861E+0	7.223255607E-3	1.257235917E-3	299.995800000E+0
1.060374188E+3	580.000000000E-9	81.976860977E-6	389.624936667E-6	15.674184679E-9	4.285253983E-6	141.339415477E+0	671.767132184E+0	27.024456342E-3	7.388368936E+0	7.178053996E-3	1.614241484E-3	300.006000000E+0
1.066984509E+3	590.000000000E-9	83.394657380E-6	399.307206667E-6	15.333358048E-9	4.970078370E-6	141.346876915E+0	676.791875706E+0	25.988742453E-3	8.423861644E+0	7.053198877E-3	1.032815652E-3	300.006000000E+0
1.073591638E+3	600.000000000E-9	84.837494180E-6	403.803996667E-6	21.100234464E-9	3.852574522E-6	141.395823633E+0	673.006661111E+0	35.167057439E-3	6.420957537E+0	6.930790787E-3	2.223808539E-3	299.996700000E+0
1.080219872E+3	610.000000000E-9	86.235524003E-6	408.888376667E-6	14.226037867E-9	3.994813064E-6	141.369711481E+0	670.308814208E+0	23.321373552E-3	6.548873875E+0	7.152923230E-3	1.966808146E-3	299.996200000E+0
1.086842974E+3	620.000000000E-9	87.662505760E-6	414.046933333E-6	16.429637273E-9	3.213533379E-6	141.391138323E+0	667.817634409E+0	26.499414956E-3	5.183118353E+0	7.007798070E-3	1.938526733E-3	299.997300000E+0
1.093476733E+3	630.000000000E-9	89.077683867E-6	423.101440000E-6	11.999212053E-9	3.365604548E-6	141.393148995E+0	671.589587302E+0	19.046368339E-3	5.342229442E+0	7.066248377E-3	1.104422402E-3	300.000600000E+0
1.100109039E+3	640.000000000E-9	90.491735360E-6	429.742023333E-6	15.177274904E-9	3.500188606E-6	141.393336500E+0	671.471911458E+0	23.714492038E-3	5.469044697E+0	7.071878250E-3	1.505891802E-3	300.001200000E+0
1.106736717E+3	650.000000000E-9	91.901816543E-6	432.996306667E-6	12.234625387E-9	3.349061427E-6	141.387410067E+0	666.148164103E+0	18.822500595E-3	5.152402196E+0	7.091790259E-3	3.072873188E-3	300.000900000E+0
1.113350099E+3	660.000000000E-9	93.289937870E-6	437.931986667E-6	15.265094142E-9	3.915511845E-6	141.348390712E+0	663.533313131E+0	23.128930518E-3	5.932593705E+0	7.203981243E-3	2.026063278E-3	300.001500000E+0
1.119966302E+3	670.000000000E-9	94.733558367E-6	444.154016667E-6	13.565792528E-9	3.162171201E-6	141.393370697E+0	662.916442786E+0	20.247451535E-3	4.719658508E+0	6.927028276E-3	1.607192508E-3	300.002200000E+0
1.126614370E+3	680.000000000E-9	96.149462460E-6	451.138690000E-6	17.831562129E-9	4.634517410E-6	141.396268324E+0	663.439250000E+0	26.222885484E-3	6.815466780E+0	7.062625249E-3	1.431706183E-3	300.002000000E+0
1.133232679E+3	690.000000000E-9	97.531191733E-6	458.626416667E-6	13.134042325E-9	4.151976166E-6	141.349553237E+0	664.675966184E+0	19.034843949E-3	6.017356762E+0	7.237307766E-3	1.335518836E-3	299.996600000E+0
1.139872765E+3	700.000000000E-9	98.915759830E-6	465.689126667E-6	13.638659586E-9	4.130145875E-6	141.308228329E+0	665.270180952E+0	19.483799408E-3	5.900208393E+0	7.222468887E-3	1.415887103E-3	299.999300000E+0
1.146538439E+3	710.000000000E-9	100.286093633E-6	471.350630000E-6	15.000295775E-9	4.705002095E-6	141.248019202E+0	663.874126761E+0	21.127177148E-3	6.626763514E+0	7.297492024E-3	1.766315307E-3	299.998700000E+0
1.153158271E+3	720.000000000E-9	101.698379867E-6	479.048146667E-6	12.541784666E-9	4.575536623E-6	141.247749815E+0	665.344648148E+0	17.419145369E-3	6.354911976E+0	7.080717608E-3	1.299120279E-3	299.998100000E+0
1.159742541E+3	730.000000000E-9	103.158049767E-6	489.432863333E-6	18.494955681E-9	5.319032152E-6	141.312396941E+0	670.455977169E+0	25.335555727E-3	7.286345413E+0	6.850864021E-3	962.953571194E-6	299.999600000E+0
1.166358716E+3	740.000000000E-9	104.539340467E-6	492.720800000E-6	15.570023205E-9	3.453424667E-6	141.269379009E+0	665.838918919E+0	21.040571899E-3	4.666790091E+0	7.239605682E-3	3.041421114E-3	300.002600000E+0
1.172951056E+3	750.000000000E-9	105.940689100E-6	496.194870000E-6	13.048513477E-9	3.677854439E-6	141.254252133E+0	661.593160000E+0	17.398017969E-3	4.903805919E+0	7.135982982E-3	2.878468194E-3	299.997800000E+0
1.179578095E+3	760.000000000E-9	107.363412867E-6	504.226066667E-6	19.970420365E-9	4.089228033E-6	141.267648509E+0	663.455350877E+0	26.276868902E-3	5.380563202E+0	7.028771315E-3	1.245144455E-3	300.000300000E+0
1.186190653E+3	770.000000000E-9	108.737036833E-6	510.924576667E-6	13.305220461E-9	3.898725340E-6	141.216930952E+0	663.538411255E+0	17.279507093E-3	5.063279662E+0	7.280012757E-3	1.492869310E-3	300.000000000E+0
1.192795295E+3	780.000000000E-9	110.145640733E-6	516.153520000E-6	13.373471383E-9	3.716611069E-6	141.212359915E+0	661.735282051E+0	17.145476132E-3	4.764885986E+0	7.099227824E-3	1.912432276E-3	300.000300000E+0
1.199380925E+3	790.000000000E-9	111.563754033E-6	522.979433333E-6	14.302713414E-9	3.873018248E-6	141.219941814E+0	661.999282700E+0	18.104700524E-3	4.902554744E+0	7.051622744E-3	1.465005416E-3	300.000600000E+0
1.205978616E+3	800.000000000E-9	112.967237633E-6	529.377226667E-6	15.933426991E-9	3.187236113E-6	141.209047042E+0	661.721533333E+0	19.916783739E-3	3.984045141E+0	7.125127789E-3	1.563038923E-3	300.000000000E+0
1.212591205E+3	810.000000000E-9	114.360803367E-6	533.573593333E-6	16.708965032E-9	3.432514811E-6	141.186176996E+0	658.732831276E+0	20.628351892E-3	4.237672607E+0	7.175836604E-3	2.383013877E-3	300.000300000E+0
1.219185126E+3	820.000000000E-9	115.758258900E-6	540.308393333E-6	13.872116477E-9	4.371681624E-6	141.168608415E+0	658.912674797E+0	16.917215215E-3	5.331319054E+0	7.155862753E-3	1.484825088E-3	300.000900000E+0
1.225778438E+3	830.000000000E-9	117.232941200E-6	546.753243333E-6	16.143524497E-9	3.190358239E-6	141.244507470E+0	658.738847390E+0	19.450029515E-3	3.843805107E+0	6.781121602E-3	1.551626492E-3	300.000900000E+0
1.232427192E+3	840.000000000E-9	118.642002233E-6	553.970853333E-6	17.002515324E-9	4.133411055E-6	141.240478849E+0	659.489111111E+0	20.241089672E-3	4.920727446E+0	7.096924664E-3	1.385500186E-3	300.002400000E+0
1.239021887E+3	850.000000000E-9	120.106149367E-6	564.082126667E-6	15.562315517E-9	3.940647076E-6	141.301352196E+0	663.626031373E+0	18.308606490E-3	4.636055383E+0	6.829914680E-3	988.995121617E-6	300.000000000E+0
1.245637120E+3	860.000000000E-9	121.514010967E-6	571.107520000E-6	17.181417021E-9	3.893143959E-6	141.295361589E+0	664.078511628E+0	19.978391885E-3	4.526911580E+0	7.102970917E-3	1.423407847E-3	299.997300000E+0
1.252258204E+3	870.000000000E-9	122.915408400E-6	576.262806667E-6	14.326743879E-9	4.781352935E-6	141.282078621E+0	662.371042146E+0	16.467521700E-3	5.495807971E+0	7.135734491E-3	1.939756341E-3	299.998500000E+0
1.258878945E+3	880.000000000E-9	124.333577167E-6	579.253643333E-6	13.976961028E-9	4.585552095E-6	141.288155871E+0	658.242776515E+0	15.882910260E-3	5.210854654E+0	7.051346945E-3	3.343546009E-3	300.002100000E+0
1.265478069E+3	890.000000000E-9	125.785815800E-6	588.878736667E-6	15.612784937E-9	3.806112254E-6	141.332377303E+0	661.661501873E+0	17.542454985E-3	4.276530622E+0	6.885920654E-3	1.038950964E-3	300.001800000E+0
1.272100462E+3	900.000000000E-9	127.190394767E-6	594.486366667E-6	19.356982031E-9	6.236576393E-6	141.322660852E+0	660.540407407E+0	21.507757812E-3	6.929529325E+0	7.119571229E-3	1.783284561E-3	300.001800000E+0
1.278736643E+3	910.000000000E-9	128.608579467E-6	600.590023333E-6	11.396277280E-9	3.270803656E-6	141.328109304E+0	659.989036630E+0	12.523381626E-3	3.594289731E+0	7.051267723E-3	1.638362140E-3	299.999400000E+0
