[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181207 20:47:44"
Comments = "SD: 3I+ to 1V+; Voltage1: 2I- to 2I+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = TRUE
Finish temperature (K) = 2.500000E+2
Delay after setting finish temperature (s) = 0.000000E+0
Finish temperature stabiliation (K) = 2.000000E-1
Finish temperature ramp rate (K/min) = 1.000000E+1
Wait for finish temperature to stabilize = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "09"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 2.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Temperature (K)
101.321125031E+0	-850.000000000E-9	-119.569448433E-6	-522.751233333E-6	16.800981057E-9	5.305225734E-6	140.669939333E+0	615.001450980E+0	19.765860066E-3	6.241442040E+0	7.231922400E-3	1.535426119E-3	299.999400000E+0
107.928633690E+0	-840.000000000E-9	-118.166887600E-6	-515.546270000E-6	18.852312562E-9	4.456219860E-6	140.674866190E+0	613.745559524E+0	22.443229241E-3	5.305023643E+0	7.129815522E-3	1.387932115E-3	299.998800000E+0
114.560136795E+0	-830.000000000E-9	-116.812867600E-6	-510.451453333E-6	18.501005950E-9	4.529530360E-6	140.738394699E+0	615.001751004E+0	22.290368614E-3	5.457265494E+0	7.385415282E-3	1.962779164E-3	300.000900000E+0
121.171602726E+0	-820.000000000E-9	-115.398186900E-6	-506.197733333E-6	16.425676144E-9	3.114659272E-6	140.729496220E+0	617.314308943E+0	20.031312371E-3	3.798364966E+0	7.068732895E-3	2.350883462E-3	300.003900000E+0
127.775151253E+0	-810.000000000E-9	-113.951068867E-6	-497.983963333E-6	17.333251846E-9	3.594751125E-6	140.680331934E+0	614.795016461E+0	21.399076353E-3	4.437964352E+0	6.910286355E-3	1.217467740E-3	300.003000000E+0
134.387606621E+0	-800.000000000E-9	-112.556152000E-6	-491.812426667E-6	14.567266648E-9	3.842170738E-6	140.695190000E+0	614.765533333E+0	18.209083310E-3	4.802713423E+0	7.168886002E-3	1.620341989E-3	300.002100000E+0
141.020081043E+0	-790.000000000E-9	-111.134380467E-6	-482.986913333E-6	13.754762482E-9	3.643278331E-6	140.676430970E+0	611.375839662E+0	17.411091750E-3	4.611744723E+0	7.033478844E-3	1.133078567E-3	300.001200000E+0
147.632296085E+0	-780.000000000E-9	-109.741226500E-6	-475.363676667E-6	13.154009688E-9	4.805196652E-6	140.693880128E+0	609.440611111E+0	16.864114985E-3	6.160508529E+0	7.177957526E-3	1.311778768E-3	300.000300000E+0
154.226197720E+0	-770.000000000E-9	-108.360441100E-6	-472.021310000E-6	15.232369027E-9	4.579766572E-6	140.727845584E+0	613.014688312E+0	19.782297437E-3	5.947748795E+0	7.242255024E-3	2.991891973E-3	300.002000000E+0
160.831672192E+0	-760.000000000E-9	-106.926372700E-6	-465.039666667E-6	17.577242801E-9	4.569523524E-6	140.692595658E+0	611.894298246E+0	23.127951054E-3	6.012530952E+0	6.973168086E-3	1.432327537E-3	299.999600000E+0
167.430500984E+0	-750.000000000E-9	-105.506051967E-6	-459.721843333E-6	14.316654289E-9	5.154129404E-6	140.674735956E+0	612.962457778E+0	19.088872385E-3	6.872172539E+0	7.040663257E-3	1.880468638E-3	299.997800000E+0
174.046849728E+0	-740.000000000E-9	-104.070918700E-6	-450.191463333E-6	14.203892019E-9	3.818969755E-6	140.636376622E+0	608.366842342E+0	19.194448675E-3	5.160769940E+0	6.967994006E-3	1.049276104E-3	299.999600000E+0
180.647217751E+0	-730.000000000E-9	-102.685659700E-6	-446.774826667E-6	12.516905008E-9	3.867319370E-6	140.665287260E+0	612.020310502E+0	17.146445216E-3	5.297697767E+0	7.218866652E-3	2.926854968E-3	299.996900000E+0
187.171775341E+0	-720.000000000E-9	-101.277842400E-6	-439.181680000E-6	16.041252498E-9	4.510682718E-6	140.663670000E+0	609.974555556E+0	22.279517358E-3	6.264837108E+0	7.103194427E-3	1.316977064E-3	300.000800000E+0
193.786330700E+0	-710.000000000E-9	-99.857528077E-6	-431.180103333E-6	14.067749798E-9	3.682239053E-6	140.644405742E+0	607.295920188E+0	19.813732110E-3	5.186252188E+0	7.040695032E-3	1.249753694E-3	299.999900000E+0
200.431679249E+0	-700.000000000E-9	-98.406723057E-6	-425.275180000E-6	11.337049491E-9	3.601349611E-6	140.581032938E+0	607.535971429E+0	16.195784987E-3	5.144785159E+0	6.892724978E-3	1.693502089E-3	300.001100000E+0
207.061402798E+0	-690.000000000E-9	-97.070511633E-6	-417.480050000E-6	17.801667649E-9	3.716573703E-6	140.681900918E+0	605.043550725E+0	25.799518332E-3	5.386338700E+0	7.483845614E-3	1.282852242E-3	300.000200000E+0
213.697959423E+0	-680.000000000E-9	-95.575173003E-6	-411.470480000E-6	15.363496383E-9	3.467035425E-6	140.551725005E+0	605.103647059E+0	22.593377034E-3	5.098581507E+0	6.687448448E-3	1.664012567E-3	300.005600000E+0
220.330125809E+0	-670.000000000E-9	-94.151633640E-6	-406.561503333E-6	14.222407733E-9	3.334137428E-6	140.524826328E+0	606.808213930E+0	21.227474228E-3	4.976324519E+0	7.024744280E-3	2.037084443E-3	300.005900000E+0
226.941485882E+0	-660.000000000E-9	-92.785218923E-6	-399.454506667E-6	16.384760872E-9	3.989967266E-6	140.583665035E+0	605.234101010E+0	24.825395261E-3	6.045404948E+0	7.318422349E-3	1.407064119E-3	299.997800000E+0
233.577356339E+0	-650.000000000E-9	-91.408196933E-6	-394.873416667E-6	14.520475189E-9	3.910489455E-6	140.627995282E+0	607.497564103E+0	22.339192598E-3	6.016137624E+0	7.262048154E-3	2.182886606E-3	299.995700000E+0
240.205214024E+0	-640.000000000E-9	-90.042637247E-6	-387.151930000E-6	16.391681521E-9	3.297006832E-6	140.691620698E+0	604.924890625E+0	25.612002376E-3	5.151573175E+0	7.323004697E-3	1.295087388E-3	299.996600000E+0
246.845820904E+0	-630.000000000E-9	-88.649343330E-6	-382.506446667E-6	10.646265398E-9	4.184434891E-6	140.713243381E+0	607.153089947E+0	16.898833965E-3	6.641960144E+0	7.177236533E-3	2.152628539E-3	299.998400000E+0
253.474960327E+0	-620.000000000E-9	-87.189553657E-6	-373.080363333E-6	16.977372688E-9	3.846452033E-6	140.628312349E+0	601.742521505E+0	27.382859174E-3	6.203954892E+0	6.850301919E-3	1.060886017E-3	300.000500000E+0
260.119458675E+0	-610.000000000E-9	-85.820364757E-6	-367.202400000E-6	16.803891816E-9	3.586620967E-6	140.689122552E+0	601.971147541E+0	27.547363633E-3	5.879706503E+0	7.303594121E-3	1.701269544E-3	300.000800000E+0
266.744020939E+0	-600.000000000E-9	-84.386287393E-6	-361.608033333E-6	16.469459817E-9	5.042561847E-6	140.643812322E+0	602.680055556E+0	27.449099695E-3	8.404269745E+0	6.973124502E-3	1.787512438E-3	299.999900000E+0
