[Main]
Experiment = ""
Header length = 58    
Date = "20181213 13:05:50"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Magnetic Field (T)	Temperature (K)
418.579384804E+0	-250.000000000E-9	-25.963268543E-6	-649.477883333E-6	43.134648992E-9	3.568377253E-6	103.853074173E+0	2.597911533E+3	172.538595967E-3	14.273509011E+0	10.965006662E-3	352.997531488E-6	-4.353326932E-6	300.006800000E+0
424.764831066E+0	-240.000000000E-9	-25.032500427E-6	-619.666960000E-6	49.978688001E-9	4.727818689E-6	104.302085111E+0	2.581945667E+3	208.244533339E-3	19.699244539E+0	10.743814513E-3	335.447509900E-6	-4.353326932E-6	300.005300000E+0
430.308567047E+0	-230.000000000E-9	-24.063291920E-6	-593.559150000E-6	38.037015015E-9	3.603703062E-6	104.623008348E+0	2.580691957E+3	165.378326152E-3	15.668274181E+0	10.317697308E-3	383.027147815E-6	-4.353326932E-6	300.002000000E+0
435.874637604E+0	-220.000000000E-9	-23.110576327E-6	-568.366526667E-6	38.467432254E-9	3.294557406E-6	105.048074212E+0	2.583484212E+3	174.851964792E-3	14.975260936E+0	10.496311879E-3	396.941591500E-6	-4.353326932E-6	299.998500000E+0
441.698791027E+0	-210.000000000E-9	-22.056988073E-6	-539.169850000E-6	48.833507689E-9	3.899289166E-6	105.033276540E+0	2.567475476E+3	232.540512805E-3	18.568043645E+0	9.491373853E-3	342.504734843E-6	-4.353326932E-6	299.999700000E+0
447.472111225E+0	-200.000000000E-9	-21.055963470E-6	-513.973783333E-6	36.093282252E-9	4.324782027E-6	105.279817350E+0	2.569868917E+3	180.466411261E-3	21.623910133E+0	9.989764454E-3	396.887344850E-6	-4.353326932E-6	299.999400000E+0
453.093401432E+0	-190.000000000E-9	-20.055160427E-6	-484.928873333E-6	48.617952189E-9	3.804387128E-6	105.553475930E+0	2.552257228E+3	255.883958889E-3	20.023090148E+0	9.991976010E-3	344.294404768E-6	-4.353326932E-6	300.001700000E+0
460.056416512E+0	-180.000000000E-9	-19.047747107E-6	-454.375380000E-6	36.576878668E-9	3.567346160E-6	105.820817259E+0	2.524307667E+3	203.204881488E-3	19.818589778E+0	9.926412329E-3	327.294816697E-6	-4.353326932E-6	300.002900000E+0
465.621567726E+0	-170.000000000E-9	-17.818359987E-6	-427.467550000E-6	54.593903875E-9	3.939460150E-6	104.813882275E+0	2.514515000E+3	321.140611029E-3	23.173295000E+0	8.134134348E-3	371.639035924E-6	-4.353326932E-6	300.005000000E+0
471.154706955E+0	-160.000000000E-9	-16.839771343E-6	-397.815316667E-6	42.204827383E-9	4.157020730E-6	105.248570896E+0	2.486345729E+3	263.780171147E-3	25.981379563E+0	10.218798336E-3	337.242725955E-6	-4.353326932E-6	300.005300000E+0
476.695697308E+0	-150.000000000E-9	-15.895712503E-6	-369.624630000E-6	46.445562198E-9	3.934119228E-6	105.971416689E+0	2.464164200E+3	309.637081323E-3	26.227461522E+0	10.592560099E-3	354.727081261E-6	-4.353326932E-6	300.004700000E+0
482.218717575E+0	-140.000000000E-9	-14.422622317E-6	-342.939893333E-6	40.269330965E-9	4.599373086E-6	103.018730833E+0	2.449570667E+3	287.638078322E-3	32.852664900E+0	6.788450626E-3	374.746062699E-6	-4.353326932E-6	299.992300000E+0
487.779877186E+0	-130.000000000E-9	-13.528485327E-6	-316.825446667E-6	34.688260299E-9	5.286979851E-6	104.065271744E+0	2.437118821E+3	266.832771531E-3	40.669075779E+0	11.183968577E-3	382.929806158E-6	-4.353326932E-6	299.999500000E+0
493.329967022E+0	-120.000000000E-9	-12.666358130E-6	-288.520210000E-6	35.522202176E-9	4.291288977E-6	105.552984417E+0	2.404335083E+3	296.018351464E-3	35.760741473E+0	11.599216495E-3	353.291516964E-6	-4.353326932E-6	300.005100000E+0
498.870214939E+0	-110.000000000E-9	-11.708448400E-6	-259.894046667E-6	41.213069313E-9	3.628285951E-6	106.440440000E+0	2.362673152E+3	374.664266483E-3	32.984417733E+0	10.439397040E-3	349.330781200E-6	-4.353326932E-6	300.006900000E+0
504.424879074E+0	-100.000000000E-9	-10.749588440E-6	-266.652993333E-6	42.223393234E-9	4.754824777E-6	107.495884400E+0	2.666529933E+3	422.233932335E-3	47.548247769E+0	10.429051600E-3	-1.479520478E-3	-4.353326932E-6	300.008400000E+0
509.951397419E+0	-90.000000000E-9	-9.751847739E-6	-235.818960000E-6	36.091962918E-9	3.133403116E-6	108.353863763E+0	2.620210667E+3	401.021810201E-3	34.815590176E+0	10.022644147E-3	324.316961453E-6	-4.353326932E-6	300.006300000E+0
515.503030777E+0	-80.000000000E-9	-8.732169631E-6	-205.248220000E-6	31.783606514E-9	3.190042242E-6	109.152120383E+0	2.565602750E+3	397.295081419E-3	39.875528022E+0	9.807016471E-3	327.110171360E-6	-4.353326932E-6	300.003400000E+0
521.097974777E+0	-70.000000000E-9	-7.684157371E-6	-172.871280000E-6	56.957324141E-9	3.274557920E-6	109.773676724E+0	2.469589714E+3	813.676059164E-3	46.779398857E+0	9.541873107E-3	308.861801023E-6	-4.353326932E-6	300.003000000E+0
526.679615974E+0	-60.000000000E-9	-6.214040277E-6	-144.869713333E-6	30.257148157E-9	4.783630450E-6	103.567337944E+0	2.414495222E+3	504.285802619E-3	79.727174164E+0	6.802179256E-3	357.122875268E-6	-4.353326932E-6	299.998900000E+0
532.219151020E+0	-50.000000000E-9	-5.301665137E-6	-116.098440000E-6	50.457893010E-9	4.283369224E-6	106.033302747E+0	2.321968800E+3	1.009157860E+0	85.667384489E+0	10.960403861E-3	347.568906115E-6	-4.353326932E-6	300.003600000E+0
537.778555870E+0	-40.000000000E-9	-4.404045289E-6	-82.381171667E-6	38.046983715E-9	4.597881825E-6	110.101132233E+0	2.059529292E+3	951.174592873E-3	114.947045632E+0	11.140573621E-3	296.583931448E-6	-4.353326932E-6	300.002700000E+0
543.318538189E+0	-30.000000000E-9	-3.458581659E-6	-50.655764000E-6	42.602261678E-9	3.453651188E-6	115.286055311E+0	1.688525467E+3	1.420075389E+0	115.121706259E+0	10.576821448E-3	315.204775462E-6	-4.353326932E-6	300.010900000E+0
548.875206947E+0	-20.000000000E-9	-2.476677309E-6	-18.876669600E-6	42.208309346E-9	5.512062782E-6	123.833865467E+0	943.833480000E+0	2.110415467E+0	275.603139120E+0	10.184291372E-3	314.672277131E-6	-4.353326932E-6	300.007700000E+0
554.386910915E+0	-10.000000000E-9	-1.445582844E-6	-25.520624667E-6	37.724479866E-9	4.071283764E-6	144.558284400E+0	2.552062467E+3	3.772447987E+0	407.128376379E+0	9.698432429E-3	-1.505127578E-3	-4.353326932E-6	300.000500000E+0
560.587487221E+0	486.382200181E-24	-347.184979000E-9	4.431059400E-3	43.634877523E-9	195.018230801E-9	NaN	NaN	NaN	NaN	9.104169189E-3	2.243873092E-6	-4.353326932E-6	300.000000000E+0
580.240565300E+0	10.000000000E-9	707.942851233E-9	111.435970000E-6	42.351409051E-9	4.991856282E-6	70.794285123E+0	11.143597000E+3	4.235140905E+0	499.185628186E+0	9.477524631E-3	-2.315016612E-6	-4.353326932E-6	300.001400000E+0
585.794200420E+0	20.000000000E-9	1.764925115E-6	106.179673333E-6	45.081721853E-9	3.543233619E-6	88.246255733E+0	5.308983667E+3	2.254086093E+0	177.161680929E+0	9.460896692E-3	-1.902480137E-3	-4.353326932E-6	300.005000000E+0
591.314709187E+0	30.000000000E-9	2.857393718E-6	135.310900000E-6	42.584798939E-9	4.311665058E-6	95.246457256E+0	4.510363333E+3	1.419493298E+0	143.722168592E+0	9.153581140E-3	343.274250495E-6	-4.353326932E-6	300.006500000E+0
596.871490955E+0	40.000000000E-9	3.881468040E-6	167.841870000E-6	36.737727992E-9	5.150228291E-6	97.036700992E+0	4.196046750E+3	918.443199793E-3	128.755707284E+0	9.764916262E-3	307.399379730E-6	-4.353326932E-6	300.005300000E+0
602.411271572E+0	50.000000000E-9	4.841732996E-6	199.812390000E-6	41.139729270E-9	3.535206575E-6	96.834659927E+0	3.996247800E+3	822.794585392E-3	70.704131508E+0	10.413792496E-3	312.788156089E-6	-4.353326932E-6	300.005400000E+0
607.930149555E+0	60.000000000E-9	5.808788837E-6	228.960466667E-6	45.778521564E-9	5.094518124E-6	96.813147278E+0	3.816007778E+3	762.975359400E-3	84.908635399E+0	10.340664502E-3	343.075809576E-6	-4.353326932E-6	300.002200000E+0
613.479334354E+0	70.000000000E-9	6.764004044E-6	257.720393333E-6	35.729867201E-9	4.446117426E-6	96.628629200E+0	3.681719905E+3	510.426674295E-3	63.515963231E+0	10.468845055E-3	347.706032630E-6	-4.353326932E-6	300.002200000E+0
619.030534267E+0	80.000000000E-9	7.756301938E-6	290.133243333E-6	41.192142349E-9	4.511307699E-6	96.953774221E+0	3.626665542E+3	514.901779357E-3	56.391346237E+0	10.077618892E-3	308.519614906E-6	-4.353326932E-6	300.001900000E+0
624.589971066E+0	90.000000000E-9	8.765373684E-6	320.446126667E-6	38.057554323E-9	4.975184662E-6	97.393040933E+0	3.560512519E+3	422.861714695E-3	55.279829577E+0	9.910098104E-3	329.892735377E-6	-4.353326932E-6	300.002200000E+0
630.247743607E+0	100.000000000E-9	9.761836179E-6	351.343060000E-6	35.464203887E-9	4.377674966E-6	97.618361793E+0	3.513430600E+3	354.642038866E-3	43.776749656E+0	10.035500630E-3	323.656716740E-6	-4.353326932E-6	299.997100000E+0
635.770257473E+0	110.000000000E-9	10.775099487E-6	341.758570000E-6	46.975277820E-9	4.071949710E-6	97.955449879E+0	3.106896091E+3	427.047980183E-3	37.017724636E+0	9.869103053E-3	-1.043352333E-3	-4.353326932E-6	300.004200000E+0
641.646212578E+0	120.000000000E-9	11.829665017E-6	366.771326667E-6	44.597523137E-9	4.883298594E-6	98.580541806E+0	3.056427722E+3	371.646026143E-3	40.694154949E+0	9.482578100E-3	399.795997429E-6	-4.353326932E-6	300.002800000E+0
647.232390404E+0	130.000000000E-9	12.836992503E-6	392.141776667E-6	44.337397968E-9	3.617059808E-6	98.746096179E+0	3.016475205E+3	341.056907450E-3	27.823536986E+0	9.927258148E-3	394.159346799E-6	-4.353326932E-6	300.006300000E+0
652.742443085E+0	140.000000000E-9	13.114654897E-6	257.609033333E-6	40.891392154E-9	53.244236869E-6	93.676106405E+0	1.840064524E+3	292.081372526E-3	380.315977636E+0	36.014960038E-3	-74.331346795E-6	-4.353326932E-6	300.002200000E+0
658.329374790E+0	150.000000000E-9	14.025449703E-6	233.318816667E-6	41.701832699E-9	4.704255501E-6	93.502998022E+0	1.555458778E+3	278.012217990E-3	31.361703339E+0	10.979421410E-3	-411.688382085E-6	-4.353326932E-6	300.000400000E+0
663.854411125E+0	160.000000000E-9	14.986212787E-6	245.570350000E-6	47.144507678E-9	4.136897951E-6	93.663829917E+0	1.534814687E+3	294.653172988E-3	25.855612193E+0	10.408393259E-3	816.224363753E-6	-4.353326932E-6	300.003400000E+0
669.511751652E+0	170.000000000E-9	15.958876100E-6	258.908800000E-6	29.421959822E-9	3.995232087E-6	93.875741765E+0	1.522992941E+3	173.070351892E-3	23.501365218E+0	10.281049838E-3	749.712297906E-6	-4.353326932E-6	300.001900000E+0
675.058732510E+0	180.000000000E-9	16.933790010E-6	270.343120000E-6	49.264921919E-9	4.341634795E-6	94.076611167E+0	1.501906222E+3	273.694010663E-3	24.120193305E+0	10.257315951E-3	874.560096272E-6	-4.353326932E-6	300.002500000E+0
680.599630356E+0	190.000000000E-9	17.940629463E-6	284.886676667E-6	45.664241002E-9	4.616114909E-6	94.424365596E+0	1.499403561E+3	240.338110536E-3	24.295341627E+0	9.932070070E-3	687.589716133E-6	-4.353326932E-6	300.001600000E+0
686.137086391E+0	200.000000000E-9	18.947445537E-6	296.945826667E-6	57.768934207E-9	4.943893275E-6	94.737227683E+0	1.484729133E+3	288.844671036E-3	24.719466374E+0	9.932300710E-3	829.245842369E-6	-4.353326932E-6	300.004600000E+0
691.722925186E+0	210.000000000E-9	19.938446610E-6	308.967816667E-6	49.900131407E-9	4.320414300E-6	94.944983857E+0	1.471275317E+3	237.619673367E-3	20.573401429E+0	10.090806427E-3	831.809043262E-6	-4.353326932E-6	300.001300000E+0
697.277474403E+0	220.000000000E-9	20.916781960E-6	324.335286667E-6	44.416296210E-9	4.115377121E-6	95.076281636E+0	1.474251303E+3	201.892255502E-3	18.706259640E+0	10.221444007E-3	650.725200700E-6	-4.353326932E-6	300.001900000E+0
702.825700760E+0	230.000000000E-9	21.871485710E-6	339.766940000E-6	38.047549996E-9	3.277472537E-6	95.093416130E+0	1.477247565E+3	165.424130419E-3	14.249880597E+0	10.474453463E-3	648.018704412E-6	-4.353326932E-6	300.004200000E+0
708.397134304E+0	240.000000000E-9	22.830135857E-6	352.244396667E-6	40.861560716E-9	3.473772856E-6	95.125566069E+0	1.467684986E+3	170.256502983E-3	14.474053568E+0	10.431334137E-3	801.445380028E-6	-4.353326932E-6	300.004000000E+0
713.956402779E+0	250.000000000E-9	23.794662640E-6	365.143880000E-6	42.475466455E-9	4.010801882E-6	95.178650560E+0	1.460575520E+3	169.901865818E-3	16.043207530E+0	10.367778451E-3	775.224847507E-6	-4.353326932E-6	300.002200000E+0
719.452064514E+0	260.000000000E-9	24.805360030E-6	378.951793333E-6	45.917421596E-9	3.384315402E-6	95.405230885E+0	1.457506897E+3	176.605467677E-3	13.016597699E+0	9.894158330E-3	724.222390349E-6	-4.353326932E-6	300.003100000E+0
724.974643230E+0	270.000000000E-9	25.761573963E-6	390.308353333E-6	36.428392071E-9	4.300983999E-6	95.413236901E+0	1.445586494E+3	134.919970633E-3	15.929570366E+0	10.457910779E-3	880.548335059E-6	-4.353326932E-6	300.002900000E+0
730.509681225E+0	280.000000000E-9	26.773045420E-6	402.303206667E-6	38.739448697E-9	3.976867758E-6	95.618019357E+0	1.436797167E+3	138.355173918E-3	14.203099135E+0	9.886586452E-3	833.690894095E-6	-4.353326932E-6	300.002600000E+0
736.083483696E+0	290.000000000E-9	27.770516163E-6	415.996150000E-6	51.060403129E-9	4.443723028E-6	95.760400563E+0	1.434469483E+3	176.070355618E-3	15.323182855E+0	10.025356700E-3	730.303175626E-6	-4.353326932E-6	300.002900000E+0
741.625664711E+0	300.000000000E-9	28.751370583E-6	431.117030000E-6	53.508896994E-9	4.466987858E-6	95.837901944E+0	1.437056767E+3	178.362989981E-3	14.889959527E+0	10.195192881E-3	661.337170852E-6	-4.353326932E-6	300.003500000E+0
747.170621395E+0	310.000000000E-9	29.703812887E-6	444.448596667E-6	49.825001226E-9	4.017705724E-6	95.818751247E+0	1.433705151E+3	160.725810406E-3	12.960341044E+0	10.499323649E-3	750.099388169E-6	-4.353326932E-6	299.997600000E+0
752.719226837E+0	320.000000000E-9	30.657384780E-6	458.962350000E-6	45.981616347E-9	4.621843272E-6	95.804327437E+0	1.434257344E+3	143.692551084E-3	14.443260224E+0	10.486886275E-3	689.001650389E-6	-4.353326932E-6	300.006200000E+0
758.279198170E+0	330.000000000E-9	31.646038667E-6	470.106133333E-6	35.767717651E-9	4.132320106E-6	95.897086869E+0	1.424564040E+3	108.387023185E-3	12.522182139E+0	10.114763250E-3	897.361309071E-6	-4.353326932E-6	300.005300000E+0
763.832256794E+0	340.000000000E-9	32.607854907E-6	483.539880000E-6	57.907897677E-9	3.933702694E-6	95.905455608E+0	1.422176118E+3	170.317346108E-3	11.569713807E+0	10.396996416E-3	744.393969019E-6	-4.353326932E-6	300.002900000E+0
769.403821468E+0	350.000000000E-9	33.547509700E-6	497.826833333E-6	47.573267373E-9	3.955251249E-6	95.850027714E+0	1.422362381E+3	135.923621065E-3	11.300717853E+0	10.642206128E-3	699.939291932E-6	-4.353326932E-6	300.000200000E+0
774.920794964E+0	360.000000000E-9	34.554706137E-6	512.255903333E-6	45.063958351E-9	3.490660593E-6	95.985294824E+0	1.422933065E+3	125.177662085E-3	9.696279424E+0	9.928549820E-3	693.045359126E-6	-4.353326932E-6	300.003500000E+0
780.478611946E+0	370.000000000E-9	35.554208230E-6	526.613610000E-6	50.973198427E-9	4.269591716E-6	96.092454676E+0	1.423280027E+3	137.765401154E-3	11.539437071E+0	10.004981547E-3	696.490061551E-6	-4.353326932E-6	300.002900000E+0
786.010716438E+0	380.000000000E-9	36.528062623E-6	538.706460000E-6	46.787985843E-9	4.014447032E-6	96.126480588E+0	1.417648579E+3	123.126278534E-3	10.564334294E+0	10.268475522E-3	826.934924356E-6	-4.353326932E-6	299.994600000E+0
791.541751862E+0	390.000000000E-9	37.489702333E-6	552.629220000E-6	36.831328590E-9	4.205745398E-6	96.127441880E+0	1.416998000E+3	94.439304077E-3	10.783962560E+0	10.398905012E-3	718.248393278E-6	-4.353326932E-6	300.000200000E+0
797.068095207E+0	400.000000000E-9	38.454934223E-6	564.586553333E-6	58.955553295E-9	4.937539025E-6	96.137335558E+0	1.411466383E+3	147.388883238E-3	12.343847562E+0	10.360204738E-3	836.306868867E-6	-4.353326932E-6	300.005300000E+0
802.619618416E+0	410.000000000E-9	39.418762143E-6	577.989246667E-6	57.722881137E-9	4.247516283E-6	96.143322301E+0	1.409729870E+3	140.787514967E-3	10.359795813E+0	10.375296038E-3	746.118690572E-6	-4.353326932E-6	300.007600000E+0
808.145583630E+0	420.000000000E-9	40.435078857E-6	591.368150000E-6	41.341477169E-9	3.915719543E-6	96.273997278E+0	1.408019405E+3	98.432088497E-3	9.323141769E+0	9.839452475E-3	747.445418421E-6	-4.353326932E-6	300.009700000E+0
813.654475689E+0	430.000000000E-9	41.436918857E-6	602.363456667E-6	51.329908101E-9	4.308670416E-6	96.364927574E+0	1.400845248E+3	119.371879304E-3	10.020163758E+0	9.981633794E-3	909.478953444E-6	-4.353326932E-6	300.005300000E+0
819.189315796E+0	440.000000000E-9	42.418458173E-6	616.022470000E-6	38.532415303E-9	4.030616764E-6	96.405586758E+0	1.400051068E+3	87.573671144E-3	9.160492645E+0	10.188078898E-3	732.117302763E-6	-4.353326932E-6	300.005900000E+0
824.787381172E+0	450.000000000E-9	43.353264897E-6	629.982446667E-6	52.711908483E-9	2.883240112E-6	96.340588659E+0	1.399960993E+3	117.137574407E-3	6.407200249E+0	10.697398457E-3	716.333575534E-6	-4.353326932E-6	300.003200000E+0
830.325631618E+0	460.000000000E-9	44.323115413E-6	644.893880000E-6	45.120384370E-9	3.029658665E-6	96.354598725E+0	1.401943217E+3	98.087792109E-3	6.586214490E+0	10.310867322E-3	670.626342650E-6	-4.353326932E-6	300.000500000E+0
835.826672554E+0	470.000000000E-9	45.310792140E-6	659.235063333E-6	39.511516016E-9	3.410324637E-6	96.405940723E+0	1.402627794E+3	84.067055353E-3	7.256009866E+0	10.124770312E-3	697.292529324E-6	-4.353326932E-6	300.003800000E+0
841.360007763E+0	480.000000000E-9	46.300886087E-6	673.751976667E-6	43.400042265E-9	3.433926025E-6	96.460179347E+0	1.403649951E+3	90.416754718E-3	7.154012553E+0	10.100051650E-3	688.851670488E-6	-4.353326932E-6	299.996800000E+0
847.264036655E+0	490.000000000E-9	47.282565740E-6	686.577756667E-6	48.169222801E-9	4.258055546E-6	96.495032122E+0	1.401179095E+3	98.304536329E-3	8.689909277E+0	10.186622455E-3	779.679676402E-6	-4.353326932E-6	299.999800000E+0
852.815276623E+0	500.000000000E-9	48.258116600E-6	698.285066667E-6	58.206888278E-9	3.457875752E-6	96.516233200E+0	1.396570133E+3	116.413776557E-3	6.915751504E+0	10.250618814E-3	854.167182726E-6	-4.353326932E-6	300.002500000E+0
858.560771942E+0	510.000000000E-9	49.208271867E-6	711.495230000E-6	41.973442335E-9	3.880710945E-6	96.486807582E+0	1.395088686E+3	82.300867324E-3	7.609237147E+0	10.524595664E-3	756.992911266E-6	-4.353326932E-6	300.003100000E+0
864.086638927E+0	520.000000000E-9	50.222198847E-6	727.622450000E-6	42.249588119E-9	3.890150586E-6	96.581151628E+0	1.399273942E+3	81.249207921E-3	7.481058819E+0	9.862643166E-3	620.069671028E-6	-4.353326932E-6	300.004800000E+0
869.631723881E+0	530.000000000E-9	51.172899200E-6	740.782063333E-6	53.125434844E-9	3.515427176E-6	96.552640000E+0	1.397702006E+3	100.236669517E-3	6.632881463E+0	10.518561358E-3	759.900746830E-6	-4.353326932E-6	300.005100000E+0
875.148642063E+0	540.000000000E-9	52.125313673E-6	754.285736667E-6	53.865700620E-9	3.628180458E-6	96.528358654E+0	1.396825438E+3	99.751297445E-3	6.718852701E+0	10.499630445E-3	740.539240928E-6	-4.353326932E-6	300.000400000E+0
880.643761158E+0	550.000000000E-9	53.138003403E-6	771.047533333E-6	44.887414583E-9	4.058784259E-6	96.614551642E+0	1.401904606E+3	81.613481060E-3	7.379607744E+0	9.874692814E-3	596.594756449E-6	-4.353326932E-6	300.000700000E+0
886.252134800E+0	560.000000000E-9	54.132715133E-6	784.078930000E-6	48.784841460E-9	3.290997379E-6	96.665562738E+0	1.400140946E+3	87.115788321E-3	5.876781033E+0	10.053163845E-3	767.377454297E-6	-4.353326932E-6	299.998900000E+0
891.774234295E+0	570.000000000E-9	55.109770700E-6	797.606146667E-6	50.168828282E-9	3.612694562E-6	96.683808246E+0	1.399309029E+3	88.015488215E-3	6.338060636E+0	10.234832430E-3	739.250375478E-6	-4.353326932E-6	299.998000000E+0
897.646647930E+0	580.000000000E-9	56.079471460E-6	809.236336667E-6	45.167874557E-9	3.793141338E-6	96.688743897E+0	1.395235063E+3	77.875645788E-3	6.539898858E+0	10.312459691E-3	859.831180746E-6	-4.353326932E-6	300.001300000E+0
903.205943584E+0	590.000000000E-9	57.051451493E-6	819.472620000E-6	48.390273666E-9	4.553491157E-6	96.697375412E+0	1.388936644E+3	82.017412993E-3	7.717781622E+0	10.288277184E-3	976.917077650E-6	-4.353326932E-6	300.015100000E+0
908.752778053E+0	600.000000000E-9	58.019730620E-6	832.756686667E-6	59.822800442E-9	4.045278520E-6	96.699551033E+0	1.387927811E+3	99.704667404E-3	6.742130867E+0	10.327600508E-3	752.781527745E-6	-4.353326932E-6	300.005000000E+0
914.287059784E+0	610.000000000E-9	58.981855270E-6	848.391003333E-6	40.196079535E-9	3.959767870E-6	96.691566016E+0	1.390804923E+3	65.895212352E-3	6.491422738E+0	10.393663648E-3	639.618616739E-6	-4.353326932E-6	299.999700000E+0
919.804018974E+0	620.000000000E-9	59.972850077E-6	859.262453333E-6	46.996631300E-9	4.257712942E-6	96.730403349E+0	1.385907183E+3	75.801018225E-3	6.867278938E+0	10.090870237E-3	919.840499657E-6	-4.353326932E-6	299.998200000E+0
925.321871758E+0	630.000000000E-9	60.976214877E-6	869.092680000E-6	49.270937334E-9	3.714511836E-6	96.787642661E+0	1.379512190E+3	78.207837038E-3	5.896050534E+0	9.966464839E-3	1.017270541E-3	-4.353326932E-6	299.995200000E+0
930.839114189E+0	640.000000000E-9	61.953129077E-6	883.498626667E-6	46.733814297E-9	4.228391955E-6	96.801764182E+0	1.380466604E+3	73.021584840E-3	6.606862429E+0	10.236313486E-3	694.157782990E-6	-4.353326932E-6	299.996100000E+0
936.430554390E+0	650.000000000E-9	62.913258343E-6	900.374633333E-6	36.410911740E-9	3.099177260E-6	96.789628221E+0	1.385191744E+3	56.016787292E-3	4.767965015E+0	10.415264222E-3	592.557243993E-6	-4.353326932E-6	299.997900000E+0
941.966072559E+0	660.000000000E-9	63.875888903E-6	909.665340000E-6	43.764777603E-9	4.567438153E-6	96.781649854E+0	1.378280818E+3	66.310269095E-3	6.920360839E+0	10.388201264E-3	1.076344390E-3	-4.353326932E-6	300.000200000E+0
947.665523052E+0	670.000000000E-9	64.897836690E-6	925.815893333E-6	38.153654402E-9	4.065543485E-6	96.862442821E+0	1.381814766E+3	56.945752839E-3	6.067975351E+0	9.785235734E-3	619.173832228E-6	-4.353326932E-6	300.001700000E+0
953.456838131E+0	680.000000000E-9	65.856289827E-6	938.434883333E-6	41.519589208E-9	5.109625064E-6	96.847485039E+0	1.380051299E+3	61.058219423E-3	7.514154506E+0	10.433478297E-3	792.456448575E-6	-4.353326932E-6	300.004700000E+0
959.010846138E+0	690.000000000E-9	66.827678263E-6	951.172666667E-6	47.512607181E-9	4.822026671E-6	96.851707628E+0	1.378511111E+3	68.858850986E-3	6.988444450E+0	10.294542968E-3	785.065952082E-6	-4.353326932E-6	300.002000000E+0
964.599820614E+0	700.000000000E-9	67.849537237E-6	965.671760000E-6	40.396763855E-9	3.720392025E-6	96.927910338E+0	1.379531086E+3	57.709662651E-3	5.314845749E+0	9.786086203E-3	689.698298376E-6	-4.353326932E-6	300.000300000E+0
970.147760391E+0	710.000000000E-9	68.817336130E-6	979.135506667E-6	52.565091655E-9	3.874167480E-6	96.925825535E+0	1.379064094E+3	74.035340359E-3	5.456573915E+0	10.332725186E-3	742.735305972E-6	-4.353326932E-6	299.999900000E+0
975.683310986E+0	720.000000000E-9	69.742076713E-6	990.451866667E-6	34.954004759E-9	3.712352098E-6	96.863995435E+0	1.375627593E+3	48.547228833E-3	5.156044581E+0	10.813843558E-3	883.676376503E-6	-4.353326932E-6	300.001400000E+0
981.253031731E+0	730.000000000E-9	70.761775950E-6	1.000015443E-3	46.082465472E-9	5.041350357E-6	96.933939658E+0	1.369884169E+3	63.126665030E-3	6.905959393E+0	9.806813265E-3	1.045633903E-3	-4.353326932E-6	300.004100000E+0
986.814679146E+0	740.000000000E-9	71.735295110E-6	1.015370133E-3	37.222585317E-9	4.120280847E-6	96.939587986E+0	1.372121802E+3	50.300790969E-3	5.567947090E+0	10.272011493E-3	651.266811639E-6	-4.353326932E-6	300.001700000E+0
992.354194164E+0	750.000000000E-9	72.751398203E-6	1.030838133E-3	40.508916758E-9	4.172991317E-6	97.001864271E+0	1.374450844E+3	54.011889010E-3	5.563988423E+0	9.841521068E-3	646.495991725E-6	-4.353326932E-6	300.001400000E+0
997.854208469E+0	760.000000000E-9	73.737817373E-6	1.045275100E-3	44.222811981E-9	5.198242464E-6	97.023443912E+0	1.375361974E+3	58.187910501E-3	6.839792716E+0	10.137678083E-3	692.666280313E-6	-4.353326932E-6	300.001400000E+0
