[Main]
Experiment = ""
Header length = 65    
Date = "20181214 13:25:38"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "08"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Magnetic Field (T)	Temperature (K)
1.474772310E+3	560.000000000E-9	88.334941180E-6	-24.967795823E-6	698.497043333E-6	93.128583194E-9	106.958034953E-9	3.621182874E-6	157.740966393E+0	-44.585349685E+0	1.247316149E+3	166.301041417E-3	190.996490988E-3	6.466397989E+0	6.191101229E-3	-24.699021023E-3	820.786022999E-6	-4.353326932E-6	299.990900000E+0
1.480703205E+3	550.000000000E-9	86.770002313E-6	-24.551785340E-6	685.242366667E-6	101.327079995E-9	117.413491167E-9	3.657380883E-6	157.763640570E+0	-44.639609709E+0	1.245895212E+3	184.231054537E-3	213.479074849E-3	6.649783424E+0	6.390025970E-3	-24.037855777E-3	754.450693252E-6	-4.353326932E-6	299.991200000E+0
1.486683309E+3	540.000000000E-9	85.160831060E-6	-24.141205813E-6	676.709036667E-6	89.205008779E-9	99.515680394E-9	4.230488241E-6	157.705242704E+0	-44.705936691E+0	1.253164883E+3	165.194460703E-3	184.288297026E-3	7.834237483E+0	6.214378973E-3	-24.355817450E-3	1.171875458E-3	-4.353326932E-6	299.991200000E+0
1.492645914E+3	530.000000000E-9	83.542233810E-6	-23.719689463E-6	664.386723333E-6	78.793043391E-9	93.257424246E-9	4.189747616E-6	157.626856245E+0	-44.754131063E+0	1.253559855E+3	148.666119605E-3	175.957404239E-3	7.905184181E+0	6.178189170E-3	-23.723872158E-3	811.535929130E-6	-4.353326932E-6	299.992400000E+0
1.498584659E+3	520.000000000E-9	81.983402667E-6	-23.305677477E-6	653.526043333E-6	97.532274895E-9	104.005707025E-9	5.022740019E-6	157.660389744E+0	-44.818610532E+0	1.256780853E+3	187.562067106E-3	200.010975048E-3	9.659115422E+0	6.415063006E-3	-24.153890037E-3	920.752660054E-6	-4.353326932E-6	299.990900000E+0
1.504544361E+3	510.000000000E-9	80.401175207E-6	-22.886205023E-6	638.958230000E-6	70.058495349E-9	91.687277507E-9	3.545936959E-6	157.649363150E+0	-44.874911810E+0	1.252859275E+3	137.369598723E-3	179.778975505E-3	6.952817567E+0	6.320203797E-3	-23.839467695E-3	686.444819904E-6	-4.353326932E-6	299.993000000E+0
1.510499453E+3	500.000000000E-9	78.789085277E-6	-22.438554587E-6	627.446336667E-6	53.000634342E-9	102.886643539E-9	4.011578877E-6	157.578170553E+0	-44.877109173E+0	1.254892673E+3	106.001268683E-3	205.773287078E-3	8.023157755E+0	6.203127886E-3	-22.338859031E-3	868.666839628E-6	-4.353326932E-6	299.991500000E+0
1.516426208E+3	490.000000000E-9	77.191279923E-6	-22.062965170E-6	614.104670000E-6	67.608546264E-9	93.413970761E-9	4.192153177E-6	157.533224333E+0	-45.026459531E+0	1.253274837E+3	137.976625028E-3	190.640756654E-3	8.555414647E+0	6.258584614E-3	-26.624818369E-3	749.531542786E-6	-4.353326932E-6	299.992100000E+0
1.522386038E+3	480.000000000E-9	75.620713340E-6	-21.686309497E-6	601.505576667E-6	81.801532479E-9	94.167963492E-9	5.793526473E-6	157.543152792E+0	-45.179811451E+0	1.253136618E+3	170.419859332E-3	196.183257275E-3	12.069846819E+0	6.367128975E-3	-26.549447434E-3	793.707907024E-6	-4.353326932E-6	299.992100000E+0
1.528319844E+3	470.000000000E-9	74.013856293E-6	-21.245340103E-6	589.270653333E-6	80.196197078E-9	127.262311352E-9	5.389503326E-6	157.476289986E+0	-45.202851284E+0	1.253767348E+3	170.630206548E-3	270.770875216E-3	11.467028352E+0	6.223328964E-3	-22.677310832E-3	817.332461149E-6	-4.353326932E-6	299.994800000E+0
1.534277982E+3	460.000000000E-9	72.393626540E-6	-20.857935003E-6	578.478210000E-6	81.063762237E-9	94.018875089E-9	4.739307749E-6	157.377449000E+0	-45.343336964E+0	1.257561326E+3	176.225570081E-3	204.388858888E-3	10.302842932E+0	6.171964179E-3	-25.812773244E-3	926.574241916E-6	-4.353326932E-6	299.990900000E+0
1.540214979E+3	450.000000000E-9	70.809831197E-6	-20.433458420E-6	567.256133333E-6	92.736944112E-9	86.308440464E-9	5.997987855E-6	157.355180437E+0	-45.407685378E+0	1.260569185E+3	206.082098026E-3	191.796534365E-3	13.328861900E+0	6.313947091E-3	-23.558425583E-3	891.100666751E-6	-4.353326932E-6	299.991200000E+0
1.546166478E+3	440.000000000E-9	69.217710353E-6	-20.010364323E-6	555.619050000E-6	87.044850587E-9	97.544696225E-9	5.180726799E-6	157.312978076E+0	-45.478100735E+0	1.262770568E+3	197.829205879E-3	221.692491420E-3	11.774379088E+0	6.280930271E-3	-23.635404225E-3	859.321851839E-6	-4.353326932E-6	299.995100000E+0
1.552116253E+3	430.000000000E-9	67.619778730E-6	-19.610066540E-6	542.894776667E-6	84.959307472E-9	106.109906754E-9	4.067228770E-6	157.255299372E+0	-45.604805907E+0	1.262545992E+3	197.579784819E-3	246.767225010E-3	9.458671558E+0	6.258090055E-3	-24.981402387E-3	785.899496029E-6	-4.353326932E-6	299.983600000E+0
1.558098955E+3	420.000000000E-9	66.024496030E-6	-19.156593923E-6	531.781473333E-6	87.552118616E-9	119.922361093E-9	4.696296618E-6	157.201181024E+0	-45.610937913E+0	1.266146365E+3	208.457425277E-3	285.529431174E-3	11.181658614E+0	6.268481442E-3	-22.052048200E-3	899.822465028E-6	-4.353326932E-6	299.986900000E+0
1.564030646E+3	410.000000000E-9	64.411802687E-6	-18.797802040E-6	519.428386667E-6	87.911591544E-9	85.817376369E-9	6.083877341E-6	157.101957772E+0	-45.848297659E+0	1.266898504E+3	214.418515961E-3	209.310674070E-3	14.838725222E+0	6.200806893E-3	-27.871310541E-3	809.514275245E-6	-4.353326932E-6	299.996100000E+0
1.570026954E+3	400.000000000E-9	62.827426367E-6	-18.314857507E-6	507.910123333E-6	62.276508689E-9	111.697455853E-9	4.047501092E-6	157.068565917E+0	-45.787143767E+0	1.269775308E+3	155.691271723E-3	279.243639633E-3	10.118752729E+0	6.311631822E-3	-20.706311615E-3	868.186436671E-6	-4.353326932E-6	299.999000000E+0
1.575995946E+3	390.000000000E-9	61.221505783E-6	-17.968781823E-6	493.393116667E-6	66.698846009E-9	99.787963847E-9	4.341613996E-6	156.978219957E+0	-46.073799547E+0	1.265110556E+3	171.022682074E-3	255.866573966E-3	11.132343581E+0	6.226957985E-3	-28.895413580E-3	688.847241695E-6	-4.353326932E-6	300.000800000E+0
1.581907542E+3	380.000000000E-9	59.630143967E-6	-17.555938923E-6	483.366753333E-6	68.683064651E-9	97.952748848E-9	4.234132239E-6	156.921431491E+0	-46.199839272E+0	1.272017772E+3	180.744906976E-3	257.770391704E-3	11.142453262E+0	6.283926066E-3	-24.222288914E-3	997.370598645E-6	-4.353326932E-6	299.999600000E+0
1.587838145E+3	370.000000000E-9	58.057011467E-6	-17.089777057E-6	468.268936667E-6	88.792046638E-9	123.108913353E-9	4.014411962E-6	156.910841802E+0	-46.188586640E+0	1.265591721E+3	239.978504427E-3	332.726792847E-3	10.849762060E+0	6.356743631E-3	-21.451776121E-3	662.347425511E-6	-4.353326932E-6	299.996100000E+0
1.593831645E+3	360.000000000E-9	56.439786420E-6	-16.722209290E-6	455.163790000E-6	87.768008069E-9	90.291420271E-9	3.384428395E-6	156.777184500E+0	-46.450581361E+0	1.264343861E+3	243.800022413E-3	250.809500752E-3	9.401189986E+0	6.183431317E-3	-27.205867616E-3	763.058991582E-6	-4.353326932E-6	299.992500000E+0
1.599800542E+3	350.000000000E-9	54.840456353E-6	-16.297532720E-6	444.964763333E-6	89.213789728E-9	96.374375166E-9	3.432570095E-6	156.687018152E+0	-46.564379200E+0	1.271327895E+3	254.896542080E-3	275.355357617E-3	9.807343128E+0	6.252618023E-3	-23.547331561E-3	980.485719552E-6	-4.353326932E-6	299.991600000E+0
1.605714662E+3	340.000000000E-9	53.196495003E-6	-15.909227007E-6	432.443580000E-6	72.561130333E-9	130.750626555E-9	4.701242846E-6	156.460279422E+0	-46.791844137E+0	1.271892882E+3	213.415089214E-3	384.560666338E-3	13.827184840E+0	6.082868067E-3	-25.752904623E-3	798.646560296E-6	-4.353326932E-6	299.992200000E+0
1.611648417E+3	330.000000000E-9	51.587540580E-6	-15.537843693E-6	422.993906667E-6	60.122943205E-9	108.240263965E-9	3.915607780E-6	156.325880545E+0	-47.084374828E+0	1.281799717E+3	182.190736984E-3	328.000799895E-3	11.865478120E+0	6.215216450E-3	-26.926357865E-3	1.058237639E-3	-4.353326932E-6	299.997700000E+0
1.617615575E+3	320.000000000E-9	50.013456510E-6	-15.088434103E-6	412.001616667E-6	85.133907627E-9	88.884881466E-9	5.073360170E-6	156.292051594E+0	-47.151356573E+0	1.287505052E+3	266.043461333E-3	277.765254583E-3	15.854250530E+0	6.352900833E-3	-22.251416575E-3	909.728546099E-6	-4.353326932E-6	299.995300000E+0
1.623570158E+3	310.000000000E-9	48.427406623E-6	-14.691203493E-6	400.580906667E-6	88.231218108E-9	97.597027365E-9	2.920167592E-6	156.217440720E+0	-47.390979011E+0	1.292196473E+3	284.616832605E-3	314.829120531E-3	9.419895458E+0	6.304971921E-3	-25.174293592E-3	875.602304936E-6	-4.353326932E-6	299.997100000E+0
1.629519544E+3	300.000000000E-9	46.830264990E-6	-14.314470513E-6	389.305183333E-6	70.377354221E-9	88.564387800E-9	4.107805229E-6	156.100883300E+0	-47.714901711E+0	1.297683944E+3	234.591180736E-3	295.214626001E-3	13.692684097E+0	6.261185477E-3	-26.543999413E-3	886.861064641E-6	-4.353326932E-6	299.996800000E+0
1.635469041E+3	290.000000000E-9	45.264722687E-6	-13.852253233E-6	375.750560000E-6	96.551126284E-9	100.690092305E-9	3.723755100E-6	156.085250644E+0	-47.766390460E+0	1.295691586E+3	332.934918222E-3	347.207214844E-3	12.840534828E+0	6.387562941E-3	-21.634846711E-3	737.755653852E-6	-4.353326932E-6	299.993500000E+0
1.641433962E+3	280.000000000E-9	43.628400153E-6	-13.470699240E-6	363.053373333E-6	66.898954117E-9	84.467846809E-9	3.827515823E-6	155.815714833E+0	-48.109640143E+0	1.296619190E+3	238.924836133E-3	301.670881461E-3	13.669699369E+0	6.111264617E-3	-26.208610511E-3	787.576040467E-6	-4.353326932E-6	299.993300000E+0
1.647370695E+3	270.000000000E-9	42.013950663E-6	-13.066512457E-6	349.988386667E-6	106.927229384E-9	108.410728363E-9	4.386429527E-6	155.607224679E+0	-48.394490580E+0	1.296253284E+3	396.026775495E-3	401.521216159E-3	16.246035286E+0	6.194061853E-3	-24.741036601E-3	765.404531603E-6	-4.353326932E-6	299.993000000E+0
1.653314408E+3	260.000000000E-9	40.362015973E-6	-12.686944800E-6	338.162556667E-6	66.005101923E-9	91.996839646E-9	4.800701428E-6	155.238522974E+0	-48.795941538E+0	1.300625218E+3	253.865776626E-3	353.833998640E-3	18.464236262E+0	6.053508084E-3	-26.345764251E-3	845.606608585E-6	-4.353326932E-6	299.997100000E+0
1.659322151E+3	250.000000000E-9	38.795991583E-6	-12.212786627E-6	324.564486667E-6	76.655380121E-9	113.987896827E-9	5.040604429E-6	155.183966333E+0	-48.851146507E+0	1.298257947E+3	306.621520485E-3	455.951587309E-3	20.162417714E+0	6.385596587E-3	-21.090008698E-3	735.398479343E-6	-4.353326932E-6	299.996200000E+0
1.665269883E+3	240.000000000E-9	37.140396637E-6	-11.810411330E-6	311.006423333E-6	64.587522700E-9	106.192956052E-9	3.658866540E-6	154.751652653E+0	-49.210047208E+0	1.295860097E+3	269.114677918E-3	442.470650217E-3	15.245277249E+0	6.040124742E-3	-24.852420322E-3	737.568467866E-6	-4.353326932E-6	299.996500000E+0
1.671237671E+3	230.000000000E-9	35.559254707E-6	-11.415060130E-6	300.584756667E-6	74.339628153E-9	89.320400503E-9	3.929290047E-6	154.605455246E+0	-49.630696217E+0	1.306890246E+3	323.215774577E-3	388.349567403E-3	17.083869769E+0	6.324542921E-3	-25.293966478E-3	959.539421078E-6	-4.353326932E-6	299.997100000E+0
1.677194963E+3	220.000000000E-9	33.960038277E-6	-11.029097887E-6	286.415786667E-6	81.223233385E-9	100.706700156E-9	3.944321528E-6	154.363810348E+0	-50.132263121E+0	1.301889939E+3	369.196515386E-3	457.757727981E-3	17.928734217E+0	6.253062320E-3	-25.909270072E-3	705.767603432E-6	-4.353326932E-6	299.995900000E+0
1.683156840E+3	210.000000000E-9	32.366212267E-6	-10.585741317E-6	273.755993333E-6	83.986238865E-9	94.247844542E-9	3.161473167E-6	154.124820317E+0	-50.408291984E+0	1.303599968E+3	399.934470786E-3	448.799259722E-3	15.054634127E+0	6.274210571E-3	-22.555208779E-3	789.902310148E-6	-4.353326932E-6	299.995100000E+0
1.689121975E+3	200.000000000E-9	30.739752237E-6	-10.186624202E-6	265.950790000E-6	82.115037611E-9	97.142720473E-9	4.302938298E-6	153.698761183E+0	-50.933121012E+0	1.329753950E+3	410.575188057E-3	485.713602365E-3	21.514691490E+0	6.148322009E-3	-25.055302418E-3	1.281196603E-3	-4.353326932E-6	299.995300000E+0
1.695075619E+3	190.000000000E-9	29.134620003E-6	-9.751772286E-6	252.554720000E-6	82.748833271E-9	125.945862351E-9	4.404757424E-6	153.340105281E+0	-51.325117295E+0	1.329235368E+3	435.520175113E-3	662.872959740E-3	23.182933813E+0	6.230016314E-3	-22.996334210E-3	746.487589271E-6	-4.353326932E-6	299.995900000E+0
1.701056874E+3	180.000000000E-9	27.505547577E-6	-9.360927531E-6	240.955026667E-6	88.883188165E-9	75.072518113E-9	4.168732010E-6	152.808597648E+0	-52.005152950E+0	1.338639037E+3	493.795489803E-3	417.069545071E-3	23.159622277E+0	6.138462499E-3	-25.585606234E-3	862.091756449E-6	-4.353326932E-6	299.996500000E+0
1.706979480E+3	170.000000000E-9	25.923352393E-6	-8.885041171E-6	225.874363333E-6	133.885339421E-9	101.384217995E-9	3.984294737E-6	152.490308196E+0	-52.264948063E+0	1.328672725E+3	787.560820122E-3	596.377752915E-3	23.437027863E+0	6.320332728E-3	-21.013420080E-3	663.100805248E-6	-4.353326932E-6	299.996800000E+0
1.712942813E+3	160.000000000E-9	24.332764610E-6	-8.522649985E-6	216.576990000E-6	66.311926198E-9	84.776351816E-9	5.769898061E-6	152.079778812E+0	-53.266562406E+0	1.353606187E+3	414.449538736E-3	529.852198850E-3	36.061862881E+0	6.286984035E-3	-27.594490141E-3	1.075572599E-3	-4.353326932E-6	299.999500000E+0
1.718934943E+3	150.000000000E-9	22.646263480E-6	-8.152825703E-6	203.684110000E-6	78.129274457E-9	68.389923308E-9	4.957015081E-6	150.975089867E+0	-54.352171351E+0	1.357894067E+3	520.861829717E-3	455.932822056E-3	33.046767204E+0	5.929435695E-3	-27.039868602E-3	775.621893634E-6	-4.353326932E-6	299.997700000E+0
1.724840036E+3	140.000000000E-9	21.141275670E-6	-7.614444911E-6	190.902853333E-6	113.526636512E-9	107.157599699E-9	2.981440312E-6	151.009111929E+0	-54.388892221E+0	1.363591810E+3	810.904546516E-3	765.411426422E-3	21.296002228E+0	6.644572091E-3	-18.574213930E-3	782.395679924E-6	-4.353326932E-6	299.994100000E+0
1.730828231E+3	130.000000000E-9	19.498729947E-6	-7.255453526E-6	179.141016667E-6	70.724213610E-9	121.217016695E-9	4.037245336E-6	149.990230359E+0	-55.811180972E+0	1.378007821E+3	544.032412386E-3	932.438589965E-3	31.055733354E+0	6.088110582E-3	-27.855821691E-3	850.207351403E-6	-4.353326932E-6	299.996200000E+0
1.736798793E+3	120.000000000E-9	17.902492377E-6	-6.865464038E-6	167.446486667E-6	89.729003800E-9	85.744053379E-9	3.920494517E-6	149.187436472E+0	-57.212200314E+0	1.395387389E+3	747.741698334E-3	714.533778158E-3	32.670787642E+0	6.264731634E-3	-25.641716740E-3	855.100632518E-6	-4.353326932E-6	299.993300000E+0
1.742769411E+3	110.000000000E-9	16.297011797E-6	-6.424941120E-6	154.600993333E-6	69.397714364E-9	126.691261287E-9	4.914519463E-6	148.154652697E+0	-58.408555633E+0	1.405463576E+3	630.888312396E-3	1.151738739E+0	44.677449663E+0	6.228664566E-3	-22.700294562E-3	778.483141169E-6	-4.353326932E-6	299.995600000E+0
1.748690728E+3	100.000000000E-9	14.704656690E-6	-5.999066829E-6	179.012513333E-6	77.341603834E-9	112.566029919E-9	4.402353379E-6	147.046566900E+0	-59.990668290E+0	1.790125133E+3	773.416038341E-3	1.125660299E+0	44.023533788E+0	6.280006236E-3	-23.481107499E-3	-409.642660514E-6	-4.353326932E-6	299.995000000E+0
1.754651726E+3	90.000000000E-9	13.086328560E-6	-5.570794331E-6	164.158326667E-6	101.537593790E-9	119.542826708E-9	4.059160961E-6	145.403650667E+0	-61.897714785E+0	1.823981407E+3	1.128195487E+0	1.328253630E+0	45.101788458E+0	6.179216572E-3	-23.349619784E-3	673.210874779E-6	-4.353326932E-6	299.997400000E+0
1.760628860E+3	80.000000000E-9	11.433751317E-6	-5.224313902E-6	149.233150000E-6	63.950489031E-9	89.109691172E-9	4.305288790E-6	142.921891458E+0	-65.303923771E+0	1.865414375E+3	799.381112893E-3	1.113871140E+0	53.816109875E+0	6.051154365E-3	-28.861659023E-3	670.008819549E-6	-4.353326932E-6	299.998900000E+0
1.766580118E+3	70.000000000E-9	9.875652010E-6	-4.757323691E-6	132.826006667E-6	108.469060418E-9	111.251708118E-9	3.696004280E-6	141.080743000E+0	-67.961767019E+0	1.897514381E+3	1.549558006E+0	1.589310116E+0	52.800061147E+0	6.418076150E-3	-21.413725125E-3	609.490622276E-6	-4.353326932E-6	299.997700000E+0
1.772552824E+3	60.000000000E-9	8.269155398E-6	-4.362793450E-6	117.077023333E-6	85.242194157E-9	110.664671448E-9	3.360786666E-6	137.819256633E+0	-72.713224161E+0	1.951283722E+3	1.420703236E+0	1.844411191E+0	56.013111103E+0	6.224725235E-3	-25.346599434E-3	634.961621861E-6	-4.353326932E-6	299.997700000E+0
1.778503026E+3	50.000000000E-9	6.678393494E-6	-3.938409280E-6	103.863478000E-6	78.953990412E-9	112.993118737E-9	3.476632876E-6	133.567869880E+0	-78.768185593E+0	2.077269560E+3	1.579079808E+0	2.259862375E+0	69.532657510E+0	6.286295878E-3	-23.563555634E-3	756.799159327E-6	-4.353326932E-6	299.995600000E+0
1.784474879E+3	40.000000000E-9	5.066000120E-6	-3.545581204E-6	88.600678000E-6	72.375555331E-9	90.717607744E-9	4.082109037E-6	126.650003008E+0	-88.639530100E+0	2.215016950E+3	1.809388883E+0	2.267940194E+0	102.052725924E+0	6.201960491E-3	-25.456428956E-3	655.187776817E-6	-4.353326932E-6	299.998300000E+0
1.790429042E+3	30.000000000E-9	3.474225045E-6	-3.124835456E-6	75.481684667E-6	81.375447369E-9	99.996901432E-9	3.610523093E-6	115.807501489E+0	-104.161181856E+0	2.516056156E+3	2.712514912E+0	3.333230048E+0	120.350769777E+0	6.282294624E-3	-23.767322759E-3	762.253607873E-6	-4.353326932E-6	299.997400000E+0
1.796389133E+3	20.000000000E-9	1.842400000E-6	-2.668030402E-6	58.524215333E-6	98.417553483E-9	94.001218138E-9	3.963555001E-6	92.120000000E+0	-133.401520083E+0	2.926210767E+3	4.920877674E+0	4.700060907E+0	198.177750048E+0	6.128107932E-3	-21.891176362E-3	589.710634496E-6	-4.353326932E-6	300.001400000E+0
1.802384246E+3	10.000000000E-9	220.937970700E-9	-2.347231173E-6	74.931414000E-6	58.073820448E-9	99.223285737E-9	4.063936010E-6	22.093797070E+0	-234.723117300E+0	7.493141400E+3	5.807382045E+0	9.922328574E+0	406.393600952E+0	6.167273621E-3	-31.172144776E-3	-609.488566767E-6	-4.353326932E-6	300.000200000E+0
1.808389410E+3	486.382200181E-24	-1.419804186E-6	-1.973307790E-6	4.412995533E-3	37.563173670E-9	97.577646784E-9	254.627887160E-9	NaN	NaN	NaN	NaN	NaN	NaN	6.094802868E-3	-26.743446507E-3	-2.305175702E-6	-4.353326932E-6	299.999300000E+0
1.828413191E+3	-10.000000000E-9	-3.040370801E-6	-1.535804475E-6	-30.858225000E-6	36.680570479E-9	94.368972530E-9	6.263910684E-6	304.037080067E+0	153.580447500E+0	3.085822500E+3	3.668057048E+0	9.436897253E+0	626.391068370E+0	6.170681234E-3	-22.856969684E-3	2.250299075E-6	-4.353326932E-6	299.995500000E+0
1.834332710E+3	-20.000000000E-9	-4.609911483E-6	-1.061227486E-6	-9.903351633E-6	92.010787227E-9	109.707028037E-9	3.706911099E-6	230.495574133E+0	53.061374317E+0	495.167581667E+0	4.600539361E+0	5.485351402E+0	185.345554973E+0	6.371290732E-3	-21.071396715E-3	-477.215959506E-6	-4.353326932E-6	299.998700000E+0
1.840318276E+3	-30.000000000E-9	-6.244570943E-6	-709.250550333E-9	-21.776633333E-6	78.334992782E-9	95.567277220E-9	4.685689551E-6	208.152364767E+0	23.641685011E+0	725.887777778E+0	2.611166426E+0	3.185575907E+0	156.189651683E+0	6.117482107E-3	-28.410952472E-3	842.227132537E-6	-4.353326932E-6	300.000200000E+0
1.846284663E+3	-40.000000000E-9	-7.859424406E-6	-298.951592833E-9	-43.164133333E-6	84.566085321E-9	99.618611061E-9	4.608714586E-6	196.485610158E+0	7.473789821E+0	1.079103333E+3	2.114152133E+0	2.490465277E+0	115.217864648E+0	6.192512341E-3	-24.372472358E-3	467.562828755E-6	-4.353326932E-6	300.000200000E+0
1.852281933E+3	-50.000000000E-9	-9.456574528E-6	140.718976927E-9	-56.449136667E-6	80.099477804E-9	85.427933599E-9	4.794595561E-6	189.131490553E+0	-2.814379539E+0	1.128982733E+3	1.601989556E+0	1.708558672E+0	95.891911217E+0	6.261152203E-3	-22.744301502E-3	752.728452458E-6	-4.353326932E-6	300.001700000E+0
1.858278177E+3	-60.000000000E-9	-11.067065080E-6	550.414261267E-9	-76.023824000E-6	75.648095339E-9	105.018975555E-9	4.490159868E-6	184.451084667E+0	-9.173571021E+0	1.267063733E+3	1.260801589E+0	1.750316259E+0	74.835997796E+0	6.209288211E-3	-24.408384432E-3	510.863843172E-6	-4.353326932E-6	300.004800000E+0
1.864201284E+3	-70.000000000E-9	-12.690584070E-6	950.262469700E-9	-91.145446667E-6	59.018726436E-9	93.834657227E-9	5.969168229E-6	181.294058143E+0	-13.575178139E+0	1.302077810E+3	843.124663376E-3	1.340495103E+0	85.273831849E+0	6.159459829E-3	-25.009490574E-3	661.304690669E-6	-4.353326932E-6	300.002800000E+0
1.870162834E+3	-80.000000000E-9	-14.288402217E-6	1.379439519E-6	-107.965226000E-6	74.083271089E-9	119.592846658E-9	5.407295583E-6	178.605027708E+0	-17.242993988E+0	1.349565325E+3	926.040888608E-3	1.494910583E+0	67.591194793E+0	6.258534503E-3	-23.300407178E-3	594.538120972E-6	-4.353326932E-6	300.001600000E+0
1.876145273E+3	-90.000000000E-9	-15.940789953E-6	1.804728587E-6	-118.053113333E-6	78.841075016E-9	84.169145221E-9	4.972475085E-6	177.119888370E+0	-20.052539856E+0	1.311701259E+3	876.011944619E-3	935.212724675E-3	55.249723164E+0	6.051848351E-3	-23.513418878E-3	991.287835557E-6	-4.353326932E-6	299.995700000E+0
1.882125733E+3	-100.000000000E-9	-17.551296270E-6	2.185875898E-6	-133.363776667E-6	69.854926772E-9	111.004682440E-9	3.247527212E-6	175.512962700E+0	-21.858758980E+0	1.333637767E+3	698.549267718E-3	1.110046824E+0	32.475272125E+0	6.209227431E-3	-26.236574971E-3	653.139565693E-6	-4.353326932E-6	299.996900000E+0
1.888142100E+3	-110.000000000E-9	-19.162589690E-6	2.588806630E-6	-113.556106667E-6	91.280095479E-9	99.423218125E-9	3.330881642E-6	174.205360818E+0	-23.534605727E+0	1.032328242E+3	829.819049813E-3	903.847437498E-3	30.280742198E+0	6.206194276E-3	-24.818161549E-3	-504.854937507E-6	-4.353326932E-6	299.998600000E+0
1.894133413E+3	-120.000000000E-9	-20.780310143E-6	2.988374704E-6	-123.708123333E-6	102.001328176E-9	91.384981773E-9	4.232599896E-6	173.169251194E+0	-24.903122531E+0	1.030901028E+3	850.011068137E-3	761.541514775E-3	35.271665798E+0	6.181537718E-3	-25.027024577E-3	985.025963643E-6	-4.353326932E-6	299.999200000E+0
1.900106388E+3	-130.000000000E-9	-22.381394620E-6	3.404107016E-6	-136.351620000E-6	77.985182398E-9	87.112376323E-9	4.477157462E-6	172.164574000E+0	-26.185438587E+0	1.048858615E+3	599.886018445E-3	670.095202488E-3	34.439672788E+0	6.245766632E-3	-24.053939748E-3	790.920444213E-6	-4.353326932E-6	300.001900000E+0
1.906050604E+3	-140.000000000E-9	-24.006488487E-6	3.779623279E-6	-150.021503333E-6	73.085669348E-9	80.426342528E-9	4.188566598E-6	171.474917762E+0	-26.997309138E+0	1.071582167E+3	522.040495346E-3	574.473875203E-3	29.918332845E+0	6.153490703E-3	-26.630005103E-3	731.535138681E-6	-4.353326932E-6	300.001300000E+0
1.911999812E+3	-150.000000000E-9	-25.590050640E-6	4.204302678E-6	-159.646830000E-6	84.801460141E-9	92.336685867E-9	3.965611436E-6	170.600337600E+0	-28.028684522E+0	1.064312200E+3	565.343067606E-3	615.577905782E-3	26.437409576E+0	6.314876861E-3	-23.547174701E-3	1.038925778E-3	-4.353326932E-6	300.002800000E+0
1.917968098E+3	-160.000000000E-9	-27.190892100E-6	4.642245665E-6	-170.696883333E-6	101.166790022E-9	114.760632681E-9	3.635342983E-6	169.943075625E+0	-29.014035404E+0	1.066855521E+3	632.292437640E-3	717.253954254E-3	22.720893646E+0	6.246714775E-3	-22.834022492E-3	904.973007672E-6	-4.353326932E-6	300.005300000E+0
