#Subtract bias
8.522552020E-3	9.062267040E-3	8.247136110E-3	8.072565540E-3	8.529454220E-3	10.543856900E-3	8.477535050E-3	8.076352580E-3	8.083254780E-3	8.283113040E-3	9.770566660E-3	8.218916510E-3	8.091500760E-3	8.045445410E-3	8.300887720E-3	9.185651420E-3	8.120147930E-3	7.827262740E-3	7.682194480E-3	8.948105960E-3	9.800435450E-3	9.520377350E-3	7.830805460E-3	7.762944050E-3	8.034267520E-3	9.322168290E-3	8.204012660E-3	7.923404820E-3	7.668573330E-3	7.892253320E-3	-13.357767400E-3	-15.810477600E-3	-17.421979400E-3	-18.426213200E-3	-18.613304600E-3	-16.385861300E-3	-17.709365800E-3	-18.429511600E-3	-18.521744000E-3	-18.629002400E-3	-16.232181300E-3	-17.778326400E-3	-18.485217600E-3	-18.744262400E-3	-18.795020700E-3	-16.139277000E-3	-17.723781000E-3	-18.486561300E-3	-18.728503400E-3	-18.784759100E-3	-16.476200200E-3	-17.996019300E-3	-18.596507300E-3	-18.785858600E-3	-18.788118600E-3	-16.555300200E-3	-17.530398300E-3	-18.086174900E-3	-18.472451600E-3	-18.782010500E-3
-3.976761920E-3	-17.490914200E-3	-25.065287100E-3	-29.069220200E-3	-31.679280600E-3	-25.954934700E-3	-30.190732000E-3	-32.286000000E-3	-33.699968500E-3	-34.530184000E-3	-26.768780400E-3	-30.543781200E-3	-32.491416100E-3	-31.890316100E-3	-33.114810700E-3	-26.807261600E-3	-30.608405100E-3	-32.511145300E-3	-33.727577200E-3	-34.325378800E-3	-26.551026000E-3	-29.910491500E-3	-31.927697800E-3	-31.223798100E-3	-32.844526400E-3	-26.439919300E-3	-29.896565000E-3	-31.377783800E-3	-32.280197300E-3	-32.799998200E-3	-20.224441800E-3	-30.458270100E-3	-35.537039100E-3	-38.180017100E-3	-39.913131500E-3	-34.923479700E-3	-38.530011700E-3	-39.747907200E-3	-40.573784400E-3	-41.307978800E-3	-35.366806200E-3	-38.828881400E-3	-40.581236200E-3	-41.004100500E-3	-41.179097800E-3	-34.828620800E-3	-38.651013300E-3	-40.386876300E-3	-40.803815700E-3	-41.120643200E-3	-35.302426700E-3	-38.843235400E-3	-40.455897900E-3	-41.007765400E-3	-41.462147500E-3	-35.899555300E-3	-39.131415900E-3	-40.295193600E-3	-40.921030300E-3	-41.405342100E-3
-10.057620700E-3	-27.158124400E-3	-38.162553000E-3	-43.126612400E-3	-48.427595100E-3	-43.465734600E-3	-48.205321000E-3	-51.697570700E-3	-53.929778800E-3	-55.828728500E-3	-48.620794500E-3	-52.905632300E-3	-55.414171200E-3	-56.969112300E-3	-58.140769600E-3	-49.354622600E-3	-52.414906900E-3	-54.249293900E-3	-55.520330200E-3	-56.305405300E-3	-46.255796200E-3	-51.264017200E-3	-54.454221000E-3	-56.155756600E-3	-57.316969100E-3	-47.500934000E-3	-50.901012300E-3	-54.223029100E-3	-56.287264200E-3	-57.338347400E-3	-25.182085700E-3	-41.104027000E-3	-50.315846300E-3	-55.764705200E-3	-58.526974400E-3	-52.690250700E-3	-57.412183800E-3	-60.107508200E-3	-61.530880400E-3	-62.243757500E-3	-53.463659200E-3	-57.784106500E-3	-60.911029700E-3	-62.564311000E-3	-63.199187600E-3	-55.528260400E-3	-59.790925000E-3	-60.812383700E-3	-62.201855900E-3	-63.420117800E-3	-55.273308000E-3	-59.764476900E-3	-61.996134900E-3	-63.142443300E-3	-64.064156600E-3	-56.098085700E-3	-60.441988100E-3	-62.823111500E-3	-64.052429100E-3	-65.099541800E-3
-9.224105450E-3	-28.276266000E-3	-40.352175200E-3	-48.117654900E-3	-53.017333400E-3	-47.559618300E-3	-52.819125400E-3	-56.243757300E-3	-58.259676600E-3	-59.537370300E-3	-50.665956800E-3	-54.913106300E-3	-57.432272600E-3	-58.921062400E-3	-58.923749900E-3	-49.783213300E-3	-54.166207100E-3	-56.571029600E-3	-58.011565400E-3	-59.160133600E-3	-49.764339300E-3	-53.787871000E-3	-55.930472500E-3	-57.066213800E-3	-57.870162700E-3	-48.665185600E-3	-53.137357700E-3	-55.808188200E-3	-56.397315000E-3	-57.253366100E-3	-24.193365000E-3	-40.612322000E-3	-51.198037200E-3	-58.351973800E-3	-63.064988900E-3	-58.282158200E-3	-63.000670500E-3	-65.998223800E-3	-68.226094600E-3	-69.762833200E-3	-61.829013500E-3	-65.786028200E-3	-68.211374100E-3	-69.882429900E-3	-70.900407000E-3	-63.558523900E-3	-67.112831100E-3	-69.292142500E-3	-70.715087000E-3	-71.331578200E-3	-62.939039700E-3	-66.562307500E-3	-68.241609200E-3	-69.534023500E-3	-70.572768100E-3	-62.810769500E-3	-66.108230800E-3	-68.045416800E-3	-69.912420700E-3	-71.025989600E-3
-9.690958570E-3	-29.334344100E-3	-41.714694800E-3	-49.584570700E-3	-53.843818800E-3	-48.218918800E-3	-53.132223700E-3	-56.372516500E-3	-59.136804000E-3	-61.129087200E-3	-52.624150900E-3	-57.153866300E-3	-59.921818700E-3	-61.788152600E-3	-61.815639100E-3	-52.534789200E-3	-56.593569100E-3	-58.958080700E-3	-60.768097700E-3	-61.870978600E-3	-52.867681300E-3	-56.879245500E-3	-59.478125400E-3	-60.944805400E-3	-62.317460500E-3	-52.547711000E-3	-56.868592800E-3	-59.673623300E-3	-61.218060600E-3	-62.162864100E-3	-25.217469200E-3	-41.516047700E-3	-53.888393400E-3	-61.814095200E-3	-66.803017200E-3	-62.297979800E-3	-68.459536900E-3	-72.147492300E-3	-74.554698900E-3	-75.823475800E-3	-68.072710300E-3	-71.789740200E-3	-74.395888000E-3	-76.743051900E-3	-77.887223300E-3	-69.911068500E-3	-74.071180900E-3	-76.035977000E-3	-77.051755900E-3	-78.177053200E-3	-69.643227800E-3	-73.759239600E-3	-76.324035500E-3	-78.129837500E-3	-79.244079100E-3	-71.350872500E-3	-75.080668400E-3	-76.909131500E-3	-77.975180100E-3	-78.588434500E-3
-7.387825660E-3	-27.440860900E-3	-40.470734500E-3	-48.900898500E-3	-54.767979000E-3	-49.459851300E-3	-55.816435400E-3	-59.612073800E-3	-61.479321900E-3	-62.846438300E-3	-53.277784300E-3	-57.916646700E-3	-60.688688600E-3	-62.708761500E-3	-63.868935300E-3	-55.134343200E-3	-59.572371100E-3	-61.897421800E-3	-63.308638700E-3	-64.068242800E-3	-54.192351000E-3	-58.104654200E-3	-60.422741700E-3	-61.607653200E-3	-62.448495100E-3	-53.294703700E-3	-57.434778200E-3	-58.711616800E-3	-59.538715400E-3	-60.827587000E-3	-26.775993200E-3	-45.262665500E-3	-57.431784500E-3	-66.062966200E-3	-71.254367900E-3	-64.769147100E-3	-70.351956300E-3	-75.026367800E-3	-78.058553900E-3	-79.412537900E-3	-71.415683000E-3	-75.929878900E-3	-78.509698700E-3	-80.130729000E-3	-81.052564400E-3	-72.370929700E-3	-76.633593800E-3	-78.041634500E-3	-79.665779900E-3	-81.731358200E-3	-74.120902200E-3	-78.515501400E-3	-81.078951400E-3	-83.129870200E-3	-83.904622400E-3	-73.536600700E-3	-77.194867700E-3	-80.288867900E-3	-82.309001800E-3	-83.222896700E-3
-11.979974000E-3	-30.782211500E-3	-45.165840100E-3	-54.045142800E-3	-60.224476300E-3	-57.128701400E-3	-64.103005900E-3	-68.594728900E-3	-71.384975900E-3	-72.911332300E-3	-64.005031700E-3	-68.816636600E-3	-71.902760600E-3	-73.833290800E-3	-75.045995600E-3	-65.909113800E-3	-70.396805400E-3	-73.470468900E-3	-75.555595400E-3	-74.694779100E-3	-66.300643800E-3	-70.860716600E-3	-73.917399500E-3	-76.182776500E-3	-76.537780000E-3	-65.893293800E-3	-68.084884700E-3	-71.787195200E-3	-74.099787800E-3	-75.688141500E-3	-27.265042900E-3	-47.216403300E-3	-59.443076200E-3	-68.181038800E-3	-72.710327500E-3	-67.470726200E-3	-74.887992300E-3	-79.235747900E-3	-82.055986300E-3	-84.659814200E-3	-77.321831400E-3	-81.755833500E-3	-84.796880300E-3	-86.749094600E-3	-86.890741800E-3	-77.240471300E-3	-82.013229500E-3	-85.099720600E-3	-86.759967000E-3	-88.160496500E-3	-79.730199700E-3	-83.881335100E-3	-86.465128400E-3	-88.195312800E-3	-87.226079900E-3	-78.379026200E-3	-82.822373800E-3	-86.100965200E-3	-87.826996100E-3	-88.998227000E-3
-6.820141120E-3	-27.390541700E-3	-41.227912700E-3	-50.809580900E-3	-57.315266700E-3	-52.655451400E-3	-58.681345200E-3	-62.789170600E-3	-65.609345600E-3	-67.586906600E-3	-57.808618300E-3	-62.427142700E-3	-65.395194900E-3	-67.454421700E-3	-69.098663500E-3	-59.326605500E-3	-63.162742200E-3	-65.671831200E-3	-67.198980600E-3	-68.484065600E-3	-58.938496300E-3	-62.635612400E-3	-64.950646800E-3	-66.977989200E-3	-68.064988300E-3	-58.378016200E-3	-62.365817300E-3	-64.209733200E-3	-65.482296600E-3	-67.237522700E-3	-27.778232200E-3	-47.862006100E-3	-61.292275900E-3	-70.737064500E-3	-77.235300300E-3	-73.146347700E-3	-79.332703400E-3	-83.399728000E-3	-86.350128800E-3	-88.341678300E-3	-80.117901100E-3	-84.732884300E-3	-87.830551600E-3	-90.301221400E-3	-91.521377600E-3	-80.632020800E-3	-84.051829900E-3	-87.580607700E-3	-89.523781000E-3	-90.408540900E-3	-81.024222600E-3	-84.931397900E-3	-88.151532800E-3	-90.370181900E-3	-91.084403300E-3	-80.603434800E-3	-84.878684900E-3	-88.153792800E-3	-90.357538100E-3	-91.979669100E-3
-8.964709650E-3	-28.782005800E-3	-41.498982700E-3	-49.314134800E-3	-57.311385400E-3	-53.245032100E-3	-60.199850500E-3	-65.071924800E-3	-68.179854300E-3	-70.292222700E-3	-61.848185500E-3	-66.512767300E-3	-68.138991100E-3	-69.628332000E-3	-70.998686900E-3	-61.797732500E-3	-66.086787600E-3	-68.664105400E-3	-70.291550800E-3	-71.552081800E-3	-62.337262100E-3	-66.772423200E-3	-68.324311200E-3	-69.413509700E-3	-68.786939600E-3	-60.146832000E-3	-64.905539900E-3	-65.484161300E-3	-68.335916600E-3	-70.112644200E-3	-26.146614700E-3	-45.464035100E-3	-57.941520900E-3	-64.785364700E-3	-69.215462500E-3	-64.922980700E-3	-70.503054400E-3	-74.232306400E-3	-76.736758100E-3	-77.176970300E-3	-67.426943700E-3	-71.981647200E-3	-75.455091100E-3	-77.684066500E-3	-78.971719400E-3	-69.765132300E-3	-73.643911100E-3	-76.102551900E-3	-77.818811600E-3	-78.843937500E-3	-69.417519200E-3	-73.682025800E-3	-76.695833600E-3	-77.756264500E-3	-78.397433900E-3	-69.920584000E-3	-74.300167600E-3	-76.974913700E-3	-78.337207800E-3	-79.382795900E-3
-10.790857800E-3	-32.651694500E-3	-47.857613200E-3	-58.515914800E-3	-65.854270400E-3	-62.012629900E-3	-68.853723500E-3	-72.957219100E-3	-73.911673800E-3	-76.882296500E-3	-68.808828800E-3	-73.550378600E-3	-75.886734200E-3	-77.516685800E-3	-78.124443700E-3	-66.750026100E-3	-72.087422900E-3	-76.264826800E-3	-79.040478300E-3	-80.834718000E-3	-70.792124900E-3	-75.256728000E-3	-78.339248400E-3	-80.407455500E-3	-81.792531200E-3	-72.116730300E-3	-76.139472500E-3	-79.159873400E-3	-80.922858000E-3	-82.484519300E-3	-26.548590200E-3	-45.987823000E-3	-59.648176000E-3	-69.258060200E-3	-75.870818700E-3	-72.503419500E-3	-78.386137000E-3	-82.899233800E-3	-85.888235800E-3	-88.277727100E-3	-80.192243100E-3	-84.451914500E-3	-87.373299800E-3	-89.441382500E-3	-90.970913500E-3	-82.496953900E-3	-86.778797800E-3	-89.696945700E-3	-91.133938900E-3	-92.401004600E-3	-84.058552400E-3	-87.890534300E-3	-90.213813700E-3	-92.261861900E-3	-93.602102600E-3	-84.159641600E-3	-88.037861800E-3	-90.707776300E-3	-91.953280300E-3	-93.469617800E-3
