[Main]
Experiment = "IvsV"
Header length = 54    
Date = "20190903 17:35:34"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear+Reveresed"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 2.500000E+1
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 3.000000E+2
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = -10.000000E+0
Voltage step (V) = 200.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
4.111933315E+3	25.000000000E+0	77.674171146E-12	0.000000000E+0	1.265193380E-9	1.184270135E-9	0.000000000E+0	0.000000000E+0	NaN	-79.100411927E-3	-50.590865050E-3	13.921929396E-3	5.621993973E-3	-62.520412434E+6	-39.986665951E+6	11.003795638E+6	4.443584721E+6
4.121733576E+3	25.000000000E+0	60.771269411E-12	-200.000002980E-3	-3.347200433E-9	72.802371427E-12	59.751427189E+6	1.299607144E+6	23.061968723E-9	-135.424073200E-3	-92.041647660E-3	6.385378944E-3	2.073928547E-3	40.458907645E+6	27.498098633E+6	1.907677497E+6	619.600943629E+3
4.128884411E+3	25.000000000E+0	59.039793598E-12	-400.000005960E-3	-9.369861500E-9	261.434035137E-12	42.690066012E+6	1.191120724E+6	30.113304885E-9	-213.170949433E-3	-148.861423000E-3	3.329289109E-3	1.672288827E-3	22.750704419E+6	15.887259700E+6	355.318924320E+3	178.475298330E+3
4.138077672E+3	25.000000000E+0	68.669587840E-12	-600.000023842E-3	-17.550253667E-9	96.079609214E-12	34.187541402E+6	187.161147655E+3	40.901957176E-9	-297.524206600E-3	-209.668521000E-3	3.462849164E-3	1.590763530E-3	16.952701212E+6	11.946751596E+6	197.310490742E+3	90.640486462E+3
4.144915370E+3	25.000000000E+0	66.859274020E-12	-800.000011921E-3	-26.709394667E-9	227.293716993E-12	29.952008344E+6	254.887967057E+3	45.795707730E-9	-381.312027600E-3	-272.327357733E-3	2.461707883E-3	1.832862713E-3	14.276326078E+6	10.195938962E+6	92.166367436E+3	68.622398051E+3
4.151766164E+3	25.000000000E+0	72.814834833E-12	-1.000000000E+0	-37.345725000E-9	229.172886128E-12	26.776826531E+6	164.316601631E+3	53.181654837E-9	-461.912459200E-3	-329.370631567E-3	2.354944344E-3	2.768452385E-3	12.368549793E+6	8.819500266E+6	63.057936199E+3	74.130369277E+3
4.158618922E+3	25.000000000E+0	66.529061311E-12	-1.200000048E+0	-49.895732333E-9	310.316375008E-12	24.050154023E+6	149.575049120E+3	62.750021706E-9	-542.783376467E-3	-391.003814733E-3	2.920018916E-3	1.762780189E-3	10.878352738E+6	7.836417995E+6	58.522418232E+3	35.329277800E+3
4.165467661E+3	25.000000000E+0	65.313803440E-12	-1.399999976E+0	-62.843035667E-9	479.849221826E-12	22.277726741E+6	170.105561059E+3	64.736539818E-9	-624.796591500E-3	-448.209993500E-3	3.412336362E-3	1.944862788E-3	9.942177122E+6	7.132214234E+6	54.299355943E+3	30.947944625E+3
4.172310885E+3	25.000000000E+0	72.640489688E-12	-1.600000024E+0	-77.299229333E-9	547.345666000E-12	20.698783644E+6	146.565361866E+3	72.280951100E-9	-698.180385767E-3	-508.512381633E-3	4.509359284E-3	2.853668715E-3	9.032177834E+6	6.578492257E+6	58.336406758E+3	36.917169030E+3
4.179148326E+3	25.000000000E+0	68.364520295E-12	-1.799999952E+0	-92.239105667E-9	795.907634403E-12	19.514499185E+6	168.385618771E+3	74.699408381E-9	-779.544362700E-3	-562.301248733E-3	3.374475559E-3	3.328923479E-3	8.451343463E+6	6.096126417E+6	36.584001267E+3	36.090153467E+3
