[Main]
Experiment = "IvsV"
Header length = 54    
Date = "20190903 19:53:36"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear+Reveresed"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 2.500000E+1
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 3.000000E+2
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = -10.000000E+0
Voltage step (V) = 200.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
12.393783912E+3	-75.000000000E+0	-400.729598578E-12	0.000000000E+0	1.605552913E-9	1.940820863E-9	0.000000000E+0	0.000000000E+0	NaN	-96.161691523E-3	-70.275491870E-3	21.297326006E-3	12.852094412E-3	-59.893193631E+6	-43.770274580E+6	13.264792353E+6	8.004777859E+6
12.404147961E+3	-75.000000000E+0	-432.371817053E-12	-200.000002980E-3	-1.027050120E-9	104.060673510E-12	194.732466396E+6	19.730285030E+6	13.163014971E-9	-139.014396503E-3	-97.808348520E-3	15.132523101E-3	8.551217080E-3	135.353079462E+6	95.232303288E+6	14.733967511E+6	8.325997839E+6
12.413925222E+3	-75.000000000E+0	-421.049978216E-12	-400.000005960E-3	-2.644510333E-9	56.442995565E-12	151.256737748E+6	3.228341849E+6	8.087300946E-9	-194.876618467E-3	-132.838865993E-3	13.185628129E-3	8.523060195E-3	73.691002833E+6	50.231933042E+6	4.986037666E+6	3.222925654E+6
12.420758792E+3	-75.000000000E+0	-413.318771801E-12	-600.000023842E-3	-4.408819000E-9	66.713596388E-12	136.090872372E+6	2.059306933E+6	8.821542545E-9	-247.278163967E-3	-166.391841600E-3	11.550556396E-3	8.017972768E-3	56.087166193E+6	37.740683299E+6	2.619875390E+6	1.818621442E+6
12.427654933E+3	-75.000000000E+0	-419.905108832E-12	-800.000011921E-3	-6.209604133E-9	73.257055574E-12	128.832691222E+6	1.519888131E+6	9.003926203E-9	-305.756038233E-3	-201.379664700E-3	11.616590949E-3	6.567247695E-3	49.239215845E+6	32.430354718E+6	1.870745816E+6	1.057595227E+6
12.435298585E+3	-75.000000000E+0	-417.130738284E-12	-1.000000000E+0	-8.195530867E-9	241.681853780E-12	122.017721154E+6	3.598237811E+6	9.929634259E-9	-366.689602600E-3	-238.004184567E-3	12.257679613E-3	6.904742272E-3	44.742629680E+6	29.040728226E+6	1.495654133E+6	842.500917170E+3
12.444082785E+3	-75.000000000E+0	-417.112278976E-12	-1.200000048E+0	-10.196959333E-9	103.975220587E-12	117.682145084E+6	1.199968206E+6	10.007139947E-9	-415.209392800E-3	-269.678984033E-3	9.060730641E-3	7.984089480E-3	40.718941719E+6	26.447000053E+6	888.571812943E+3	782.987282633E+3
12.451331493E+3	-75.000000000E+0	-417.452584537E-12	-1.399999976E+0	-12.183454000E-9	140.307993274E-12	114.909940659E+6	1.323334350E+6	9.932476885E-9	-466.292958633E-3	-296.865718433E-3	9.546059781E-3	4.640518539E-3	38.272640799E+6	24.366301907E+6	783.526558295E+3	380.886942119E+3
12.458191838E+3	-75.000000000E+0	-418.768502282E-12	-1.600000024E+0	-13.996424333E-9	146.471035402E-12	114.314912562E+6	1.196292939E+6	9.064849505E-9	-521.491633767E-3	-336.786316800E-3	9.861910180E-3	5.559651071E-3	37.258918517E+6	24.062311115E+6	704.602114418E+3	397.219385369E+3
12.465041655E+3	-75.000000000E+0	-418.056030534E-12	-1.799999952E+0	-16.069682000E-9	175.175167690E-12	112.012170018E+6	1.221041628E+6	10.366292041E-9	-556.347174367E-3	-359.046437100E-3	13.207038143E-3	4.272730958E-3	34.620919964E+6	22.343095346E+6	821.860578409E+3	265.887710646E+3
