[Main]
Experiment = "IvsV"
Header length = 54    
Date = "20190903 12:58:26"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear+Reveresed"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 2.500000E+1
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 3.000000E+2
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 200.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
1.186066240E+3	-75.000000000E+0	-459.297364030E-12	0.000000000E+0	53.409665000E-12	1.336123847E-12	0.000000000E+0	0.000000000E+0	Inf	-67.710712097E-3	-46.737420497E-3	11.373146375E-3	5.947035987E-3	-1.267761408E+9	-875.074211693E+6	212.941728334E+6	111.347562044E+6
1.198576897E+3	-75.000000000E+0	-459.047687825E-12	200.000002980E-3	2.026105267E-9	74.220408260E-12	98.711555747E+6	3.616007563E+6	9.863477861E-9	1.703676914E-3	-3.957892495E-3	7.946575660E-3	4.469081210E-3	840.862980729E+3	-1.953448599E+6	3.922094173E+6	2.205749762E+6
1.205744012E+3	-75.000000000E+0	-463.214875716E-12	400.000005960E-3	3.954716200E-9	73.092155445E-12	101.145059653E+6	1.869390886E+6	9.643054523E-9	60.665963390E-3	31.864218703E-3	8.145672379E-3	4.263536156E-3	15.340155986E+6	8.057270634E+6	2.059736266E+6	1.078089031E+6
1.212600937E+3	-75.000000000E+0	-457.787086942E-12	600.000023842E-3	5.897325500E-9	96.459241916E-12	101.741039026E+6	1.664121049E+6	9.713045632E-9	120.307063300E-3	69.731844893E-3	7.922977668E-3	5.282605608E-3	20.400275226E+6	11.824316785E+6	1.343486580E+6	895.762936639E+3
1.219532552E+3	-75.000000000E+0	-464.832536351E-12	800.000011921E-3	7.860880467E-9	231.459844242E-12	101.769771887E+6	2.996561982E+6	9.817775419E-9	178.820639533E-3	103.878307373E-3	10.318133813E-3	4.852788758E-3	22.748169278E+6	13.214589360E+6	1.312592636E+6	617.333996950E+3
1.227827132E+3	-75.000000000E+0	-458.998921279E-12	1.000000000E+0	9.827020500E-9	276.412519260E-12	101.760243606E+6	2.862292319E+6	9.830700753E-9	241.865127433E-3	142.016962167E-3	8.785348817E-3	5.204095913E-3	24.612254287E+6	14.451680666E+6	893.999235761E+3	529.570067827E+3
1.239439320E+3	-75.000000000E+0	-459.721537690E-12	1.200000048E+0	11.615455667E-9	102.648857483E-12	103.310630432E+6	912.983397648E+3	8.942173701E-9	307.215173633E-3	179.090308167E-3	10.752009849E-3	5.610225929E-3	26.448826671E+6	15.418276588E+6	925.664059845E+3	482.996628810E+3
1.246285226E+3	-75.000000000E+0	-463.013724583E-12	1.399999976E+0	13.533744000E-9	157.045471311E-12	103.445135076E+6	1.200376628E+6	9.591445097E-9	368.365352833E-3	215.804238400E-3	10.436407313E-3	4.723493198E-3	27.218288807E+6	15.945642122E+6	771.139701820E+3	349.016000154E+3
1.253179792E+3	-75.000000000E+0	-463.278744996E-12	1.600000024E+0	15.287413333E-9	127.277672672E-12	104.661265379E+6	871.373200028E+3	8.768344576E-9	430.226255333E-3	249.171154933E-3	8.972573464E-3	5.956984259E-3	28.142514757E+6	16.299104989E+6	586.925549059E+3	389.665938206E+3
1.260025834E+3	-75.000000000E+0	-462.457223442E-12	1.799999952E+0	16.998256333E-9	119.302826815E-12	105.893211458E+6	743.215022747E+3	8.554218059E-9	497.417879500E-3	284.880209167E-3	10.326632473E-3	5.695429303E-3	29.262876718E+6	16.759378349E+6	607.511280612E+3	335.059619725E+3
