[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201201 17:53:20"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
82.607512474E+0	-8.699999809E+0	-2.629910767E-6	232.909436793E-12	3.308096959E+6	292.970776540E+0	-2.229054521E+0	-1.105643909E+0	373.215643089E-6	308.824812177E-6	847.578005150E+3	420.411187715E+3	141.911903559E+0	117.427867170E+0	400.003900000E+0
88.941098213E+0	-8.600000381E+0	-2.600486467E-6	432.420033136E-12	3.307073692E+6	549.914384866E+0	-2.204353718E+0	-1.093092324E+0	401.251822023E-6	285.494972063E-6	847.669752021E+3	420.341477647E+3	154.298754162E+0	109.785217390E+0	400.003900000E+0
95.266679287E+0	-8.500000000E+0	-2.571441067E-6	337.423701039E-12	3.305539493E+6	433.751869388E+0	-2.180336052E+0	-1.080572112E+0	325.102275759E-6	264.684958308E-6	847.904344350E+3	420.220446040E+3	126.428048449E+0	102.932539166E+0	400.003900000E+0
101.590175152E+0	-8.399999619E+0	-2.541218533E-6	263.403680404E-12	3.305500691E+6	342.623444710E+0	-2.155550400E+0	-1.067917409E+0	514.003206286E-6	275.400167640E-6	848.234959748E+3	420.238320577E+3	202.266432243E+0	108.373272124E+0	400.003900000E+0
107.913752079E+0	-8.300000191E+0	-2.512988967E-6	442.996262406E-12	3.302839885E+6	582.233246535E+0	-2.132927276E+0	-1.056021257E+0	356.696284238E-6	282.272340772E-6	848.761098686E+3	420.225186557E+3	141.941046686E+0	112.325340269E+0	400.003900000E+0
114.230290413E+0	-8.199999809E+0	-2.482586200E-6	412.141790131E-12	3.303007086E+6	548.342391126E+0	-2.107026124E+0	-1.042920637E+0	396.142694733E-6	268.976580738E-6	848.722241347E+3	420.094431095E+3	159.568555860E+0	108.345313745E+0	400.003900000E+0
120.556613445E+0	-8.100000381E+0	-2.453068867E-6	456.295860866E-12	3.301986541E+6	614.203217729E+0	-2.081944361E+0	-1.029808929E+0	508.705574481E-6	264.300502132E-6	848.710115571E+3	419.804328907E+3	207.375170503E+0	107.742797491E+0	399.995900000E+0
127.017983913E+0	-8.000000000E+0	-2.423221100E-6	479.191369878E-12	3.301390864E+6	652.849222230E+0	-2.056669856E+0	-1.016886614E+0	457.456432842E-6	333.627184273E-6	848.733884140E+3	419.642521958E+3	188.780310984E+0	137.679217251E+0	399.995900000E+0
133.346343994E+0	-7.900000095E+0	-2.393945067E-6	189.168221676E-12	3.299992220E+6	260.763569103E+0	-2.031900797E+0	-1.004160545E+0	428.886880313E-6	238.573609081E-6	848.766676100E+3	419.458474207E+3	179.154854589E+0	99.657094226E+0	399.995900000E+0
139.648511887E+0	-7.800000191E+0	-2.365038833E-6	231.355091063E-12	3.298043178E+6	322.624334576E+0	-2.006754679E+0	-991.096228033E-3	359.901703102E-6	220.267162981E-6	848.508130628E+3	419.061291538E+3	152.175811251E+0	93.134691860E+0	399.995900000E+0
