[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20201102 16:21:36"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-9
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
122.473838329E+0	-5.900000095E+0	-743.611860000E-12	18.101653942E-12	7.934246900E+9	193.142416638E+6
125.458228588E+0	-5.800000191E+0	-737.879350000E-12	17.272015761E-12	7.860363880E+9	183.992584737E+6
128.442037582E+0	-5.699999809E+0	-713.911326667E-12	14.271709343E-12	7.984184585E+9	159.610805267E+6
131.426175117E+0	-5.599999905E+0	-715.935606667E-12	16.293956092E-12	7.821932381E+9	178.019114546E+6
134.411568642E+0	-5.500000000E+0	-693.746690000E-12	17.917261327E-12	7.927965754E+9	204.754035216E+6
137.407300949E+0	-5.400000095E+0	-693.808853333E-12	16.111350344E-12	7.783123651E+9	180.736569302E+6
140.387624741E+0	-5.300000191E+0	-674.444063333E-12	20.067878847E-12	7.858324328E+9	233.822060455E+6
143.373259068E+0	-5.199999809E+0	-655.990416667E-12	20.715526673E-12	7.926944780E+9	250.325053323E+6
146.368779182E+0	-5.099999905E+0	-651.749486667E-12	19.553321928E-12	7.825092323E+9	234.762822889E+6
149.344607353E+0	-5.000000000E+0	-631.784486667E-12	22.363120549E-12	7.914091127E+9	280.133142927E+6
152.325970173E+0	-4.900000095E+0	-614.956540000E-12	20.336062833E-12	7.968042905E+9	263.496053184E+6
155.309711933E+0	-4.800000191E+0	-609.173790000E-12	24.231317502E-12	7.879525136E+9	313.426609085E+6
158.292436123E+0	-4.699999809E+0	-588.229676667E-12	17.973244127E-12	7.990075978E+9	244.135227872E+6
161.276891232E+0	-4.599999905E+0	-584.570173333E-12	27.489234660E-12	7.869029442E+9	370.038716881E+6
164.257270336E+0	-4.500000000E+0	-564.536016667E-12	22.207890240E-12	7.971147752E+9	313.571444749E+6
167.236870289E+0	-4.400000095E+0	-549.993866667E-12	18.393017854E-12	8.000089387E+9	267.540777891E+6
170.217010975E+0	-4.300000191E+0	-542.118476667E-12	20.009591179E-12	7.931845853E+9	292.764404159E+6
173.199504852E+0	-4.199999809E+0	-533.030390000E-12	16.311573694E-12	7.879475332E+9	241.124417972E+6
176.180046558E+0	-4.099999905E+0	-519.192060000E-12	18.307740165E-12	7.896884834E+9	278.459797041E+6
179.162851334E+0	-4.000000000E+0	-496.118576667E-12	17.845276682E-12	8.062588639E+9	290.009549755E+6
182.142595291E+0	-3.900000095E+0	-485.184750000E-12	18.682902477E-12	8.038175345E+9	309.524250446E+6
185.126867771E+0	-3.799999952E+0	-473.715066667E-12	19.129695993E-12	8.021699582E+9	323.934544521E+6
188.115775108E+0	-3.700000048E+0	-459.888956667E-12	21.741115067E-12	8.045420517E+9	380.344886952E+6
191.097655296E+0	-3.599999905E+0	-453.896306667E-12	14.755567384E-12	7.931326719E+9	257.836920298E+6
194.080806255E+0	-3.500000000E+0	-433.656276667E-12	20.908695848E-12	8.070908202E+9	389.138065986E+6
197.057525635E+0	-3.400000095E+0	-428.113666667E-12	18.617874664E-12	7.941816298E+9	345.374959858E+6
200.037252903E+0	-3.299999952E+0	-413.153683333E-12	17.135102799E-12	7.987342448E+9	331.266401480E+6
203.020143986E+0	-3.200000048E+0	-390.731033333E-12	17.777012322E-12	8.189777045E+9	372.608661785E+6
206.002639771E+0	-3.099999905E+0	-380.526846667E-12	18.693057743E-12	8.146599726E+9	400.194783658E+6
208.986635208E+0	-3.000000000E+0	-378.651186667E-12	13.493093101E-12	7.922859100E+9	282.328114178E+6
211.959369659E+0	-2.900000095E+0	-351.449950000E-12	16.032717996E-12	8.251530824E+9	376.424770373E+6
214.943112850E+0	-2.799999952E+0	-346.043406667E-12	20.456816342E-12	8.091470314E+9	478.338032044E+6
217.928599358E+0	-2.700000048E+0	-336.512193333E-12	18.170628292E-12	8.023483550E+9	433.243549817E+6
220.907110214E+0	-2.599999905E+0	-307.412106667E-12	15.337790749E-12	8.457701724E+9	421.982272182E+6
223.890920162E+0	-2.500000000E+0	-303.355476667E-12	17.665883050E-12	8.241156637E+9	479.923128310E+6
226.885048866E+0	-2.400000095E+0	-297.760316667E-12	17.672574595E-12	8.060174446E+9	478.384882627E+6
229.862089634E+0	-2.299999952E+0	-287.136683333E-12	15.295044486E-12	8.010122307E+9	426.678944679E+6
232.843125343E+0	-2.200000048E+0	-261.052616667E-12	17.253020840E-12	8.427420019E+9	556.969913066E+6
235.830336094E+0	-2.099999905E+0	-258.957736667E-12	20.293309794E-12	8.109431028E+9	635.498279438E+6
238.814977646E+0	-2.000000000E+0	-233.105726667E-12	17.482268699E-12	8.579797796E+9	643.460512972E+6
241.787091732E+0	-1.899999976E+0	-232.377676667E-12	19.998418282E-12	8.176344662E+9	703.656060721E+6
244.768033504E+0	-1.799999952E+0	-214.704880000E-12	22.007278668E-12	8.383600561E+9	859.320169032E+6
247.743665695E+0	-1.700000048E+0	-207.164580000E-12	20.630840324E-12	8.206036223E+9	817.212204012E+6
250.724905491E+0	-1.600000024E+0	-194.735310000E-12	18.832354258E-12	8.216280981E+9	794.575540054E+6
253.705004692E+0	-1.500000000E+0	-165.607003333E-12	18.000903937E-12	9.057587963E+9	984.528235780E+6
256.685203075E+0	-1.399999976E+0	-153.820113333E-12	18.532663225E-12	9.101540402E+9	1.096578201E+9
259.665480614E+0	-1.299999952E+0	-151.777320000E-12	20.038111298E-12	8.565179253E+9	1.130801461E+9
262.642359734E+0	-1.200000048E+0	-138.240663333E-12	19.349396659E-12	8.680514248E+9	1.215002224E+9
265.622493744E+0	-1.100000024E+0	-133.728163333E-12	13.994484428E-12	8.225642201E+9	860.803130986E+6
268.607695103E+0	-1.000000000E+0	-105.778810000E-12	17.426743553E-12	9.453689260E+9	1.557467118E+9
271.586386204E+0	-899.999976158E-3	-92.018480333E-12	14.011606817E-12	9.780643767E+9	1.489293611E+9
274.570496559E+0	-800.000011921E-3	-88.093436667E-12	19.501241221E-12	9.081266916E+9	2.010319763E+9
277.565140724E+0	-699.999988079E-3	-71.890630333E-12	18.759761943E-12	9.737012804E+9	2.540860212E+9
