[Main]
Experiment = "VvsI_300.0K"
Header length = 61    
Date = "20201130 12:08:48"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = -1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-11
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000010
Check output compliance = "Abort"
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Temperature (K)
0.000000000E+0	-1.000000000E-9	-1.795810276E+0	-1.175414731E+0	-4.884818367E+0	348.001967431E-3	247.629122196E-3	470.429859268E-3	1.795810276E+9	1.175414731E+9	4.884818367E+9	348.001967431E+6	247.629122196E+6	470.429859268E+6	NaN	NaN	NaN	300.000500000E+0
17.856803417E+0	-990.000000000E-12	-2.473619397E+0	-1.463486359E+0	-5.726096100E+0	323.821728595E-3	237.128878096E-3	34.166768918E-3	2.498605452E+9	1.478269050E+9	5.783935455E+9	327.092655146E+6	239.524119289E+6	34.511887796E+6	-14.753416102E-12	-34.713588680E-12	-11.886680942E-12	300.000500000E+0
34.639506340E+0	-980.000000000E-12	-2.637016528E+0	-1.517229905E+0	-5.836031033E+0	319.499118762E-3	233.809568191E-3	74.978019835E-3	2.690833192E+9	1.548193781E+9	5.955133707E+9	326.019508941E+6	238.581192031E+6	76.508183505E+6	-61.200585097E-12	-186.068853737E-12	-90.962896841E-12	300.000500000E+0
51.433228970E+0	-970.000000000E-12	-2.671628936E+0	-1.526589855E+0	-5.834519300E+0	318.289625283E-3	234.409320351E-3	85.283621572E-3	2.754256635E+9	1.573803974E+9	6.014968351E+9	328.133634313E+6	241.659093145E+6	87.921259353E+6	-288.913732902E-12	-1.068381852E-9	6.614923267E-9	300.001400000E+0
68.381350994E+0	-960.000000000E-12	-2.664129507E+0	-1.519538671E+0	-5.801148867E+0	315.437526108E-3	231.954643071E-3	87.916096207E-3	2.775134903E+9	1.582852783E+9	6.042863403E+9	328.580756362E+6	241.619419866E+6	91.579266882E+6	1.333434793E-9	1.418201673E-9	299.666471218E-12	300.001400000E+0
85.181642532E+0	-950.000000000E-12	-2.662316665E+0	-1.519316306E+0	-5.761908933E+0	318.632944213E-3	233.504914887E-3	89.273807978E-3	2.802438595E+9	1.599280322E+9	6.065167298E+9	335.403099171E+6	245.794647249E+6	93.972429451E+6	5.516202558E-9	44.970971238E-9	254.842430925E-12	300.001400000E+0
101.965904236E+0	-940.000000000E-12	-2.602715008E+0	-1.534808208E+0	-5.718979067E+0	318.252449310E-3	227.580228027E-3	90.015957351E-3	2.768845754E+9	1.632774689E+9	6.084020284E+9	338.566435436E+6	242.106625561E+6	95.761656756E+6	167.780570262E-12	-645.498532072E-12	232.938063322E-12	300.001400000E+0
118.764334202E+0	-930.000000000E-12	-2.681219791E+0	-1.490187265E+0	-5.684603600E+0	316.213702166E-3	234.287437221E-3	85.323565520E-3	2.883032034E+9	1.602351898E+9	6.112476989E+9	340.014733512E+6	251.921975507E+6	91.745769376E+6	-127.380773729E-12	224.110013753E-12	290.905141651E-12	299.998500000E+0
135.729770660E+0	-920.000000000E-12	-2.633056729E+0	-1.498322348E+0	-5.632007433E+0	317.620118154E-3	233.355314120E-3	91.435321108E-3	2.862018184E+9	1.628611247E+9	6.121747210E+9	345.239258864E+6	253.647080565E+6	99.386218596E+6	207.627995081E-12	-1.229243859E-9	190.127924405E-12	299.998500000E+0
152.521697044E+0	-910.000000000E-12	-2.614537492E+0	-1.497197336E+0	-5.581382967E+0	317.062523596E-3	234.311182725E-3	91.529448036E-3	2.873118123E+9	1.645271798E+9	6.133387875E+9	348.420355600E+6	257.484816182E+6	100.581811028E+6	539.979040174E-12	8.888796709E-9	197.532945203E-12	299.998500000E+0
