[Main]
Experiment = "IvsV_300.0K"
Header length = 55    
Date = "20201130 11:46:23"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
0.000000000E+0	-10.000000000E+0	-1.385553900E-9	45.550272829E-12	7.217330196E+9	237.270711376E+6	-1.844490861E+0	-1.053275302E+0	400.692043572E-3	287.255088663E-3	1.331229959E+9	760.183563868E+6	289.192678518E+6	207.321482522E+6	299.816400000E+0
6.515078545E+0	-9.899999619E+0	-1.268255000E-9	41.754827766E-12	7.806000858E+9	256.997387262E+6	-3.271111500E+0	-1.942731034E+0	347.512698831E-3	238.335049231E-3	2.579222238E+9	1.531814212E+9	274.008538370E+6	187.923603085E+6	299.816400000E+0
12.850935459E+0	-9.800000191E+0	-1.142881900E-9	53.359619681E-12	8.574814415E+9	400.346559009E+6	-4.137661389E+0	-2.292096752E+0	308.699510840E-3	222.790441211E-3	3.620375289E+9	2.005541213E+9	270.106220809E+6	194.937413228E+6	299.816400000E+0
19.175070763E+0	-9.699999809E+0	-1.059054300E-9	55.935534759E-12	9.159114702E+9	483.752323906E+6	-4.510990115E+0	-2.529205230E+0	295.619235668E-3	209.600522293E-3	4.259451205E+9	2.388173326E+9	279.135107301E+6	197.912913713E+6	299.816400000E+0
25.508143425E+0	-9.600000381E+0	-1.036615327E-9	60.207074942E-12	9.260909167E+9	537.877685104E+6	-4.702572230E+0	-2.629436336E+0	285.654198753E-3	205.331390131E-3	4.536467973E+9	2.536559385E+9	275.564321117E+6	198.078674750E+6	299.816400000E+0
31.841675282E+0	-9.500000000E+0	-988.278536667E-12	53.468913974E-12	9.612674613E+9	520.075315687E+6	-4.799431903E+0	-2.673022505E+0	279.555331243E-3	203.508171735E-3	4.856355496E+9	2.704725850E+9	282.870993218E+6	205.921877472E+6	299.816400000E+0
38.173349857E+0	-9.399999619E+0	-981.514483333E-12	51.819214456E-12	9.577036079E+9	505.621154693E+6	-4.836970690E+0	-2.684571040E+0	274.597357095E-3	201.899886220E-3	4.928068584E+9	2.735131357E+9	279.769032202E+6	205.702401389E+6	299.816400000E+0
44.503106594E+0	-9.300000191E+0	-977.834370000E-12	65.078127669E-12	9.510813361E+9	632.976243330E+6	-4.631011538E+0	-2.856738977E+0	287.088566699E-3	188.721308171E-3	4.735987689E+9	2.921495772E+9	293.596313964E+6	192.999258321E+6	299.816400000E+0
50.835124969E+0	-9.199999809E+0	-937.198880000E-12	42.929019399E-12	9.816486133E+9	449.650690606E+6	-4.967406898E+0	-2.590955535E+0	270.284947213E-3	205.483697445E-3	5.300269777E+9	2.764573870E+9	288.396575136E+6	219.253033513E+6	299.816400000E+0
57.161106586E+0	-9.100000381E+0	-969.247293333E-12	44.696124873E-12	9.388729217E+9	432.954331027E+6	-4.892006521E+0	-2.626670108E+0	271.245242636E-3	202.777260878E-3	5.047222267E+9	2.710010258E+9	279.851431623E+6	209.211067467E+6	300.049800000E+0
