[Main]
Experiment = "VvsI_400.0K"
Header length = 61    
Date = "20201201 16:56:00"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = -1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-11
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000010
Check output compliance = "Abort"
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Temperature (K)
0.000000000E+0	-1.000000000E-9	-3.939240051E-3	-1.939636321E-3	5.298447333E-3	332.158297567E-6	182.117242214E-6	43.441179538E-6	3.939240051E+6	1.939636321E+6	-5.298447333E+6	332.158297567E+3	182.117242214E+3	43.441179538E+3	NaN	NaN	NaN	399.996100000E+0
17.892865658E+0	-990.000000000E-12	-3.920440696E-3	-1.930453316E-3	5.301741033E-3	342.525336583E-6	206.281213211E-6	55.805207857E-6	3.960041107E+6	1.949952844E+6	-5.355293973E+6	345.985188468E+3	208.364861830E+3	56.368896825E+3	531.933134019E-9	1.088968154E-6	3.036099220E-6	399.996100000E+0
34.722505569E+0	-980.000000000E-12	-3.914696167E-3	-1.930561611E-3	5.334248033E-3	347.464901965E-6	190.717077083E-6	57.539542989E-6	3.994587925E+6	1.969960827E+6	-5.443110238E+6	354.556022413E+3	194.609262330E+3	58.713819376E+3	1.740786655E-6	-92.340650817E-6	307.626049774E-9	399.996100000E+0
51.554147243E+0	-970.000000000E-12	-3.910228481E-3	-1.928330718E-3	5.403389533E-3	354.453662511E-6	184.093491593E-6	39.028268429E-6	4.031163383E+6	1.987969812E+6	-5.570504674E+6	365.416146918E+3	189.787104735E+3	40.235328278E+3	2.238295505E-6	4.482509919E-6	144.630938004E-9	399.988600000E+0
68.571641445E+0	-960.000000000E-12	-3.911759049E-3	-1.941886608E-3	5.441974533E-3	346.630347184E-6	198.658580362E-6	40.750639170E-6	4.074749009E+6	2.022798550E+6	-5.668723472E+6	361.073278317E+3	206.936021210E+3	42.448582468E+3	-6.533523619E-6	-737.686699590E-9	259.168070494E-9	399.988600000E+0
85.405021667E+0	-950.000000000E-12	-3.920896652E-3	-1.932322844E-3	5.482924600E-3	360.258592646E-6	275.433926414E-6	26.329000647E-6	4.127259634E+6	2.034024046E+6	-5.771499579E+6	379.219571206E+3	289.930448857E+3	27.714737523E+3	-1.094378869E-6	1.045613385E-6	244.199846643E-9	399.988600000E+0
102.213771343E+0	-940.000000000E-12	-3.884205644E-3	-1.892159234E-3	5.507091833E-3	346.139551402E-6	172.348321205E-6	28.755648001E-6	4.132133663E+6	2.012935355E+6	-5.858608333E+6	368.233565321E+3	183.349277877E+3	30.591114894E+3	272.546336647E-9	248.981602998E-9	413.783400941E-9	399.988600000E+0
119.044603825E+0	-930.000000000E-12	-3.873301790E-3	-1.909673066E-3	5.550194267E-3	358.174495479E-6	186.485873565E-6	35.861247580E-6	4.164840634E+6	2.053411899E+6	-5.967950824E+6	385.133866106E+3	200.522444694E+3	38.560481269E+3	917.106951881E-9	-570.977260126E-9	232.005462955E-9	400.004000000E+0
136.021979809E+0	-920.000000000E-12	-3.855249833E-3	-1.905988687E-3	5.578435333E-3	377.483300824E-6	178.147978624E-6	23.955975509E-6	4.190488949E+6	2.071726833E+6	-6.063516667E+6	410.307935678E+3	193.639107200E+3	26.039103814E+3	553.956570174E-9	2.714161354E-6	354.094274060E-9	400.004000000E+0
152.844114304E+0	-910.000000000E-12	-3.890225824E-3	-1.915389232E-3	5.625528900E-3	353.547698859E-6	201.381006271E-6	21.697284081E-6	4.274973433E+6	2.104823332E+6	-6.181899890E+6	388.513954790E+3	221.297809089E+3	23.843169320E+3	-285.910414813E-9	-1.063768074E-6	212.343228764E-9	400.004000000E+0
