0.017453,0.0084244,0.008365
0.087266,0.040157,0.0392
0.15708,0.11875,0.11635
0.22689,0.21653,0.20936
0.29671,0.46077,0.44113
0.36652,0.70889,0.67817
0.43633,0.90183,0.85586
0.50615,0.99825,0.93508
0.57596,0.96546,0.90831
0.64577,0.82556,0.77613
0.71558,0.5852,0.55115
0.7854,0.31621,0.29782
0.85521,0.1111,0.10529
0.92502,0.011379,0.010858
0.99484,0.056475,0.054305
1.0647,0.24815,0.24224
1.1345,0.52314,0.51427
1.2043,0.79667,0.79223
1.2741,1,1
1.3439,0.97951,0.9973
1.4137,0.91932,0.94453
1.4835,0.58996,0.61331
1.5533,0.34506,0.36229
1.6232,0.18088,0.1913
1.693,0.073911,0.078834
1.7628,0.026404,0.028447
1.8326,0.010379,0.011278
1.9024,0.0013904,0.001522
1.9722,0.0021301,0.0023301
2.042,0.0052343,0.0057457
2.1118,0.008998,0.0098501
2.1817,0.011904,0.013031
2.2515,0.013862,0.015045
2.3213,0.015659,0.016904
2.3911,0.017256,0.018505
2.4609,0.017488,0.018617
2.5307,0.017452,0.018443
2.6005,0.01532,0.016
2.6704,0.011983,0.012345
2.7402,0.0077279,0.007889
2.81,0.0037991,0.0038362
2.8798,0.00088087,0.00088152
2.9496,8.3461e-05,8.2996e-05
3.0194,0.0010642,0.00105
3.0892,0.003692,0.0036227
3.159,0.0077407,0.0075423
3.2289,0.011927,0.01154
3.2987,0.022002,0.021273
3.3685,0.024122,0.023255
3.4383,0.022705,0.021953
3.5081,0.019137,0.01853
3.5779,0.015701,0.01526
3.6477,0.013642,0.013258
3.7176,0.012049,0.011806
3.7874,0.010613,0.010426
3.8572,0.0097701,0.0096724
3.927,0.0094877,0.0095446
3.9968,0.0092151,0.0093648
4.0666,0.0090941,0.0093435
4.1364,0.0091583,0.009539
4.2062,0.0091949,0.0096653
4.2761,0.0094929,0.010172
4.3459,0.010075,0.010884
4.4157,0.010667,0.0117
4.4855,0.010541,0.011695
4.5553,0.010274,0.011602
4.6251,0.010262,0.01171
4.6949,0.010694,0.01237
4.7647,0.01072,0.012545
4.8346,0.010201,0.012098
4.9044,0.0096848,0.011556
4.9742,0.0092561,0.011108
5.044,0.0090786,0.01098
5.1138,0.0091217,0.011046
5.1836,0.0090871,0.010968
5.2534,0.0093261,0.01127
5.3233,0.0095641,0.011544
5.3931,0.0098494,0.011796
5.4629,0.01016,0.012109
5.5327,0.010433,0.012289
5.6025,0.010469,0.012236
5.6723,0.01047,0.012062
5.7421,0.010202,0.011631
5.8119,0.010076,0.011356
5.8818,0.009781,0.010817
5.9516,0.0097907,0.010676
6.0214,0.0097121,0.010427
6.0912,0.0095448,0.010068
6.161,0.0092194,0.0095298
6.2308,0.0088771,0.0090622
