0.017453,0.068585,0.071758
0.087266,0.19047,0.19592
0.15708,0.37813,0.39038
0.22689,0.58336,0.59433
0.29671,0.78295,0.78983
0.36652,0.93663,0.94416
0.43633,1,1
0.50615,0.98388,0.97113
0.57596,0.88972,0.882
0.64577,0.71795,0.71121
0.71558,0.48382,0.48015
0.7854,0.25912,0.25715
0.85521,0.094559,0.094422
0.92502,0.021442,0.02156
0.99484,0.035743,0.036215
1.0647,0.10389,0.10686
1.1345,0.17218,0.17835
1.2043,0.15106,0.15829
1.2741,0.14933,0.15735
1.3439,0.1035,0.11104
1.4137,0.079778,0.086368
1.4835,0.047796,0.052357
1.5533,0.030595,0.033848
1.6232,0.021428,0.02388
1.693,0.012822,0.014411
1.7628,0.0067583,0.0076723
1.8326,0.0025022,0.0028649
1.9024,0.0008675,0.0010007
1.9722,0.0035845,0.0041314
2.042,0.0096344,0.011144
2.1118,0.018577,0.021428
2.1817,0.029845,0.034426
2.2515,0.042182,0.048242
2.3213,0.049817,0.056664
2.3911,0.056036,0.06332
2.4609,0.05605,0.062873
2.5307,0.054488,0.060676
2.6005,0.046664,0.051351
2.6704,0.034202,0.037126
2.7402,0.021331,0.022945
2.81,0.0093898,0.0099908
2.8798,0.0013528,0.0014265
2.9496,0.00048821,0.00051156
3.0194,0.0069994,0.0072772
3.0892,0.019331,0.019987
3.159,0.034112,0.035023
3.2289,0.047062,0.047982
3.2987,0.054428,0.055452
3.3685,0.054282,0.055141
3.4383,0.051511,0.05248
3.5081,0.040621,0.041446
3.5779,0.032429,0.033209
3.6477,0.023304,0.023865
3.7176,0.014892,0.015375
3.7874,0.0080493,0.0083316
3.8572,0.0032964,0.0034387
3.927,0.0007904,0.00083785
3.9968,0.00014591,0.00015624
4.0666,0.0003525,0.00038162
4.1364,0.0015076,0.0016546
4.2062,0.0011682,0.0012939
4.2761,0.0012859,0.0014519
4.3459,0.0019835,0.0022579
4.4157,0.0029017,0.0033537
4.4855,0.0036426,0.004258
4.5553,0.0045852,0.0054561
4.6251,0.0056724,0.0068199
4.6949,0.0067866,0.0082713
4.7647,0.0076102,0.0093839
4.8346,0.0063871,0.0079818
4.9044,0.0046461,0.0058416
4.9742,0.0023963,0.0030302
5.044,0.00049425,0.00062988
5.1138,0.00025036,0.00031945
5.1836,0.0020501,0.0026074
5.2534,0.0045453,0.0057878
5.3233,0.0091835,0.01168
5.3931,0.014341,0.018098
5.4629,0.021917,0.027523
5.5327,0.028393,0.035238
5.6025,0.036069,0.044422
5.6723,0.04537,0.055074
5.7421,0.05413,0.065029
5.8119,0.05603,0.06654
5.8818,0.041709,0.048603
5.9516,0.038873,0.044666
6.0214,0.026565,0.030053
6.0912,0.0119,0.013226
6.161,0.00095069,0.0010355
6.2308,0.0064304,0.0069171
