[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181214 01:19:23"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 2.200000E+1
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	Magnetic Field (T)
2.410737577E+3	104.929400000E+0	1.000000000E-6	975.579048333E-6	102.844420000E-3	211.004677060E-9	243.089229254E-6	975.579048273E+0	102.844419994E+3	211.004677047E-3	243.089229239E+0	-4.353326932E-6
2.439274295E+3	105.927400000E+0	1.000000000E-6	964.609989333E-6	101.950070000E-3	291.006401293E-9	138.271791698E-6	964.609989273E+0	101.950069994E+3	291.006401275E-3	138.271791689E+0	-4.353326932E-6
2.467580931E+3	106.927900000E+0	1.000000000E-6	954.391177800E-6	100.792106667E-3	281.544063022E-9	247.851821602E-6	954.391177741E+0	100.792106660E+3	281.544063004E-3	247.851821586E+0	-4.353326932E-6
2.496143038E+3	107.926000000E+0	1.000000000E-6	944.045538967E-6	99.455282667E-3	185.661566487E-9	249.205194056E-6	944.045538908E+0	99.455282660E+3	185.661566475E-3	249.205194040E+0	-4.353326932E-6
2.523580442E+3	108.901400000E+0	1.000000000E-6	934.411525300E-6	98.316744333E-3	251.212821984E-9	213.264912624E-6	934.411525242E+0	98.316744327E+3	251.212821968E-3	213.264912611E+0	-4.353326932E-6
2.552091283E+3	109.927300000E+0	1.000000000E-6	924.413747267E-6	97.312366000E-3	196.692611047E-9	172.052845783E-6	924.413747209E+0	97.312365994E+3	196.692611035E-3	172.052845772E+0	-4.353326932E-6
2.579498248E+3	110.901100000E+0	1.000000000E-6	914.792607133E-6	95.926999667E-3	302.721630782E-9	186.772522484E-6	914.792607076E+0	95.926999661E+3	302.721630763E-3	186.772522472E+0	-4.353326932E-6
2.606864592E+3	111.907000000E+0	1.000000000E-6	905.684357100E-6	94.773613667E-3	281.182344717E-9	155.054385331E-6	905.684357044E+0	94.773613661E+3	281.182344699E-3	155.054385321E+0	-4.353326932E-6
2.634313738E+3	112.904600000E+0	1.000000000E-6	896.033224733E-6	93.609172000E-3	318.453883231E-9	231.526289017E-6	896.033224678E+0	93.609171994E+3	318.453883212E-3	231.526289003E+0	-4.353326932E-6
2.662706508E+3	113.919400000E+0	1.000000000E-6	886.490565367E-6	92.559468000E-3	226.583844151E-9	163.784341667E-6	886.490565312E+0	92.559467994E+3	226.583844137E-3	163.784341656E+0	-4.353326932E-6
2.691232899E+3	114.932500000E+0	1.000000000E-6	877.323235900E-6	91.478016333E-3	291.145021016E-9	206.019760008E-6	877.323235845E+0	91.478016328E+3	291.145020998E-3	206.019759995E+0	-4.353326932E-6
2.718567296E+3	115.888300000E+0	1.000000000E-6	868.587072867E-6	90.427019000E-3	297.603581555E-9	195.169185162E-6	868.587072813E+0	90.427018994E+3	297.603581536E-3	195.169185150E+0	-4.353326932E-6
2.747148535E+3	116.926200000E+0	1.000000000E-6	859.470020400E-6	89.450278000E-3	320.339503032E-9	261.507646666E-6	859.470020347E+0	89.450277994E+3	320.339503012E-3	261.507646650E+0	-4.353326932E-6
2.775799085E+3	117.935100000E+0	1.000000000E-6	850.272489033E-6	88.496534333E-3	201.255645378E-9	223.043245887E-6	850.272488980E+0	88.496534328E+3	201.255645365E-3	223.043245873E+0	-4.353326932E-6
2.804221004E+3	118.931300000E+0	1.000000000E-6	841.752062400E-6	87.368307667E-3	293.355016263E-9	184.470174726E-6	841.752062348E+0	87.368307661E+3	293.355016245E-3	184.470174714E+0	-4.353326932E-6
2.832648029E+3	119.932800000E+0	1.000000000E-6	832.868371067E-6	86.197535667E-3	295.600878875E-9	179.496526115E-6	832.868371015E+0	86.197535661E+3	295.600878857E-3	179.496526104E+0	-4.353326932E-6
2.861210853E+3	120.914600000E+0	1.000000000E-6	824.998571767E-6	85.693060333E-3	374.108893718E-9	188.007537147E-6	824.998571715E+0	85.693060328E+3	374.108893695E-3	188.007537135E+0	-4.353326932E-6
2.889737056E+3	121.925400000E+0	1.000000000E-6	816.462608533E-6	84.603984000E-3	225.155829021E-9	223.607140278E-6	816.462608483E+0	84.603983995E+3	225.155829007E-3	223.607140264E+0	-4.353326932E-6
2.918178920E+3	122.925100000E+0	1.000000000E-6	808.359577467E-6	83.307122667E-3	202.871813972E-9	168.138392587E-6	808.359577416E+0	83.307122661E+3	202.871813959E-3	168.138392576E+0	-4.353326932E-6
2.945568106E+3	123.900900000E+0	1.000000000E-6	800.811699033E-6	81.786515000E-3	227.557845324E-9	242.827478701E-6	800.811698984E+0	81.786514995E+3	227.557845310E-3	242.827478685E+0	-4.353326932E-6
2.974072054E+3	124.923700000E+0	1.000000000E-6	792.893638433E-6	80.945737333E-3	219.609541322E-9	131.277218628E-6	792.893638384E+0	80.945737328E+3	219.609541308E-3	131.277218619E+0	-4.353326932E-6
3.002461529E+3	125.919600000E+0	1.000000000E-6	785.342942300E-6	80.035977667E-3	225.162168148E-9	157.013160280E-6	785.342942251E+0	80.035977662E+3	225.162168134E-3	157.013160271E+0	-4.353326932E-6
3.029923491E+3	126.893100000E+0	1.000000000E-6	777.595929967E-6	79.157719333E-3	157.173725015E-9	153.780599017E-6	777.595929918E+0	79.157719328E+3	157.173725006E-3	153.780599007E+0	-4.353326932E-6
3.058248503E+3	127.926700000E+0	1.000000000E-6	769.962555267E-6	78.056661333E-3	137.956281852E-9	159.962900973E-6	769.962555219E+0	78.056661328E+3	137.956281843E-3	159.962900963E+0	-4.353326932E-6
3.086569091E+3	128.932200000E+0	1.000000000E-6	762.342897400E-6	77.188706333E-3	196.698664649E-9	150.170382508E-6	762.342897353E+0	77.188706329E+3	196.698664637E-3	150.170382499E+0	-4.353326932E-6
3.115078425E+3	129.926400000E+0	1.000000000E-6	755.032107100E-6	76.451919667E-3	229.445693312E-9	171.227628299E-6	755.032107053E+0	76.451919662E+3	229.445693298E-3	171.227628289E+0	-4.353326932E-6
3.143445672E+3	130.901400000E+0	1.000000000E-6	748.041860333E-6	75.856235667E-3	206.282937969E-9	140.726685230E-6	748.041860287E+0	75.856235662E+3	206.282937956E-3	140.726685221E+0	-4.353326932E-6
3.172100030E+3	131.932700000E+0	1.000000000E-6	740.904949967E-6	75.169261333E-3	161.333482075E-9	107.741221380E-6	740.904949921E+0	75.169261329E+3	161.333482065E-3	107.741221373E+0	-4.353326932E-6
3.200632263E+3	132.912800000E+0	1.000000000E-6	734.014623700E-6	74.274722667E-3	262.512178181E-9	132.306781746E-6	734.014623654E+0	74.274722662E+3	262.512178165E-3	132.306781738E+0	-4.353326932E-6
3.229241323E+3	133.925600000E+0	1.000000000E-6	727.011533967E-6	73.373930000E-3	191.076147123E-9	133.344619068E-6	727.011533921E+0	73.373929995E+3	191.076147111E-3	133.344619060E+0	-4.353326932E-6
3.257545018E+3	134.919400000E+0	1.000000000E-6	720.180562567E-6	72.664796667E-3	178.413289075E-9	135.184426550E-6	720.180562522E+0	72.664796662E+3	178.413289064E-3	135.184426541E+0	-4.353326932E-6
3.286117386E+3	135.916500000E+0	1.000000000E-6	713.255975867E-6	71.900555667E-3	204.990659297E-9	122.090664324E-6	713.255975822E+0	71.900555662E+3	204.990659284E-3	122.090664316E+0	-4.353326932E-6
3.314519417E+3	136.936000000E+0	1.000000000E-6	706.421294467E-6	71.220133000E-3	171.812819000E-9	120.055381334E-6	706.421294423E+0	71.220132996E+3	171.812818990E-3	120.055381326E+0	-4.353326932E-6
3.343104070E+3	137.919200000E+0	1.000000000E-6	699.955150433E-6	70.557447333E-3	202.281827781E-9	137.691106064E-6	699.955150390E+0	70.557447329E+3	202.281827769E-3	137.691106056E+0	-4.353326932E-6
3.371474720E+3	138.912100000E+0	1.000000000E-6	693.312059033E-6	69.728275000E-3	225.030624172E-9	124.120341431E-6	693.312058990E+0	69.728274996E+3	225.030624158E-3	124.120341423E+0	-4.353326932E-6
3.399999534E+3	139.928900000E+0	1.000000000E-6	686.679157833E-6	68.990597333E-3	207.682171170E-9	106.519128117E-6	686.679157791E+0	68.990597329E+3	207.682171157E-3	106.519128110E+0	-4.353326932E-6
3.428400841E+3	140.917700000E+0	1.000000000E-6	680.347417300E-6	68.224934000E-3	166.178546129E-9	117.542676904E-6	680.347417258E+0	68.224933996E+3	166.178546118E-3	117.542676897E+0	-4.353326932E-6
3.456812237E+3	141.909200000E+0	1.000000000E-6	673.947711600E-6	67.613095667E-3	164.792134875E-9	103.823082201E-6	673.947711558E+0	67.613095662E+3	164.792134865E-3	103.823082195E+0	-4.353326932E-6
3.485340328E+3	142.912800000E+0	1.000000000E-6	667.851758733E-6	66.916156333E-3	132.154098279E-9	143.140771042E-6	667.851758692E+0	66.916156329E+3	132.154098270E-3	143.140771033E+0	-4.353326932E-6
3.513747114E+3	143.913300000E+0	1.000000000E-6	661.890501367E-6	66.236374000E-3	147.692130071E-9	135.153565521E-6	661.890501326E+0	66.236373996E+3	147.692130062E-3	135.153565513E+0	-4.353326932E-6
3.542331224E+3	144.927300000E+0	1.000000000E-6	655.721876100E-6	65.659166333E-3	150.285508053E-9	87.433354895E-6	655.721876059E+0	65.659166329E+3	150.285508044E-3	87.433354889E+0	-4.353326932E-6
3.569808090E+3	145.905800000E+0	1.000000000E-6	649.924556433E-6	64.930367333E-3	151.749927049E-9	108.779390890E-6	649.924556393E+0	64.930367329E+3	151.749927039E-3	108.779390883E+0	-4.353326932E-6
3.598365526E+3	146.924100000E+0	1.000000000E-6	644.055602867E-6	64.128635333E-3	118.231554072E-9	121.708482455E-6	644.055602827E+0	64.128635329E+3	118.231554065E-3	121.708482448E+0	-4.353326932E-6
3.626878336E+3	147.923700000E+0	1.000000000E-6	637.974973133E-6	63.462576000E-3	142.486036299E-9	108.525022749E-6	637.974973094E+0	63.462575996E+3	142.486036290E-3	108.525022743E+0	-4.353326932E-6
3.655372345E+3	148.918900000E+0	1.000000000E-6	632.249396000E-6	62.974189667E-3	158.437760322E-9	101.372000470E-6	632.249395961E+0	62.974189663E+3	158.437760312E-3	101.372000463E+0	-4.353326932E-6
3.683735621E+3	149.921500000E+0	1.000000000E-6	626.525029600E-6	62.364666667E-3	203.731716120E-9	132.900640935E-6	626.525029561E+0	62.364666663E+3	203.731716107E-3	132.900640927E+0	-4.353326932E-6
3.711240170E+3	150.893700000E+0	1.000000000E-6	621.250179933E-6	61.551632000E-3	134.147364677E-9	133.818910869E-6	621.250179895E+0	61.551631996E+3	134.147364669E-3	133.818910861E+0	-4.353326932E-6
3.739760972E+3	151.909800000E+0	1.000000000E-6	615.763323200E-6	60.988302667E-3	180.555850764E-9	85.904959631E-6	615.763323162E+0	60.988302663E+3	180.555850752E-3	85.904959626E+0	-4.353326932E-6
3.768294173E+3	152.911100000E+0	1.000000000E-6	610.013129100E-6	60.466825000E-3	147.083468862E-9	80.217003389E-6	610.013129062E+0	60.466824996E+3	147.083468853E-3	80.217003384E+0	-4.353326932E-6
3.796782264E+3	153.913000000E+0	1.000000000E-6	604.905252033E-6	59.694653000E-3	142.226718553E-9	100.269561860E-6	604.905251996E+0	59.694652996E+3	142.226718544E-3	100.269561853E+0	-4.353326932E-6
3.825235818E+3	154.936900000E+0	1.000000000E-6	599.762757400E-6	58.867137333E-3	135.966613801E-9	111.597945907E-6	599.762757363E+0	58.867137330E+3	135.966613792E-3	111.597945900E+0	-4.353326932E-6
3.853785145E+3	155.923300000E+0	1.000000000E-6	594.632783733E-6	58.282061667E-3	125.836173016E-9	91.570631683E-6	594.632783696E+0	58.282061663E+3	125.836173008E-3	91.570631677E+0	-4.353326932E-6
3.881204344E+3	156.893100000E+0	1.000000000E-6	589.857467533E-6	57.691951667E-3	120.534683506E-9	87.997929955E-6	589.857467497E+0	57.691951663E+3	120.534683499E-3	87.997929950E+0	-4.353326932E-6
3.909738368E+3	157.919000000E+0	1.000000000E-6	584.766487433E-6	56.899408333E-3	112.348124154E-9	66.219718861E-6	584.766487397E+0	56.899408330E+3	112.348124147E-3	66.219718857E+0	-4.353326932E-6
3.937050040E+3	158.893600000E+0	1.000000000E-6	580.045998933E-6	56.416104333E-3	95.513323114E-9	58.528838320E-6	580.045998897E+0	56.416104330E+3	95.513323108E-3	58.528838316E+0	-4.353326932E-6
3.965433262E+3	159.920700000E+0	1.000000000E-6	575.242944800E-6	55.544167333E-3	153.184750495E-9	114.718466779E-6	575.242944764E+0	55.544167330E+3	153.184750486E-3	114.718466772E+0	-4.353326932E-6
3.993866248E+3	160.910300000E+0	1.000000000E-6	570.491609900E-6	54.906563333E-3	161.129499426E-9	50.687293404E-6	570.491609865E+0	54.906563330E+3	161.129499416E-3	50.687293401E+0	-4.353326932E-6
4.022302558E+3	161.910400000E+0	1.000000000E-6	565.859156533E-6	54.479562000E-3	175.946764175E-9	66.119772795E-6	565.859156498E+0	54.479561997E+3	175.946764164E-3	66.119772791E+0	-4.353326932E-6
4.050951947E+3	162.910700000E+0	1.000000000E-6	561.356491700E-6	53.688729667E-3	169.558402353E-9	46.757811775E-6	561.356491665E+0	53.688729663E+3	169.558402342E-3	46.757811772E+0	-4.353326932E-6
4.079365898E+3	163.916200000E+0	1.000000000E-6	556.892516767E-6	52.978989667E-3	162.783692622E-9	73.731480456E-6	556.892516732E+0	52.978989663E+3	162.783692612E-3	73.731480451E+0	-4.353326932E-6
4.106787555E+3	164.890600000E+0	1.000000000E-6	552.343008767E-6	52.498866333E-3	139.930753426E-9	50.738499800E-6	552.343008732E+0	52.498866330E+3	139.930753417E-3	50.738499797E+0	-4.353326932E-6
4.135392708E+3	165.912100000E+0	1.000000000E-6	547.778015900E-6	51.580527000E-3	141.509462075E-9	55.152602599E-6	547.778015866E+0	51.580526997E+3	141.509462066E-3	55.152602596E+0	-4.353326932E-6
4.163757600E+3	166.930600000E+0	1.000000000E-6	543.174814267E-6	50.996874333E-3	166.317232986E-9	52.070926409E-6	543.174814233E+0	50.996874330E+3	166.317232975E-3	52.070926406E+0	-4.353326932E-6
4.192206718E+3	167.898700000E+0	1.000000000E-6	538.702310533E-6	50.269510667E-3	137.706269142E-9	72.206791539E-6	538.702310500E+0	50.269510664E+3	137.706269133E-3	72.206791535E+0	-4.353326932E-6
4.220655841E+3	168.910000000E+0	1.000000000E-6	534.239687133E-6	49.881157333E-3	147.794956536E-9	46.109653932E-6	534.239687100E+0	49.881157330E+3	147.794956527E-3	46.109653929E+0	-4.353326932E-6
4.249282882E+3	169.914900000E+0	1.000000000E-6	529.876640700E-6	49.166292000E-3	132.516780803E-9	67.875668811E-6	529.876640667E+0	49.166291997E+3	132.516780795E-3	67.875668807E+0	-4.353326932E-6
4.276742808E+3	170.889400000E+0	1.000000000E-6	525.674069733E-6	48.363033000E-3	152.254859131E-9	67.094563229E-6	525.674069701E+0	48.363032997E+3	152.254859122E-3	67.094563224E+0	-4.353326932E-6
4.305203330E+3	171.911600000E+0	1.000000000E-6	521.366365400E-6	47.759344333E-3	148.060926622E-9	70.126462007E-6	521.366365368E+0	47.759344330E+3	148.060926613E-3	70.126462003E+0	-4.353326932E-6
4.333613132E+3	172.928700000E+0	1.000000000E-6	516.884268600E-6	47.155098000E-3	79.749261942E-9	72.869752601E-6	516.884268568E+0	47.155097997E+3	79.749261937E-3	72.869752597E+0	-4.353326932E-6
4.362248224E+3	173.910000000E+0	1.000000000E-6	512.427647867E-6	46.587296667E-3	120.050565628E-9	56.232043714E-6	512.427647835E+0	46.587296664E+3	120.050565621E-3	56.232043710E+0	-4.353326932E-6
4.390726633E+3	174.905400000E+0	1.000000000E-6	508.014680033E-6	46.042333333E-3	120.284986758E-9	84.494252950E-6	508.014680002E+0	46.042333330E+3	120.284986750E-3	84.494252945E+0	-4.353326932E-6
4.419137238E+3	175.911100000E+0	1.000000000E-6	503.810844067E-6	45.634974000E-3	125.051119348E-9	83.027626462E-6	503.810844035E+0	45.634973997E+3	125.051119341E-3	83.027626457E+0	-4.353326932E-6
4.447475767E+3	176.908100000E+0	1.000000000E-6	499.555672667E-6	45.043978333E-3	107.325370290E-9	79.182370429E-6	499.555672636E+0	45.043978331E+3	107.325370283E-3	79.182370424E+0	-4.353326932E-6
4.475948267E+3	177.913500000E+0	1.000000000E-6	495.388704767E-6	44.551341000E-3	91.665048374E-9	50.929219806E-6	495.388704736E+0	44.551340997E+3	91.665048369E-3	50.929219802E+0	-4.353326932E-6
4.504600620E+3	178.912000000E+0	1.000000000E-6	491.241478267E-6	43.971256333E-3	95.515057731E-9	91.448297678E-6	491.241478236E+0	43.971256331E+3	95.515057725E-3	91.448297672E+0	-4.353326932E-6
4.533207130E+3	179.899200000E+0	1.000000000E-6	487.190741067E-6	43.327263667E-3	108.869556806E-9	74.311779476E-6	487.190741036E+0	43.327263664E+3	108.869556799E-3	74.311779471E+0	-4.353326932E-6
4.561761494E+3	180.904500000E+0	1.000000000E-6	482.981415433E-6	42.908743000E-3	98.399907175E-9	73.048911963E-6	482.981415403E+0	42.908742997E+3	98.399907169E-3	73.048911958E+0	-4.353326932E-6
4.588985134E+3	181.885800000E+0	1.000000000E-6	479.042065033E-6	42.500924333E-3	107.897902848E-9	50.193689305E-6	479.042065004E+0	42.500924331E+3	107.897902842E-3	50.193689302E+0	-4.353326932E-6
4.616463988E+3	182.893300000E+0	1.000000000E-6	474.746541433E-6	42.110925000E-3	111.597686076E-9	62.132157244E-6	474.746541404E+0	42.110924997E+3	111.597686069E-3	62.132157240E+0	-4.353326932E-6
4.645173768E+3	183.917800000E+0	1.000000000E-6	470.740099400E-6	41.609005667E-3	142.085023440E-9	61.804076290E-6	470.740099371E+0	41.609005664E+3	142.085023431E-3	61.804076286E+0	-4.353326932E-6
4.673509051E+3	184.902500000E+0	1.000000000E-6	466.821355033E-6	40.989753333E-3	86.992101219E-9	41.029807191E-6	466.821355004E+0	40.989753331E+3	86.992101214E-3	41.029807189E+0	-4.353326932E-6
4.701961617E+3	185.904200000E+0	1.000000000E-6	462.887035833E-6	40.415339667E-3	106.126652148E-9	38.012762783E-6	462.887035805E+0	40.415339664E+3	106.126652141E-3	38.012762780E+0	-4.353326932E-6
4.730317761E+3	186.926300000E+0	1.000000000E-6	458.885964333E-6	39.769594333E-3	109.278743130E-9	34.662552952E-6	458.885964305E+0	39.769594331E+3	109.278743124E-3	34.662552950E+0	-4.353326932E-6
4.758759346E+3	187.899500000E+0	1.000000000E-6	455.128110167E-6	39.452237667E-3	123.133943279E-9	56.034324129E-6	455.128110138E+0	39.452237664E+3	123.133943271E-3	56.034324125E+0	-4.353326932E-6
4.787073907E+3	188.904600000E+0	1.000000000E-6	451.264135300E-6	38.973450000E-3	141.642572222E-9	43.814140687E-6	451.264135272E+0	38.973449998E+3	141.642572213E-3	43.814140684E+0	-4.353326932E-6
4.815540212E+3	189.920900000E+0	1.000000000E-6	447.643148833E-6	38.501310667E-3	84.062132747E-9	43.192561295E-6	447.643148806E+0	38.501310664E+3	84.062132742E-3	43.192561293E+0	-4.353326932E-6
4.844113010E+3	190.912800000E+0	1.000000000E-6	443.785806700E-6	38.073073000E-3	101.970701514E-9	61.796782985E-6	443.785806672E+0	38.073072998E+3	101.970701507E-3	61.796782981E+0	-4.353326932E-6
4.872540880E+3	191.911400000E+0	1.000000000E-6	440.095805600E-6	37.610028667E-3	79.406640467E-9	40.790677496E-6	440.095805573E+0	37.610028664E+3	79.406640462E-3	40.790677493E+0	-4.353326932E-6
4.902096851E+3	192.934000000E+0	1.000000000E-6	436.232231767E-6	37.154660333E-3	80.866032626E-9	27.527993837E-6	436.232231740E+0	37.154660331E+3	80.866032621E-3	27.527993836E+0	-4.353326932E-6
4.930751558E+3	193.895300000E+0	1.000000000E-6	432.829996667E-6	36.613788333E-3	96.245348446E-9	39.071551877E-6	432.829996640E+0	36.613788331E+3	96.245348440E-3	39.071551875E+0	-4.353326932E-6
4.959186148E+3	194.902000000E+0	1.000000000E-6	429.179419933E-6	36.109910333E-3	115.348299831E-9	55.346738027E-6	429.179419907E+0	36.109910331E+3	115.348299824E-3	55.346738024E+0	-4.353326932E-6
4.987629118E+3	195.897000000E+0	1.000000000E-6	425.495599900E-6	35.728519667E-3	119.751065503E-9	49.658463701E-6	425.495599874E+0	35.728519664E+3	119.751065495E-3	49.658463698E+0	-4.353326932E-6
5.016158372E+3	196.902200000E+0	1.000000000E-6	421.875925600E-6	35.339661333E-3	120.195282932E-9	45.737504397E-6	421.875925574E+0	35.339661331E+3	120.195282925E-3	45.737504395E+0	-4.353326932E-6
5.044756831E+3	197.909000000E+0	1.000000000E-6	418.552927233E-6	35.049732667E-3	167.219158667E-9	53.682972895E-6	418.552927207E+0	35.049732664E+3	167.219158657E-3	53.682972892E+0	-4.353326932E-6
5.073337055E+3	198.902600000E+0	1.000000000E-6	415.525531300E-6	34.468601333E-3	106.828175263E-9	47.523960834E-6	415.525531274E+0	34.468601331E+3	106.828175257E-3	47.523960831E+0	-4.353326932E-6
5.102952888E+3	199.932900000E+0	1.000000000E-6	411.420359533E-6	34.119215667E-3	100.244992101E-9	47.359002107E-6	411.420359508E+0	34.119215665E+3	100.244992095E-3	47.359002104E+0	-4.353326932E-6
5.131437884E+3	200.895800000E+0	1.000000000E-6	407.759889267E-6	33.688566333E-3	95.944223608E-9	32.543184623E-6	407.759889241E+0	33.688566331E+3	95.944223602E-3	32.543184621E+0	-4.353326932E-6
5.159939018E+3	201.899100000E+0	1.000000000E-6	403.948955933E-6	33.298197000E-3	102.742935249E-9	85.860925806E-6	403.948955908E+0	33.298196998E+3	102.742935243E-3	85.860925801E+0	-4.353326932E-6
5.189498275E+3	202.929300000E+0	1.000000000E-6	400.299726567E-6	32.863533000E-3	90.763527002E-9	53.670138050E-6	400.299726542E+0	32.863532998E+3	90.763526997E-3	53.670138046E+0	-4.353326932E-6
5.217986579E+3	203.897400000E+0	1.000000000E-6	396.875917400E-6	32.401670333E-3	117.865010218E-9	41.661120177E-6	396.875917375E+0	32.401670331E+3	117.865010210E-3	41.661120174E+0	-4.353326932E-6
5.246319955E+3	204.923300000E+0	1.000000000E-6	393.373309000E-6	32.046731333E-3	115.034445509E-9	59.133288643E-6	393.373308976E+0	32.046731331E+3	115.034445502E-3	59.133288639E+0	-4.353326932E-6
5.274854103E+3	205.896200000E+0	1.000000000E-6	389.915728600E-6	31.705051000E-3	84.347368677E-9	56.177801012E-6	389.915728576E+0	31.705050998E+3	84.347368672E-3	56.177801009E+0	-4.353326932E-6
5.303264542E+3	206.922300000E+0	1.000000000E-6	386.454556000E-6	31.270883333E-3	97.723937961E-9	46.296755255E-6	386.454555976E+0	31.270883331E+3	97.723937955E-3	46.296755252E+0	-4.353326932E-6
5.331814464E+3	207.911400000E+0	1.000000000E-6	382.942018200E-6	30.936959667E-3	85.353823031E-9	50.974752472E-6	382.942018176E+0	30.936959665E+3	85.353823025E-3	50.974752468E+0	-4.353326932E-6
5.360299659E+3	208.917500000E+0	1.000000000E-6	379.289579033E-6	30.488386667E-3	106.132018486E-9	51.917783236E-6	379.289579010E+0	30.488386665E+3	106.132018479E-3	51.917783232E+0	-4.353326932E-6
5.388544169E+3	209.883900000E+0	1.000000000E-6	375.834323267E-6	30.066093667E-3	113.184229722E-9	40.870413503E-6	375.834323243E+0	30.066093665E+3	113.184229715E-3	40.870413500E+0	-4.353326932E-6
5.417106651E+3	210.904700000E+0	1.000000000E-6	372.246526900E-6	29.757052000E-3	109.006308825E-9	51.108720654E-6	372.246526877E+0	29.757051998E+3	109.006308819E-3	51.108720651E+0	-4.353326932E-6
5.445607734E+3	211.901100000E+0	1.000000000E-6	368.873641767E-6	29.387692667E-3	82.139225882E-9	56.854100385E-6	368.873641744E+0	29.387692665E+3	82.139225877E-3	56.854100381E+0	-4.353326932E-6
5.474032113E+3	212.885400000E+0	1.000000000E-6	365.370192700E-6	28.987946667E-3	101.692186330E-9	61.996018022E-6	365.370192677E+0	28.987946665E+3	101.692186324E-3	61.996018018E+0	-4.353326932E-6
5.502596880E+3	213.892600000E+0	1.000000000E-6	361.999554467E-6	28.797535667E-3	92.675005573E-9	49.821014378E-6	361.999554444E+0	28.797535665E+3	92.675005567E-3	49.821014375E+0	-4.353326932E-6
5.531224866E+3	214.905100000E+0	1.000000000E-6	358.252777400E-6	28.371040333E-3	100.223071371E-9	47.646162742E-6	358.252777378E+0	28.371040332E+3	100.223071365E-3	47.646162739E+0	-4.353326932E-6
5.559722906E+3	215.897900000E+0	1.000000000E-6	354.794464467E-6	27.949147667E-3	81.868134407E-9	55.862229648E-6	354.794464445E+0	27.949147665E+3	81.868134402E-3	55.862229645E+0	-4.353326932E-6
5.588246184E+3	216.884100000E+0	1.000000000E-6	351.404996633E-6	27.570625333E-3	127.781933659E-9	49.400016804E-6	351.404996611E+0	27.570625332E+3	127.781933651E-3	49.400016801E+0	-4.353326932E-6
5.616663061E+3	217.893800000E+0	1.000000000E-6	348.052020333E-6	27.226724333E-3	99.139047124E-9	55.253120223E-6	348.052020312E+0	27.226724332E+3	99.139047118E-3	55.253120219E+0	-4.353326932E-6
5.645326042E+3	218.897900000E+0	1.000000000E-6	344.412985567E-6	26.865379000E-3	119.025873546E-9	45.094369887E-6	344.412985545E+0	26.865378998E+3	119.025873538E-3	45.094369884E+0	-4.353326932E-6
5.673931330E+3	219.927500000E+0	1.000000000E-6	341.106348467E-6	26.685287333E-3	99.842144403E-9	33.694135879E-6	341.106348445E+0	26.685287332E+3	99.842144397E-3	33.694135877E+0	-4.353326932E-6
5.702468575E+3	220.909900000E+0	1.000000000E-6	337.770626300E-6	26.336120667E-3	80.653845179E-9	57.852520759E-6	337.770626279E+0	26.336120665E+3	80.653845174E-3	57.852520755E+0	-4.353326932E-6
5.731943799E+3	221.925900000E+0	1.000000000E-6	334.085755967E-6	25.870107667E-3	87.491919646E-9	34.823353409E-6	334.085755946E+0	25.870107665E+3	87.491919641E-3	34.823353407E+0	-4.353326932E-6
5.760489994E+3	222.888600000E+0	1.000000000E-6	330.733300200E-6	25.592950667E-3	96.007783329E-9	44.843269586E-6	330.733300179E+0	25.592950665E+3	96.007783323E-3	44.843269583E+0	-4.353326932E-6
5.790014422E+3	223.936500000E+0	1.000000000E-6	327.130690433E-6	25.290591000E-3	129.794071913E-9	42.002574170E-6	327.130690413E+0	25.290590998E+3	129.794071905E-3	42.002574167E+0	-4.353326932E-6
