[Main]
Experiment = "VvsI"
Header length = 70    
Date = "20181214 18:11:18"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = TRUE
Initial magnetic field (T) = 0.000000E+0
Delay after setting initial field (s) = 0.000000E+0
Initial field ramp rate (G/min) = 1.000000E+2
Wait for initial field to stabilize = TRUE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 2.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "08"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Magnetic Field (T)
9.788308720E+3	68.068700000E+0	1.000000000E-6	1.706703175E-3	-101.618884272E-6	14.459343333E-3	1.296897593E-6	1.400448363E-6	9.213179266E-6	1.706703175E+3	-101.618884265E+0	14.459343332E+3	1.296897593E+0	1.400448363E+0	9.213179265E+0	-41.356602311E-6
9.831760839E+3	67.050600000E+0	1.000000000E-6	1.732169299E-3	-101.917416238E-6	14.672696000E-3	1.442427261E-6	1.563755029E-6	11.101750737E-6	1.732169299E+3	-101.917416232E+0	14.672695999E+3	1.442427261E+0	1.563755029E+0	11.101750736E+0	-41.356602311E-6
9.874289753E+3	66.060000000E+0	1.000000000E-6	1.759989832E-3	-105.736227350E-6	14.887795667E-3	1.808601684E-6	1.565165243E-6	10.499416842E-6	1.759989832E+3	-105.736227343E+0	14.887795666E+3	1.808601684E+0	1.565165243E+0	10.499416841E+0	-41.356602311E-6
9.916497950E+3	65.078000000E+0	1.000000000E-6	1.792090449E-3	-102.417369585E-6	15.121971333E-3	1.634554032E-6	1.653568931E-6	9.742016879E-6	1.792090449E+3	-102.417369579E+0	15.121971332E+3	1.634554032E+0	1.653568931E+0	9.742016879E+0	-41.356602311E-6
9.958866832E+3	64.055500000E+0	1.000000000E-6	1.817158236E-3	-108.357880217E-6	15.376580667E-3	1.737702904E-6	1.752826496E-6	9.106999102E-6	1.817158236E+3	-108.357880210E+0	15.376580666E+3	1.737702904E+0	1.752826496E+0	9.106999101E+0	-41.356602311E-6
10.001061359E+3	63.071400000E+0	1.000000000E-6	1.846162856E-3	-108.946289883E-6	15.614438167E-3	1.738219031E-6	2.057844251E-6	11.272696977E-6	1.846162856E+3	-108.946289877E+0	15.614438166E+3	1.738219031E+0	2.057844251E+0	11.272696976E+0	-41.356602311E-6
10.043578212E+3	62.056700000E+0	1.000000000E-6	1.873478183E-3	-112.316268067E-6	15.877081167E-3	1.691252568E-6	1.672002497E-6	10.265785787E-6	1.873478183E+3	-112.316268060E+0	15.877081166E+3	1.691252568E+0	1.672002497E+0	10.265785786E+0	-41.356602311E-6
10.085908791E+3	61.110300000E+0	1.000000000E-6	1.904346231E-3	-114.533056183E-6	16.103813167E-3	2.290236009E-6	2.003545168E-6	10.288967135E-6	1.904346231E+3	-114.533056176E+0	16.103813166E+3	2.290236009E+0	2.003545168E+0	10.288967135E+0	-41.356602311E-6
10.129412050E+3	60.101500000E+0	1.000000000E-6	1.936165179E-3	-116.868080983E-6	16.361681333E-3	2.121933801E-6	1.908548408E-6	13.226046342E-6	1.936165179E+3	-116.868080976E+0	16.361681332E+3	2.121933801E+0	1.908548408E+0	13.226046341E+0	-41.356602311E-6
10.173924251E+3	59.101100000E+0	1.000000000E-6	1.972244322E-3	-109.795088867E-6	16.612864500E-3	1.709887362E-6	1.997851416E-6	11.440905363E-6	1.972244322E+3	-109.795088860E+0	16.612864499E+3	1.709887362E+0	1.997851416E+0	11.440905362E+0	-41.356602311E-6
10.218516179E+3	58.087400000E+0	1.000000000E-6	2.005137420E-3	-110.356484500E-6	16.884209500E-3	2.459076824E-6	1.545284248E-6	11.697734160E-6	2.005137420E+3	-110.356484493E+0	16.884209499E+3	2.459076824E+0	1.545284248E+0	11.697734159E+0	-41.356602311E-6
10.259784243E+3	57.044000000E+0	1.000000000E-6	2.033446566E-3	-119.442941500E-6	17.195867167E-3	1.982030000E-6	1.782104606E-6	11.791437771E-6	2.033446566E+3	-119.442941493E+0	17.195867166E+3	1.982030000E+0	1.782104606E+0	11.791437770E+0	-41.356602311E-6
10.301437838E+3	56.096600000E+0	1.000000000E-6	2.075034417E-3	-111.637547167E-6	17.438624833E-3	2.200139515E-6	2.071521159E-6	13.379050140E-6	2.075034417E+3	-111.637547160E+0	17.438624832E+3	2.200139515E+0	2.071521159E+0	13.379050139E+0	-41.356602311E-6
10.344891708E+3	55.046400000E+0	1.000000000E-6	2.111504574E-3	-113.794643467E-6	17.734613500E-3	1.766891597E-6	2.193313309E-6	11.911038756E-6	2.111504574E+3	-113.794643460E+0	17.734613499E+3	1.766891597E+0	2.193313308E+0	11.911038756E+0	-41.356602311E-6
10.387655177E+3	54.078500000E+0	1.000000000E-6	2.149494716E-3	-116.790845700E-6	18.043707667E-3	1.667773662E-6	1.391136877E-6	17.868427334E-6	2.149494716E+3	-116.790845693E+0	18.043707666E+3	1.667773662E+0	1.391136877E+0	17.868427333E+0	-41.356602311E-6
10.430021956E+3	53.067100000E+0	1.000000000E-6	2.187934378E-3	-118.229227750E-6	18.365681167E-3	1.933413167E-6	2.347837506E-6	11.905253670E-6	2.187934378E+3	-118.229227743E+0	18.365681166E+3	1.933413166E+0	2.347837506E+0	11.905253669E+0	-41.356602311E-6
10.473399268E+3	52.122800000E+0	1.000000000E-6	2.225434561E-3	-128.882822783E-6	18.685211167E-3	1.599596858E-6	2.200916439E-6	14.490398410E-6	2.225434561E+3	-128.882822775E+0	18.685211166E+3	1.599596858E+0	2.200916439E+0	14.490398409E+0	-41.356602311E-6
10.516954994E+3	51.131900000E+0	1.000000000E-6	2.266062059E-3	-129.147710950E-6	19.035775833E-3	2.189979722E-6	1.907352263E-6	14.051765402E-6	2.266062059E+3	-129.147710942E+0	19.035775832E+3	2.189979722E+0	1.907352263E+0	14.051765401E+0	-41.356602311E-6
10.559269382E+3	50.036200000E+0	1.000000000E-6	2.314004847E-3	-127.886006817E-6	19.419973833E-3	2.206542415E-6	2.790278708E-6	14.276216155E-6	2.314004847E+3	-127.886006809E+0	19.419973832E+3	2.206542415E+0	2.790278708E+0	14.276216154E+0	-41.356602311E-6
10.600688448E+3	49.071600000E+0	1.000000000E-6	2.355286540E-3	-124.287802300E-6	19.934108000E-3	1.887100099E-6	2.186655196E-6	14.600756145E-6	2.355286540E+3	-124.287802292E+0	19.934107999E+3	1.887100099E+0	2.186655196E+0	14.600756144E+0	-41.356602311E-6
10.643136998E+3	48.070100000E+0	1.000000000E-6	2.399153094E-3	-126.716506167E-6	20.307444167E-3	2.670627609E-6	2.384986787E-6	19.279337140E-6	2.399153093E+3	-126.716506159E+0	20.307444165E+3	2.670627609E+0	2.384986787E+0	19.279337139E+0	-41.356602311E-6
10.685536295E+3	47.077000000E+0	1.000000000E-6	2.445131590E-3	-129.090609450E-6	20.717477333E-3	2.853262944E-6	2.689535418E-6	17.616375089E-6	2.445131590E+3	-129.090609442E+0	20.717477332E+3	2.853262944E+0	2.689535418E+0	17.616375088E+0	-41.356602311E-6
10.726898835E+3	46.049600000E+0	1.000000000E-6	2.488085665E-3	-130.343728150E-6	21.140006500E-3	2.430439249E-6	2.502499474E-6	15.492825425E-6	2.488085665E+3	-130.343728142E+0	21.140006499E+3	2.430439249E+0	2.502499474E+0	15.492825424E+0	-41.356602311E-6
10.770388582E+3	45.059900000E+0	1.000000000E-6	2.534027565E-3	-133.575591700E-6	21.538220833E-3	2.714028530E-6	2.113556473E-6	12.827692642E-6	2.534027565E+3	-133.575591692E+0	21.538220832E+3	2.714028529E+0	2.113556473E+0	12.827692641E+0	-41.356602311E-6
10.812858430E+3	44.110000000E+0	1.000000000E-6	2.581358227E-3	-134.493462683E-6	21.977370000E-3	2.517267861E-6	2.603768585E-6	18.254494921E-6	2.581358227E+3	-134.493462675E+0	21.977369999E+3	2.517267861E+0	2.603768585E+0	18.254494920E+0	-41.356602311E-6
10.855215521E+3	43.087000000E+0	1.000000000E-6	2.634746783E-3	-135.844942083E-6	22.434520667E-3	2.664809166E-6	2.245040297E-6	17.111718442E-6	2.634746783E+3	-135.844942075E+0	22.434520665E+3	2.664809166E+0	2.245040297E+0	17.111718441E+0	-41.356602311E-6
10.895510985E+3	42.085100000E+0	1.000000000E-6	2.690390240E-3	-138.336104650E-6	22.900033167E-3	2.753945291E-6	2.946063843E-6	17.324080208E-6	2.690390240E+3	-138.336104641E+0	22.900033165E+3	2.753945291E+0	2.946063842E+0	17.324080207E+0	-41.356602311E-6
10.937862732E+3	41.103300000E+0	1.000000000E-6	2.743794486E-3	-141.862903983E-6	23.355259667E-3	2.804687117E-6	3.012408002E-6	20.697758544E-6	2.743794486E+3	-141.862903975E+0	23.355259665E+3	2.804687116E+0	3.012408002E+0	20.697758542E+0	-41.356602311E-6
10.980284081E+3	40.065900000E+0	1.000000000E-6	2.803276590E-3	-142.471128517E-6	23.856517333E-3	2.766332670E-6	2.410954121E-6	18.598354995E-6	2.803276589E+3	-142.471128508E+0	23.856517332E+3	2.766332670E+0	2.410954121E+0	18.598354993E+0	-41.356602311E-6
11.022752254E+3	39.064000000E+0	1.000000000E-6	2.866109142E-3	-145.245725217E-6	24.385306000E-3	2.707255302E-6	2.612515547E-6	21.752348009E-6	2.866109141E+3	-145.245725208E+0	24.385305998E+3	2.707255302E+0	2.612515546E+0	21.752348008E+0	-41.356602311E-6
11.063123556E+3	38.057700000E+0	1.000000000E-6	2.924346811E-3	-147.101532583E-6	24.898872333E-3	2.922310061E-6	2.870586120E-6	20.385107010E-6	2.924346811E+3	-147.101532574E+0	24.898872332E+3	2.922310061E+0	2.870586119E+0	20.385107009E+0	-41.356602311E-6
11.105472211E+3	37.068800000E+0	1.000000000E-6	2.985853189E-3	-148.643793633E-6	25.445287167E-3	3.110805034E-6	2.733841227E-6	20.575460959E-6	2.985853189E+3	-148.643793624E+0	25.445287165E+3	3.110805034E+0	2.733841227E+0	20.575460958E+0	-41.356602311E-6
11.146773632E+3	36.102500000E+0	1.000000000E-6	3.049804181E-3	-149.876078033E-6	25.988122833E-3	3.371284367E-6	2.387957934E-6	19.656652821E-6	3.049804181E+3	-149.876078024E+0	25.988122832E+3	3.371284366E+0	2.387957934E+0	19.656652820E+0	-41.356602311E-6
11.187952699E+3	35.098400000E+0	1.000000000E-6	3.117509248E-3	-152.386336717E-6	26.576874333E-3	3.289261429E-6	3.629733238E-6	21.077723519E-6	3.117509248E+3	-152.386336707E+0	26.576874332E+3	3.289261428E+0	3.629733238E+0	21.077723518E+0	-41.356602311E-6
11.230355679E+3	34.060500000E+0	1.000000000E-6	3.189401172E-3	-154.324579633E-6	27.209483667E-3	2.834688434E-6	3.021224029E-6	21.990785244E-6	3.189401172E+3	-154.324579624E+0	27.209483665E+3	2.834688434E+0	3.021224029E+0	21.990785242E+0	-41.356602311E-6
11.272832724E+3	33.057000000E+0	1.000000000E-6	3.258471011E-3	-157.208604350E-6	27.849468667E-3	3.381867330E-6	2.743203779E-6	22.158642189E-6	3.258471011E+3	-157.208604340E+0	27.849468665E+3	3.381867330E+0	2.743203779E+0	22.158642188E+0	-41.356602311E-6
11.314349019E+3	32.043400000E+0	1.000000000E-6	3.334771718E-3	-161.546716383E-6	28.528814000E-3	3.500518067E-6	2.867265987E-6	23.120898677E-6	3.334771718E+3	-161.546716373E+0	28.528813998E+3	3.500518066E+0	2.867265987E+0	23.120898676E+0	-41.356602311E-6
11.355782194E+3	31.071500000E+0	1.000000000E-6	3.411249937E-3	-164.982437467E-6	29.219105333E-3	3.833244831E-6	2.699269323E-6	26.386639209E-6	3.411249937E+3	-164.982437456E+0	29.219105332E+3	3.833244831E+0	2.699269323E+0	26.386639207E+0	-41.356602311E-6
11.397204072E+3	30.045900000E+0	1.000000000E-6	3.497719858E-3	-167.427456983E-6	29.966291167E-3	4.126431784E-6	3.586057459E-6	29.230673035E-6	3.497719858E+3	-167.427456973E+0	29.966291165E+3	4.126431783E+0	3.586057458E+0	29.230673033E+0	-41.356602311E-6
11.437604209E+3	29.071700000E+0	1.000000000E-6	3.578288706E-3	-170.218654983E-6	30.706913833E-3	4.273545420E-6	3.173869509E-6	25.678375295E-6	3.578288706E+3	-170.218654973E+0	30.706913831E+3	4.273545420E+0	3.173869509E+0	25.678375294E+0	-41.356602311E-6
11.479888058E+3	28.065400000E+0	1.000000000E-6	3.666943489E-3	-173.703611200E-6	31.501844833E-3	3.464260355E-6	3.973077363E-6	29.810839317E-6	3.666943489E+3	-173.703611189E+0	31.501844831E+3	3.464260354E+0	3.973077363E+0	29.810839315E+0	-41.356602311E-6
11.522266363E+3	27.040600000E+0	1.000000000E-6	3.760574966E-3	-178.230515583E-6	32.341958833E-3	3.889625558E-6	4.103664312E-6	28.599781393E-6	3.760574966E+3	-178.230515572E+0	32.341958831E+3	3.889625558E+0	4.103664312E+0	28.599781392E+0	-41.356602311E-6
11.564611011E+3	26.058700000E+0	1.000000000E-6	3.856884791E-3	-182.060962117E-6	33.195685667E-3	4.452169038E-6	3.923976786E-6	31.999251019E-6	3.856884791E+3	-182.060962105E+0	33.195685665E+3	4.452169038E+0	3.923976786E+0	31.999251017E+0	-41.356602311E-6
11.606838479E+3	25.069500000E+0	1.000000000E-6	3.959189580E-3	-187.058251700E-6	34.110220500E-3	3.796794177E-6	3.917533123E-6	31.430849413E-6	3.959189580E+3	-187.058251688E+0	34.110220498E+3	3.796794177E+0	3.917533123E+0	31.430849411E+0	-41.356602311E-6
11.649259890E+3	24.042800000E+0	1.000000000E-6	4.071180564E-3	-189.486094833E-6	35.081415333E-3	4.601186205E-6	3.443174209E-6	31.060191435E-6	4.071180563E+3	-189.486094822E+0	35.081415331E+3	4.601186204E+0	3.443174209E+0	31.060191433E+0	-41.356602311E-6
11.691539074E+3	23.087400000E+0	1.000000000E-6	4.181719354E-3	-194.616873650E-6	36.076222333E-3	5.221971087E-6	3.076222670E-6	34.450342447E-6	4.181719353E+3	-194.616873638E+0	36.076222331E+3	5.221971087E+0	3.076222670E+0	34.450342445E+0	-41.356602311E-6
11.733880668E+3	22.060900000E+0	1.000000000E-6	4.305093680E-3	-197.052670100E-6	37.180529000E-3	4.782157912E-6	4.630626864E-6	35.691803019E-6	4.305093679E+3	-197.052670088E+0	37.180528998E+3	4.782157912E+0	4.630626864E+0	35.691803017E+0	-41.356602311E-6
11.776234756E+3	21.078700000E+0	1.000000000E-6	4.431595188E-3	-201.698762533E-6	38.351716000E-3	6.304505081E-6	3.782116013E-6	37.954389494E-6	4.431595188E+3	-201.698762521E+0	38.351715998E+3	6.304505081E+0	3.782116012E+0	37.954389491E+0	-41.356602311E-6
11.818409522E+3	20.046000000E+0	1.000000000E-6	4.570224099E-3	-205.817521150E-6	39.595889000E-3	5.654311634E-6	4.826860072E-6	36.529429191E-6	4.570224099E+3	-205.817521137E+0	39.595888998E+3	5.654311634E+0	4.826860072E+0	36.529429189E+0	-41.356602311E-6
11.860636001E+3	19.088200000E+0	1.000000000E-6	4.719958023E-3	-211.979416250E-6	40.930879667E-3	7.357525018E-6	5.579631405E-6	37.893608399E-6	4.719958023E+3	-211.979416237E+0	40.930879664E+3	7.357525018E+0	5.579631405E+0	37.893608396E+0	-41.356602311E-6
11.902949599E+3	18.054700000E+0	1.000000000E-6	4.878224368E-3	-218.819568983E-6	42.434449167E-3	4.765872640E-6	5.417414111E-6	40.432306550E-6	4.878224367E+3	-218.819568970E+0	42.434449164E+3	4.765872640E+0	5.417414111E+0	40.432306548E+0	-41.356602311E-6
11.945275151E+3	17.079000000E+0	1.000000000E-6	5.050042793E-3	-225.463843250E-6	44.044240667E-3	6.359151119E-6	4.137152480E-6	45.640678811E-6	5.050042792E+3	-225.463843236E+0	44.044240664E+3	6.359151118E+0	4.137152480E+0	45.640678808E+0	-41.356602311E-6
11.987750291E+3	16.091600000E+0	1.000000000E-6	5.242397819E-3	-232.188634200E-6	45.819627167E-3	6.932409334E-6	5.538989048E-6	48.755437682E-6	5.242397819E+3	-232.188634186E+0	45.819627164E+3	6.932409334E+0	5.538989047E+0	48.755437679E+0	-41.356602311E-6
12.031043415E+3	15.059700000E+0	1.000000000E-6	5.461117588E-3	-234.092372567E-6	47.823101333E-3	6.468604022E-6	5.294042590E-6	53.357302789E-6	5.461117587E+3	-234.092372552E+0	47.823101330E+3	6.468604022E+0	5.294042590E+0	53.357302786E+0	-41.356602311E-6
12.074475981E+3	14.066400000E+0	1.000000000E-6	5.703288226E-3	-239.457580783E-6	50.049629500E-3	6.449820381E-6	4.615434401E-6	58.109859939E-6	5.703288226E+3	-239.457580768E+0	50.049629497E+3	6.449820380E+0	4.615434401E+0	58.109859936E+0	-41.356602311E-6
12.117812141E+3	13.068500000E+0	1.000000000E-6	5.980922080E-3	-244.355672433E-6	52.525214667E-3	9.456313770E-6	5.921154901E-6	69.043808738E-6	5.980922080E+3	-244.355672418E+0	52.525214663E+3	9.456313769E+0	5.921154901E+0	69.043808734E+0	-41.356602311E-6
12.161168514E+3	12.076400000E+0	1.000000000E-6	6.291481738E-3	-252.952180500E-6	55.351325333E-3	8.738403703E-6	4.373976939E-6	79.605818535E-6	6.291481737E+3	-252.952180484E+0	55.351325330E+3	8.738403702E+0	4.373976939E+0	79.605818530E+0	-41.356602311E-6
12.204617350E+3	11.060400000E+0	1.000000000E-6	6.662069916E-3	-258.053472400E-6	58.650619167E-3	9.064436328E-6	7.894050041E-6	78.697362629E-6	6.662069915E+3	-258.053472384E+0	58.650619163E+3	9.064436327E+0	7.894050041E+0	78.697362624E+0	-41.356602311E-6
12.247794407E+3	10.055800000E+0	1.000000000E-6	7.097962049E-3	-265.455516583E-6	62.523655000E-3	9.531504836E-6	7.561580764E-6	101.039546180E-6	7.097962048E+3	-265.455516567E+0	62.523654996E+3	9.531504836E+0	7.561580763E+0	101.039546173E+0	-41.356602311E-6
12.290898248E+3	9.085500000E+0	1.000000000E-6	7.620719642E-3	-273.845900583E-6	67.010375333E-3	9.534688175E-6	5.943904065E-6	110.201965708E-6	7.620719642E+3	-273.845900566E+0	67.010375329E+3	9.534688174E+0	5.943904065E+0	110.201965701E+0	-41.356602311E-6
12.335151398E+3	8.068000000E+0	1.000000000E-6	8.273900830E-3	-284.924358917E-6	72.600909333E-3	29.485763743E-6	9.377738615E-6	121.516262643E-6	8.273900829E+3	-284.924358899E+0	72.600909329E+3	29.485763741E+0	9.377738615E+0	121.516262635E+0	-41.356602311E-6
12.379554613E+3	7.092200000E+0	1.000000000E-6	9.076626537E-3	-290.401535867E-6	79.256753667E-3	63.204534972E-6	45.539569161E-6	181.961998558E-6	9.076626537E+3	-290.401535849E+0	79.256753662E+3	63.204534968E+0	45.539569158E+0	181.961998546E+0	-41.356602311E-6
12.481337381E+3	6.068200000E+0	1.000000000E-6	10.180938337E-3	-324.555767367E-6	87.956567500E-3	11.889689680E-6	34.465979086E-6	121.406291702E-6	10.180938336E+3	-324.555767346E+0	87.956567495E+3	11.889689679E+0	34.465979083E+0	121.406291695E+0	-41.356602311E-6
12.544746971E+3	5.094300000E+0	1.000000000E-6	11.640548687E-3	-370.259044883E-6	98.993158667E-3	11.130287244E-6	40.383840351E-6	165.938613833E-6	11.640548686E+3	-370.259044860E+0	98.993158661E+3	11.130287244E+0	40.383840349E+0	165.938613823E+0	-41.356602311E-6
12.607964271E+3	4.124100000E+0	1.000000000E-6	13.753060165E-3	-476.316620067E-6	113.999716667E-3	17.098049231E-6	48.458871913E-6	246.978816393E-6	13.753060164E+3	-476.316620037E+0	113.999716660E+3	17.098049230E+0	48.458871910E+0	246.978816378E+0	-41.356602311E-6
12.668271004E+3	3.143800000E+0	1.000000000E-6	17.024923778E-3	-702.356544533E-6	135.240828333E-3	32.756887872E-6	52.848347600E-6	349.285185739E-6	17.024923777E+3	-702.356544490E+0	135.240828325E+3	32.756887870E+0	52.848347597E+0	349.285185718E+0	-41.356602311E-6
12.742452220E+3	2.163000000E+0	1.000000000E-6	22.729286233E-3	-1.358799955E-3	169.015636667E-3	60.771223012E-6	82.429277167E-6	782.828183656E-6	22.729286232E+3	-1.358799955E+3	169.015636656E+3	60.771223008E+0	82.429277162E+0	782.828183608E+0	-41.356602311E-6
