[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181213 13:44:14"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 2.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	Magnetic Field (T)
2.124281406E+0	300.011100000E+0	1.000000000E-6	98.135529908E-6	1.325788517E-3	80.600142526E-9	4.983083741E-6	98.135529902E+0	1.325788517E+3	80.600142521E-3	4.983083741E+0	-4.353326932E-6
66.781469345E+0	299.161600000E+0	1.000000000E-6	99.451811317E-6	1.336637117E-3	82.281918810E-9	4.085886178E-6	99.451811310E+0	1.336637117E+3	82.281918805E-3	4.085886178E+0	-4.353326932E-6
116.112542152E+0	298.113800000E+0	1.000000000E-6	101.606356553E-6	1.352771750E-3	76.537941930E-9	5.208932146E-6	101.606356547E+0	1.352771750E+3	76.537941925E-3	5.208932145E+0	-4.353326932E-6
155.693686485E+0	297.104600000E+0	1.000000000E-6	104.018429467E-6	1.371383033E-3	72.705187666E-9	5.086959026E-6	104.018429460E+0	1.371383033E+3	72.705187661E-3	5.086959026E+0	-4.353326932E-6
194.245777607E+0	296.118500000E+0	1.000000000E-6	106.275724617E-6	1.391944600E-3	84.548294438E-9	4.711773481E-6	106.275724610E+0	1.391944600E+3	84.548294433E-3	4.711773481E+0	-4.353326932E-6
234.821326256E+0	295.112400000E+0	1.000000000E-6	108.626810050E-6	1.410520250E-3	70.024690590E-9	4.171522625E-6	108.626810043E+0	1.410520250E+3	70.024690585E-3	4.171522624E+0	-4.353326932E-6
275.552804947E+0	294.091400000E+0	1.000000000E-6	111.105547083E-6	1.431404667E-3	76.350226997E-9	5.001319930E-6	111.105547076E+0	1.431404667E+3	76.350226992E-3	5.001319930E+0	-4.353326932E-6
316.255097389E+0	293.099200000E+0	1.000000000E-6	113.569465733E-6	1.450556033E-3	89.275893241E-9	4.971666541E-6	113.569465726E+0	1.450556033E+3	89.275893235E-3	4.971666541E+0	-4.353326932E-6
358.944155216E+0	292.099600000E+0	1.000000000E-6	115.947627733E-6	1.470409317E-3	82.960429368E-9	5.481426623E-6	115.947627726E+0	1.470409317E+3	82.960429363E-3	5.481426623E+0	-4.353326932E-6
402.975901604E+0	291.065600000E+0	1.000000000E-6	118.383499717E-6	1.492307050E-3	95.817972116E-9	5.833712701E-6	118.383499709E+0	1.492307050E+3	95.817972110E-3	5.833712701E+0	-4.353326932E-6
445.689823151E+0	290.084300000E+0	1.000000000E-6	120.794959767E-6	1.509714917E-3	90.527068901E-9	5.695790405E-6	120.794959759E+0	1.509714917E+3	90.527068896E-3	5.695790405E+0	-4.353326932E-6
488.376136780E+0	289.090000000E+0	1.000000000E-6	123.216837733E-6	1.531282483E-3	80.489127785E-9	5.079752324E-6	123.216837726E+0	1.531282483E+3	80.489127780E-3	5.079752324E+0	-4.353326932E-6
531.174750328E+0	288.069800000E+0	1.000000000E-6	125.750398783E-6	1.552858800E-3	67.143888326E-9	4.893560302E-6	125.750398776E+0	1.552858800E+3	67.143888322E-3	4.893560302E+0	-4.353326932E-6
572.913583755E+0	287.093900000E+0	1.000000000E-6	128.252134183E-6	1.571303417E-3	98.889943790E-9	5.043295198E-6	128.252134175E+0	1.571303417E+3	98.889943784E-3	5.043295198E+0	-4.353326932E-6
615.654789448E+0	286.069100000E+0	1.000000000E-6	130.907860667E-6	1.594193500E-3	78.449768015E-9	5.973730186E-6	130.907860659E+0	1.594193500E+3	78.449768010E-3	5.973730185E+0	-4.353326932E-6
657.286456585E+0	285.096600000E+0	1.000000000E-6	133.459159883E-6	1.613779867E-3	76.655995715E-9	6.008917565E-6	133.459159875E+0	1.613779867E+3	76.655995710E-3	6.008917565E+0	-4.353326932E-6
699.161836147E+0	284.096000000E+0	1.000000000E-6	136.103579950E-6	1.638003050E-3	114.022065453E-9	4.540672721E-6	136.103579942E+0	1.638003050E+3	114.022065446E-3	4.540672721E+0	-4.353326932E-6
740.932960987E+0	283.096700000E+0	1.000000000E-6	138.808983750E-6	1.656345950E-3	93.739528555E-9	5.319203547E-6	138.808983741E+0	1.656345950E+3	93.739528549E-3	5.319203547E+0	-4.353326932E-6
782.860177517E+0	282.083900000E+0	1.000000000E-6	141.553922417E-6	1.679305300E-3	113.615923172E-9	5.377191184E-6	141.553922408E+0	1.679305300E+3	113.615923165E-3	5.377191184E+0	-4.353326932E-6
824.781752586E+0	281.093200000E+0	1.000000000E-6	144.277232317E-6	1.703285700E-3	134.519168882E-9	5.725933976E-6	144.277232308E+0	1.703285700E+3	134.519168874E-3	5.725933975E+0	-4.353326932E-6
866.516138554E+0	280.092800000E+0	1.000000000E-6	147.039899783E-6	1.725957683E-3	136.961856033E-9	5.933972801E-6	147.039899774E+0	1.725957683E+3	136.961856024E-3	5.933972801E+0	-4.353326932E-6
909.184157372E+0	279.083700000E+0	1.000000000E-6	149.923397517E-6	1.749646483E-3	136.282960520E-9	4.853730139E-6	149.923397507E+0	1.749646483E+3	136.282960512E-3	4.853730139E+0	-4.353326932E-6
950.774139881E+0	278.110000000E+0	1.000000000E-6	152.829168433E-6	1.771067567E-3	114.338298316E-9	4.765935688E-6	152.829168424E+0	1.771067567E+3	114.338298309E-3	4.765935688E+0	-4.353326932E-6
992.596689701E+0	277.088400000E+0	1.000000000E-6	155.869644017E-6	1.796187050E-3	137.893389190E-9	5.582707721E-6	155.869644007E+0	1.796187050E+3	137.893389182E-3	5.582707721E+0	-4.353326932E-6
1.034125310E+3	276.093300000E+0	1.000000000E-6	158.787886300E-6	1.820446100E-3	108.163440486E-9	5.650029385E-6	158.787886290E+0	1.820446100E+3	108.163440479E-3	5.650029384E+0	-4.353326932E-6
1.075935521E+3	275.079800000E+0	1.000000000E-6	161.860499617E-6	1.846605300E-3	125.867884159E-9	4.421248046E-6	161.860499607E+0	1.846605300E+3	125.867884151E-3	4.421248046E+0	-4.353326932E-6
1.116573750E+3	274.117100000E+0	1.000000000E-6	164.794562383E-6	1.870183167E-3	132.628205994E-9	5.214207789E-6	164.794562373E+0	1.870183167E+3	132.628205986E-3	5.214207789E+0	-4.353326932E-6
1.158236292E+3	273.103800000E+0	1.000000000E-6	167.832678900E-6	1.895977617E-3	146.185425053E-9	5.094484307E-6	167.832678890E+0	1.895977617E+3	146.185425044E-3	5.094484306E+0	-4.353326932E-6
1.200169334E+3	272.078700000E+0	1.000000000E-6	170.911343433E-6	1.920477867E-3	114.646965231E-9	4.737941826E-6	170.911343423E+0	1.920477867E+3	114.646965224E-3	4.737941826E+0	-4.353326932E-6
1.242014905E+3	271.089800000E+0	1.000000000E-6	173.972924350E-6	1.948791550E-3	106.407659188E-9	5.827601843E-6	173.972924339E+0	1.948791550E+3	106.407659182E-3	5.827601843E+0	-4.353326932E-6
1.283716909E+3	270.074200000E+0	1.000000000E-6	177.137094400E-6	1.974332117E-3	148.315405452E-9	5.774195666E-6	177.137094389E+0	1.974332117E+3	148.315405443E-3	5.774195665E+0	-4.353326932E-6
1.325426826E+3	269.084100000E+0	1.000000000E-6	180.302959533E-6	2.001009617E-3	146.394258171E-9	7.545713467E-6	180.302959522E+0	2.001009617E+3	146.394258162E-3	7.545713467E+0	-4.353326932E-6
1.367137687E+3	268.087200000E+0	1.000000000E-6	183.446875183E-6	2.022721883E-3	144.372292371E-9	5.973898564E-6	183.446875172E+0	2.022721883E+3	144.372292362E-3	5.973898563E+0	-4.353326932E-6
1.408840141E+3	267.070600000E+0	1.000000000E-6	186.609114433E-6	2.050999700E-3	133.458107291E-9	6.702916227E-6	186.609114422E+0	2.050999700E+3	133.458107283E-3	6.702916227E+0	-4.353326932E-6
1.450332643E+3	266.086600000E+0	1.000000000E-6	189.790852583E-6	2.076770917E-3	187.496429271E-9	5.259484599E-6	189.790852572E+0	2.076770917E+3	187.496429260E-3	5.259484599E+0	-4.353326932E-6
1.491742495E+3	265.100900000E+0	1.000000000E-6	192.946977983E-6	2.101142900E-3	135.072494856E-9	6.227616119E-6	192.946977971E+0	2.101142900E+3	135.072494848E-3	6.227616119E+0	-4.353326932E-6
1.533446743E+3	264.083300000E+0	1.000000000E-6	196.203744883E-6	2.129010133E-3	148.750595179E-9	6.117853346E-6	196.203744871E+0	2.129010133E+3	148.750595170E-3	6.117853345E+0	-4.353326932E-6
1.575173949E+3	263.082700000E+0	1.000000000E-6	199.419305333E-6	2.156793367E-3	147.657375435E-9	7.672874612E-6	199.419305321E+0	2.156793367E+3	147.657375426E-3	7.672874612E+0	-4.353326932E-6
1.616652115E+3	262.089800000E+0	1.000000000E-6	202.601634417E-6	2.181095250E-3	147.992257823E-9	5.764731216E-6	202.601634404E+0	2.181095250E+3	147.992257814E-3	5.764731216E+0	-4.353326932E-6
1.658163734E+3	261.084400000E+0	1.000000000E-6	205.868546167E-6	2.210928250E-3	122.404580353E-9	6.475944667E-6	205.868546154E+0	2.210928250E+3	122.404580345E-3	6.475944666E+0	-4.353326932E-6
1.699723470E+3	260.090900000E+0	1.000000000E-6	209.079915783E-6	2.234463183E-3	119.121169863E-9	5.420738791E-6	209.079915770E+0	2.234463183E+3	119.121169855E-3	5.420738791E+0	-4.353326932E-6
1.741091942E+3	259.089500000E+0	1.000000000E-6	212.306821067E-6	2.260974750E-3	119.146421741E-9	5.232151879E-6	212.306821053E+0	2.260974750E+3	119.146421734E-3	5.232151879E+0	-4.353326932E-6
1.782425179E+3	258.103300000E+0	1.000000000E-6	215.666696450E-6	2.289728750E-3	130.501669279E-9	5.226650610E-6	215.666696437E+0	2.289728750E+3	130.501669271E-3	5.226650609E+0	-4.353326932E-6
1.823981843E+3	257.084000000E+0	1.000000000E-6	219.560254617E-6	2.320248950E-3	114.800206725E-9	5.335734492E-6	219.560254603E+0	2.320248950E+3	114.800206718E-3	5.335734491E+0	-4.353326932E-6
1.865636135E+3	256.077900000E+0	1.000000000E-6	222.906496483E-6	2.346880267E-3	143.674834982E-9	4.374230988E-6	222.906496469E+0	2.346880267E+3	143.674834973E-3	4.374230988E+0	-4.353326932E-6
1.907105522E+3	255.086500000E+0	1.000000000E-6	226.214748833E-6	2.374233000E-3	122.441657794E-9	3.742061077E-6	226.214748819E+0	2.374233000E+3	122.441657786E-3	3.742061076E+0	-4.353326932E-6
1.948687785E+3	254.068200000E+0	1.000000000E-6	229.596467817E-6	2.404213900E-3	137.359588262E-9	4.780443740E-6	229.596467802E+0	2.404213900E+3	137.359588253E-3	4.780443740E+0	-4.353326932E-6
1.990337150E+3	253.080300000E+0	1.000000000E-6	232.947907500E-6	2.433273317E-3	138.209465587E-9	5.317682521E-6	232.947907486E+0	2.433273317E+3	138.209465578E-3	5.317682521E+0	-4.353326932E-6
2.031949032E+3	252.082400000E+0	1.000000000E-6	236.373728050E-6	2.463429950E-3	159.274234155E-9	5.650741834E-6	236.373728035E+0	2.463429950E+3	159.274234145E-3	5.650741833E+0	-4.353326932E-6
2.073592989E+3	251.072000000E+0	1.000000000E-6	239.752828733E-6	2.491317250E-3	215.001503419E-9	4.515808283E-6	239.752828718E+0	2.491317250E+3	215.001503406E-3	4.515808283E+0	-4.353326932E-6
2.115067106E+3	250.079100000E+0	1.000000000E-6	243.298483967E-6	2.523597483E-3	168.006441861E-9	4.835770115E-6	243.298483952E+0	2.523597483E+3	168.006441851E-3	4.835770115E+0	-4.353326932E-6
2.156606914E+3	249.081600000E+0	1.000000000E-6	246.666422833E-6	2.555976450E-3	224.390427146E-9	4.578923418E-6	246.666422818E+0	2.555976450E+3	224.390427132E-3	4.578923418E+0	-4.353326932E-6
2.198227531E+3	248.069500000E+0	1.000000000E-6	250.080050433E-6	2.586703667E-3	193.374379338E-9	5.338247307E-6	250.080050418E+0	2.586703667E+3	193.374379326E-3	5.338247307E+0	-4.353326932E-6
2.239718297E+3	247.072600000E+0	1.000000000E-6	253.571523317E-6	2.615153817E-3	146.327152711E-9	5.557309403E-6	253.571523301E+0	2.615153817E+3	146.327152702E-3	5.557309402E+0	-4.353326932E-6
2.280357734E+3	246.102000000E+0	1.000000000E-6	256.953685467E-6	2.642560683E-3	113.999848436E-9	5.584967824E-6	256.953685451E+0	2.642560683E+3	113.999848429E-3	5.584967823E+0	-4.353326932E-6
2.321849956E+3	245.083400000E+0	1.000000000E-6	260.452938250E-6	2.677961350E-3	138.556482988E-9	6.416016977E-6	260.452938234E+0	2.677961350E+3	138.556482979E-3	6.416016977E+0	-4.353326932E-6
2.363577411E+3	244.070200000E+0	1.000000000E-6	263.967922983E-6	2.709153767E-3	226.339255105E-9	4.586985838E-6	263.967922967E+0	2.709153766E+3	226.339255091E-3	4.586985838E+0	-4.353326932E-6
2.405369051E+3	243.066000000E+0	1.000000000E-6	267.444553767E-6	2.742562933E-3	138.438436308E-9	5.342226203E-6	267.444553750E+0	2.742562933E+3	138.438436299E-3	5.342226203E+0	-4.353326932E-6
2.445913946E+3	242.096600000E+0	1.000000000E-6	270.866027117E-6	2.776135850E-3	244.440929691E-9	5.379447144E-6	270.866027100E+0	2.776135850E+3	244.440929676E-3	5.379447144E+0	-4.353326932E-6
2.487512920E+3	241.073800000E+0	1.000000000E-6	274.531763750E-6	2.812719950E-3	166.196150663E-9	5.617356748E-6	274.531763733E+0	2.812719950E+3	166.196150652E-3	5.617356747E+0	-4.353326932E-6
2.529210738E+3	240.065400000E+0	1.000000000E-6	278.074574533E-6	2.844777450E-3	219.592102759E-9	5.758918367E-6	278.074574516E+0	2.844777450E+3	219.592102745E-3	5.758918367E+0	-4.353326932E-6
2.571006810E+3	239.054000000E+0	1.000000000E-6	281.663230183E-6	2.881197583E-3	160.762697246E-9	4.746061595E-6	281.663230166E+0	2.881197583E+3	160.762697236E-3	4.746061595E+0	-4.353326932E-6
2.612570561E+3	238.081300000E+0	1.000000000E-6	285.159483517E-6	2.913637467E-3	172.759805075E-9	5.811865582E-6	285.159483499E+0	2.913637466E+3	172.759805064E-3	5.811865581E+0	-4.353326932E-6
2.654041245E+3	237.067600000E+0	1.000000000E-6	288.796073067E-6	2.953511683E-3	179.872637148E-9	5.051694190E-6	288.796073049E+0	2.953511683E+3	179.872637137E-3	5.051694190E+0	-4.353326932E-6
2.695461761E+3	236.087000000E+0	1.000000000E-6	292.345109850E-6	2.984531650E-3	204.815492303E-9	5.043433413E-6	292.345109832E+0	2.984531650E+3	204.815492290E-3	5.043433413E+0	-4.353326932E-6
2.736951430E+3	235.063000000E+0	1.000000000E-6	295.976562633E-6	3.024056150E-3	146.526944499E-9	5.645022732E-6	295.976562615E+0	3.024056150E+3	146.526944490E-3	5.645022731E+0	-4.353326932E-6
2.778601558E+3	234.069100000E+0	1.000000000E-6	299.593529017E-6	3.061260333E-3	210.157069493E-9	5.368674539E-6	299.593528998E+0	3.061260333E+3	210.157069480E-3	5.368674538E+0	-4.353326932E-6
2.819890747E+3	233.082200000E+0	1.000000000E-6	303.276033017E-6	3.101446633E-3	184.112639600E-9	5.099467287E-6	303.276032998E+0	3.101446633E+3	184.112639589E-3	5.099467286E+0	-4.353326932E-6
2.861242132E+3	232.064700000E+0	1.000000000E-6	307.031286883E-6	3.134428417E-3	161.991854810E-9	4.991120908E-6	307.031286864E+0	3.134428416E+3	161.991854799E-3	4.991120908E+0	-4.353326932E-6
2.902642982E+3	231.063700000E+0	1.000000000E-6	310.732437917E-6	3.179131633E-3	175.982855159E-9	5.659343037E-6	310.732437897E+0	3.179131633E+3	175.982855148E-3	5.659343037E+0	-4.353326932E-6
2.944092017E+3	230.070400000E+0	1.000000000E-6	315.366430083E-6	3.225121417E-3	139.931990998E-9	6.549586527E-6	315.366430064E+0	3.225121416E+3	139.931990989E-3	6.549586527E+0	-4.353326932E-6
2.984460623E+3	229.111800000E+0	1.000000000E-6	319.048887950E-6	3.271328983E-3	140.098405832E-9	5.439673619E-6	319.048887930E+0	3.271328983E+3	140.098405823E-3	5.439673618E+0	-4.353326932E-6
3.024992011E+3	228.104100000E+0	1.000000000E-6	322.871085117E-6	3.313552733E-3	171.371683067E-9	5.315462950E-6	322.871085097E+0	3.313552733E+3	171.371683056E-3	5.315462949E+0	-4.353326932E-6
3.066383791E+3	227.079800000E+0	1.000000000E-6	326.763965450E-6	3.368297683E-3	153.100795755E-9	5.860705354E-6	326.763965430E+0	3.368297683E+3	153.100795746E-3	5.860705354E+0	-4.353326932E-6
3.107850394E+3	226.078700000E+0	1.000000000E-6	330.557850350E-6	3.415039117E-3	142.847507178E-9	4.979441919E-6	330.557850329E+0	3.415039116E+3	142.847507169E-3	4.979441918E+0	-4.353326932E-6
3.149399867E+3	225.067200000E+0	1.000000000E-6	334.619389117E-6	3.477521483E-3	181.502562164E-9	5.211261984E-6	334.619389096E+0	3.477521483E+3	181.502562153E-3	5.211261984E+0	-4.353326932E-6
3.191199315E+3	224.063900000E+0	1.000000000E-6	338.413474483E-6	3.505510167E-3	192.121104007E-9	6.364347053E-6	338.413474462E+0	3.505510166E+3	192.121103995E-3	6.364347053E+0	-4.353326932E-6
3.231690736E+3	223.091200000E+0	1.000000000E-6	342.112511733E-6	3.545863817E-3	186.215153465E-9	7.019170631E-6	342.112511712E+0	3.545863816E+3	186.215153453E-3	7.019170631E+0	-4.353326932E-6
