[Main]
Experiment = "VvsI"
Header length = 65    
Date = "20181214 14:19:00"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 0.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
1.247013655E+3	1.199970508E+0	1.000000000E-6	162.512933450E-6	-40.108723782E-6	1.210266233E-3	120.113033480E-9	181.736302592E-9	5.121381148E-6	162.512933440E+0	-40.108723779E+0	1.210266233E+3	120.113033473E-3	181.736302581E-3	5.121381148E+0	299.999000000E+0
1.289291317E+3	1.299979590E+0	1.000000000E-6	162.526532850E-6	-40.038818100E-6	1.210940867E-3	137.151223131E-9	227.485945886E-9	4.574606509E-6	162.526532840E+0	-40.038818098E+0	1.210940867E+3	137.151223122E-3	227.485945872E-3	4.574606509E+0	299.997000000E+0
1.331558011E+3	1.399983105E+0	1.000000000E-6	162.531045867E-6	-39.903183500E-6	1.211606133E-3	106.713846650E-9	278.200113667E-9	5.995788254E-6	162.531045857E+0	-39.903183498E+0	1.211606133E+3	106.713846643E-3	278.200113649E-3	5.995788253E+0	299.997300000E+0
1.373822071E+3	1.499983398E+0	1.000000000E-6	162.554636867E-6	-39.880406592E-6	1.210582900E-3	108.727158175E-9	170.767751723E-9	5.354075206E-6	162.554636857E+0	-39.880406589E+0	1.210582900E+3	108.727158168E-3	170.767751712E-3	5.354075206E+0	299.999300000E+0
1.416102523E+3	1.599975977E+0	1.000000000E-6	162.579392433E-6	-39.773237595E-6	1.210902767E-3	114.461677145E-9	225.688135212E-9	6.153150052E-6	162.579392423E+0	-39.773237593E+0	1.210902767E+3	114.461677137E-3	225.688135198E-3	6.153150052E+0	300.000300000E+0
1.458358280E+3	1.699982813E+0	1.000000000E-6	162.569791117E-6	-39.862513803E-6	1.212051950E-3	116.861783035E-9	224.484095768E-9	5.854447372E-6	162.569791107E+0	-39.862513801E+0	1.212051950E+3	116.861783028E-3	224.484095754E-3	5.854447371E+0	300.004000000E+0
1.500659681E+3	1.799977539E+0	1.000000000E-6	162.587615967E-6	-39.676807082E-6	1.212728617E-3	137.905918338E-9	203.741314618E-9	5.327976129E-6	162.587615957E+0	-39.676807079E+0	1.212728617E+3	137.905918330E-3	203.741314606E-3	5.327976129E+0	300.002000000E+0
1.542940303E+3	1.899996484E+0	1.000000000E-6	162.642457617E-6	-39.479102043E-6	1.212604350E-3	129.373215183E-9	249.490363005E-9	4.916309816E-6	162.642457607E+0	-39.479102041E+0	1.212604350E+3	129.373215175E-3	249.490362990E-3	4.916309815E+0	300.002500000E+0
1.585208632E+3	1.999991211E+0	1.000000000E-6	162.660714033E-6	-39.679520120E-6	1.213019517E-3	110.486211530E-9	262.403805232E-9	6.029718667E-6	162.660714023E+0	-39.679520118E+0	1.213019517E+3	110.486211523E-3	262.403805215E-3	6.029718666E+0	300.000000000E+0
1.627546543E+3	2.099978516E+0	1.000000000E-6	162.714990517E-6	-39.467728468E-6	1.213003167E-3	116.597411126E-9	324.082350810E-9	6.621241570E-6	162.714990507E+0	-39.467728466E+0	1.213003167E+3	116.597411119E-3	324.082350789E-3	6.621241570E+0	299.996900000E+0
