[Main]
Experiment = ""
Header length = 65    
Date = "20181214 22:04:59"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "08"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Magnetic Field (T)	Temperature (K)
1.610952125E+3	840.000000000E-9	14.518001093E-3	-643.125533000E-6	116.766216667E-3	9.625181037E-6	41.726451035E-6	18.871015603E-6	17.283334635E+3	-765.625634524E+0	139.007400794E+3	11.458548854E+0	49.674346470E+0	22.465494765E+0	64.004784486E-6	-3.849619194E-3	8.341535844E-6	-41.356602311E-6	2.999200000E+0
1.616822312E+3	830.000000000E-9	14.358242373E-3	-632.980471600E-6	115.582076667E-3	9.429012984E-6	42.824660015E-6	24.256583654E-6	17.299087197E+3	-762.627074217E+0	139.255514056E+3	11.360256607E+0	51.595975921E+0	29.224799583E+0	62.594392344E-6	-985.701279245E-6	8.444947388E-6	-41.356602311E-6	3.000500000E+0
1.622669367E+3	820.000000000E-9	14.197868587E-3	-619.182868667E-6	114.376590000E-3	10.563712236E-6	42.211322516E-6	27.472285094E-6	17.314473886E+3	-755.101059350E+0	139.483646341E+3	12.882575898E+0	51.477222580E+0	33.502786700E+0	62.354329893E-6	-724.763572942E-6	8.295404899E-6	-41.356602311E-6	3.000800000E+0
1.628540331E+3	810.000000000E-9	14.039164633E-3	-605.031118900E-6	113.171403333E-3	9.404878245E-6	43.971194536E-6	23.289386118E-6	17.332302016E+3	-746.951998642E+0	139.717781893E+3	11.610960797E+0	54.285425353E+0	28.752328541E+0	63.010402639E-6	-706.626400613E-6	8.297469825E-6	-41.356602311E-6	2.999200000E+0
1.634417717E+3	800.000000000E-9	13.882729530E-3	-610.524083367E-6	111.958343333E-3	11.568589412E-6	43.806935614E-6	17.793483568E-6	17.353411912E+3	-763.155104208E+0	139.947929167E+3	14.460736765E+0	54.758669517E+0	22.241854460E+0	63.924271387E-6	1.820510593E-3	8.243615320E-6	-41.356602311E-6	3.001200000E+0
1.640322049E+3	790.000000000E-9	13.724599160E-3	-600.583664700E-6	110.749426667E-3	6.223799521E-6	41.845615942E-6	22.396488846E-6	17.372910329E+3	-760.232486962E+0	140.189147679E+3	7.878227241E+0	52.969134104E+0	28.349985881E+0	63.238959094E-6	-1.005993845E-3	8.271868753E-6	-41.356602311E-6	2.998500000E+0
1.646232917E+3	780.000000000E-9	13.558502210E-3	-590.768905333E-6	109.531143333E-3	9.271593131E-6	41.627334726E-6	19.045909749E-6	17.382695141E+3	-757.396032479E+0	140.424542735E+3	11.886657861E+0	53.368377854E+0	24.417833011E+0	60.205801491E-6	-1.018873681E-3	8.208271201E-6	-41.356602311E-6	2.999800000E+0
1.652083300E+3	770.000000000E-9	13.397297110E-3	-586.533551033E-6	108.296633333E-3	9.586210236E-6	43.461722676E-6	24.058683046E-6	17.399087156E+3	-761.731884459E+0	140.644978355E+3	12.449623684E+0	56.443795683E+0	31.245042916E+0	62.032776879E-6	-2.361077561E-3	8.100379908E-6	-41.356602311E-6	2.999600000E+0
1.657951896E+3	760.000000000E-9	13.239461033E-3	-587.232390367E-6	107.086363333E-3	11.615838458E-6	41.911802845E-6	18.563339536E-6	17.420343465E+3	-772.674197851E+0	140.903109649E+3	15.283997972E+0	55.147109007E+0	24.425446757E+0	63.356871326E-6	14.309440701E-3	8.262619085E-6	-41.356602311E-6	2.999100000E+0
1.663777858E+3	750.000000000E-9	13.079120763E-3	-575.579819467E-6	105.855950000E-3	9.258220275E-6	40.693087753E-6	15.384290016E-6	17.438827684E+3	-767.439759289E+0	141.141266667E+3	12.344293701E+0	54.257450338E+0	20.512386689E+0	62.367364106E-6	-858.179717233E-6	8.127350159E-6	-41.356602311E-6	2.999100000E+0
1.669623148E+3	740.000000000E-9	12.917301777E-3	-570.857056067E-6	104.625170000E-3	8.564751870E-6	42.371839374E-6	19.275697581E-6	17.455813212E+3	-771.428454144E+0	141.385364865E+3	11.573989013E+0	57.259242398E+0	26.048239975E+0	61.797445442E-6	-2.117404399E-3	8.124928907E-6	-41.356602311E-6	2.999500000E+0
1.675446160E+3	730.000000000E-9	12.743034197E-3	-556.211208733E-6	103.400320000E-3	9.923074973E-6	44.095774268E-6	26.154295487E-6	17.456211228E+3	-761.933162648E+0	141.644273973E+3	13.593253388E+0	60.405170231E+0	35.827802037E+0	57.383019837E-6	-682.787398530E-6	8.164265012E-6	-41.356602311E-6	2.998900000E+0
1.681328400E+3	720.000000000E-9	12.582368133E-3	-550.361203900E-6	102.146106667E-3	9.762189331E-6	40.340600605E-6	15.052069014E-6	17.475511296E+3	-764.390560972E+0	141.869592593E+3	13.558596293E+0	56.028611951E+0	20.905651409E+0	62.240897627E-6	-1.709400297E-3	7.973125252E-6	-41.356602311E-6	2.999400000E+0
1.687159307E+3	710.000000000E-9	12.422428440E-3	-533.497017567E-6	100.881783333E-3	7.609653836E-6	42.509286367E-6	24.634081848E-6	17.496378085E+3	-751.404250094E+0	142.087018779E+3	10.717822305E+0	59.872234319E+0	34.695889927E+0	62.523566174E-6	-592.972575275E-6	7.909369175E-6	-41.356602311E-6	3.000200000E+0
1.693008591E+3	700.000000000E-9	12.258673897E-3	-533.765021367E-6	99.661087333E-3	13.030137716E-6	43.083869037E-6	23.536418286E-6	17.512391281E+3	-762.521459095E+0	142.372981905E+3	18.614482452E+0	61.548384338E+0	33.623454695E+0	61.067007953E-6	37.312903772E-3	8.192047815E-6	-41.356602311E-6	2.999600000E+0
1.698869503E+3	690.000000000E-9	12.096378910E-3	-526.675061300E-6	98.412392000E-3	10.047878378E-6	43.076379415E-6	21.387880293E-6	17.530983928E+3	-763.297190290E+0	142.626655072E+3	14.562142576E+0	62.429535384E+0	30.996927962E+0	61.616197798E-6	-1.410445180E-3	8.008358591E-6	-41.356602311E-6	3.000600000E+0
1.704806546E+3	680.000000000E-9	11.931757880E-3	-509.221112633E-6	97.140217333E-3	10.422900445E-6	44.446398739E-6	32.102820043E-6	17.546702765E+3	-748.854577402E+0	142.853260784E+3	15.327794772E+0	65.362351087E+0	47.210029475E+0	60.745580319E-6	-572.936255914E-6	7.860555836E-6	-41.356602311E-6	3.000500000E+0
1.710644677E+3	670.000000000E-9	11.770544807E-3	-507.943900967E-6	95.896251333E-3	12.987535545E-6	45.263759725E-6	20.118740574E-6	17.567977323E+3	-758.125225323E+0	143.128733333E+3	19.384381411E+0	67.557850336E+0	30.027971007E+0	62.029708840E-6	-7.829555790E-3	8.038804919E-6	-41.356602311E-6	3.000300000E+0
1.716493080E+3	660.000000000E-9	11.601960763E-3	-497.697787433E-6	94.643970667E-3	10.289389883E-6	44.190016108E-6	27.658463684E-6	17.578728429E+3	-754.087556717E+0	143.399955556E+3	15.589984671E+0	66.954569861E+0	41.906763157E+0	59.317594965E-6	-975.979815905E-6	7.985430316E-6	-41.356602311E-6	3.000900000E+0
1.722390972E+3	650.000000000E-9	11.433764947E-3	-505.339921767E-6	93.363026667E-3	8.947266123E-6	39.217421795E-6	29.910246005E-6	17.590407610E+3	-777.446033487E+0	143.635425641E+3	13.765024805E+0	60.334495069E+0	46.015763085E+0	59.454510809E-6	1.308534967E-3	7.806742527E-6	-41.356602311E-6	3.001600000E+0
1.728239303E+3	640.000000000E-9	11.271082673E-3	-500.832297867E-6	92.089258000E-3	9.509258979E-6	39.093093561E-6	24.596371109E-6	17.611066677E+3	-782.550465417E+0	143.889465625E+3	14.858217155E+0	61.082958689E+0	38.431829858E+0	61.469512290E-6	-2.218463701E-3	7.850719100E-6	-41.356602311E-6	3.000800000E+0
1.734080509E+3	630.000000000E-9	11.100915387E-3	-481.137764533E-6	90.835777000E-3	9.768857092E-6	43.823200113E-6	23.601953915E-6	17.620500614E+3	-763.710737354E+0	144.183773016E+3	15.506122369E+0	69.560635100E+0	37.463418913E+0	58.765701657E-6	-507.755113094E-6	7.977783469E-6	-41.356602311E-6	2.999100000E+0
1.739955683E+3	620.000000000E-9	10.934389300E-3	-481.031429967E-6	89.538892333E-3	10.388501039E-6	42.182989971E-6	19.153988634E-6	17.636111774E+3	-775.857145108E+0	144.417568280E+3	16.755646838E+0	68.037080598E+0	30.893530054E+0	60.050651524E-6	-94.042796369E-3	7.710785899E-6	-41.356602311E-6	2.999500000E+0
1.745812212E+3	610.000000000E-9	10.766874370E-3	-477.837445267E-6	88.250228333E-3	7.210605774E-6	37.247003611E-6	20.231157787E-6	17.650613721E+3	-783.340074208E+0	144.672505464E+3	11.820665203E+0	61.060661658E+0	33.165832438E+0	59.696171559E-6	-3.130885380E-3	7.759974671E-6	-41.356602311E-6	3.000900000E+0
1.751661541E+3	600.000000000E-9	10.603579747E-3	-461.347261133E-6	86.956267333E-3	11.859164143E-6	42.786141946E-6	17.319324852E-6	17.672632911E+3	-768.912101889E+0	144.927112222E+3	19.765273572E+0	71.310236576E+0	28.865541420E+0	61.239003440E-6	-606.421366744E-6	7.728208192E-6	-41.356602311E-6	2.999700000E+0
1.757548732E+3	590.000000000E-9	10.431706997E-3	-446.861275467E-6	85.652062333E-3	8.767419591E-6	45.209401618E-6	11.594935483E-6	17.680859316E+3	-757.391992316E+0	145.172987006E+3	14.860033205E+0	76.626104437E+0	19.652433022E+0	58.182579845E-6	-690.322372955E-6	7.667506259E-6	-41.356602311E-6	3.000900000E+0
1.763435791E+3	580.000000000E-9	10.262715537E-3	-450.674995700E-6	84.355701667E-3	9.709541746E-6	42.244026360E-6	20.858532875E-6	17.694337132E+3	-777.025854655E+0	145.440864943E+3	16.740589217E+0	72.834528207E+0	35.962987715E+0	59.174587876E-6	2.622111583E-3	7.713902664E-6	-41.356602311E-6	2.999800000E+0
1.769358685E+3	570.000000000E-9	10.094366653E-3	-440.509551033E-6	83.040140000E-3	10.460586448E-6	43.730221709E-6	23.339156531E-6	17.709415181E+3	-772.823773743E+0	145.684456140E+3	18.351906048E+0	76.719687209E+0	40.945888651E+0	59.400453404E-6	-983.724797872E-6	7.601316041E-6	-41.356602311E-6	2.998300000E+0
1.775356486E+3	560.000000000E-9	9.932246925E-3	-417.551757800E-6	81.726769000E-3	88.571654618E-6	64.046408235E-6	27.227969184E-6	17.736155223E+3	-745.628138929E+0	145.940658929E+3	158.163668960E+0	114.368586134E+0	48.621373542E+0	61.682807532E-6	-435.581935004E-6	7.613994827E-6	-41.356602311E-6	3.000600000E+0
1.784897960E+3	550.000000000E-9	9.720044791E-3	-439.868070300E-6	80.424491000E-3	102.884778956E-6	98.252557182E-6	26.158557029E-6	17.672808711E+3	-799.760127818E+0	146.226347273E+3	187.063234465E+0	178.641013058E+0	47.561012781E+0	47.124879526E-6	448.102705140E-6	7.678851981E-6	-41.356602311E-6	3.000100000E+0
1.794463284E+3	540.000000000E-9	9.567865241E-3	-404.735116100E-6	79.109164000E-3	99.435871001E-6	71.281573500E-6	31.552324424E-6	17.718268965E+3	-749.509474259E+0	146.498451852E+3	184.140501854E+0	132.002913889E+0	58.430230415E+0	65.711851560E-6	-284.633052577E-6	7.602672187E-6	-41.356602311E-6	2.999700000E+0
1.804042034E+3	530.000000000E-9	9.430578421E-3	-389.446067400E-6	77.769047333E-3	52.461251414E-6	48.791424237E-6	20.541636428E-6	17.793544190E+3	-734.803900755E+0	146.734051572E+3	98.983493234E+0	92.059291013E+0	38.757804581E+0	72.840204003E-6	-654.062930678E-6	7.462036887E-6	-41.356602311E-6	2.999900000E+0
1.813689916E+3	520.000000000E-9	9.247874487E-3	-393.019720433E-6	76.474998000E-3	108.648162813E-6	71.471247479E-6	23.499441138E-6	17.784374013E+3	-755.807154679E+0	147.067303846E+3	208.938774640E+0	137.444706690E+0	45.191232957E+0	54.733358943E-6	2.798257107E-3	7.727680655E-6	-41.356602311E-6	2.999000000E+0
1.823360004E+3	510.000000000E-9	9.093712819E-3	-356.031565267E-6	75.134001667E-3	59.310885856E-6	24.539750470E-6	21.991145096E-6	17.830809449E+3	-698.101108366E+0	147.321571895E+3	116.295854620E+0	48.117157784E+0	43.119892346E+0	64.866968238E-6	-270.356819769E-6	7.457141941E-6	-41.356602311E-6	2.999600000E+0
1.832986846E+3	500.000000000E-9	8.887405716E-3	-385.247582767E-6	73.785925000E-3	97.387195158E-6	97.671268513E-6	27.327536290E-6	17.774811432E+3	-770.495165533E+0	147.571850000E+3	194.774390316E+0	195.342537027E+0	54.655072579E+0	48.471428538E-6	342.277998704E-6	7.417975733E-6	-41.356602311E-6	3.000000000E+0
1.842598576E+3	490.000000000E-9	8.766696965E-3	-353.598974333E-6	72.440881000E-3	59.812749075E-6	32.592315318E-6	17.675905547E-6	17.891218295E+3	-721.630559864E+0	147.838532653E+3	122.066834846E+0	66.514929220E+0	36.073276626E+0	82.844034832E-6	-315.969658542E-6	7.434701021E-6	-41.356602311E-6	2.999900000E+0
1.852293810E+3	480.000000000E-9	8.552483976E-3	-336.299188500E-6	71.078439000E-3	91.174209988E-6	29.192938122E-6	23.062750135E-6	17.817674949E+3	-700.623309375E+0	148.080081250E+3	189.946270808E+0	60.818621087E+0	48.047396115E+0	46.682509995E-6	-578.041837994E-6	7.339761986E-6	-41.356602311E-6	3.001200000E+0
1.861998307E+3	470.000000000E-9	8.424229310E-3	-343.018942967E-6	69.700812000E-3	66.998238725E-6	58.288445420E-6	21.797271484E-6	17.923892149E+3	-729.827538227E+0	148.299600000E+3	142.549444096E+0	124.017968980E+0	46.377173370E+0	77.969873049E-6	1.488149612E-3	7.258858893E-6	-41.356602311E-6	2.999400000E+0
1.871700115E+3	460.000000000E-9	8.232283468E-3	-326.637745533E-6	68.335225000E-3	28.851185853E-6	30.333953461E-6	18.268647677E-6	17.896268409E+3	-710.082055507E+0	148.554836957E+3	62.719969247E+0	65.943377089E+0	39.714451471E+0	52.098028867E-6	-610.455984106E-6	7.322858229E-6	-41.356602311E-6	2.998700000E+0
1.881395576E+3	450.000000000E-9	8.059451305E-3	-334.096599233E-6	66.953505000E-3	73.789410881E-6	57.671998714E-6	19.844306358E-6	17.909891789E+3	-742.436887185E+0	148.785566667E+3	163.976468624E+0	128.159997142E+0	44.098458573E+0	57.859600940E-6	1.340688583E-3	7.237356338E-6	-41.356602311E-6	3.000900000E+0
1.891124571E+3	440.000000000E-9	7.876593739E-3	-324.194351567E-6	65.559023333E-3	86.245082699E-6	61.264933036E-6	22.139151050E-6	17.901349408E+3	-736.805344470E+0	148.997780303E+3	196.011551588E+0	139.238484172E+0	50.316252385E+0	54.687373550E-6	-1.009871732E-3	7.171123321E-6	-41.356602311E-6	3.000200000E+0
1.900835754E+3	430.000000000E-9	7.731404141E-3	-330.948161167E-6	64.171929000E-3	67.911617255E-6	65.856372264E-6	27.136708228E-6	17.980009631E+3	-769.646886434E+0	149.237044186E+3	157.933993617E+0	153.154354101E+0	63.108623786E+0	68.875457593E-6	1.480645827E-3	7.209315012E-6	-41.356602311E-6	2.999300000E+0
1.910550980E+3	420.000000000E-9	7.563965868E-3	-311.054434600E-6	62.782629667E-3	51.597469582E-6	62.705713187E-6	21.887414977E-6	18.009442544E+3	-740.605796667E+0	149.482451587E+3	122.851118052E+0	149.299317112E+0	52.112892802E+0	59.723501807E-6	-502.671028803E-6	7.197872885E-6	-41.356602311E-6	2.999500000E+0
1.920234087E+3	410.000000000E-9	7.385293278E-3	-320.212314533E-6	61.379731667E-3	68.691287109E-6	76.808302220E-6	21.546114792E-6	18.012910433E+3	-781.005645203E+0	149.706662602E+3	167.539724656E+0	187.337322488E+0	52.551499493E+0	55.968293529E-6	1.091955788E-3	7.128101972E-6	-41.356602311E-6	2.999900000E+0
1.929960161E+3	400.000000000E-9	7.173562860E-3	-299.432456933E-6	59.974179333E-3	72.980131469E-6	65.600752784E-6	17.060168357E-6	17.933907151E+3	-748.581142333E+0	149.935448333E+3	182.450328673E+0	164.001881961E+0	42.650420892E+0	47.229869595E-6	-481.235251583E-6	7.114640816E-6	-41.356602311E-6	2.999000000E+0
1.939497377E+3	390.000000000E-9	7.036535872E-3	-301.580814067E-6	58.565731333E-3	79.677426405E-6	77.453986559E-6	23.043141508E-6	18.042399672E+3	-773.284138632E+0	150.168541880E+3	204.301093346E+0	198.599965535E+0	59.084978227E+0	72.978324355E-6	4.654719574E-3	7.100013632E-6	-41.356602311E-6	2.999200000E+0
1.949189379E+3	380.000000000E-9	6.861352202E-3	-289.284603667E-6	57.145446667E-3	35.133519559E-6	62.788679933E-6	25.351117820E-6	18.056190006E+3	-761.275272807E+0	150.382754386E+3	92.456630419E+0	165.233368246E+0	66.713467947E+0	57.082946253E-6	-813.258693101E-6	7.040842047E-6	-41.356602311E-6	3.001000000E+0
1.958898868E+3	370.000000000E-9	6.637986042E-3	-282.272614167E-6	55.713049000E-3	88.361595115E-6	63.716162406E-6	22.739627927E-6	17.940502815E+3	-762.898957207E+0	150.575808108E+3	238.815121932E+0	172.205844340E+0	61.458453858E+0	44.769538815E-6	-1.426128776E-3	6.981301515E-6	-41.356602311E-6	3.000500000E+0
1.968629574E+3	360.000000000E-9	6.495264644E-3	-269.011207000E-6	54.288604667E-3	68.012789707E-6	49.225556580E-6	19.190528686E-6	18.042401789E+3	-747.253352778E+0	150.801679630E+3	188.924415852E+0	136.737657165E+0	53.307024129E+0	70.066578407E-6	-754.067790418E-6	7.020281359E-6	-41.356602311E-6	2.999500000E+0
1.977979965E+3	350.000000000E-9	6.305879398E-3	-262.205140300E-6	52.847959667E-3	104.534671677E-6	55.026818104E-6	20.072145648E-6	18.016798281E+3	-749.157543714E+0	150.994170476E+3	298.670490505E+0	157.219480297E+0	57.348987566E+0	52.802423783E-6	-1.469277402E-3	6.941335305E-6	-41.356602311E-6	2.999800000E+0
1.987684303E+3	340.000000000E-9	6.136564993E-3	-262.470902933E-6	51.399369667E-3	94.097372809E-6	56.380585388E-6	22.356589013E-6	18.048720567E+3	-771.973243922E+0	151.174616667E+3	276.756978850E+0	165.825251141E+0	65.754673568E+0	59.061719885E-6	37.627562139E-3	6.903264554E-6	-41.356602311E-6	2.998500000E+0
1.997405991E+3	330.000000000E-9	5.957898200E-3	-256.122760833E-6	49.946169667E-3	81.617689484E-6	72.011364799E-6	19.409452813E-6	18.054236970E+3	-776.129578283E+0	151.352029293E+3	247.326331768E+0	218.216256966E+0	58.816523676E+0	55.970109782E-6	-1.575264045E-3	6.881365263E-6	-41.356602311E-6	3.001100000E+0
2.007099622E+3	320.000000000E-9	5.786259081E-3	-245.064790633E-6	48.488561000E-3	72.955454922E-6	64.431633176E-6	17.922700757E-6	18.082059629E+3	-765.827470729E+0	151.526753125E+3	227.985796632E+0	201.348853674E+0	56.008439865E+0	58.261776672E-6	-904.325099375E-6	6.860551963E-6	-41.356602311E-6	2.999700000E+0
2.016466490E+3	310.000000000E-9	5.632683382E-3	-238.813370000E-6	47.033697333E-3	78.128080394E-6	63.388482297E-6	14.025825917E-6	18.169946395E+3	-770.365709677E+0	151.721604301E+3	252.026065787E+0	204.478975150E+0	45.244599731E+0	65.114468403E-6	-1.599636401E-3	6.873496279E-6	-41.356602311E-6	3.000000000E+0
2.026189072E+3	300.000000000E-9	5.425111715E-3	-216.505326200E-6	45.575455333E-3	90.636527306E-6	58.860877705E-6	17.798147857E-6	18.083705717E+3	-721.684420667E+0	151.918184444E+3	302.121757686E+0	196.202925683E+0	59.327159522E+0	48.176131784E-6	-448.268798898E-6	6.857572337E-6	-41.356602311E-6	3.001000000E+0
2.035854952E+3	290.000000000E-9	5.234429417E-3	-220.941753533E-6	44.105501000E-3	91.186964180E-6	59.124518868E-6	14.777237470E-6	18.049756610E+3	-761.868115632E+0	152.087934483E+3	314.437807517E+0	203.877651270E+0	50.955991275E+0	52.443253018E-6	2.254065997E-3	6.802932427E-6	-41.356602311E-6	3.001200000E+0
2.045568566E+3	280.000000000E-9	5.078622734E-3	-209.388977500E-6	42.617933333E-3	85.098258452E-6	59.754977083E-6	17.774040026E-6	18.137938336E+3	-747.817776786E+0	152.206904762E+3	303.922351613E+0	213.410632438E+0	63.478714379E+0	64.182099301E-6	-865.592821253E-6	6.722383273E-6	-41.356602311E-6	2.999600000E+0
2.055263197E+3	270.000000000E-9	4.928001866E-3	-209.187374200E-6	41.127685667E-3	54.466393586E-6	37.761956881E-6	16.385828546E-6	18.251858764E+3	-774.768052593E+0	152.324761728E+3	201.727383652E+0	139.859099561E+0	60.688253873E+0	66.391862927E-6	-49.602362660E-3	6.710294016E-6	-41.356602311E-6	2.999600000E+0
2.064946159E+3	260.000000000E-9	4.700112533E-3	-181.164013513E-6	39.636364333E-3	78.436808857E-6	59.887004040E-6	17.090029697E-6	18.077355895E+3	-696.784667359E+0	152.447555128E+3	301.680034067E+0	230.334630922E+0	65.730883451E+0	43.880947998E-6	-356.845137591E-6	6.705462985E-6	-41.356602311E-6	2.999900000E+0
2.074682203E+3	250.000000000E-9	4.525923416E-3	-209.239434100E-6	38.139935333E-3	113.518768395E-6	79.492859316E-6	15.124380804E-6	18.103693663E+3	-836.957736400E+0	152.559741333E+3	454.075073580E+0	317.971437264E+0	60.497523217E+0	57.408867857E-6	356.183444132E-6	6.682575652E-6	-41.356602311E-6	2.999700000E+0
2.084434400E+3	240.000000000E-9	4.356460450E-3	-197.592194600E-6	36.639977000E-3	99.659338290E-6	61.026258082E-6	17.301848048E-6	18.151918543E+3	-823.300810833E+0	152.666570833E+3	415.247242877E+0	254.276075340E+0	72.091033532E+0	59.009943443E-6	-858.572539871E-6	6.666851857E-6	-41.356602311E-6	2.999500000E+0
2.094122527E+3	230.000000000E-9	4.210523575E-3	-186.435627633E-6	35.134412667E-3	56.939761948E-6	61.634544989E-6	14.071467079E-6	18.306624241E+3	-810.589685362E+0	152.758315942E+3	247.564182381E+0	267.976282562E+0	61.180291647E+0	68.522777399E-6	-896.333077180E-6	6.642027696E-6	-41.356602311E-6	2.999700000E+0
2.103874804E+3	220.000000000E-9	4.006097898E-3	-176.723917233E-6	33.622781667E-3	100.580668142E-6	62.247057477E-6	19.346667909E-6	18.209535898E+3	-803.290532879E+0	152.830825758E+3	457.184855193E+0	282.941170348E+0	87.939399588E+0	48.917533815E-6	-1.029684740E-3	6.615371079E-6	-41.356602311E-6	2.999100000E+0
2.113632429E+3	210.000000000E-9	3.814839378E-3	-179.727007400E-6	32.117998667E-3	92.330728586E-6	79.010964760E-6	15.665317002E-6	18.165901800E+3	-855.842892381E+0	152.942850794E+3	439.670136125E+0	376.242689333E+0	74.596747630E+0	52.285252534E-6	3.329903348E-3	6.645476457E-6	-41.356602311E-6	2.999400000E+0
2.123385863E+3	200.000000000E-9	3.636465560E-3	-171.060704400E-6	30.599768000E-3	110.179763777E-6	77.597413908E-6	16.899861946E-6	18.182327800E+3	-855.303522000E+0	152.998840000E+3	550.898818884E+0	387.987069539E+0	84.499309730E+0	56.062039329E-6	-1.153894573E-3	6.586614419E-6	-41.356602311E-6	3.000200000E+0
2.133125214E+3	190.000000000E-9	3.458593302E-3	-150.700291000E-6	29.078641667E-3	36.246059587E-6	64.987740979E-6	14.605814639E-6	18.203122644E+3	-793.159426316E+0	153.045482456E+3	190.768734666E+0	342.040741995E+0	76.872708626E+0	56.220121851E-6	-491.149163013E-6	6.574075920E-6	-41.356602311E-6	3.000600000E+0
2.142881655E+3	180.000000000E-9	3.282161604E-3	-160.890802633E-6	27.565234667E-3	89.632409021E-6	79.068744391E-6	19.557101670E-6	18.234231135E+3	-893.837792407E+0	153.140192593E+3	497.957827897E+0	439.270802172E+0	108.650564836E+0	56.679157506E-6	981.304998199E-6	6.607607868E-6	-41.356602311E-6	3.000500000E+0
2.152290803E+3	170.000000000E-9	3.112606801E-3	-133.746003533E-6	26.046193000E-3	60.866145868E-6	61.851343779E-6	19.378024907E-6	18.309451769E+3	-786.741197255E+0	153.212900000E+3	358.036152162E+0	363.831433992E+0	113.988381808E+0	58.977981064E-6	-368.394695542E-6	6.583097896E-6	-41.356602311E-6	2.999800000E+0
2.162007008E+3	160.000000000E-9	2.921343841E-3	-146.767896633E-6	24.517382000E-3	73.115200966E-6	61.585757287E-6	20.770784422E-6	18.258399006E+3	-917.299353958E+0	153.233637500E+3	456.970006040E+0	384.910983042E+0	129.817402639E+0	52.284038778E-6	767.937497506E-6	6.541030906E-6	-41.356602311E-6	2.999500000E+0
2.171824053E+3	150.000000000E-9	2.701510785E-3	-127.620518080E-6	22.999964667E-3	117.786455256E-6	59.036350737E-6	19.484255312E-6	18.010071900E+3	-850.803453867E+0	153.333097778E+3	785.243035042E+0	393.575671583E+0	129.895035412E+0	45.489064211E-6	-522.264704390E-6	6.590144834E-6	-41.356602311E-6	2.999400000E+0
2.181635139E+3	140.000000000E-9	2.556450278E-3	-106.065825943E-6	21.473311333E-3	12.663636998E-6	14.566083997E-6	15.112338812E-6	18.260359126E+3	-757.613042452E+0	153.380795238E+3	90.454549989E+0	104.043457124E+0	107.945277228E+0	68.936750490E-6	-463.936108973E-6	6.550275548E-6	-41.356602311E-6	3.000200000E+0
2.187693579E+3	130.000000000E-9	2.381233584E-3	-92.849622130E-6	19.953193667E-3	18.324798357E-6	20.897002547E-6	20.411214207E-6	18.317181418E+3	-714.227862538E+0	153.486105128E+3	140.959987364E+0	160.746173441E+0	157.009340054E+0	57.072187642E-6	-756.646926851E-6	6.578438117E-6	-41.356602311E-6	3.000400000E+0
2.193749624E+3	120.000000000E-9	2.183557529E-3	-89.410044493E-6	18.433043667E-3	5.289279630E-6	8.541815750E-6	15.178124568E-6	18.196312744E+3	-745.083704111E+0	153.608697222E+3	44.077330253E+0	71.181797920E+0	126.484371400E+0	50.587816516E-6	-2.907333707E-3	6.578298194E-6	-41.356602311E-6	2.999600000E+0
