[Main]
Experiment = "VvsI"
Header length = 74    
Date = "20181215 10:23:59"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 9.000000E+0
Final field (T) = -9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
919.952721596E+0	9.000025781E+0	1.000000000E-6	470.483822767E-6	-69.116335292E-6	3.946162183E-3	43.009377231E-6	418.766198280E-9	7.004740352E-6	470.483822737E+0	-69.116335287E+0	3.946162183E+3	43.009377228E+0	418.766198254E-3	7.004740352E+0	199.999600000E+0
963.254962444E+0	8.900017187E+0	1.000000000E-6	468.965818733E-6	-69.495116815E-6	3.944540433E-3	50.468603527E-6	583.439743553E-9	4.738725389E-6	468.965818704E+0	-69.495116811E+0	3.944540433E+3	50.468603524E+0	583.439743517E-3	4.738725389E+0	199.999000000E+0
1.006403186E+3	8.800017969E+0	1.000000000E-6	476.205176717E-6	-69.363235513E-6	3.942659867E-3	36.296517327E-6	689.267388640E-9	12.873294850E-6	476.205176687E+0	-69.363235509E+0	3.942659866E+3	36.296517325E+0	689.267388597E-3	12.873294849E+0	199.999000000E+0
1.049619186E+3	8.700017969E+0	1.000000000E-6	473.653907600E-6	-69.468335192E-6	3.942988300E-3	47.389152978E-6	542.567845654E-9	7.871828069E-6	473.653907571E+0	-69.468335187E+0	3.942988300E+3	47.389152975E+0	542.567845620E-3	7.871828068E+0	200.001900000E+0
1.092701320E+3	8.600017969E+0	1.000000000E-6	470.169455267E-6	-69.672830502E-6	3.940490483E-3	22.006878686E-6	508.206184813E-9	6.209753144E-6	470.169455237E+0	-69.672830497E+0	3.940490483E+3	22.006878684E+0	508.206184782E-3	6.209753144E+0	199.998900000E+0
1.135791948E+3	8.500017969E+0	1.000000000E-6	470.040397533E-6	-69.704141928E-6	3.941196933E-3	22.014075443E-6	561.104834936E-9	6.376770449E-6	470.040397504E+0	-69.704141924E+0	3.941196933E+3	22.014075442E+0	561.104834901E-3	6.376770449E+0	199.999900000E+0
1.178967878E+3	8.400012500E+0	1.000000000E-6	464.443641417E-6	-69.537848562E-6	3.937906283E-3	31.306782714E-6	500.240549738E-9	8.036878497E-6	464.443641388E+0	-69.537848557E+0	3.937906283E+3	31.306782712E+0	500.240549707E-3	8.036878497E+0	199.998600000E+0
1.222110044E+3	8.300017969E+0	1.000000000E-6	468.031670833E-6	-69.704905885E-6	3.936295150E-3	47.539838558E-6	518.476273146E-9	8.156749349E-6	468.031670804E+0	-69.704905881E+0	3.936295150E+3	47.539838555E+0	518.476273114E-3	8.156749348E+0	199.999000000E+0
1.265297219E+3	8.200021094E+0	1.000000000E-6	463.243231833E-6	-69.553320003E-6	3.936644400E-3	60.084006295E-6	520.294731083E-9	9.880826918E-6	463.243231805E+0	-69.553319999E+0	3.936644400E+3	60.084006291E+0	520.294731051E-3	9.880826917E+0	200.000500000E+0
1.308434121E+3	8.100021875E+0	1.000000000E-6	474.088366350E-6	-69.588449157E-6	3.934359600E-3	41.054803876E-6	555.726711849E-9	7.121065643E-6	474.088366321E+0	-69.588449152E+0	3.934359600E+3	41.054803873E+0	555.726711815E-3	7.121065643E+0	199.999400000E+0
1.351619649E+3	8.000021094E+0	1.000000000E-6	473.701077300E-6	-69.664570352E-6	3.935006200E-3	46.872269492E-6	568.216607077E-9	6.233853407E-6	473.701077271E+0	-69.664570347E+0	3.935006200E+3	46.872269489E+0	568.216607041E-3	6.233853406E+0	200.002100000E+0
1.394732264E+3	7.900014844E+0	1.000000000E-6	473.879250183E-6	-69.495785470E-6	3.931974033E-3	52.152117015E-6	491.946256351E-9	6.765008774E-6	473.879250154E+0	-69.495785466E+0	3.931974033E+3	52.152117012E+0	491.946256320E-3	6.765008774E+0	199.998300000E+0
1.437934112E+3	7.800017969E+0	1.000000000E-6	467.287767650E-6	-69.728823045E-6	3.930866850E-3	54.835089804E-6	608.312987933E-9	7.003801415E-6	467.287767621E+0	-69.728823041E+0	3.930866850E+3	54.835089800E+0	608.312987895E-3	7.003801415E+0	199.998900000E+0
1.481093476E+3	7.700014844E+0	1.000000000E-6	465.154736900E-6	-69.851278610E-6	3.930982567E-3	38.987726962E-6	692.744249034E-9	8.679178602E-6	465.154736871E+0	-69.851278606E+0	3.930982566E+3	38.987726960E+0	692.744248991E-3	8.679178602E+0	199.997900000E+0
1.524209948E+3	7.600014844E+0	1.000000000E-6	464.906391767E-6	-69.681699760E-6	3.928268100E-3	26.742247592E-6	574.781128518E-9	5.676729529E-6	464.906391738E+0	-69.681699756E+0	3.928268100E+3	26.742247591E+0	574.781128482E-3	5.676729529E+0	199.999900000E+0
1.567325423E+3	7.500020313E+0	1.000000000E-6	466.712245317E-6	-69.860911617E-6	3.927318200E-3	25.251489576E-6	525.918945842E-9	5.092134484E-6	466.712245288E+0	-69.860911612E+0	3.927318200E+3	25.251489574E+0	525.918945810E-3	5.092134484E+0	199.997700000E+0
1.610489787E+3	7.400015625E+0	1.000000000E-6	468.192413750E-6	-69.747832870E-6	3.926393283E-3	27.890715506E-6	587.622089581E-9	6.665505975E-6	468.192413721E+0	-69.747832866E+0	3.926393283E+3	27.890715504E+0	587.622089545E-3	6.665505975E+0	199.999800000E+0
1.653692908E+3	7.300018750E+0	1.000000000E-6	478.343940500E-6	-69.742515107E-6	3.924993800E-3	42.333838260E-6	704.856809311E-9	5.987799027E-6	478.343940470E+0	-69.742515102E+0	3.924993800E+3	42.333838258E+0	704.856809268E-3	5.987799027E+0	200.000000000E+0
1.696908051E+3	7.200010156E+0	1.000000000E-6	466.111297083E-6	-69.927430098E-6	3.923881017E-3	71.191644019E-6	550.149779440E-9	5.795795399E-6	466.111297054E+0	-69.927430094E+0	3.923881016E+3	71.191644014E+0	550.149779406E-3	5.795795398E+0	199.999600000E+0
1.740015796E+3	7.100003906E+0	1.000000000E-6	456.062060200E-6	-70.057274555E-6	3.924165400E-3	42.066510315E-6	692.710346714E-9	5.116572708E-6	456.062060172E+0	-70.057274551E+0	3.924165400E+3	42.066510312E+0	692.710346671E-3	5.116572708E+0	200.000000000E+0
1.783168576E+3	7.000014844E+0	1.000000000E-6	468.370540433E-6	-70.059328640E-6	3.921727800E-3	32.063025104E-6	548.354860643E-9	6.825047676E-6	468.370540404E+0	-70.059328636E+0	3.921727800E+3	32.063025102E+0	548.354860609E-3	6.825047675E+0	199.999300000E+0
1.826269252E+3	6.900019531E+0	1.000000000E-6	457.872239383E-6	-70.305305075E-6	3.922017767E-3	46.755930346E-6	528.246137201E-9	4.720284360E-6	457.872239355E+0	-70.305305071E+0	3.922017766E+3	46.755930344E+0	528.246137168E-3	4.720284359E+0	200.001900000E+0
1.869404907E+3	6.800021875E+0	1.000000000E-6	445.550365517E-6	-70.264662877E-6	3.919655600E-3	74.985655670E-6	579.638327619E-9	6.244963720E-6	445.550365489E+0	-70.264662872E+0	3.919655600E+3	74.985655666E+0	579.638327583E-3	6.244963720E+0	199.999600000E+0
1.912496101E+3	6.700018750E+0	1.000000000E-6	477.603367517E-6	-70.498807617E-6	3.918845067E-3	41.698516627E-6	469.436648085E-9	5.987791704E-6	477.603367487E+0	-70.498807612E+0	3.918845066E+3	41.698516625E+0	469.436648056E-3	5.987791703E+0	199.999500000E+0
1.955678527E+3	6.600018750E+0	1.000000000E-6	457.896794217E-6	-70.328021063E-6	3.918114100E-3	53.845849645E-6	542.628109354E-9	5.482167885E-6	457.896794188E+0	-70.328021059E+0	3.918114100E+3	53.845849641E+0	542.628109320E-3	5.482167885E+0	199.999600000E+0
1.998740288E+3	6.500016406E+0	1.000000000E-6	451.465887533E-6	-70.452420405E-6	3.914371517E-3	74.830201895E-6	543.122922655E-9	7.992755936E-6	451.465887505E+0	-70.452420401E+0	3.914371516E+3	74.830201891E+0	543.122922622E-3	7.992755936E+0	199.997600000E+0
2.042399013E+3	6.400012891E+0	1.000000000E-6	464.395799317E-6	-70.397117563E-6	3.913838283E-3	48.859513689E-6	631.120926939E-9	7.399629988E-6	464.395799288E+0	-70.397117559E+0	3.913838283E+3	48.859513686E+0	631.120926899E-3	7.399629988E+0	199.999000000E+0
2.085944056E+3	6.300025000E+0	1.000000000E-6	469.777694500E-6	-70.600428382E-6	3.913887300E-3	71.707509935E-6	606.889020725E-9	5.901424750E-6	469.777694471E+0	-70.600428377E+0	3.913887300E+3	71.707509931E+0	606.889020688E-3	5.901424750E+0	199.997600000E+0
2.129047172E+3	6.200013281E+0	1.000000000E-6	461.166694983E-6	-70.456913797E-6	3.912181550E-3	47.406013606E-6	735.895796514E-9	7.507648034E-6	461.166694955E+0	-70.456913792E+0	3.912181550E+3	47.406013603E+0	735.895796468E-3	7.507648034E+0	200.001200000E+0
2.172137626E+3	6.100011719E+0	1.000000000E-6	459.288589400E-6	-70.611060667E-6	3.911560700E-3	61.570765413E-6	569.226018657E-9	5.511009260E-6	459.288589371E+0	-70.611060662E+0	3.911560700E+3	61.570765409E+0	569.226018622E-3	5.511009260E+0	199.999800000E+0
2.215269967E+3	6.000012109E+0	1.000000000E-6	467.346083350E-6	-70.790663515E-6	3.909486300E-3	45.184317398E-6	499.684887222E-9	6.267412144E-6	467.346083321E+0	-70.790663511E+0	3.909486300E+3	45.184317395E+0	499.684887191E-3	6.267412144E+0	199.999000000E+0
2.258373170E+3	5.900022266E+0	1.000000000E-6	456.614852383E-6	-71.028928772E-6	3.909358883E-3	63.027417853E-6	533.698065821E-9	6.225687853E-6	456.614852355E+0	-71.028928767E+0	3.909358883E+3	63.027417849E+0	533.698065788E-3	6.225687853E+0	199.998100000E+0
2.301484681E+3	5.800012109E+0	1.000000000E-6	460.898987900E-6	-70.933641568E-6	3.909566417E-3	38.092084996E-6	623.840217868E-9	8.167374948E-6	460.898987871E+0	-70.933641564E+0	3.909566416E+3	38.092084994E+0	623.840217830E-3	8.167374947E+0	200.000400000E+0
2.344561499E+3	5.700018750E+0	1.000000000E-6	459.044919250E-6	-70.750366475E-6	3.906344833E-3	40.521223794E-6	689.602916657E-9	5.985165607E-6	459.044919221E+0	-70.750366471E+0	3.906344833E+3	40.521223792E+0	689.602916614E-3	5.985165607E+0	200.001100000E+0
2.387644184E+3	5.600025781E+0	1.000000000E-6	464.325312833E-6	-71.035433543E-6	3.905648767E-3	45.564004869E-6	701.905837683E-9	5.164340884E-6	464.325312804E+0	-71.035433539E+0	3.905648766E+3	45.564004866E+0	701.905837639E-3	5.164340884E+0	200.001600000E+0
2.430722350E+3	5.500024219E+0	1.000000000E-6	460.124269300E-6	-71.174260843E-6	3.904835200E-3	64.585286007E-6	720.601004778E-9	5.546734286E-6	460.124269271E+0	-71.174260839E+0	3.904835200E+3	64.585286003E+0	720.601004733E-3	5.546734286E+0	199.999500000E+0
2.473850103E+3	5.400022266E+0	1.000000000E-6	466.790549967E-6	-70.983630935E-6	3.904001667E-3	53.515826979E-6	607.293594567E-9	5.996422328E-6	466.790549938E+0	-70.983630931E+0	3.904001666E+3	53.515826976E+0	607.293594529E-3	5.996422328E+0	199.998200000E+0
2.516972643E+3	5.300031641E+0	1.000000000E-6	471.762276300E-6	-70.953458133E-6	3.901994883E-3	47.737404171E-6	642.896575797E-9	6.414086132E-6	471.762276271E+0	-70.953458129E+0	3.901994883E+3	47.737404168E+0	642.896575757E-3	6.414086132E+0	199.999000000E+0
2.560174727E+3	5.200023047E+0	1.000000000E-6	460.326129350E-6	-71.137979172E-6	3.903460917E-3	48.770665414E-6	718.178025791E-9	6.896987764E-6	460.326129321E+0	-71.137979167E+0	3.903460916E+3	48.770665411E+0	718.178025746E-3	6.896987763E+0	200.000200000E+0
2.603327815E+3	5.100025781E+0	1.000000000E-6	466.082759300E-6	-71.159533828E-6	3.902332600E-3	42.512180622E-6	541.834661801E-9	6.660467379E-6	466.082759271E+0	-71.159533824E+0	3.902332600E+3	42.512180620E+0	541.834661768E-3	6.660467378E+0	200.001300000E+0
2.646445294E+3	5.000006641E+0	1.000000000E-6	460.523626550E-6	-71.466647008E-6	3.900054033E-3	46.794923275E-6	512.229695287E-9	7.414641047E-6	460.523626521E+0	-71.466647004E+0	3.900054033E+3	46.794923272E+0	512.229695255E-3	7.414641046E+0	200.001500000E+0
2.689635361E+3	4.900021875E+0	1.000000000E-6	477.216090983E-6	-71.326380490E-6	3.900631417E-3	59.462798930E-6	663.921371287E-9	5.192134736E-6	477.216090954E+0	-71.326380486E+0	3.900631416E+3	59.462798926E+0	663.921371246E-3	5.192134736E+0	199.999600000E+0
2.733234289E+3	4.800022656E+0	1.000000000E-6	453.772340833E-6	-71.424311092E-6	3.898898350E-3	59.111497148E-6	630.540872321E-9	6.463470178E-6	453.772340805E+0	-71.424311087E+0	3.898898350E+3	59.111497144E+0	630.540872281E-3	6.463470178E+0	199.999600000E+0
2.777069137E+3	4.700008594E+0	1.000000000E-6	466.574511367E-6	-71.686808100E-6	3.900140817E-3	63.640422310E-6	627.429761827E-9	6.251022020E-6	466.574511338E+0	-71.686808096E+0	3.900140816E+3	63.640422306E+0	627.429761788E-3	6.251022020E+0	200.000500000E+0
2.820182923E+3	4.600019141E+0	1.000000000E-6	458.696187850E-6	-71.626894490E-6	3.899494483E-3	80.540937796E-6	633.979880719E-9	6.381733703E-6	458.696187821E+0	-71.626894486E+0	3.899494483E+3	80.540937791E+0	633.979880679E-3	6.381733702E+0	199.996800000E+0
