[Main]
Experiment = ""
Header length = 58    
Date = "20181213 18:12:55"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Magnetic Field (T)	Temperature (K)
544.207199097E+0	-280.000000000E-9	-4.138038147E-3	-301.658473333E-3	7.959895425E-6	188.063945349E-6	14.778707667E+3	1.077351690E+6	28.428197945E+0	671.656947675E+0	74.932543851E-6	917.875253410E-9	-4.353326932E-6	2.000500000E+0
553.173078537E+0	-270.000000000E-9	-4.014335308E-3	-291.276493333E-3	9.315068907E-6	179.142462925E-6	14.867908548E+3	1.078801827E+6	34.500255210E+0	663.490603428E+0	80.838888645E-6	963.207403597E-9	-4.353326932E-6	2.000100000E+0
562.145227432E+0	-260.000000000E-9	-3.883708864E-3	-280.798863333E-3	6.643623493E-6	117.644665114E-6	14.937341786E+3	1.079995628E+6	25.552398052E+0	452.479481209E+0	76.554177847E-6	954.414309343E-9	-4.353326932E-6	2.000000000E+0
571.115518570E+0	-250.000000000E-9	-3.748119090E-3	-270.725576667E-3	4.867660120E-6	162.453162870E-6	14.992476360E+3	1.082902307E+6	19.470640481E+0	649.812651480E+0	73.751874352E-6	992.724651934E-9	-4.353326932E-6	2.000400000E+0
580.078849792E+0	-240.000000000E-9	-3.613296931E-3	-260.651410000E-3	4.453828290E-6	135.091831729E-6	15.055403878E+3	1.086047542E+6	18.557617876E+0	562.882632206E+0	74.171783403E-6	992.637935313E-9	-4.353326932E-6	2.000500000E+0
589.030983448E+0	-230.000000000E-9	-3.478078642E-3	-250.439760000E-3	4.834447749E-6	130.841213585E-6	15.122081052E+3	1.088868522E+6	21.019338041E+0	568.874841674E+0	73.954493128E-6	979.273672717E-9	-4.353326932E-6	2.000400000E+0
597.938931942E+0	-220.000000000E-9	-3.342020973E-3	-240.238320000E-3	6.037358536E-6	93.502562753E-6	15.191004423E+3	1.091992364E+6	27.442538800E+0	425.011648877E+0	73.498245806E-6	980.253768095E-9	-4.353326932E-6	2.000000000E+0
606.878546238E+0	-210.000000000E-9	-3.196608421E-3	-230.056826667E-3	7.456225593E-6	100.138403992E-6	15.221944863E+3	1.095508698E+6	35.505836159E+0	476.849542818E+0	68.769854358E-6	982.174193177E-9	-4.353326932E-6	2.000000000E+0
615.814556599E+0	-200.000000000E-9	-3.061605173E-3	-219.608060000E-3	8.487121836E-6	137.523195786E-6	15.308025863E+3	1.098040300E+6	42.435609182E+0	687.615978932E+0	74.072291584E-6	957.050752401E-9	-4.353326932E-6	2.000200000E+0
624.709936619E+0	-190.000000000E-9	-2.918478327E-3	-209.117563333E-3	7.200876856E-6	175.187315482E-6	15.360412247E+3	1.100618754E+6	37.899351874E+0	922.038502536E+0	69.868094650E-6	953.243713596E-9	-4.353326932E-6	1.999900000E+0
633.636531353E+0	-180.000000000E-9	-2.776049586E-3	-191.621310000E-3	5.964787327E-6	25.202862929E-3	15.422497698E+3	1.064562833E+6	33.137707374E+0	140.015905162E+3	70.210548141E-6	571.550937763E-9	-4.353326932E-6	1.999900000E+0
648.929677486E+0	-170.000000000E-9	-2.634749967E-3	-177.891142000E-3	5.072390426E-6	28.941129004E-3	15.498529216E+3	1.046418482E+6	29.837590744E+0	170.241935320E+3	70.771599179E-6	728.323207699E-9	-4.353326932E-6	1.999800000E+0
663.960521698E+0	-160.000000000E-9	-2.506646463E-3	-170.451709333E-3	4.546283206E-6	22.861763068E-3	15.666540392E+3	1.065323183E+6	28.414270036E+0	142.886019178E+3	78.061877215E-6	1.344188522E-6	-4.353326932E-6	2.000100000E+0
679.246120930E+0	-150.000000000E-9	-2.353903601E-3	-159.621196333E-3	5.925003623E-6	21.626599350E-3	15.692690676E+3	1.064141309E+6	39.500024156E+0	144.177328998E+3	65.469508118E-6	923.317298082E-9	-4.353326932E-6	1.999900000E+0
694.536154270E+0	-140.000000000E-9	-2.206223028E-3	-143.266429667E-3	6.486608496E-6	27.795208556E-3	15.758735917E+3	1.023331640E+6	46.332917826E+0	198.537203970E+3	67.713713435E-6	611.442535611E-9	-4.353326932E-6	1.999600000E+0
709.392661572E+0	-130.000000000E-9	-2.055656757E-3	-134.963698667E-3	7.237173738E-6	23.011558114E-3	15.812744285E+3	1.038182297E+6	55.670567216E+0	177.011985495E+3	66.415937058E-6	1.204422978E-6	-4.353326932E-6	2.000200000E+0
724.430660248E+0	-120.000000000E-9	-1.906215523E-3	-121.404283333E-3	8.792298203E-6	24.277107681E-3	15.885129361E+3	1.011702361E+6	73.269151690E+0	202.309230671E+3	66.915935814E-6	737.494925420E-9	-4.353326932E-6	2.000400000E+0
739.337580204E+0	-110.000000000E-9	-1.753836691E-3	-112.774730000E-3	9.048992941E-6	19.927299929E-3	15.943969918E+3	1.025224818E+6	82.263572191E+0	181.157272081E+3	65.625913041E-6	1.158808529E-6	-4.353326932E-6	1.999300000E+0
754.419495106E+0	-100.000000000E-9	-209.439159900E-6	-105.950511667E-3	9.989179513E-6	8.058760165E-3	2.094391599E+3	1.059505117E+6	99.891795130E+0	80.587601649E+3	6.475016826E-6	1.465369294E-6	-4.353326932E-6	2.000400000E+0
769.836170197E+0	-90.000000000E-9	-1.430143098E-3	-94.844366667E-3	8.969151120E-6	6.693162536E-3	15.890478863E+3	1.053826296E+6	99.657234667E+0	74.368472623E+3	-8.191994546E-6	900.402434868E-9	-4.353326932E-6	1.999800000E+0
785.083371162E+0	-80.000000000E-9	-1.286150952E-3	-84.166324000E-3	8.635213281E-6	5.435693484E-3	16.076886904E+3	1.052079050E+6	107.940166008E+0	67.946168545E+3	69.448232588E-6	936.501221447E-9	-4.353326932E-6	2.000000000E+0
800.429630280E+0	-70.000000000E-9	-1.124728719E-3	-73.143187000E-3	7.559725785E-6	5.230452565E-3	16.067553129E+3	1.044902671E+6	107.996082636E+0	74.720750934E+3	61.949334943E-6	907.182773833E-9	-4.353326932E-6	2.000100000E+0
815.540200233E+0	-60.000000000E-9	-961.313372767E-6	-62.949262000E-3	6.941871786E-6	4.042000215E-3	16.021889546E+3	1.049154367E+6	115.697863099E+0	67.366670250E+3	61.193763196E-6	980.976414875E-9	-4.353326932E-6	1.999800000E+0
830.606088161E+0	-50.000000000E-9	-800.347251700E-6	-52.841138000E-3	7.041705939E-6	2.966411255E-3	16.006945034E+3	1.056822760E+6	140.834118790E+0	59.328225092E+3	62.124874065E-6	989.303257459E-9	-4.353326932E-6	1.999400000E+0
845.683335304E+0	-40.000000000E-9	-637.295565467E-6	-42.846922000E-3	5.748875366E-6	2.006939099E-3	15.932389137E+3	1.071173050E+6	143.721884138E+0	50.173477478E+3	61.330245832E-6	1.000578735E-6	-4.353326932E-6	2.000100000E+0
860.756400585E+0	-30.000000000E-9	-475.050579633E-6	-33.351568667E-3	4.936758755E-6	1.089746898E-3	15.835019321E+3	1.111718956E+6	164.558625150E+0	36.324896598E+3	61.635186743E-6	1.053146697E-6	-4.353326932E-6	1.999900000E+0
876.088376999E+0	-20.000000000E-9	-314.580893300E-6	-23.331801333E-3	9.568868210E-6	939.435928236E-6	15.729044665E+3	1.166590067E+6	478.443410479E+0	46.971796412E+3	62.317065787E-6	998.027166433E-9	-4.353326932E-6	2.000100000E+0
891.169379234E+0	-10.000000000E-9	-157.136917600E-6	-17.006544000E-3	10.772178827E-6	8.892203845E-3	15.713691760E+3	1.700654400E+6	1.077217883E+3	889.220384529E+3	63.514656280E-6	1.580963346E-6	-4.353326932E-6	2.000100000E+0
906.028111458E+0	486.382200181E-24	21.896451233E-6	0.000000000E+0	3.341847234E-6	0.000000000E+0	NaN	NaN	NaN	NaN	55.855509312E-6	588.008945262E-9	-4.353326932E-6	4.878400000E+0
1.913968795E+3	10.000000000E-9	98.893260807E-6	4.787753767E-3	2.360366118E-6	1.517566205E-3	9.889326081E+3	478.775376667E+3	236.036611828E+0	151.756620458E+3	129.875511147E-6	2.088662134E-6	-4.353326932E-6	5.058300000E+0
1.928901461E+3	20.000000000E-9	177.949834933E-6	12.559710667E-3	3.964599374E-6	923.462109859E-6	8.897491747E+3	627.985533333E+3	198.229968723E+0	46.173105493E+3	126.491694214E-6	1.286677233E-6	-4.353326932E-6	5.247300000E+0
1.943827353E+3	30.000000000E-9	246.878881367E-6	20.265663000E-3	4.113769915E-6	479.401443261E-6	8.229296046E+3	675.522100000E+3	137.125663829E+0	15.980048109E+3	145.076720446E-6	1.297698139E-6	-4.353326932E-6	5.446900000E+0
1.959165642E+3	40.000000000E-9	316.275184033E-6	27.935833000E-3	4.736685671E-6	142.485035346E-6	7.906879601E+3	698.395825000E+3	118.417141763E+0	3.562125884E+3	144.099896042E-6	1.303752068E-6	-4.353326932E-6	5.658700000E+0
1.974600014E+3	50.000000000E-9	381.334134533E-6	35.532664667E-3	3.325964111E-6	264.547667730E-6	7.626682691E+3	710.653293333E+3	66.519282211E+0	5.290953355E+3	153.706752463E-6	1.316338237E-6	-4.353326932E-6	5.868000000E+0
1.989735781E+3	60.000000000E-9	442.713659600E-6	42.870625667E-3	3.600043532E-6	819.905517667E-6	7.378560993E+3	714.510427778E+3	60.000725539E+0	13.665091961E+3	162.920778373E-6	1.362776390E-6	-4.353326932E-6	6.079400000E+0
2.004662213E+3	70.000000000E-9	497.690840600E-6	50.308888667E-3	3.645147106E-6	1.148032730E-3	7.109869151E+3	718.698409524E+3	52.073530079E+0	16.400467575E+3	181.893647839E-6	1.344399896E-6	-4.353326932E-6	6.308900000E+0
2.020044921E+3	80.000000000E-9	552.990523500E-6	57.526193000E-3	4.027260603E-6	1.576542739E-3	6.912381544E+3	719.077412500E+3	50.340757543E+0	19.706784238E+3	180.832863329E-6	1.385558865E-6	-4.353326932E-6	6.547000000E+0
2.035510867E+3	90.000000000E-9	604.998377833E-6	64.626406000E-3	3.973570342E-6	1.919463127E-3	6.722204198E+3	718.071177778E+3	44.150781576E+0	21.327368083E+3	192.278649604E-6	1.408408452E-6	-4.353326932E-6	6.782300000E+0
2.050953425E+3	100.000000000E-9	657.099164667E-6	71.751259000E-3	2.041571784E-6	2.323892666E-3	6.570991647E+3	717.512590000E+3	20.415717845E+0	23.238926664E+3	191.935680971E-6	1.403537729E-6	-4.353326932E-6	6.994200000E+0
2.063863819E+3	110.000000000E-9	708.058401167E-6	76.521575000E-3	1.272772073E-6	8.145485900E-3	6.436894556E+3	695.650681818E+3	11.570655205E+0	74.049871816E+3	196.235279153E-6	2.096297185E-6	-4.353326932E-6	7.175800000E+0
2.075244232E+3	120.000000000E-9	760.528227900E-6	83.409160000E-3	1.489726897E-6	8.708796013E-3	6.337735232E+3	695.076333333E+3	12.414390810E+0	72.573300109E+3	190.585725599E-6	1.451887708E-6	-4.353326932E-6	7.370300000E+0
2.086608914E+3	130.000000000E-9	502.241771167E-6	91.147614000E-3	2.084309931E-6	8.126457258E-3	3.863398240E+3	701.135492308E+3	16.033153315E+0	62.511209676E+3	-38.716702867E-6	1.292247780E-6	-4.353326932E-6	7.571000000E+0
2.098294899E+3	140.000000000E-9	855.017623967E-6	98.773223000E-3	1.594148306E-6	7.128275958E-3	6.107268743E+3	705.523021429E+3	11.386773612E+0	50.916256841E+3	28.346611370E-6	1.311370672E-6	-4.353326932E-6	7.781000000E+0
2.110070536E+3	150.000000000E-9	900.730963800E-6	104.392258333E-3	1.713732335E-6	8.991287565E-3	6.004873092E+3	695.948388889E+3	11.424882233E+0	59.941917101E+3	218.754526282E-6	1.779664908E-6	-4.353326932E-6	7.994500000E+0
2.121671357E+3	160.000000000E-9	944.846321867E-6	110.735488333E-3	2.283955342E-6	9.263890971E-3	5.905289512E+3	692.096802083E+3	14.274720890E+0	57.899318569E+3	226.678427610E-6	1.576483905E-6	-4.353326932E-6	8.219900000E+0
2.133330119E+3	170.000000000E-9	985.861404100E-6	115.711451333E-3	1.785423783E-6	10.815053851E-3	5.799184730E+3	680.655596078E+3	10.502492844E+0	63.617963830E+3	243.812750225E-6	2.009661245E-6	-4.353326932E-6	8.446100000E+0
2.144705733E+3	180.000000000E-9	665.186163267E-6	122.595998000E-3	1.448650847E-6	9.856592062E-3	3.695478685E+3	681.088877778E+3	8.048060260E+0	54.758844786E+3	-31.184197364E-6	1.452528465E-6	-4.353326932E-6	8.683100000E+0
2.156407348E+3	190.000000000E-9	695.603266000E-6	128.022820667E-3	1.021352506E-6	10.019813459E-3	3.661069821E+3	673.804319298E+3	5.375539503E+0	52.735860309E+3	328.762410006E-6	1.842698871E-6	-4.353326932E-6	8.927000000E+0
2.168018198E+3	200.000000000E-9	728.819274867E-6	133.276486667E-3	1.530273771E-6	10.198574521E-3	3.644096374E+3	666.382433333E+3	7.651368857E+0	50.992872605E+3	301.059649886E-6	1.903432765E-6	-4.353326932E-6	9.191500000E+0
2.179684029E+3	210.000000000E-9	1.136272512E-3	137.078213333E-3	1.764056035E-6	11.678846888E-3	5.410821484E+3	652.753396825E+3	8.400266833E+0	55.613556607E+3	24.542693730E-6	2.630383738E-6	-4.353326932E-6	9.449100000E+0
2.190978835E+3	220.000000000E-9	1.174078398E-3	144.067313333E-3	1.635353843E-6	8.676364503E-3	5.336719989E+3	654.851424242E+3	7.433426558E+0	39.438020468E+3	264.509076708E-6	1.430799388E-6	-4.353326932E-6	9.722100000E+0
2.202789130E+3	230.000000000E-9	821.281826500E-6	146.298390000E-3	901.348767509E-9	11.970602067E-3	3.570790550E+3	636.079956522E+3	3.918907685E+0	52.046095941E+3	-28.344946684E-6	4.482140910E-6	-4.353326932E-6	10.020800000E+0
2.214258612E+3	240.000000000E-9	1.235353119E-3	152.886520000E-3	1.358846065E-6	8.869732230E-3	5.147304661E+3	637.027166667E+3	5.661858604E+0	36.957217623E+3	24.150430588E-6	1.517881402E-6	-4.353326932E-6	10.316700000E+0
2.226025012E+3	250.000000000E-9	1.264778219E-3	157.001440000E-3	1.401827319E-6	8.933616933E-3	5.059112876E+3	628.005760000E+3	5.607309276E+0	35.734467733E+3	339.845910013E-6	2.430180903E-6	-4.353326932E-6	10.635800000E+0
2.237865005E+3	260.000000000E-9	1.293297764E-3	160.814506667E-3	2.124185524E-6	8.973094601E-3	4.974222168E+3	618.517333333E+3	8.169944324E+0	34.511902310E+3	350.636734102E-6	2.622561018E-6	-4.353326932E-6	10.957400000E+0
2.249694514E+3	270.000000000E-9	931.443145900E-6	161.993330000E-3	1.789883497E-6	12.250809205E-3	3.449789429E+3	599.975296296E+3	6.629198137E+0	45.373367426E+3	-27.635408004E-6	8.483035343E-6	-4.353326932E-6	11.276900000E+0
2.261143287E+3	280.000000000E-9	958.905772200E-6	165.373033333E-3	1.426727237E-6	12.280807610E-3	3.424663472E+3	590.617976190E+3	5.095454417E+0	43.860027180E+3	364.131233873E-6	2.958839583E-6	-4.353326932E-6	11.592800000E+0
2.272543023E+3	290.000000000E-9	1.373794514E-3	171.197973333E-3	1.226820242E-6	9.090490246E-3	4.737222463E+3	590.337839080E+3	4.230414626E+0	31.346518090E+3	24.102847305E-6	1.716755881E-6	-4.353326932E-6	11.926900000E+0
2.284270496E+3	300.000000000E-9	1.400859059E-3	174.821116667E-3	1.544672034E-6	9.249317730E-3	4.669530198E+3	582.737055556E+3	5.148906781E+0	30.831059100E+3	369.487090952E-6	2.760034335E-6	-4.353326932E-6	12.246600000E+0
2.296095573E+3	310.000000000E-9	1.428935858E-3	175.422023333E-3	897.738447249E-9	12.614079471E-3	4.609470511E+3	565.877494624E+3	2.895930475E+0	40.690578940E+3	356.165957522E-6	16.641519482E-6	-4.353326932E-6	12.547500000E+0
2.307468094E+3	320.000000000E-9	1.456145532E-3	179.467013333E-3	1.173635045E-6	11.133552139E-3	4.550454786E+3	560.834416667E+3	3.667609517E+0	34.792350433E+3	367.516356315E-6	2.472193998E-6	-4.353326932E-6	12.842400000E+0
2.319087645E+3	330.000000000E-9	1.482507262E-3	181.256050000E-3	891.150797405E-9	12.802502017E-3	4.492446249E+3	549.260757576E+3	2.700456962E+0	38.795460658E+3	379.337765280E-6	5.589600362E-6	-4.353326932E-6	13.127000000E+0
2.330435234E+3	340.000000000E-9	1.509611438E-3	184.172703333E-3	1.341524106E-6	12.942310319E-3	4.440033642E+3	541.684421569E+3	3.945659136E+0	38.065618586E+3	368.946836827E-6	3.428587102E-6	-4.353326932E-6	13.409200000E+0
2.341814277E+3	350.000000000E-9	1.537336280E-3	188.385270000E-3	1.220538437E-6	11.586465825E-3	4.392389372E+3	538.243628571E+3	3.487252676E+0	33.104188071E+3	360.687357569E-6	2.373849672E-6	-4.353326932E-6	13.681900000E+0
2.353376287E+3	360.000000000E-9	1.140933167E-3	191.202986667E-3	1.232090365E-6	11.782868357E-3	3.169258796E+3	531.119407407E+3	3.422473236E+0	32.730189880E+3	-25.226845237E-6	3.548972868E-6	-4.353326932E-6	13.951200000E+0
2.365052693E+3	370.000000000E-9	1.592214665E-3	190.195040000E-3	1.835666909E-6	15.873004038E-3	4.303282877E+3	514.040648649E+3	4.961261917E+0	42.900010913E+3	22.159118077E-6	-9.921159850E-6	-4.353326932E-6	14.192300000E+0
2.376115743E+3	380.000000000E-9	1.626244018E-3	201.430346667E-3	1.352015309E-6	173.625130736E-6	4.279589521E+3	530.079859649E+3	3.557935023E+0	456.908238778E+0	293.863944520E-6	890.051361897E-9	-4.353326932E-6	14.321900000E+0
2.381607906E+3	390.000000000E-9	1.662007966E-3	205.251690000E-3	1.305345465E-6	156.355210868E-6	4.261558888E+3	526.286384615E+3	3.347039653E+0	400.910797097E+0	279.611185734E-6	2.616880800E-6	-4.353326932E-6	14.444200000E+0
2.387129419E+3	400.000000000E-9	1.696405369E-3	209.044200000E-3	1.276915738E-6	170.508001632E-6	4.241013422E+3	522.610500000E+3	3.192289344E+0	426.270004081E+0	290.719627694E-6	2.636776172E-6	-4.353326932E-6	14.564600000E+0
2.392639456E+3	410.000000000E-9	1.730889198E-3	212.589200000E-3	1.233174046E-6	175.284672894E-6	4.221680970E+3	518.510243902E+3	3.007741575E+0	427.523592426E+0	289.990998389E-6	2.820874471E-6	-4.353326932E-6	14.679600000E+0
2.398134392E+3	420.000000000E-9	1.765832852E-3	216.262786667E-3	970.653709873E-9	93.672716130E-6	4.204363933E+3	514.911396825E+3	2.311080262E+0	223.030276499E+0	286.174994750E-6	2.722135316E-6	-4.353326932E-6	14.799800000E+0
2.403653179E+3	430.000000000E-9	1.799901535E-3	219.917276667E-3	1.181386339E-6	127.898744119E-6	4.185817524E+3	511.435527132E+3	2.747410090E+0	297.438939811E+0	293.524695519E-6	2.736359930E-6	-4.353326932E-6	14.909400000E+0
2.409184200E+3	440.000000000E-9	1.834637449E-3	223.407310000E-3	968.668792006E-9	174.298217195E-6	4.169630567E+3	507.743886364E+3	2.201519982E+0	396.132311806E+0	287.886479682E-6	2.865302146E-6	-4.353326932E-6	15.023900000E+0
2.414685194E+3	450.000000000E-9	1.868916901E-3	226.688746667E-3	902.923400970E-9	142.923564654E-6	4.153148670E+3	503.752770370E+3	2.006496447E+0	317.607921453E+0	291.719949315E-6	3.047445682E-6	-4.353326932E-6	15.132800000E+0
2.420180382E+3	460.000000000E-9	1.902342697E-3	230.007160000E-3	1.604529378E-6	165.443499263E-6	4.135527603E+3	500.015565217E+3	3.488107343E+0	359.659781006E+0	299.170137938E-6	3.013488374E-6	-4.353326932E-6	15.244700000E+0
2.425658562E+3	470.000000000E-9	1.935866092E-3	233.269886667E-3	796.942259196E-9	125.601020568E-6	4.118864026E+3	496.318907801E+3	1.695621828E+0	267.236213975E+0	298.299145997E-6	3.064921160E-6	-4.353326932E-6	15.350500000E+0
2.431143551E+3	480.000000000E-9	1.970501216E-3	236.540933333E-3	1.261285772E-6	167.555842124E-6	4.105210866E+3	492.793611111E+3	2.627678692E+0	349.074671092E+0	288.724246988E-6	3.057125446E-6	-4.353326932E-6	15.460200000E+0
2.436630342E+3	490.000000000E-9	2.003724878E-3	239.685603333E-3	1.029406495E-6	141.804028160E-6	4.089234445E+3	489.154292517E+3	2.100829583E+0	289.395975836E+0	300.990297207E-6	3.179983909E-6	-4.353326932E-6	15.568300000E+0
2.442099561E+3	500.000000000E-9	2.036493893E-3	242.831160000E-3	786.352281690E-9	128.777896476E-6	4.072987787E+3	485.662320000E+3	1.572704563E+0	257.555792951E+0	305.166325514E-6	3.179087538E-6	-4.353326932E-6	15.672600000E+0
2.447591866E+3	510.000000000E-9	2.069905269E-3	245.915703333E-3	985.467285070E-9	118.934674864E-6	4.058637782E+3	482.187653595E+3	1.932288794E+0	233.205244832E+0	299.299262608E-6	3.241970989E-6	-4.353326932E-6	15.780100000E+0
2.453138111E+3	520.000000000E-9	2.103556124E-3	248.921586667E-3	935.512082274E-9	176.036541531E-6	4.045300239E+3	478.695358974E+3	1.799061697E+0	338.531810636E+0	297.169263660E-6	3.326809091E-6	-4.353326932E-6	15.876500000E+0
2.458619463E+3	530.000000000E-9	2.136664750E-3	251.897153333E-3	876.691596436E-9	164.274066065E-6	4.031442925E+3	475.277647799E+3	1.654135088E+0	309.951068048E+0	302.036094783E-6	3.360704404E-6	-4.353326932E-6	15.981900000E+0
2.464153009E+3	540.000000000E-9	2.169102121E-3	254.862936667E-3	575.877761178E-9	154.099756055E-6	4.016855780E+3	471.968401235E+3	1.066440298E+0	285.369918620E+0	308.286386626E-6	3.371790477E-6	-4.353326932E-6	16.086100000E+0
2.469651331E+3	550.000000000E-9	2.202042541E-3	257.996353333E-3	956.132108677E-9	138.003285152E-6	4.003713711E+3	469.084278788E+3	1.738422016E+0	250.915063912E+0	303.578403105E-6	3.191404484E-6	-4.353326932E-6	16.182200000E+0
2.475154380E+3	560.000000000E-9	2.234399895E-3	261.074486667E-3	724.891871179E-9	96.466941750E-6	3.989999812E+3	466.204440476E+3	1.294449770E+0	172.262395982E+0	309.048755964E-6	3.248722169E-6	-4.353326932E-6	16.282800000E+0
2.480638299E+3	570.000000000E-9	2.267182211E-3	263.912033333E-3	1.276685417E-6	126.286863743E-6	3.977512650E+3	463.003567251E+3	2.239798977E+0	221.555901303E+0	305.042514436E-6	3.524171115E-6	-4.353326932E-6	16.375200000E+0
2.486116871E+3	580.000000000E-9	2.299496444E-3	266.748583333E-3	1.269330340E-6	178.349672202E-6	3.964649041E+3	459.911350575E+3	2.188500586E+0	307.499434832E+0	309.461155920E-6	3.525409388E-6	-4.353326932E-6	16.475600000E+0
2.491604126E+3	590.000000000E-9	2.332312760E-3	269.457256667E-3	903.332198327E-9	161.123445250E-6	3.953072474E+3	456.707214689E+3	1.531071523E+0	273.090585169E+0	304.726469040E-6	3.691844224E-6	-4.353326932E-6	16.569700000E+0
2.497149043E+3	600.000000000E-9	2.364116994E-3	272.171316667E-3	566.822134790E-9	126.316974269E-6	3.940194991E+3	453.618861111E+3	944.703557983E-3	210.528290449E+0	314.423538400E-6	3.684516923E-6	-4.353326932E-6	16.666100000E+0
2.502628544E+3	610.000000000E-9	2.395562397E-3	275.138663333E-3	677.197763501E-9	98.122036905E-6	3.927151470E+3	451.046989071E+3	1.110160268E+0	160.855798205E+0	318.011510490E-6	3.370014064E-6	-4.353326932E-6	16.761100000E+0
2.508144423E+3	620.000000000E-9	2.428085655E-3	277.894576667E-3	1.131871877E-6	112.349773056E-6	3.916267185E+3	448.217059140E+3	1.825599802E+0	181.209311381E+0	307.472271074E-6	3.628561130E-6	-4.353326932E-6	16.851500000E+0
2.513632046E+3	630.000000000E-9	2.459450988E-3	280.622870000E-3	890.109412767E-9	127.498833396E-6	3.903890458E+3	445.433126984E+3	1.412872084E+0	202.379100628E+0	318.823329366E-6	3.665295032E-6	-4.353326932E-6	16.948600000E+0
2.519141555E+3	640.000000000E-9	2.491766335E-3	283.427420000E-3	633.977479252E-9	145.598873622E-6	3.893384899E+3	442.855343750E+3	990.589811331E-3	227.498240034E+0	309.450491124E-6	3.565634416E-6	-4.353326932E-6	17.035300000E+0
2.524635104E+3	650.000000000E-9	2.523236760E-3	286.059333333E-3	919.374848971E-9	138.963856212E-6	3.881902708E+3	440.091282051E+3	1.414422845E+0	213.790548019E+0	317.758657533E-6	3.799517208E-6	-4.353326932E-6	17.127700000E+0
2.530126323E+3	660.000000000E-9	2.554905194E-3	288.744996667E-3	933.696469167E-9	136.851284709E-6	3.871068476E+3	437.492419192E+3	1.414691620E+0	207.350431377E+0	315.771850291E-6	3.723474896E-6	-4.353326932E-6	17.206200000E+0
2.535632828E+3	670.000000000E-9	2.585955774E-3	291.430036667E-3	895.654148279E-9	147.537949492E-6	3.859635484E+3	434.970203980E+3	1.336797236E+0	220.205894764E+0	322.055175781E-6	3.724339302E-6	-4.353326932E-6	17.304800000E+0
2.541167834E+3	680.000000000E-9	2.617341672E-3	294.080560000E-3	753.199637984E-9	194.209530644E-6	3.849031871E+3	432.471411765E+3	1.107646526E+0	285.602250948E+0	318.614429958E-6	3.772839829E-6	-4.353326932E-6	17.394700000E+0
2.546663784E+3	690.000000000E-9	2.649085673E-3	296.814073333E-3	873.057618682E-9	142.576529803E-6	3.839254599E+3	430.165323671E+3	1.265300897E+0	206.632651888E+0	315.020154674E-6	3.658295673E-6	-4.353326932E-6	17.485900000E+0
2.552177080E+3	700.000000000E-9	2.680212745E-3	299.512996667E-3	725.164645066E-9	104.451221030E-6	3.828875350E+3	427.875709524E+3	1.035949493E+0	149.216030043E+0	321.263753944E-6	3.705181202E-6	-4.353326932E-6	17.568100000E+0
2.557703638E+3	710.000000000E-9	2.711399068E-3	302.028496667E-3	587.592200985E-9	136.326622197E-6	3.818871927E+3	425.392248826E+3	827.594649274E-3	192.009327037E+0	320.653383857E-6	3.975352813E-6	-4.353326932E-6	17.656800000E+0
2.563232358E+3	720.000000000E-9	2.742491260E-3	304.499586667E-3	783.033656347E-9	125.143649138E-6	3.809015639E+3	422.916092593E+3	1.087546745E+0	173.810623803E+0	321.624155672E-6	4.046797162E-6	-4.353326932E-6	17.742600000E+0
2.568751707E+3	730.000000000E-9	2.773226891E-3	307.253466667E-3	723.597941444E-9	176.652991880E-6	3.798940946E+3	420.895159817E+3	991.230056772E-3	241.990399836E+0	325.355289060E-6	3.631240286E-6	-4.353326932E-6	17.827200000E+0
