[Main]
Experiment = ""
Header length = 58    
Date = "20181213 18:12:55"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Magnetic Field (T)	Temperature (K)
77.583910465E+0	-860.000000000E-9	-11.841893140E-3	-632.814806667E-3	3.989644858E-6	181.145936468E-6	13.769643186E+3	735.831170543E+3	4.639121928E+0	210.634809846E+0	78.009819720E-6	2.780499063E-6	-4.353326932E-6	2.000200000E+0
83.017119884E+0	-850.000000000E-9	-11.711660897E-3	-628.781843333E-3	3.168026181E-6	137.432952138E-6	13.778424584E+3	739.743345098E+3	3.727089625E+0	161.685826045E+0	76.785899897E-6	2.479566307E-6	-4.353326932E-6	1.999600000E+0
88.479845524E+0	-840.000000000E-9	-11.586141780E-3	-624.926816667E-3	2.699780568E-6	160.946045968E-6	13.793025929E+3	743.960496032E+3	3.214024486E+0	191.602435676E+0	79.669139375E-6	2.594015779E-6	-4.353326932E-6	1.999700000E+0
93.974682331E+0	-830.000000000E-9	-11.460563923E-3	-621.066296667E-3	2.354591542E-6	110.821582248E-6	13.807908341E+3	748.272646586E+3	2.836857279E+0	133.519978612E+0	79.631873528E-6	2.590324619E-6	-4.353326932E-6	2.000300000E+0
99.401067257E+0	-820.000000000E-9	-11.327464170E-3	-616.991160000E-3	3.921066566E-6	151.493096690E-6	13.813980695E+3	752.428243902E+3	4.781788495E+0	184.747678891E+0	75.131619327E-6	2.453905431E-6	-4.353326932E-6	2.000100000E+0
104.839859009E+0	-810.000000000E-9	-11.200552550E-3	-612.771473333E-3	4.780975887E-6	240.331457802E-6	13.827842654E+3	756.507991770E+3	5.902439367E+0	296.705503459E+0	78.794991349E-6	2.369844206E-6	-4.353326932E-6	1.999700000E+0
110.379891396E+0	-800.000000000E-9	-11.068158167E-3	-608.597653333E-3	5.262650142E-6	198.317689637E-6	13.835197708E+3	760.747066667E+3	6.578312677E+0	247.897112046E+0	75.531905117E-6	2.395886742E-6	-4.353326932E-6	1.999700000E+0
115.810241699E+0	-790.000000000E-9	-10.932851600E-3	-604.712820000E-3	4.363287167E-6	173.001946172E-6	13.839052658E+3	765.459265823E+3	5.523148313E+0	218.989805281E+0	73.906243033E-6	2.574113004E-6	-4.353326932E-6	2.000200000E+0
121.248721600E+0	-780.000000000E-9	-10.801923197E-3	-600.697380000E-3	2.669691094E-6	143.675581397E-6	13.848619483E+3	770.124846154E+3	3.422680890E+0	184.199463329E+0	76.377621245E-6	2.490387106E-6	-4.353326932E-6	2.000200000E+0
126.707781792E+0	-770.000000000E-9	-10.673315303E-3	-596.640116667E-3	3.769955202E-6	168.934925409E-6	13.861448446E+3	774.857294372E+3	4.896045717E+0	219.396007025E+0	77.755725102E-6	2.464715543E-6	-4.353326932E-6	2.000100000E+0
