[Main]
Experiment = "Rvst"
Header length = 36    
Date = "20200210 09:36:47"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Time Sweep ]
Interval = 5.000000E+0
Duration = 3.600000E+3

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 1.000000E-3
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
628.093726635E+0	100.000001490E-3	1.176204440E-9	24.265630877E-12	85.019234861E+6	1.753985363E+6
643.092999458E+0	100.000001490E-3	1.067133463E-9	18.865593013E-12	93.708992294E+6	1.656658488E+6
658.092736244E+0	100.000001490E-3	1.121271662E-9	18.072323560E-12	89.184454438E+6	1.437448543E+6
673.092851162E+0	100.000001490E-3	1.077386046E-9	35.355870976E-12	92.817242122E+6	3.045922535E+6
688.092672348E+0	100.000001490E-3	1.068110677E-9	18.546231947E-12	93.623258003E+6	1.625635523E+6
703.091774464E+0	100.000001490E-3	1.042922458E-9	19.636122778E-12	95.884407086E+6	1.805309663E+6
718.093007565E+0	100.000001490E-3	1.058320488E-9	53.968004279E-12	94.489337268E+6	4.818390098E+6
733.093727589E+0	100.000001490E-3	1.105720233E-9	25.646146283E-12	90.438791366E+6	2.097643150E+6
748.093938351E+0	100.000001490E-3	1.114923244E-9	16.676435873E-12	89.692274346E+6	1.341569897E+6
763.091572285E+0	100.000001490E-3	1.121119760E-9	18.386554893E-12	89.196538166E+6	1.462838408E+6
778.094487190E+0	100.000001490E-3	1.150439515E-9	41.456277392E-12	86.923302110E+6	3.132295508E+6
793.093306541E+0	100.000001490E-3	1.161791703E-9	19.450920825E-12	86.073950427E+6	1.441065201E+6
808.094252110E+0	100.000001490E-3	1.159880633E-9	18.190028221E-12	86.215769664E+6	1.352093689E+6
823.093087196E+0	100.000001490E-3	1.174862809E-9	22.301371007E-12	85.116322282E+6	1.615687098E+6
838.092694759E+0	100.000001490E-3	1.155859143E-9	15.395690109E-12	86.515733420E+6	1.152363097E+6
853.092861652E+0	100.000001490E-3	1.170340251E-9	25.250233244E-12	85.445238167E+6	1.843491405E+6
868.093326569E+0	100.000001490E-3	1.156010171E-9	17.613968403E-12	86.504430463E+6	1.318056140E+6
883.093332767E+0	100.000001490E-3	1.147602708E-9	15.903981406E-12	87.138171425E+6	1.207598979E+6
898.094055176E+0	100.000001490E-3	1.079270754E-9	12.477115442E-12	92.655157346E+6	1.071157623E+6
913.093043327E+0	100.000001490E-3	1.129774785E-9	45.159569038E-12	88.513217726E+6	3.538066897E+6
928.092955589E+0	100.000001490E-3	1.134412975E-9	24.692978684E-12	88.151320247E+6	1.918806219E+6
943.093654633E+0	100.000001490E-3	1.180540402E-9	19.964152753E-12	84.706970903E+6	1.432482025E+6
958.093107224E+0	100.000001490E-3	1.187325774E-9	24.348684895E-12	84.222884483E+6	1.727172542E+6
973.092341900E+0	100.000001490E-3	1.170874131E-9	21.521195485E-12	85.406277971E+6	1.569805973E+6
988.092383385E+0	100.000001490E-3	1.174414728E-9	21.018061315E-12	85.148797177E+6	1.523876189E+6
1.003093361E+3	100.000001490E-3	1.151719543E-9	18.307585113E-12	86.826694984E+6	1.380185930E+6
1.018092429E+3	100.000001490E-3	1.147398998E-9	16.279750952E-12	87.153641986E+6	1.236570355E+6
1.033092946E+3	100.000001490E-3	1.172846530E-9	22.005847363E-12	85.262648556E+6	1.599763296E+6
1.048092634E+3	100.000001490E-3	1.155052128E-9	21.791525357E-12	86.576180496E+6	1.633369601E+6
1.063092438E+3	100.000001490E-3	1.181702226E-9	21.749391690E-12	84.623688855E+6	1.557510610E+6
1.078092840E+3	100.000001490E-3	1.167677691E-9	21.358735560E-12	85.640071998E+6	1.566497044E+6
1.093093499E+3	100.000001490E-3	1.152951167E-9	15.262635203E-12	86.733943571E+6	1.148173989E+6
1.108092747E+3	100.000001490E-3	1.144201055E-9	21.429952237E-12	87.397228857E+6	1.636878791E+6
1.123092491E+3	100.000001490E-3	965.946042533E-12	8.592893562E-12	103.525452858E+6	920.945019868E+3
1.143092903E+3	100.000001490E-3	984.630322767E-12	17.421901791E-12	101.560960675E+6	1.797004461E+6
1.163092690E+3	100.000001490E-3	956.638901663E-12	55.033755783E-12	104.532652097E+6	6.013579875E+6
1.183092392E+3	100.000001490E-3	984.358800813E-12	4.763431560E-12	101.588974881E+6	491.601363969E+3
1.203092816E+3	100.000001490E-3	1.013090203E-9	15.816595133E-12	98.707895125E+6	1.541050155E+6
1.223092707E+3	100.000001490E-3	926.088448767E-12	10.301170882E-12	107.981048272E+6	1.201106905E+6
1.243093191E+3	100.000001490E-3	992.342176933E-12	12.019162817E-12	100.771693287E+6	1.220538053E+6
