[Main]
Experiment = "RvsB_75.00Vg_10.0K"
Header length = 71    
Date = "20200221 01:11:50"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.000000E+1
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
921.180917740E+0	-8.999985156E+0	100.000001490E-3	1.120419278E-6	2.192316226E-9	89.252303562E+3	174.639331184E+0	75.000000000E+0	86.298079793E-12	9.999200000E+0
972.230327129E+0	-8.799967969E+0	100.000001490E-3	1.118477250E-6	1.574835263E-9	89.407273546E+3	125.886983503E+0	75.000000000E+0	88.198854123E-12	9.999200000E+0
1.022814930E+3	-8.599951562E+0	100.000001490E-3	1.120648522E-6	1.175862105E-9	89.234045763E+3	93.630545926E+0	75.000000000E+0	97.617191414E-12	10.001000000E+0
1.073126095E+3	-8.399957031E+0	100.000001490E-3	1.123157157E-6	2.009830355E-9	89.034736441E+3	159.322953839E+0	75.000000000E+0	78.347838633E-12	10.001000000E+0
1.125409027E+3	-8.199942187E+0	100.000001490E-3	1.121866349E-6	1.221206745E-9	89.137178925E+3	97.030207037E+0	75.000000000E+0	88.686452626E-12	9.998700000E+0
1.175336250E+3	-7.999961719E+0	100.000001490E-3	1.119033444E-6	1.559207156E-9	89.362835451E+3	124.513859101E+0	75.000000000E+0	85.664315919E-12	9.998700000E+0
1.225920108E+3	-7.799975000E+0	100.000001490E-3	1.122648586E-6	1.409271336E-9	89.075070106E+3	111.816773833E+0	75.000000000E+0	73.269015508E-12	10.000100000E+0
1.275822883E+3	-7.599971094E+0	100.000001490E-3	1.120691862E-6	1.838519172E-9	89.230594889E+3	146.384715584E+0	75.000000000E+0	67.330295159E-12	10.000100000E+0
1.327007740E+3	-7.399960156E+0	100.000001490E-3	1.120143696E-6	1.188506609E-9	89.274261720E+3	94.722713223E+0	75.000000000E+0	64.137227994E-12	9.999100000E+0
1.376946883E+3	-7.199971875E+0	100.000001490E-3	1.120294561E-6	1.600290661E-9	89.262239529E+3	127.507115718E+0	75.000000000E+0	58.977945097E-12	9.999100000E+0
1.428463840E+3	-6.999964844E+0	100.000001490E-3	1.118716913E-6	1.369320330E-9	89.388119862E+3	109.411923940E+0	75.000000000E+0	63.885862746E-12	10.000600000E+0
1.479102618E+3	-6.799987500E+0	100.000001490E-3	1.117895500E-6	1.613287504E-9	89.453800899E+3	129.094981722E+0	75.000000000E+0	61.628053355E-12	10.000600000E+0
