[Main]
Experiment = "RvsB_75.00Vg_5.0K"
Header length = 71    
Date = "20200220 23:23:28"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 5.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
921.201677322E+0	-8.999985937E+0	100.000001490E-3	1.121445268E-6	1.988398695E-9	89.170648222E+3	158.105621026E+0	75.000000000E+0	80.545300638E-12	5.000100000E+0
971.460405350E+0	-8.799970312E+0	100.000001490E-3	1.121173282E-6	809.849903838E-12	89.192280207E+3	64.425687569E+0	75.000000000E+0	71.614660035E-12	5.000100000E+0
1.021348156E+3	-8.599970312E+0	100.000001490E-3	1.121851669E-6	1.500234358E-9	89.138345365E+3	119.203288682E+0	75.000000000E+0	64.956904786E-12	4.998400000E+0
1.071969519E+3	-8.399950781E+0	100.000001490E-3	1.122096970E-6	1.056239903E-9	89.118858817E+3	83.888377968E+0	75.000000000E+0	67.928825412E-12	4.998400000E+0
1.122545168E+3	-8.199955469E+0	100.000001490E-3	1.121000742E-6	1.677476901E-9	89.206008282E+3	133.488777241E+0	75.000000000E+0	67.099133368E-12	5.000000000E+0
1.172475849E+3	-7.999956250E+0	100.000001490E-3	1.120917452E-6	987.877212495E-12	89.212636748E+3	78.624104508E+0	75.000000000E+0	59.626742085E-12	5.000000000E+0
1.222371629E+3	-7.799963281E+0	100.000001490E-3	1.124106350E-6	1.495970392E-9	88.959555712E+3	118.388141339E+0	75.000000000E+0	71.096791648E-12	5.000600000E+0
1.272703373E+3	-7.599967969E+0	100.000001490E-3	1.126590630E-6	2.015472746E-9	88.763388235E+3	158.797867695E+0	75.000000000E+0	59.521115814E-12	5.000600000E+0
1.323930079E+3	-7.399957031E+0	100.000001490E-3	1.127061655E-6	1.835347186E-9	88.726291959E+3	144.485041696E+0	75.000000000E+0	64.851287881E-12	4.998500000E+0
1.376592030E+3	-7.199969531E+0	100.000001490E-3	1.121918768E-6	1.878817518E-9	89.133014212E+3	149.266304582E+0	75.000000000E+0	77.839945947E-12	4.998500000E+0
1.427197380E+3	-6.999962500E+0	100.000001490E-3	1.121482411E-6	1.976178277E-9	89.167694919E+3	157.123517893E+0	75.000000000E+0	73.968015046E-12	4.999300000E+0
1.477541567E+3	-6.799967188E+0	100.000001490E-3	1.124055339E-6	1.688962295E-9	88.963592797E+3	133.673270849E+0	75.000000000E+0	77.769605686E-12	4.999300000E+0
1.527418682E+3	-6.599979688E+0	100.000001490E-3	1.119038823E-6	925.536324955E-12	89.362405864E+3	73.909994008E+0	75.000000000E+0	75.773287297E-12	4.998700000E+0
1.577328350E+3	-6.399960938E+0	100.000001490E-3	1.122275873E-6	2.088381914E-9	89.104652319E+3	165.809983822E+0	75.000000000E+0	68.341074293E-12	4.998700000E+0
1.627206335E+3	-6.199981641E+0	100.000001490E-3	1.123532330E-6	1.778141808E-9	89.005005752E+3	140.862454586E+0	75.000000000E+0	71.257700782E-12	5.002500000E+0
1.678107264E+3	-5.999978125E+0	100.000001490E-3	1.119471457E-6	2.215310852E-9	89.327870659E+3	176.770028426E+0	75.000000000E+0	85.785072101E-12	5.002500000E+0
1.728995866E+3	-5.799979687E+0	100.000001490E-3	1.123634739E-6	1.883722273E-9	88.996893722E+3	149.199223759E+0	75.000000000E+0	83.069739976E-12	4.999700000E+0
1.778888216E+3	-5.599975000E+0	100.000001490E-3	1.123462611E-6	1.782368943E-9	89.010529149E+3	141.214848795E+0	75.000000000E+0	77.995807382E-12	4.999700000E+0
1.829784494E+3	-5.399979688E+0	100.000001490E-3	1.121789273E-6	2.064787699E-9	89.143303373E+3	164.078941255E+0	75.000000000E+0	79.419030033E-12	5.000200000E+0
1.880793605E+3	-5.199985547E+0	100.000001490E-3	1.121672509E-6	1.874110808E-9	89.152583005E+3	148.957755493E+0	75.000000000E+0	84.387263843E-12	5.000200000E+0
1.931380729E+3	-4.999986328E+0	100.000001490E-3	1.120186954E-6	2.058649360E-9	89.270814282E+3	164.059493937E+0	75.000000000E+0	83.738639634E-12	5.000300000E+0
1.983113372E+3	-4.799982031E+0	100.000001490E-3	1.120760806E-6	1.664834890E-9	89.225105786E+3	132.539493117E+0	75.000000000E+0	77.292107437E-12	5.000300000E+0
2.034302317E+3	-4.599994922E+0	100.000001490E-3	1.123160083E-6	2.199374052E-9	89.034504560E+3	174.347523668E+0	75.000000000E+0	92.091073656E-12	4.999700000E+0
2.084205932E+3	-4.400018359E+0	100.000001490E-3	1.123565995E-6	1.453096220E-9	89.002338955E+3	115.105799722E+0	75.000000000E+0	83.849344135E-12	4.999700000E+0
2.135123009E+3	-4.200004687E+0	100.000001490E-3	1.122182377E-6	2.347163433E-9	89.112076196E+3	186.387356428E+0	75.000000000E+0	81.536213198E-12	4.999400000E+0
2.186059847E+3	-4.000019531E+0	100.000001490E-3	1.123266833E-6	1.743922109E-9	89.026043071E+3	138.216922437E+0	75.000000000E+0	96.717369877E-12	4.999400000E+0
2.235923558E+3	-3.800016797E+0	100.000001490E-3	1.121922835E-6	2.182738872E-9	89.132691100E+3	173.410669255E+0	75.000000000E+0	94.157868655E-12	4.999600000E+0
2.285826530E+3	-3.600003125E+0	100.000001490E-3	1.118357290E-6	1.826459198E-9	89.416863802E+3	146.032269645E+0	75.000000000E+0	84.216457072E-12	4.999600000E+0
2.337030836E+3	-3.399988281E+0	100.000001490E-3	1.119149022E-6	1.737544166E-9	89.353606672E+3	138.726688754E+0	75.000000000E+0	86.499416657E-12	4.999700000E+0
2.388239377E+3	-3.199982617E+0	100.000001490E-3	1.120942632E-6	972.881716577E-12	89.210632724E+3	77.427150140E+0	75.000000000E+0	83.723607908E-12	4.999700000E+0
2.438113648E+3	-3.000006055E+0	100.000001490E-3	1.120671638E-6	1.344451730E-9	89.232205145E+3	107.050440605E+0	75.000000000E+0	87.072651520E-12	5.000200000E+0
2.488059110E+3	-2.800015234E+0	100.000001490E-3	1.119012194E-6	1.751611369E-9	89.364532396E+3	139.884026013E+0	75.000000000E+0	83.527461336E-12	5.000200000E+0
2.538967119E+3	-2.599983008E+0	100.000001490E-3	1.121897670E-6	2.190575330E-9	89.134690434E+3	174.041054903E+0	75.000000000E+0	85.478517320E-12	5.000700000E+0
2.590203888E+3	-2.399983789E+0	100.000001490E-3	1.119364500E-6	1.341821425E-9	89.336406077E+3	107.090678416E+0	75.000000000E+0	88.943101842E-12	5.000700000E+0
2.641129780E+3	-2.199978711E+0	100.000001490E-3	1.119485611E-6	1.953931092E-9	89.326741244E+3	155.909370684E+0	75.000000000E+0	81.098587568E-12	4.999200000E+0
2.694201777E+3	-1.999993359E+0	100.000001490E-3	1.118196555E-6	2.157713725E-9	89.429717012E+3	172.566913156E+0	75.000000000E+0	87.077405009E-12	4.999200000E+0
2.745541776E+3	-1.799986328E+0	100.000001490E-3	1.119173510E-6	2.040187937E-9	89.351651544E+3	162.882841636E+0	75.000000000E+0	94.067109657E-12	4.999100000E+0
2.796802605E+3	-1.600000977E+0	100.000001490E-3	1.115596526E-6	1.148782776E-9	89.638143477E+3	92.304657547E+0	75.000000000E+0	90.909130918E-12	4.999100000E+0
2.846717726E+3	-1.400017969E+0	100.000001490E-3	1.119454003E-6	2.291069074E-9	89.329263419E+3	182.820832615E+0	75.000000000E+0	90.813534470E-12	4.999000000E+0
2.897403289E+3	-1.200009766E+0	100.000001490E-3	1.115751187E-6	1.126029022E-9	89.625718247E+3	90.451313024E+0	75.000000000E+0	95.449835535E-12	4.999000000E+0
2.947996746E+3	-1.000009277E+0	100.000001490E-3	1.116438778E-6	1.440127921E-9	89.570519665E+3	115.539704290E+0	75.000000000E+0	97.390811735E-12	4.998200000E+0
2.997894472E+3	-800.018457031E-3	100.000001490E-3	1.116730226E-6	1.416387761E-9	89.547143227E+3	113.575754248E+0	75.000000000E+0	100.423013655E-12	4.998200000E+0
3.048179214E+3	-600.019042969E-3	100.000001490E-3	1.116413218E-6	2.117443048E-9	89.572570344E+3	169.887648542E+0	75.000000000E+0	93.845592408E-12	4.997300000E+0
3.098111682E+3	-400.005444336E-3	100.000001490E-3	1.116720995E-6	1.894289369E-9	89.547883409E+3	151.899717369E+0	75.000000000E+0	87.534892529E-12	4.997300000E+0
3.147987405E+3	-200.021215820E-3	100.000001490E-3	1.113212045E-6	2.011830311E-9	89.830146859E+3	162.343744897E+0	75.000000000E+0	86.081623427E-12	4.999400000E+0
3.198961536E+3	-23.943297565E-6	100.000001490E-3	1.112940709E-6	1.029989523E-9	89.852047542E+3	83.155074546E+0	75.000000000E+0	91.281088938E-12	4.999400000E+0
3.248842578E+3	199.979870605E-3	100.000001490E-3	1.110417896E-6	2.364608542E-9	90.056186798E+3	191.772511287E+0	75.000000000E+0	83.869055451E-12	4.999400000E+0
3.298768866E+3	400.003247070E-3	100.000001490E-3	1.112257102E-6	2.771118623E-9	89.907271719E+3	223.998313519E+0	75.000000000E+0	71.378209593E-12	4.999400000E+0
3.349648151E+3	599.979882813E-3	100.000001490E-3	1.112978045E-6	2.102860844E-9	89.849033332E+3	169.760773663E+0	75.000000000E+0	77.784582941E-12	5.000600000E+0
3.399592307E+3	799.981494141E-3	100.000001490E-3	1.114300179E-6	939.233546659E-12	89.742426161E+3	75.643079697E+0	75.000000000E+0	71.624639206E-12	5.000600000E+0
3.449486735E+3	999.988476563E-3	100.000001490E-3	1.116201376E-6	1.751589970E-9	89.589570179E+3	140.587707498E+0	75.000000000E+0	60.984305800E-12	5.000000000E+0
3.500494725E+3	1.199982520E+0	100.000001490E-3	1.115160798E-6	1.512741295E-9	89.673167909E+3	121.643716641E+0	75.000000000E+0	59.787546094E-12	5.000000000E+0
3.551381605E+3	1.399985254E+0	100.000001490E-3	1.117768684E-6	1.870671417E-9	89.463949869E+3	149.724765322E+0	75.000000000E+0	61.044677993E-12	4.999300000E+0
3.601275064E+3	1.599973730E+0	100.000001490E-3	1.115349310E-6	1.864540203E-9	89.658011736E+3	149.882163376E+0	75.000000000E+0	65.882141409E-12	4.999300000E+0
3.651863693E+3	1.799978711E+0	100.000001490E-3	1.119044054E-6	2.561434167E-9	89.361988187E+3	204.544985579E+0	75.000000000E+0	64.831239335E-12	5.000500000E+0
3.704575178E+3	1.999983594E+0	100.000001490E-3	1.119907685E-6	1.688697807E-9	89.293075500E+3	134.644152188E+0	75.000000000E+0	69.206027714E-12	5.000500000E+0
3.755475918E+3	2.199985156E+0	100.000001490E-3	1.121603570E-6	1.732873344E-9	89.158062777E+3	137.748875422E+0	75.000000000E+0	73.057900354E-12	4.998700000E+0
3.806137717E+3	2.399985937E+0	100.000001490E-3	1.120296817E-6	1.312746107E-9	89.262059784E+3	104.595871048E+0	75.000000000E+0	69.306605420E-12	4.998700000E+0
3.856416837E+3	2.599979687E+0	100.000001490E-3	1.117086740E-6	1.888663016E-9	89.518564629E+3	151.349395039E+0	75.000000000E+0	71.101860510E-12	4.997900000E+0
3.908738582E+3	2.799986914E+0	100.000001490E-3	1.119747271E-6	1.542260361E-9	89.305867570E+3	123.003559085E+0	75.000000000E+0	77.729433827E-12	4.997900000E+0
3.959364003E+3	3.000019141E+0	100.000001490E-3	1.115960289E-6	1.165760444E-9	89.608924697E+3	93.607757241E+0	75.000000000E+0	70.563845739E-12	5.000100000E+0
