[Main]
Experiment = "RvsB_75.00Vg_50.0K"
Header length = 71    
Date = "20200225 13:16:52"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 5.000000E+1
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 5.000000E-2
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 50.000000E-3
Final Voltage (V) = 50.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
921.283575058E+0	-8.999972656E+0	50.000000745E-3	753.628427020E-9	387.914138376E-12	66.345693650E+3	34.150028933E+0	75.000000000E+0	96.801807542E-12	49.995500000E+0
958.790501595E+0	-8.949973438E+0	50.000000745E-3	753.018010273E-9	305.768880474E-12	66.399475262E+3	26.962028714E+0	75.000000000E+0	88.389102981E-12	49.995500000E+0
995.796252728E+0	-8.899978906E+0	50.000000745E-3	752.770268557E-9	321.495150606E-12	66.421327772E+3	28.367399282E+0	75.000000000E+0	88.806469817E-12	50.003400000E+0
1.032918390E+3	-8.849964062E+0	50.000000745E-3	752.677056413E-9	480.841441290E-12	66.429553444E+3	42.437964530E+0	NaN	NaN	50.003400000E+0
1.138799508E+3	-8.799969531E+0	50.000000745E-3	752.744103423E-9	358.871864590E-12	66.423636555E+3	31.667566966E+0	75.000000000E+0	80.489329785E-12	50.004800000E+0
1.177170460E+3	-8.749950781E+0	50.000000745E-3	752.798801901E-9	404.315204089E-12	66.418810204E+3	35.672393122E+0	75.000000000E+0	75.722306203E-12	50.004800000E+0
1.215467229E+3	-8.699976562E+0	50.000000745E-3	751.680281589E-9	374.809019723E-12	66.517643165E+3	33.167575683E+0	75.000000000E+0	76.974394914E-12	49.996600000E+0
1.253997905E+3	-8.649978906E+0	50.000000745E-3	751.324552641E-9	407.568356777E-12	66.549137213E+3	36.100673675E+0	75.000000000E+0	76.280479849E-12	49.996600000E+0
1.292508952E+3	-8.599951562E+0	50.000000745E-3	751.375181228E-9	591.042250680E-12	66.544653050E+3	52.344956943E+0	75.000000000E+0	67.038183338E-12	49.996700000E+0
1.331076470E+3	-8.549985156E+0	50.000000745E-3	751.504223643E-9	404.287474980E-12	66.533226524E+3	35.792946077E+0	75.000000000E+0	64.166913796E-12	49.996700000E+0
1.369607015E+3	-8.499980469E+0	50.000000745E-3	751.564021153E-9	444.163336098E-12	66.527932868E+3	39.317034577E+0	75.000000000E+0	65.941978267E-12	49.999100000E+0
1.408191157E+3	-8.449957812E+0	50.000000745E-3	751.746351362E-9	321.674215117E-12	66.511797037E+3	28.460570602E+0	75.000000000E+0	65.992240839E-12	49.999100000E+0
