[Main]
Experiment = "RvsB_75.00Vg_10.0K"
Header length = 71    
Date = "20200225 19:19:19"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.000000E+1
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 5.000000E-2
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 50.000000E-3
Final Voltage (V) = 50.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
921.315735817E+0	-8.999979687E+0	50.000000745E-3	751.622115917E-9	671.519320056E-12	66.522790756E+3	59.433242145E+0	75.000000000E+0	76.265691679E-12	9.999900000E+0
958.712831974E+0	-8.949973438E+0	50.000000745E-3	753.783775247E-9	532.829888847E-12	66.332020384E+3	46.888357390E+0	75.000000000E+0	66.978002311E-12	9.999900000E+0
995.758645535E+0	-8.899973437E+0	50.000000745E-3	752.747928110E-9	527.385749919E-12	66.423299059E+3	46.537094395E+0	75.000000000E+0	80.866752877E-12	10.000100000E+0
1.032859362E+3	-8.849964062E+0	50.000000745E-3	754.171176023E-9	966.954709451E-12	66.297947117E+3	85.003397411E+0	75.000000000E+0	80.570070060E-12	10.000100000E+0
1.069890279E+3	-8.799975000E+0	50.000000745E-3	753.261849420E-9	540.782720510E-12	66.377981022E+3	47.654165927E+0	75.000000000E+0	79.649902646E-12	10.000700000E+0
1.106996669E+3	-8.749953125E+0	50.000000745E-3	749.309783160E-9	511.212688413E-12	66.728076783E+3	45.524882087E+0	75.000000000E+0	78.111143248E-12	10.000700000E+0
1.144135105E+3	-8.699975781E+0	50.000000745E-3	748.088591827E-9	441.387671748E-12	66.837004723E+3	39.435208909E+0	75.000000000E+0	81.329394608E-12	9.999000000E+0
1.182443299E+3	-8.649968750E+0	50.000000745E-3	747.168312594E-9	600.961759724E-12	66.919327148E+3	53.824494327E+0	75.000000000E+0	81.208670344E-12	9.999000000E+0
1.220703528E+3	-8.599971875E+0	50.000000745E-3	747.105896610E-9	569.481295472E-12	66.924917836E+3	51.013503014E+0	75.000000000E+0	82.908335058E-12	10.000100000E+0
1.259010089E+3	-8.549952344E+0	50.000000745E-3	747.790940609E-9	623.120747400E-12	66.863608570E+3	55.716242981E+0	75.000000000E+0	81.455148182E-12	10.000100000E+0
1.297280439E+3	-8.499980469E+0	50.000000745E-3	746.828164337E-9	422.911713334E-12	66.949806037E+3	37.912144360E+0	75.000000000E+0	81.520507011E-12	10.000100000E+0
1.335846049E+3	-8.449958594E+0	50.000000745E-3	747.525763366E-9	554.013962066E-12	66.887327762E+3	49.572222499E+0	75.000000000E+0	87.398800697E-12	10.000100000E+0
