[Main]
Experiment = "RvsB_75.00Vg_2.0K"
Header length = 71    
Date = "20200220 11:57:12"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
921.339986324E+0	-8.999977344E+0	100.000001490E-3	1.129965845E-6	1.802684431E-9	88.498251435E+3	141.185170046E+0	75.000000000E+0	108.328401804E-12	1.999500000E+0
960.807944775E+0	-8.899973437E+0	100.000001490E-3	1.126330916E-6	989.206089144E-12	88.783855648E+3	77.974891169E+0	75.000000000E+0	89.773091738E-12	1.999500000E+0
998.670711994E+0	-8.799970312E+0	100.000001490E-3	1.127570323E-6	2.343318424E-9	88.686265898E+3	184.307937704E+0	75.000000000E+0	101.238154665E-12	1.998900000E+0
1.036577037E+3	-8.699971875E+0	100.000001490E-3	1.127417351E-6	1.902806367E-9	88.698299171E+3	149.701162805E+0	75.000000000E+0	105.542648579E-12	1.998900000E+0
1.074412783E+3	-8.599978125E+0	100.000001490E-3	1.126934894E-6	1.310501933E-9	88.736272199E+3	103.190571911E+0	75.000000000E+0	103.365337123E-12	2.000000000E+0
1.113025973E+3	-8.499959375E+0	100.000001490E-3	1.130048536E-6	1.103449398E-9	88.491775609E+3	86.408851834E+0	75.000000000E+0	109.741513446E-12	2.000000000E+0
1.150887077E+3	-8.399951563E+0	100.000001490E-3	1.127683812E-6	1.991335459E-9	88.677340601E+3	156.592061442E+0	75.000000000E+0	99.970991554E-12	1.999700000E+0
1.188815857E+3	-8.299957031E+0	100.000001490E-3	1.129049999E-6	1.909718993E-9	88.570038176E+3	149.810800521E+0	75.000000000E+0	97.562252027E-12	1.999700000E+0
1.227190797E+3	-8.199985156E+0	100.000001490E-3	1.129807630E-6	1.851391975E-9	88.510644485E+3	145.040529530E+0	75.000000000E+0	89.883618951E-12	2.000100000E+0
1.266206466E+3	-8.099960938E+0	100.000001490E-3	1.127754522E-6	1.818599539E-9	88.671780533E+3	142.990744931E+0	75.000000000E+0	87.952664596E-12	2.000100000E+0
1.305072996E+3	-7.999948437E+0	100.000001490E-3	1.131161182E-6	2.285365538E-9	88.404732301E+3	178.610380035E+0	75.000000000E+0	156.466636349E-12	2.000000000E+0
1.344596500E+3	-7.899955469E+0	100.000001490E-3	1.126083992E-6	1.417797565E-9	88.803323880E+3	111.807944370E+0	75.000000000E+0	92.890820036E-12	2.000000000E+0
1.383229884E+3	-7.799965625E+0	100.000001490E-3	1.125940451E-6	1.816853698E-9	88.814645042E+3	143.314165663E+0	75.000000000E+0	88.546129456E-12	2.000300000E+0
1.422413090E+3	-7.699968750E+0	100.000001490E-3	1.126552702E-6	1.600147740E-9	88.766376662E+3	126.083153237E+0	75.000000000E+0	88.862981036E-12	2.000300000E+0
1.460953140E+3	-7.599971094E+0	100.000001490E-3	1.128797322E-6	1.248182000E-9	88.589864248E+3	97.959369499E+0	75.000000000E+0	78.499121439E-12	1.999600000E+0
1.498868931E+3	-7.499972656E+0	100.000001490E-3	1.129934435E-6	1.300550015E-9	88.500711513E+3	101.863964885E+0	75.000000000E+0	85.242382597E-12	1.999600000E+0
1.537127405E+3	-7.399969531E+0	100.000001490E-3	1.129344898E-6	2.298046863E-9	88.546910365E+3	180.179633218E+0	75.000000000E+0	74.285196050E-12	2.000300000E+0
1.575091680E+3	-7.299977344E+0	100.000001490E-3	1.128682086E-6	2.078380765E-9	88.598909040E+3	163.148038411E+0	75.000000000E+0	68.834236228E-12	2.000300000E+0
1.614258511E+3	-7.199969531E+0	100.000001490E-3	1.127550741E-6	1.077739994E-9	88.687806101E+3	84.769928460E+0	75.000000000E+0	75.406595031E-12	1.999800000E+0
1.652198211E+3	-7.099983594E+0	100.000001490E-3	1.126389921E-6	1.155388663E-9	88.779204813E+3	91.064812347E+0	75.000000000E+0	75.024482113E-12	1.999800000E+0
1.690043658E+3	-6.999971875E+0	100.000001490E-3	1.127134139E-6	2.211096508E-9	88.720586184E+3	174.042974589E+0	75.000000000E+0	70.523902343E-12	2.000700000E+0
1.727925343E+3	-6.899987500E+0	100.000001490E-3	1.123669857E-6	1.149944786E-9	88.994112348E+3	91.075074062E+0	75.000000000E+0	80.239086209E-12	2.000700000E+0
1.765772526E+3	-6.799989062E+0	100.000001490E-3	1.129049687E-6	1.168421949E-9	88.570062654E+3	91.658681112E+0	75.000000000E+0	74.194725537E-12	1.999300000E+0
1.803694449E+3	-6.699982813E+0	100.000001490E-3	1.129758777E-6	1.124252740E-9	88.514471855E+3	88.083084208E+0	75.000000000E+0	69.689176825E-12	1.999300000E+0
1.841992691E+3	-6.599979688E+0	100.000001490E-3	1.129889073E-6	951.117277314E-12	88.504264615E+3	74.501061398E+0	75.000000000E+0	73.224239172E-12	1.999300000E+0
1.879888565E+3	-6.499987891E+0	100.000001490E-3	1.128567826E-6	2.028441493E-9	88.607879081E+3	159.260165247E+0	75.000000000E+0	66.837929982E-12	1.999300000E+0
1.917741097E+3	-6.399973828E+0	100.000001490E-3	1.131071178E-6	1.792031304E-9	88.411767031E+3	140.076643465E+0	75.000000000E+0	72.660999439E-12	2.000600000E+0
1.956657423E+3	-6.299992188E+0	100.000001490E-3	1.130422496E-6	2.076582464E-9	88.462501297E+3	162.505328436E+0	75.000000000E+0	76.281627542E-12	2.000600000E+0
1.995502166E+3	-6.199990625E+0	100.000001490E-3	1.129086684E-6	2.096725572E-9	88.567160409E+3	164.470126735E+0	75.000000000E+0	71.504475951E-12	2.000100000E+0
2.034396682E+3	-6.099987109E+0	100.000001490E-3	1.128851266E-6	2.075453885E-9	88.585630817E+3	162.869456029E+0	75.000000000E+0	77.357718495E-12	2.000100000E+0
2.074823806E+3	-5.999980078E+0	100.000001490E-3	1.127380505E-6	2.333753496E-9	88.701198060E+3	183.617447803E+0	75.000000000E+0	80.334650390E-12	1.999700000E+0
2.112756895E+3	-5.899992969E+0	100.000001490E-3	1.126434367E-6	2.300127775E-9	88.775701853E+3	181.275947933E+0	75.000000000E+0	72.278925206E-12	1.999700000E+0
2.151609030E+3	-5.799997266E+0	100.000001490E-3	1.125786781E-6	980.183745841E-12	88.826768214E+3	77.338405316E+0	75.000000000E+0	84.784914853E-12	1.999800000E+0
2.189539051E+3	-5.699990234E+0	100.000001490E-3	1.128864577E-6	2.072520549E-9	88.584586280E+3	162.635429576E+0	75.000000000E+0	84.382627968E-12	1.999800000E+0
2.227848523E+3	-5.599977344E+0	100.000001490E-3	1.126291786E-6	1.455987034E-9	88.786940271E+3	114.777214438E+0	75.000000000E+0	82.688008524E-12	2.000000000E+0
2.266422013E+3	-5.499971094E+0	100.000001490E-3	1.127005752E-6	2.447349628E-9	88.730693110E+3	192.683159265E+0	75.000000000E+0	86.494687107E-12	2.000000000E+0
2.305326800E+3	-5.399982813E+0	100.000001490E-3	1.129583703E-6	2.768698827E-9	88.528190754E+3	216.989584157E+0	75.000000000E+0	77.553937577E-12	1.999500000E+0
2.344547891E+3	-5.299980859E+0	100.000001490E-3	1.124728670E-6	1.377903282E-9	88.910333842E+3	108.923906862E+0	75.000000000E+0	87.892684103E-12	1.999500000E+0
2.382418939E+3	-5.199975781E+0	100.000001490E-3	1.128855071E-6	1.931619150E-9	88.585332199E+3	151.581127137E+0	75.000000000E+0	85.810856337E-12	2.000000000E+0
2.421065784E+3	-5.099975391E+0	100.000001490E-3	1.126610624E-6	2.125857365E-9	88.761812927E+3	167.489059310E+0	75.000000000E+0	89.728184952E-12	2.000000000E+0
2.458955217E+3	-4.999983203E+0	100.000001490E-3	1.129188487E-6	1.730712897E-9	88.559175612E+3	135.735095731E+0	75.000000000E+0	83.588278660E-12	1.999900000E+0
2.497556488E+3	-4.899999219E+0	100.000001490E-3	1.125548284E-6	1.572654653E-9	88.845590116E+3	124.138104683E+0	75.000000000E+0	95.707079761E-12	1.999900000E+0
2.535833256E+3	-4.799975000E+0	100.000001490E-3	1.126402202E-6	2.057176795E-9	88.778236830E+3	162.137936486E+0	75.000000000E+0	93.761000353E-12	2.000200000E+0
2.574460155E+3	-4.699987891E+0	100.000001490E-3	1.129290326E-6	1.695579193E-9	88.551189338E+3	132.955671985E+0	75.000000000E+0	89.491838939E-12	2.000200000E+0
2.612721424E+3	-4.599991797E+0	100.000001490E-3	1.124036162E-6	1.053633439E-9	88.965110601E+3	83.392882315E+0	75.000000000E+0	88.003307766E-12	2.000700000E+0
