[Main]
Experiment = "RvsB_75.00Vg_1.8K"
Header length = 71    
Date = "20200220 18:08:59"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.800000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
921.197746277E+0	-8.999976563E+0	100.000001490E-3	1.121982123E-6	1.141830022E-9	89.127981098E+3	90.704657823E+0	75.000000000E+0	118.038588626E-12	1.800200000E+0
971.246103764E+0	-8.799972656E+0	100.000001490E-3	1.119500391E-6	1.070595879E-9	89.325561934E+3	85.423443598E+0	75.000000000E+0	113.175967903E-12	1.800200000E+0
1.021513618E+3	-8.599970312E+0	100.000001490E-3	1.123654452E-6	2.138088115E-9	88.995332455E+3	169.340193792E+0	75.000000000E+0	109.671024345E-12	1.800300000E+0
1.072761330E+3	-8.399970313E+0	100.000001490E-3	1.124943063E-6	2.194364839E-9	88.893389134E+3	173.399466920E+0	75.000000000E+0	97.828782575E-12	1.800300000E+0
1.123647493E+3	-8.199952344E+0	100.000001490E-3	1.123679792E-6	1.788557848E-9	88.993325485E+3	141.650416625E+0	75.000000000E+0	110.606330345E-12	1.799900000E+0
1.174580743E+3	-7.999953906E+0	100.000001490E-3	1.126007614E-6	1.531326929E-9	88.809347485E+3	120.777287504E+0	75.000000000E+0	112.134944386E-12	1.799900000E+0
1.225553486E+3	-7.799952344E+0	100.000001490E-3	1.122311307E-6	980.829966146E-12	89.101839126E+3	77.869440805E+0	75.000000000E+0	113.834566773E-12	1.799700000E+0
1.275522323E+3	-7.599953906E+0	100.000001490E-3	1.121530347E-6	1.319208036E-9	89.163883741E+3	104.879651525E+0	75.000000000E+0	112.351117992E-12	1.799700000E+0
1.325389427E+3	-7.399966406E+0	100.000001490E-3	1.123247115E-6	1.777971239E-9	89.027605894E+3	140.920480103E+0	75.000000000E+0	103.701983806E-12	1.799800000E+0
1.376396085E+3	-7.199967188E+0	100.000001490E-3	1.122785388E-6	815.992800274E-12	89.064217044E+3	64.728095544E+0	75.000000000E+0	112.904308819E-12	1.799800000E+0
1.426273522E+3	-6.999971875E+0	100.000001490E-3	1.123295053E-6	1.496585509E-9	89.023806533E+3	118.607963607E+0	75.000000000E+0	101.172577607E-12	1.800000000E+0
1.476623985E+3	-6.799975000E+0	100.000001490E-3	1.122976184E-6	1.816257311E-9	89.049084864E+3	144.024471540E+0	75.000000000E+0	109.600435672E-12	1.800000000E+0
