[Main]
Experiment = "RvsB_300.0K"
Header length = 74    
Date = "20201116 16:28:32"
Comments = "SD: 1I- to 2I-; Volt1: 1V- to 2I+; Volt2: 1Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+1
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
921.330128670E+0	-8.999982813E+0	1.000000000E-9	-13.994794745E-3	-4.506113345E-3	9.650433350E+0	75.887593126E-3	47.641135725E-3	21.300816425E-3	-13.994794745E+6	-4.506113345E+6	9.650433350E+9	75.887593126E+6	47.641135725E+6	21.300816425E+6	299.999100000E+0
1.083652945E+3	-8.799960937E+0	1.000000000E-9	-286.336248497E-3	40.179626367E-3	9.648681967E+0	351.962536627E-3	448.898561438E-3	20.049533144E-3	-286.336248497E+6	40.179626367E+6	9.648681967E+9	351.962536627E+6	448.898561438E+6	20.049533144E+6	300.002300000E+0
1.242325893E+3	-8.599970312E+0	1.000000000E-9	-2.779665600E-3	42.135609225E-3	9.644040483E+0	56.844838922E-3	443.965189787E-3	20.870248677E-3	-2.779665600E+6	42.135609225E+6	9.644040483E+9	56.844838922E+6	443.965189787E+6	20.870248677E+6	299.994400000E+0
1.396537045E+3	-8.399974219E+0	1.000000000E-9	-5.539239322E-3	57.143519783E-3	9.638881550E+0	57.204635700E-3	431.542751853E-3	21.366294843E-3	-5.539239322E+6	57.143519783E+6	9.638881550E+9	57.204635700E+6	431.542751853E+6	21.366294843E+6	300.002600000E+0
1.550346020E+3	-8.199968750E+0	1.000000000E-9	-20.914217699E-3	-1.730308068E-3	9.567544067E+0	97.352635658E-3	45.107996863E-3	265.460863369E-3	-20.914217699E+6	-1.730308068E+6	9.567544067E+9	97.352635658E+6	45.107996863E+6	265.460863369E+6	300.009900000E+0
1.707054637E+3	-7.999972656E+0	1.000000000E-9	-5.926395914E-3	404.318560000E-6	9.627688667E+0	57.237782014E-3	44.434132587E-3	22.628545701E-3	-5.926395914E+6	404.318560000E+3	9.627688667E+9	57.237782014E+6	44.434132587E+6	22.628545701E+6	299.999500000E+0
1.863786237E+3	-7.799996094E+0	1.000000000E-9	-16.298272909E-3	55.780023077E-3	9.625179750E+0	91.106916623E-3	416.256744591E-3	22.691174375E-3	-16.298272909E+6	55.780023077E+6	9.625179750E+9	91.106916623E+6	416.256744591E+6	22.691174375E+6	299.999400000E+0
2.012151897E+3	-7.599989062E+0	1.000000000E-9	-284.539362321E-3	26.878340703E-3	9.620206517E+0	363.720629468E-3	427.749863372E-3	23.180907204E-3	-284.539362321E+6	26.878340703E+6	9.620206517E+9	363.720629468E+6	427.749863372E+6	23.180907204E+6	300.000000000E+0
2.164650383E+3	-7.399984375E+0	1.000000000E-9	-1.432145746E-3	-253.210236667E-6	9.612603567E+0	55.624845458E-3	43.609784586E-3	24.268530709E-3	-1.432145746E+6	-253.210236667E+3	9.612603567E+9	55.624845458E+6	43.609784586E+6	24.268530709E+6	300.000000000E+0
2.315917808E+3	-7.199978125E+0	1.000000000E-9	199.852055167E-6	1.690043457E-3	9.606352733E+0	54.533282391E-3	45.237616116E-3	25.002270753E-3	199.852055167E+3	1.690043457E+6	9.606352733E+9	54.533282391E+6	45.237616116E+6	25.002270753E+6	299.999100000E+0
