[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201117 14:15:22"
Comments = "SD: 1I- to 2I-; Volt1: 1V- to 1Va; Volt2: 2I+ to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
992.774963379E-6	-10.000000000E+0	-2.790555700E-6	394.802975743E-12	3.583515642E+6	506.989571635E+0	-1.333061987E+0	-2.883322135E+0	724.337288665E-6	329.236972981E-6	477.704848297E+3	1.033242997E+6	259.567400380E+0	117.982584250E+0	399.997800000E+0
6.404034138E+0	-9.899999619E+0	-2.770387700E-6	194.113928509E-12	3.573506921E+6	250.386423136E+0	-1.327598148E+0	-2.862150436E+0	203.547006338E-6	342.430613839E-6	479.210237614E+3	1.033122705E+6	73.472390286E+0	123.603860153E+0	399.997800000E+0
12.740543842E+0	-9.800000191E+0	-2.748948000E-6	184.931301317E-12	3.565000208E+6	239.829974082E+0	-1.317033309E+0	-2.840861715E+0	164.765562767E-6	240.719653378E-6	479.104482394E+3	1.033435960E+6	59.937678984E+0	87.567918119E+0	399.997800000E+0
19.071502209E+0	-9.699999809E+0	-2.726706733E-6	133.057657539E-12	3.557404869E+6	173.594011043E+0	-1.306664987E+0	-2.817132439E+0	207.809439504E-6	299.371732719E-6	479.209946084E+3	1.033162975E+6	76.212610973E+0	109.792420673E+0	399.997800000E+0
25.404950142E+0	-9.600000381E+0	-2.703870967E-6	106.582163007E-12	3.550465425E+6	139.953529355E+0	-1.295096334E+0	-2.793379694E+0	214.002374426E-6	324.521011800E-6	478.978601531E+3	1.033103920E+6	79.146666784E+0	120.020894414E+0	399.997800000E+0
31.739716053E+0	-9.500000000E+0	-2.680983533E-6	96.540051840E-12	3.543475699E+6	127.597698169E+0	-1.283659267E+0	-2.768752860E+0	189.681490565E-6	248.285354367E-6	478.801623001E+3	1.032737734E+6	70.750710777E+0	92.609802067E+0	399.997800000E+0
38.073038578E+0	-9.399999619E+0	-2.657606033E-6	72.252184472E-12	3.537017715E+6	96.160699966E+0	-1.271978531E+0	-2.743742521E+0	153.365511740E-6	241.464784824E-6	478.618168148E+3	1.032411308E+6	57.708144028E+0	90.858005963E+0	399.997800000E+0
44.400327206E+0	-9.300000191E+0	-2.634047033E-6	53.188333783E-12	3.530688736E+6	71.293886782E+0	-1.260000741E+0	-2.718920621E+0	186.413120678E-6	262.935482160E-6	478.351648644E+3	1.032221743E+6	70.770612035E+0	99.821863024E+0	399.997800000E+0
50.734044075E+0	-9.199999809E+0	-2.610284400E-6	74.392991884E-12	3.524520090E+6	100.448669299E+0	-1.248072980E+0	-2.693779306E+0	171.434230326E-6	284.669196045E-6	478.136780677E+3	1.031986900E+6	65.676456683E+0	109.056774061E+0	399.997800000E+0
57.066426277E+0	-9.100000381E+0	-2.586532833E-6	85.950299726E-12	3.518223416E+6	116.910310685E+0	-1.236013600E+0	-2.668234360E+0	162.780696718E-6	322.699868368E-6	477.865033996E+3	1.031587276E+6	62.933937903E+0	124.761558875E+0	400.001100000E+0
