[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201116 23:49:53"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
0.000000000E+0	-10.000000000E+0	-2.681341600E-6	193.043071842E-12	3.729476319E+6	268.503485329E+0	932.361157933E-3	-578.117118400E-3	2.320916476E-3	1.989415787E-3	-347.721885915E+3	215.607410261E+3	865.580303687E+0	741.947906697E+0	399.980300000E+0
6.544191360E+0	-9.899999619E+0	-2.654971667E-6	349.908789429E-12	3.728853209E+6	491.439712382E+0	902.948757800E-3	-589.720077633E-3	620.714909505E-6	1.016675331E-3	-340.097323499E+3	222.119160456E+3	233.793421338E+0	382.932648201E+0	399.980300000E+0
12.881788254E+0	-9.800000191E+0	-2.628510867E-6	243.999538345E-12	3.728346843E+6	346.095167399E+0	889.251853233E-3	-599.182325133E-3	427.336005776E-6	573.672882033E-6	-338.310130086E+3	227.955049656E+3	162.577226214E+0	218.250146616E+0	399.980300000E+0
19.216810703E+0	-9.699999809E+0	-2.604438300E-6	96.880712290E-12	3.724411444E+6	138.541824369E+0	875.599362833E-3	-601.139498767E-3	378.172939349E-6	378.431281482E-6	-336.195087760E+3	230.813492017E+3	145.203262964E+0	145.302455997E+0	399.980300000E+0
25.546309948E+0	-9.600000381E+0	-2.583192467E-6	275.544193005E-12	3.716331828E+6	396.413998443E+0	863.641962633E-3	-601.281635033E-3	215.683711407E-6	380.809814862E-6	-334.331248553E+3	232.766873856E+3	83.495021834E+0	147.418289491E+0	399.980300000E+0
31.871276855E+0	-9.500000000E+0	-2.564831967E-6	422.986873794E-12	3.703946349E+6	610.847302060E+0	852.448934600E-3	-600.598052067E-3	167.051030297E-6	319.656650466E-6	-332.360538889E+3	234.166627628E+3	65.131374089E+0	124.630640377E+0	399.980300000E+0
38.201960087E+0	-9.399999619E+0	-2.547790133E-6	485.650060856E-12	3.689471709E+6	703.273058787E+0	841.400797000E-3	-598.225905533E-3	203.720581383E-6	311.224630088E-6	-330.247293916E+3	234.801877010E+3	79.959718313E+0	122.154735595E+0	399.980300000E+0
44.536657810E+0	-9.300000191E+0	-2.530545633E-6	467.052495265E-12	3.675096812E+6	678.297642204E+0	831.553807033E-3	-596.916449767E-3	166.375392426E-6	277.897686634E-6	-328.606525043E+3	235.884483530E+3	65.746845358E+0	109.817299073E+0	399.980300000E+0
50.875617027E+0	-9.199999809E+0	-2.512546367E-6	367.319975454E-12	3.661623893E+6	535.308568416E+0	821.576676933E-3	-594.544847733E-3	227.181129813E-6	212.299549935E-6	-326.989657916E+3	236.630398396E+3	90.418681552E+0	84.495773989E+0	399.980300000E+0
57.208159924E+0	-9.100000381E+0	-2.493057333E-6	226.466003132E-12	3.650136826E+6	331.573561023E+0	811.840739033E-3	-591.688780133E-3	219.014467701E-6	251.795776159E-6	-325.640621328E+3	237.334606077E+3	87.849751697E+0	100.998790839E+0	400.047600000E+0
