[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191105 23:25:42"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 10.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 1.000000E+0
Final Voltage (V) = 1.000000E+0
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
628.135873318E+0	288.029700000E+0	1.000000000E+0	54.615901539E-9	1.674879018E-9	18.309685858E+6	561.494140173E+3	121.958185762E-3	204.880033517E-3	903.295155093E-6	38.400787521E-3	2.233016069E+6	3.751289052E+6	16.539050526E+3	703.106356184E+3	75.000000000E+0	115.815676494E-12
677.718604565E+0	287.039000000E+0	1.000000000E+0	51.800821715E-9	1.562541667E-9	19.304713070E+6	582.315444819E+3	119.816880917E-3	209.337039720E-3	914.658776252E-6	39.257184502E-3	2.313030507E+6	4.041191487E+6	17.657225233E+3	757.848682746E+3	75.000000000E+0	111.893674881E-12
726.397385597E+0	286.088000000E+0	1.000000000E+0	51.164685636E-9	1.583065355E-9	19.544730659E+6	604.725419459E+3	121.639889510E-3	208.521054670E-3	731.767352654E-6	42.918911225E-3	2.377418878E+6	4.075487850E+6	14.302195813E+3	838.838560069E+3	75.000000000E+0	117.525364440E-12
774.774557590E+0	285.063700000E+0	1.000000000E+0	49.165487113E-9	1.588122610E-9	20.339471014E+6	656.996923732E+3	121.341267877E-3	208.159360703E-3	1.490833310E-3	48.105898824E-3	2.468017201E+6	4.233851283E+6	30.322760885E+3	978.448534715E+3	75.000000000E+0	132.107685902E-12
823.584749699E+0	284.069100000E+0	1.000000000E+0	46.905444325E-9	1.503619222E-9	21.319486776E+6	683.425785148E+3	116.541570156E-3	213.210993463E-3	1.453128300E-3	54.228225460E-3	2.484606464E+6	4.545548956E+6	30.979949583E+3	1.156117936E+6	75.000000000E+0	57.386206898E-12
872.421048641E+0	283.035700000E+0	1.000000000E+0	45.717887971E-9	1.352238161E-9	21.873276400E+6	646.965123684E+3	117.137787725E-3	208.778962750E-3	867.941115810E-6	54.039135842E-3	2.562187208E+6	4.566679959E+6	18.984715925E+3	1.182012955E+6	75.000000000E+0	120.441878693E-12
922.106142521E+0	282.059900000E+0	1.000000000E+0	43.879665600E-9	1.339936643E-9	22.789599381E+6	695.917320154E+3	115.848124418E-3	195.331244363E-3	1.069760292E-3	59.802388567E-3	2.640132345E+6	4.451520806E+6	24.379408498E+3	1.362872477E+6	75.000000000E+0	132.811581177E-12
969.878553391E+0	281.079300000E+0	1.000000000E+0	42.309316939E-9	1.052211439E-9	23.635456026E+6	587.801907370E+3	113.604998619E-3	201.979219097E-3	807.573064247E-6	63.281117061E-3	2.685105949E+6	4.773870951E+6	19.087357648E+3	1.495678060E+6	75.000000000E+0	156.394605599E-12
1.018470977E+3	280.060100000E+0	1.000000000E+0	41.000969552E-9	1.308383191E-9	24.389667145E+6	778.299413000E+3	113.480485145E-3	202.160264613E-3	1.021716437E-3	71.871665821E-3	2.767751260E+6	4.930621564E+6	24.919323825E+3	1.752926007E+6	75.000000000E+0	136.884600876E-12
1.066934215E+3	279.063400000E+0	1.000000000E+0	38.761626873E-9	1.529342869E-9	25.798710753E+6	1.017890050E+6	110.714856398E-3	188.999225375E-3	1.054213366E-3	79.933719303E-3	2.856300556E+6	4.875936348E+6	27.197345691E+3	2.062186904E+6	75.000000000E+0	128.738644745E-12
1.115544855E+3	278.074800000E+0	1.000000000E+0	37.308454295E-9	1.246221113E-9	26.803576264E+6	895.324753540E+3	107.619984760E-3	194.751642056E-3	892.190115682E-6	79.425589277E-3	2.884600469E+6	5.220040490E+6	23.913885808E+3	2.128889840E+6	75.000000000E+0	151.818738137E-12
1.164182374E+3	277.051900000E+0	1.000000000E+0	36.130108556E-9	1.135805109E-9	27.677746898E+6	870.092218830E+3	109.052504558E-3	192.374618083E-3	1.063378417E-3	85.054176547E-3	3.018327620E+6	5.324495989E+6	29.431918672E+3	2.354107971E+6	75.000000000E+0	113.854661810E-12
1.215428255E+3	276.016500000E+0	1.000000000E+0	34.309692568E-9	984.663992470E-12	29.146282731E+6	836.477769735E+3	106.186134349E-3	195.926343307E-3	1.337305671E-3	95.868489025E-3	3.094931094E+6	5.710524596E+6	38.977489181E+3	2.794210086E+6	75.000000000E+0	144.024861481E-12
