[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191104 21:01:39"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 100.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
455.405067921E+0	13.891000000E+0	100.000001490E-3	1.633991365E-6	541.964208448E-12	61.199834731E+3	20.298834313E+0	28.347742131E-3	29.422659052E-3	14.236294711E-6	20.963865234E-6	17.348771076E+3	18.006618445E+3	8.712588705E+0	12.829850685E+0	75.000000000E+0	236.950431498E-12
499.457247734E+0	14.884500000E+0	100.000001490E-3	1.657113152E-6	510.325577578E-12	60.345910206E+3	18.584163331E+0	28.327395486E-3	29.456212938E-3	14.008618169E-6	18.698338611E-6	17.094424389E+3	17.775619545E+3	8.453628015E+0	11.283682460E+0	75.000000000E+0	272.802613832E-12
542.757079124E+0	15.885400000E+0	100.000001490E-3	1.681115007E-6	538.534606517E-12	59.484330977E+3	19.055430855E+0	28.482741186E-3	29.426437744E-3	18.133670688E-6	16.430569937E-6	16.942767786E+3	17.504119361E+3	10.786692529E+0	9.773614457E+0	75.000000000E+0	273.858991040E-12
586.942439079E+0	16.914700000E+0	100.000001490E-3	1.705691017E-6	544.261807845E-12	58.627266319E+3	18.707129043E+0	28.492663443E-3	29.463649106E-3	12.345280954E-6	13.279498176E-6	16.704469429E+3	17.273731771E+3	7.237700635E+0	7.785406645E+0	75.000000000E+0	244.342018840E-12
630.110603809E+0	17.880600000E+0	100.000001490E-3	1.728868047E-6	575.244861644E-12	57.841315103E+3	19.245493811E+0	28.527757046E-3	29.573831231E-3	18.614392484E-6	14.278567203E-6	16.500829599E+3	17.105892655E+3	10.766809251E+0	8.258910925E+0	75.000000000E+0	215.830964212E-12
673.246561527E+0	18.881100000E+0	100.000001490E-3	1.750703469E-6	663.779333788E-12	57.119896819E+3	21.657012587E+0	28.585639071E-3	29.456823586E-3	12.202741831E-6	18.330346965E-6	16.328087299E+3	16.825706988E+3	6.970193439E+0	10.470275117E+0	75.000000000E+0	256.359822259E-12
717.449076653E+0	19.911100000E+0	100.000001490E-3	1.775612679E-6	629.835269244E-12	56.318589438E+3	19.977010952E+0	28.527729555E-3	29.324333351E-3	20.077438610E-6	15.081401195E-6	16.066414645E+3	16.515050659E+3	11.307330052E+0	8.493632294E+0	75.000000000E+0	243.990327942E-12
761.601249695E+0	20.927700000E+0	100.000001490E-3	1.796845331E-6	647.213205480E-12	55.653093643E+3	20.045919647E+0	28.501907465E-3	29.301084815E-3	14.770722399E-6	19.148330944E-6	15.862193015E+3	16.306959927E+3	8.220363846E+0	10.656638393E+0	75.000000000E+0	264.555710672E-12
805.501361370E+0	21.929200000E+0	100.000001490E-3	1.818202055E-6	566.481857032E-12	54.999388678E+3	17.135694989E+0	28.529185469E-3	29.238711662E-3	37.448176046E-6	15.579723971E-6	15.690877369E+3	16.081112431E+3	20.596267589E+0	8.568752814E+0	75.000000000E+0	279.741757536E-12
849.684743881E+0	22.931000000E+0	100.000001490E-3	1.842056622E-6	547.958506526E-12	54.287148572E+3	16.148854768E+0	28.523359395E-3	29.231325286E-3	11.249040488E-6	19.088157210E-6	15.484518262E+3	15.868852751E+3	6.106783232E+0	10.362416110E+0	75.000000000E+0	246.403314419E-12
