[Main]
Experiment = "RvsT_75.00Vg"
Header length = 66    
Date = "20191122 23:21:34"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	STD_Voltage 2 (V)	Resistance 2 (Ohms)	STD_Resistance 2 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.134554386E+0	4.000200000E+0	100.000001490E-3	41.598352133E-12	2.871469235E-9	2.403941415E+9	165.940318808E+9	7.637187100E-3	233.212808833E-3	183.593500904E+6	5.606299213E+9	75.000000000E+0	480.177064777E-12
71.496335983E+0	4.874000000E+0	100.000001490E-3	421.026716300E-12	3.332252848E-9	237.514622276E+6	1.879830296E+9	16.117486733E-3	247.259902736E-3	38.281387165E+6	587.278415273E+6	75.000000000E+0	412.343992284E-12
141.277449608E+0	5.876000000E+0	100.000001490E-3	74.104088460E-12	3.617384724E-9	1.349453229E+9	65.873443689E+9	28.282791500E-3	251.559958392E-3	381.663037597E+6	3.394683932E+9	75.000000000E+0	348.482825929E-12
211.812802315E+0	6.877600000E+0	100.000001490E-3	509.555120667E-12	3.018001746E-9	196.249625280E+6	1.162350623E+9	30.053379400E-3	253.493986004E-3	58.979643577E+6	497.480990226E+6	75.000000000E+0	387.050891337E-12
280.526373386E+0	7.876200000E+0	100.000001490E-3	250.512318900E-12	3.198176277E-9	399.181972085E+6	5.096173789E+9	27.755343133E-3	252.936143912E-3	110.794324428E+6	1.009675472E+9	75.000000000E+0	329.374000296E-12
348.989414215E+0	8.873500000E+0	100.000001490E-3	182.455752333E-12	3.168303500E-9	548.078096806E+6	9.517254073E+9	39.801077467E-3	256.795162432E-3	218.140984637E+6	1.407438018E+9	75.000000000E+0	326.960930552E-12
418.988022327E+0	9.878300000E+0	100.000001490E-3	-25.353941467E-12	3.110513355E-9	-3.944159989E+9	483.883830721E+9	34.341622400E-3	250.894269747E-3	-1.354488510E+9	9.895671254E+9	75.000000000E+0	266.267313753E-12
487.053969383E+0	10.885100000E+0	100.000001490E-3	245.524123667E-12	3.250191470E-9	407.291959734E+6	5.391636608E+9	34.870950533E-3	252.657263575E-3	142.026575689E+6	1.029052705E+9	75.000000000E+0	315.244469418E-12
556.204065323E+0	11.867300000E+0	100.000001490E-3	160.406380667E-12	3.132051042E-9	623.416606462E+6	12.172661860E+9	49.332015833E-3	256.502290494E-3	307.543974425E+6	1.599077851E+9	75.000000000E+0	289.348267568E-12
622.742499828E+0	12.896500000E+0	100.000001490E-3	142.021217100E-12	2.982662008E-9	704.120155650E+6	14.787596392E+9	33.242403567E-3	255.915090712E-3	234.066460248E+6	1.801949708E+9	75.000000000E+0	291.007662412E-12
692.131702423E+0	13.876500000E+0	100.000001490E-3	233.478893833E-12	2.727089092E-9	428.304245614E+6	5.002695606E+9	28.733036367E-3	261.464935252E-3	123.064812818E+6	1.119865402E+9	75.000000000E+0	282.258466600E-12
762.842411995E+0	14.889400000E+0	100.000001490E-3	10.693685400E-12	2.568848707E-9	9.351313205E+9	2.246382602E+12	22.930750167E-3	263.253472505E-3	2.144326236E+9	24.617656370E+9	75.000000000E+0	301.517116830E-12
833.292704582E+0	15.888900000E+0	100.000001490E-3	453.388586067E-12	3.146882959E-9	220.561356336E+6	1.530873946E+9	45.944538700E-3	256.087822936E-3	101.335896209E+6	564.830767263E+6	75.000000000E+0	239.064074092E-12
896.912557602E+0	16.908200000E+0	100.000001490E-3	463.523769967E-12	3.000754316E-9	215.738669664E+6	1.396646269E+9	31.483971667E-3	255.719318050E-3	67.923100619E+6	551.685446614E+6	75.000000000E+0	270.039268724E-12
959.317594051E+0	17.902200000E+0	100.000001490E-3	587.139173000E-12	3.161776076E-9	170.317372931E+6	917.168228309E+6	23.384180600E-3	249.660136223E-3	39.827321486E+6	425.214578934E+6	75.000000000E+0	278.084610894E-12
1.021619384E+3	18.876800000E+0	100.000001490E-3	270.659651533E-12	3.003009774E-9	369.467709441E+6	4.099300122E+9	42.995669133E-3	253.490535497E-3	158.855111539E+6	936.565661195E+6	75.000000000E+0	347.024881053E-12
1.087070846E+3	19.911400000E+0	100.000001490E-3	232.735792433E-12	2.986276524E-9	429.671776930E+6	5.513199010E+9	37.748977167E-3	253.344054397E-3	162.196698548E+6	1.088547884E+9	75.000000000E+0	287.940088439E-12
1.157024762E+3	20.898100000E+0	100.000001490E-3	384.024892433E-12	2.909051040E-9	260.399790379E+6	1.972570778E+9	31.644171700E-3	256.709946579E-3	82.401355546E+6	668.472152815E+6	75.000000000E+0	310.266395909E-12
1.222504414E+3	21.924300000E+0	100.000001490E-3	643.896301067E-12	2.984660032E-9	155.304513047E+6	719.884820064E+6	43.331005933E-3	255.705246551E-3	67.295006760E+6	397.121782075E+6	75.000000000E+0	218.045304035E-12
1.290671867E+3	22.916800000E+0	100.000001490E-3	465.389821333E-12	2.733872666E-9	214.873632611E+6	1.262247527E+9	31.276377833E-3	253.084937345E-3	67.204688198E+6	543.812790360E+6	75.000000000E+0	315.697579190E-12
1.356009901E+3	23.920900000E+0	100.000001490E-3	270.174000000E-12	2.492979388E-9	370.131846477E+6	3.415321474E+9	13.214020467E-3	249.659624756E-3	48.909297218E+6	924.069765246E+6	75.000000000E+0	300.008601295E-12
1.422717919E+3	24.932000000E+0	100.000001490E-3	451.298019300E-12	2.671725704E-9	221.583071969E+6	1.311792128E+9	39.936291867E-3	253.872660077E-3	88.492061030E+6	562.538830707E+6	75.000000000E+0	255.658050285E-12
1.488116569E+3	25.931100000E+0	100.000001490E-3	-265.633474473E-12	2.218029801E-9	-376.458583348E+6	3.143415409E+9	29.516719133E-3	252.405316921E-3	-111.118221044E+6	950.201466217E+6	75.000000000E+0	268.379901636E-12
1.562744384E+3	26.922000000E+0	100.000001490E-3	-50.151498600E-12	1.836668583E-9	-1.993958392E+9	73.023555368E+9	39.678042533E-3	253.670810085E-3	-791.163646969E+6	5.058090330E+9	75.000000000E+0	319.317905451E-12
1.640489509E+3	27.920800000E+0	100.000001490E-3	-408.512313933E-12	2.650242191E-9	-244.790666228E+6	1.588090566E+9	27.927134100E-3	251.595290028E-3	-68.363016603E+6	615.881777482E+6	75.000000000E+0	272.905281706E-12
