[Main]
Experiment = "RvsT_75.00Vg"
Header length = 66    
Date = "20191121 22:36:05"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	STD_Voltage 2 (V)	Resistance 2 (Ohms)	STD_Resistance 2 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.447566172E+3	57.904400000E+0	100.000001490E-3	22.074478100E-12	645.561469737E-15	4.530118494E+9	132.481952232E+6	-778.526666662E-9	6.918521288E-3	-35.268179983E+3	313.417207708E+6	75.000000000E+0	339.729272492E-12
2.492480861E+3	58.906500000E+0	100.000001490E-3	25.844510333E-12	468.869800427E-15	3.869293718E+9	70.196531108E+6	214.527210000E-6	6.622943191E-3	8.300687737E+6	256.261121049E+6	75.000000000E+0	335.153738096E-12
2.537509369E+3	59.910800000E+0	100.000001490E-3	29.035592533E-12	715.519573744E-15	3.444048933E+9	84.871160174E+6	645.945660000E-6	6.707943924E-3	22.246684281E+6	231.024867728E+6	75.000000000E+0	318.509330022E-12
2.582570430E+3	60.914700000E+0	100.000001490E-3	29.152002167E-12	1.185253553E-12	3.430296174E+9	139.467975587E+6	-275.576533333E-6	6.321117218E-3	-9.453091138E+6	216.833038845E+6	75.000000000E+0	330.678318061E-12
2.627704982E+3	61.916900000E+0	100.000001490E-3	32.579755467E-12	895.192091663E-15	3.069390794E+9	84.337476613E+6	129.174050000E-6	5.970029619E-3	3.964856339E+6	183.243536763E+6	75.000000000E+0	351.998319381E-12
2.672636125E+3	62.911600000E+0	100.000001490E-3	31.099887233E-12	1.561527525E-12	3.215445791E+9	161.447759253E+6	666.827813333E-6	6.028908949E-3	21.441486534E+6	193.856296125E+6	75.000000000E+0	314.587106365E-12
2.717570849E+3	63.908100000E+0	100.000001490E-3	33.511930467E-12	1.648804903E-12	2.984011965E+9	146.814984706E+6	-353.226030000E-6	5.811506926E-3	-10.540306842E+6	173.416059449E+6	75.000000000E+0	322.582238699E-12
2.762727407E+3	64.905800000E+0	100.000001490E-3	35.483610667E-12	1.958286481E-12	2.818202534E+9	155.532309672E+6	-710.217566667E-6	5.715326050E-3	-20.015369161E+6	161.069461157E+6	75.000000000E+0	320.017873312E-12
2.807643616E+3	65.913600000E+0	100.000001490E-3	34.485270567E-12	967.834234064E-15	2.899788804E+9	81.383002943E+6	28.734036667E-6	5.724953273E-3	833.226365765E+3	166.011551565E+6	75.000000000E+0	342.695788413E-12
2.852722947E+3	66.930300000E+0	100.000001490E-3	36.337907100E-12	623.665308982E-15	2.751947194E+9	47.231503799E+6	-793.790580000E-6	6.027710974E-3	-21.844697269E+6	165.879420562E+6	75.000000000E+0	341.740663545E-12
2.897886694E+3	67.906200000E+0	100.000001490E-3	39.701326267E-12	1.363055583E-12	2.518807579E+9	86.477582914E+6	-266.876500000E-6	6.440435594E-3	-6.722105408E+6	162.222177423E+6	75.000000000E+0	346.819045705E-12
2.942948694E+3	68.914400000E+0	100.000001490E-3	43.203991067E-12	960.034220501E-15	2.314601013E+9	51.432659911E+6	117.100390000E-6	6.350284651E-3	2.710406773E+6	146.983750676E+6	75.000000000E+0	342.142897347E-12
2.988144998E+3	69.930100000E+0	100.000001490E-3	48.241053033E-12	1.121298738E-12	2.072923272E+9	48.182328168E+6	-149.334103333E-6	6.245236084E-3	-3.095581335E+6	129.458950245E+6	75.000000000E+0	332.337823927E-12
3.032998532E+3	70.909500000E+0	100.000001490E-3	53.397055633E-12	2.054733189E-12	1.872762464E+9	72.064407747E+6	-421.937216667E-6	5.937141228E-3	-7.901881699E+6	111.188550711E+6	75.000000000E+0	344.053729950E-12
3.078129033E+3	71.923900000E+0	100.000001490E-3	49.749485133E-12	2.969745073E-12	2.010071084E+9	119.989155278E+6	-465.986690000E-6	5.713823044E-3	-9.366663570E+6	114.851903060E+6	75.000000000E+0	316.296960845E-12
3.123203570E+3	72.912500000E+0	100.000001490E-3	60.049229133E-12	1.481616338E-12	1.665300337E+9	41.088557203E+6	234.013526667E-6	5.673422875E-3	3.897027989E+6	94.479528822E+6	75.000000000E+0	334.248601019E-12
3.168305675E+3	73.918500000E+0	100.000001490E-3	55.499064600E-12	4.349252304E-12	1.801832197E+9	141.202791238E+6	-108.072693333E-6	5.451868583E-3	-1.947288555E+6	98.233521998E+6	75.000000000E+0	313.682468889E-12
3.213380579E+3	74.907500000E+0	100.000001490E-3	72.702463533E-12	2.553891219E-12	1.375469229E+9	48.317465690E+6	-8.963590000E-6	5.460545643E-3	-123.291420461E+3	75.108123952E+6	75.000000000E+0	336.661948319E-12
3.258458898E+3	75.916300000E+0	100.000001490E-3	76.606147033E-12	1.686725791E-12	1.305378294E+9	28.742017705E+6	-430.110093333E-6	5.363022288E-3	-5.614563713E+6	70.007727782E+6	75.000000000E+0	315.039661025E-12
3.303381610E+3	76.911600000E+0	100.000001490E-3	72.366042800E-12	5.299112866E-12	1.381863615E+9	101.189051894E+6	-80.222633333E-6	5.141382684E-3	-1.108567364E+6	71.046895546E+6	75.000000000E+0	339.980710251E-12
3.348510250E+3	77.938300000E+0	100.000001490E-3	78.785145600E-12	7.213167220E-12	1.269274820E+9	116.208346824E+6	-205.259316667E-6	4.925257984E-3	-2.605304783E+6	62.515058473E+6	75.000000000E+0	346.567469167E-12
3.393492484E+3	78.905100000E+0	100.000001490E-3	94.100369567E-12	2.122038873E-12	1.062695098E+9	23.964627544E+6	-160.861933333E-6	4.917520455E-3	-1.709471855E+6	52.258248058E+6	75.000000000E+0	324.945681474E-12
3.439523597E+3	79.950600000E+0	100.000001490E-3	90.054875300E-12	4.259103937E-12	1.110434068E+9	52.517468856E+6	261.619333333E-6	4.736954485E-3	2.905110162E+6	52.600755589E+6	75.000000000E+0	331.432270517E-12
3.484920862E+3	80.922100000E+0	100.000001490E-3	95.741312667E-12	5.235757250E-12	1.044481204E+9	57.119020854E+6	-23.054690000E-6	4.497323213E-3	-240.801900014E+3	46.973694925E+6	75.000000000E+0	341.891209787E-12
3.530572576E+3	81.931500000E+0	100.000001490E-3	103.149590700E-12	4.940854020E-12	969.465809912E+6	46.437305386E+6	137.902973333E-6	4.493891718E-3	1.336922157E+6	43.566743095E+6	75.000000000E+0	340.784761521E-12
3.581548855E+3	82.953200000E+0	100.000001490E-3	110.462566267E-12	7.438999502E-12	905.284069254E+6	60.965519525E+6	-180.752246667E-6	4.248841806E-3	-1.636321270E+6	38.464087422E+6	75.000000000E+0	343.098383038E-12
3.630914400E+3	83.920500000E+0	100.000001490E-3	109.658425167E-12	5.848354368E-12	911.922648334E+6	48.635084768E+6	84.086036667E-6	4.229838213E-3	766.799601024E+3	38.572852074E+6	75.000000000E+0	324.342552815E-12
3.681040231E+3	84.920300000E+0	100.000001490E-3	117.778284567E-12	2.384744777E-12	849.052963015E+6	17.191408637E+6	-88.889270000E-6	4.036525244E-3	-754.716969491E+3	34.272236675E+6	75.000000000E+0	356.674745294E-12
3.727242356E+3	85.944500000E+0	100.000001490E-3	126.936786133E-12	6.443267940E-12	787.793708477E+6	39.988139763E+6	-186.274076667E-6	4.055507152E-3	-1.467455435E+6	31.949029715E+6	75.000000000E+0	324.392651629E-12
3.773507739E+3	86.933800000E+0	100.000001490E-3	129.433906367E-12	4.650039408E-12	772.595097353E+6	27.756232892E+6	145.620683333E-6	3.815522250E-3	1.125058243E+6	29.478537403E+6	75.000000000E+0	313.380654759E-12
3.819575034E+3	87.948100000E+0	100.000001490E-3	131.591182967E-12	4.233858932E-12	759.929345080E+6	24.450222067E+6	260.797043333E-6	3.874292460E-3	1.981873234E+6	29.441884879E+6	75.000000000E+0	332.387478652E-12
3.865708643E+3	88.951700000E+0	100.000001490E-3	135.278876000E-12	4.559463294E-12	739.213722401E+6	24.914590759E+6	-82.337310000E-6	3.671830773E-3	-608.648685106E+3	27.142676534E+6	75.000000000E+0	333.091332294E-12
3.911957677E+3	89.949200000E+0	100.000001490E-3	149.186963033E-12	3.519614510E-12	670.299867072E+6	15.813695047E+6	297.445200000E-6	3.561249034E-3	1.993774751E+6	23.871047182E+6	75.000000000E+0	339.678840611E-12
3.958152993E+3	90.953100000E+0	100.000001490E-3	155.135503267E-12	4.887302936E-12	644.597783128E+6	20.307051394E+6	-279.304466667E-6	3.438648554E-3	-1.800390373E+6	22.165452016E+6	75.000000000E+0	343.550632387E-12
4.004372714E+3	91.955800000E+0	100.000001490E-3	159.042443600E-12	4.517671836E-12	628.762984437E+6	17.860294160E+6	-481.557670000E-6	3.591977638E-3	-3.027856333E+6	22.585025462E+6	75.000000000E+0	316.397491540E-12
4.050389354E+3	92.948300000E+0	100.000001490E-3	162.650328100E-12	5.529362773E-12	614.815860861E+6	20.900910395E+6	-337.999803333E-6	3.485193234E-3	-2.078076370E+6	21.427520464E+6	75.000000000E+0	354.361678889E-12
4.096384419E+3	93.945100000E+0	100.000001490E-3	172.979449233E-12	3.706953819E-12	578.103363916E+6	12.388769197E+6	411.783840000E-6	3.384516501E-3	2.380536196E+6	19.566003454E+6	75.000000000E+0	341.338068921E-12
4.142416424E+3	94.948000000E+0	100.000001490E-3	172.038220000E-12	4.674693387E-12	581.266194745E+6	15.794404504E+6	-30.943640000E-6	3.110410878E-3	-179.864916063E+3	18.079766682E+6	75.000000000E+0	350.841106167E-12
4.188606848E+3	95.963800000E+0	100.000001490E-3	180.225959700E-12	9.325260011E-12	554.859031721E+6	28.709541892E+6	344.826083333E-6	3.061182312E-3	1.913298639E+6	16.985246285E+6	75.000000000E+0	323.235688215E-12
4.234476250E+3	96.950800000E+0	100.000001490E-3	194.043718300E-12	4.586939069E-12	515.347790520E+6	12.182146040E+6	216.475786667E-6	2.857955772E-3	1.115603167E+6	14.728411707E+6	75.000000000E+0	328.867877375E-12
4.280626563E+3	97.968200000E+0	100.000001490E-3	203.447680567E-12	3.770265159E-12	491.526869275E+6	9.108910089E+6	319.822383333E-6	2.740174628E-3	1.572012925E+6	13.468694362E+6	75.000000000E+0	340.935640830E-12
4.326541564E+3	98.947900000E+0	100.000001490E-3	212.483199867E-12	5.443323581E-12	470.625449696E+6	12.056325439E+6	-54.079980000E-6	2.750281527E-3	-254.514145278E+3	12.943524612E+6	75.000000000E+0	343.198747199E-12
4.372985483E+3	99.978300000E+0	100.000001490E-3	219.271588133E-12	5.576374335E-12	456.055444034E+6	11.598109426E+6	454.576143333E-6	2.743553004E-3	2.073119218E+6	12.512122647E+6	75.000000000E+0	354.411749948E-12
4.419274620E+3	100.957000000E+0	100.000001490E-3	234.920712733E-12	5.765441056E-12	425.675541022E+6	10.446959794E+6	367.636343333E-6	2.636510376E-3	1.564937970E+6	11.222979640E+6	75.000000000E+0	328.213844991E-12
4.464637578E+3	101.914000000E+0	100.000001490E-3	248.896850167E-12	4.779284135E-12	401.772868653E+6	7.714789062E+6	-481.080400000E-6	2.503184282E-3	-1.932850495E+6	10.057115149E+6	75.000000000E+0	347.522843835E-12
4.509999839E+3	102.945100000E+0	100.000001490E-3	259.633652833E-12	4.207280288E-12	385.158088710E+6	6.241363616E+6	-348.383866667E-6	2.444614428E-3	-1.341828622E+6	9.415630065E+6	75.000000000E+0	323.739313135E-12
4.555533514E+3	103.920700000E+0	100.000001490E-3	269.420867700E-12	4.407557799E-12	371.166503708E+6	6.072053112E+6	-442.257723333E-6	2.406251098E-3	-1.641512505E+6	8.931197937E+6	75.000000000E+0	364.167113132E-12
4.600989212E+3	104.934700000E+0	100.000001490E-3	278.270990433E-12	6.039964925E-12	359.361934690E+6	7.800070993E+6	226.956080000E-6	2.310836633E-3	815.593747830E+3	8.304267109E+6	75.000000000E+0	351.998236114E-12
4.647475914E+3	105.958900000E+0	100.000001490E-3	280.763834500E-12	5.744773902E-12	356.171234334E+6	7.287702191E+6	21.048596667E-6	2.240822755E-3	74.969045440E+3	7.981165946E+6	75.000000000E+0	354.613366449E-12
4.692837656E+3	106.925500000E+0	100.000001490E-3	296.519855700E-12	6.897069541E-12	337.245548883E+6	7.844351596E+6	-244.240720000E-6	2.224016971E-3	-823.690944485E+3	7.500398128E+6	75.000000000E+0	378.648584709E-12
4.738369927E+3	107.929800000E+0	100.000001490E-3	314.559768800E-12	3.981151504E-12	317.904612760E+6	4.023484732E+6	-339.727243333E-6	2.176304725E-3	-1.080008561E+6	6.918573006E+6	75.000000000E+0	341.991768238E-12
4.783782788E+3	108.923000000E+0	100.000001490E-3	320.869812600E-12	9.688392283E-12	311.652880898E+6	9.410094835E+6	55.616180000E-6	2.127685958E-3	173.329424633E+3	6.630994486E+6	75.000000000E+0	347.774781195E-12
4.830227378E+3	109.970300000E+0	100.000001490E-3	336.284782900E-12	11.163066308E-12	297.367013243E+6	9.871180189E+6	-490.457000000E-6	2.299497845E-3	-1.458457310E+6	6.837947961E+6	75.000000000E+0	335.907690552E-12
4.875746835E+3	110.921300000E+0	100.000001490E-3	330.037662400E-12	7.137530202E-12	302.995727103E+6	6.552710190E+6	-203.876786667E-6	2.083093890E-3	-617.737942949E+3	6.311685384E+6	75.000000000E+0	329.873545146E-12
4.921135323E+3	111.933200000E+0	100.000001490E-3	379.734161167E-12	4.615417411E-12	263.342126457E+6	3.200749260E+6	-132.129610000E-6	1.833229277E-3	-347.952919469E+3	4.827664890E+6	75.000000000E+0	336.662031586E-12
4.966531760E+3	112.941600000E+0	100.000001490E-3	379.603847800E-12	11.156932526E-12	263.432528594E+6	7.742542558E+6	-481.256656667E-6	1.969363756E-3	-1.267786561E+6	5.187944662E+6	75.000000000E+0	324.744758862E-12
5.011926209E+3	113.914100000E+0	100.000001490E-3	379.678653067E-12	8.082859888E-12	263.380626439E+6	5.607027637E+6	-467.992443333E-6	1.882728419E-3	-1.232601411E+6	4.958741830E+6	75.000000000E+0	338.874983630E-12
5.057376688E+3	114.936400000E+0	100.000001490E-3	393.119191067E-12	5.368229092E-12	254.375781601E+6	3.473622001E+6	-346.529856667E-6	1.791076962E-3	-881.488018243E+3	4.556065953E+6	75.000000000E+0	320.621834637E-12
5.102640316E+3	115.924500000E+0	100.000001490E-3	404.805169733E-12	5.413503606E-12	247.032421933E+6	3.303591473E+6	249.492920000E-6	1.811454637E-3	616.328393643E+3	4.474880196E+6	75.000000000E+0	310.916875579E-12
5.148102340E+3	116.928600000E+0	100.000001490E-3	428.631750733E-12	13.625888262E-12	233.300499366E+6	7.416451372E+6	512.560000006E-9	1.750752674E-3	1.195805022E+3	4.084514670E+6	75.000000000E+0	356.926183054E-12
5.193438594E+3	117.921500000E+0	100.000001490E-3	443.531643233E-12	10.853717522E-12	225.463060000E+6	5.517334337E+6	-555.563333332E-9	1.558040899E-3	-1.252590073E+3	3.512806635E+6	75.000000000E+0	313.531617335E-12
5.238743042E+3	118.926400000E+0	100.000001490E-3	441.307947767E-12	10.938286324E-12	226.599140116E+6	5.616500423E+6	121.044473333E-6	1.594855759E-3	274.285731644E+3	3.613929383E+6	75.000000000E+0	330.326654918E-12
5.284141506E+3	119.932200000E+0	100.000001490E-3	466.157333300E-12	4.162630432E-12	214.519850588E+6	1.915591142E+6	-170.695840000E-6	1.462947839E-3	-366.176455472E+3	3.138313472E+6	75.000000000E+0	329.069493876E-12
5.329527943E+3	120.927400000E+0	100.000001490E-3	449.349810333E-12	10.628787700E-12	222.543771446E+6	5.263984642E+6	-139.135616667E-6	1.400845675E-3	-309.637644141E+3	3.117494752E+6	75.000000000E+0	344.405809427E-12
5.374868198E+3	121.921400000E+0	100.000001490E-3	477.829134567E-12	17.671930526E-12	209.279833011E+6	7.739960588E+6	36.929096667E-6	1.464338799E-3	77.285150685E+3	3.064565748E+6	75.000000000E+0	346.517120553E-12
5.420198620E+3	122.935600000E+0	100.000001490E-3	481.568899600E-12	11.742255909E-12	207.654608869E+6	5.063311937E+6	-256.370760000E-6	1.333949420E-3	-532.365691001E+3	2.770007409E+6	75.000000000E+0	350.137835392E-12
5.465590749E+3	123.925700000E+0	100.000001490E-3	519.094248667E-12	8.545236383E-12	192.643246861E+6	3.171258565E+6	148.280110000E-6	1.497901201E-3	285.651614097E+3	2.885605466E+6	75.000000000E+0	323.588350559E-12
5.510897274E+3	124.928500000E+0	100.000001490E-3	512.803231833E-12	11.015689929E-12	195.006574223E+6	4.188998474E+6	101.471956667E-6	1.369549319E-3	197.876983544E+3	2.670711169E+6	75.000000000E+0	320.118542785E-12
5.556264699E+3	125.931600000E+0	100.000001490E-3	536.031145467E-12	5.852814051E-12	186.556326691E+6	2.036970238E+6	1.766436667E-6	1.359250508E-3	3.295399310E+3	2.535767781E+6	75.000000000E+0	335.404315432E-12
5.601718856E+3	126.942500000E+0	100.000001490E-3	554.717577233E-12	5.637598130E-12	180.271917809E+6	1.832104603E+6	-51.034323333E-6	1.293407568E-3	-92.000552043E+3	2.331650593E+6	75.000000000E+0	304.178543464E-12
5.647961373E+3	127.971600000E+0	100.000001490E-3	591.904803667E-12	9.581702476E-12	168.946088747E+6	2.734884304E+6	22.204720000E-6	1.196429374E-3	37.514005398E+3	2.021320602E+6	75.000000000E+0	355.216356329E-12
5.693318732E+3	128.928800000E+0	100.000001490E-3	588.562046500E-12	9.159033751E-12	169.905623519E+6	2.644022579E+6	-151.126456667E-6	1.227377594E-3	-256.772344675E+3	2.085383524E+6	75.000000000E+0	312.877668218E-12
5.738741079E+3	129.931100000E+0	100.000001490E-3	611.586076700E-12	10.959812105E-12	163.509283975E+6	2.930137062E+6	-172.100333333E-6	1.181221258E-3	-281.400018558E+3	1.931406393E+6	75.000000000E+0	336.812910895E-12
5.784189640E+3	130.934900000E+0	100.000001490E-3	628.253046800E-12	14.404351552E-12	159.171534463E+6	3.649425580E+6	-91.127413333E-6	1.065451958E-3	-145.048899958E+3	1.695896206E+6	75.000000000E+0	365.876579034E-12
5.830632227E+3	131.973900000E+0	100.000001490E-3	654.590901267E-12	7.844597216E-12	152.767173049E+6	1.830757101E+6	-12.919093333E-6	1.099720592E-3	-19.736133375E+3	1.680012035E+6	75.000000000E+0	368.390928873E-12
5.877007517E+3	132.956800000E+0	100.000001490E-3	677.408687233E-12	13.017022388E-12	147.621374474E+6	2.836678615E+6	-125.795510000E-6	993.312851852E-6	-185.701058122E+3	1.466342063E+6	75.000000000E+0	310.816261617E-12
5.923360731E+3	133.979200000E+0	100.000001490E-3	665.966847033E-12	11.017616925E-12	150.157627119E+6	2.484176534E+6	194.541471333E-6	1.021880006E-3	292.118852763E+3	1.534430747E+6	75.000000000E+0	349.484330364E-12
5.969871242E+3	134.973100000E+0	100.000001490E-3	707.292194033E-12	8.712317380E-12	141.384285496E+6	1.741550067E+6	-146.250047333E-6	964.405147651E-6	-206.774581378E+3	1.363517307E+6	75.000000000E+0	349.031692437E-12
6.016285070E+3	135.965900000E+0	100.000001490E-3	704.033982567E-12	4.022922764E-12	142.038600361E+6	811.623207036E+3	104.617751667E-6	904.997531292E-6	148.597587982E+3	1.285445808E+6	75.000000000E+0	334.399119506E-12
6.062764514E+3	136.966400000E+0	100.000001490E-3	724.747212067E-12	10.815546780E-12	137.979146143E+6	2.059090238E+6	-103.723373000E-6	815.510541112E-6	-143.116622283E+3	1.125234465E+6	75.000000000E+0	346.316253452E-12
6.109207070E+3	137.969100000E+0	100.000001490E-3	764.106828967E-12	10.668113521E-12	130.871754707E+6	1.827172174E+6	129.163693667E-6	879.625008325E-6	169.038789826E+3	1.151180666E+6	75.000000000E+0	328.515881165E-12
6.154459045E+3	138.922000000E+0	100.000001490E-3	791.804745000E-12	6.404044189E-12	126.293763862E+6	1.021452384E+6	195.545456333E-6	923.932638916E-6	246.961713185E+3	1.166869288E+6	75.000000000E+0	344.707068445E-12
6.199836963E+3	139.943800000E+0	100.000001490E-3	779.182507100E-12	13.286987391E-12	128.339638761E+6	2.188508015E+6	-76.657091667E-6	784.715435808E-6	-98.381433064E+3	1.007100941E+6	75.000000000E+0	340.433292667E-12
6.245198906E+3	140.944100000E+0	100.000001490E-3	795.315575433E-12	11.237805557E-12	125.736254361E+6	1.776652717E+6	-90.474357333E-6	795.246295264E-6	-113.759066373E+3	999.912889712E+3	75.000000000E+0	315.995063449E-12
6.290448663E+3	141.919100000E+0	100.000001490E-3	846.052473433E-12	12.247306505E-12	118.195980309E+6	1.710984181E+6	31.132997000E-6	735.489538147E-6	36.797950455E+3	869.319056727E+3	75.000000000E+0	339.829553386E-12
6.335692163E+3	142.930100000E+0	100.000001490E-3	849.751527033E-12	15.104801438E-12	117.681461355E+6	2.091852795E+6	76.521563333E-6	787.383712286E-6	90.051692641E+3	926.604645284E+3	75.000000000E+0	347.321893468E-12
6.381065311E+3	143.924000000E+0	100.000001490E-3	874.441549567E-12	7.466414614E-12	114.358703037E+6	976.451189869E+3	58.846408333E-6	716.265104498E-6	67.295988351E+3	819.111471604E+3	75.000000000E+0	328.113813897E-12
6.426443311E+3	144.933200000E+0	100.000001490E-3	898.061296033E-12	11.189342221E-12	111.350975631E+6	1.387370972E+6	8.705757667E-6	820.517489796E-6	9.693945953E+3	913.654216500E+3	75.000000000E+0	345.562300996E-12
6.471828192E+3	145.924400000E+0	100.000001490E-3	919.117989900E-12	10.102918331E-12	108.799961038E+6	1.195926021E+6	-79.605038333E-6	646.738485860E-6	-86.610249400E+3	703.651210146E+3	75.000000000E+0	330.879823540E-12
6.517244132E+3	146.931500000E+0	100.000001490E-3	935.094638533E-12	6.583124242E-12	106.941048926E+6	752.871615989E+3	44.822977333E-6	641.729967781E-6	47.934161406E+3	686.272748593E+3	75.000000000E+0	311.972975231E-12
6.563637589E+3	147.974400000E+0	100.000001490E-3	970.914979600E-12	6.778363687E-12	102.995631534E+6	719.055595390E+3	28.004282667E-6	606.874191862E-6	28.843187359E+3	625.053897214E+3	75.000000000E+0	333.443855860E-12
6.609052647E+3	148.920500000E+0	100.000001490E-3	985.088641033E-12	6.263828592E-12	101.513708843E+6	645.489599042E+3	50.880818000E-6	694.650100328E-6	51.651004672E+3	705.165069815E+3	75.000000000E+0	361.653013092E-12
6.654389121E+3	149.930300000E+0	100.000001490E-3	1.011830982E-9	11.406205011E-12	98.830736822E+6	1.114102716E+6	-8.634796667E-6	608.097163947E-6	-8.533833042E+3	600.986898766E+3	75.000000000E+0	342.695954947E-12
6.700084071E+3	150.924400000E+0	100.000001490E-3	1.037864286E-9	15.682373616E-12	96.351712653E+6	1.455897053E+6	-116.232479333E-6	640.912387008E-6	-111.991982828E+3	617.530052289E+3	75.000000000E+0	330.275751192E-12
6.742608683E+3	151.971900000E+0	100.000001490E-3	1.030786448E-9	22.013303391E-12	97.013306337E+6	2.071799982E+6	328.851760000E-6	816.424894715E-6	319.029960570E+3	792.040772321E+3	75.000000000E+0	311.067227532E-12
6.785617635E+3	152.951000000E+0	100.000001490E-3	1.095957889E-9	19.667146891E-12	91.244383104E+6	1.637395655E+6	40.870711667E-6	506.744068523E-6	37.292228175E+3	462.375492351E+3	75.000000000E+0	301.865643593E-12
6.825062790E+3	153.923800000E+0	100.000001490E-3	1.096205308E-9	24.769076441E-12	91.223788787E+6	2.061227930E+6	137.303258000E-6	555.470400511E-6	125.253232209E+3	506.721137385E+3	75.000000000E+0	314.385933953E-12
6.864635848E+3	154.934100000E+0	100.000001490E-3	1.160894885E-9	20.993058253E-12	86.140444600E+6	1.557721888E+6	-282.125932000E-6	826.945932308E-6	-243.024528535E+3	712.334892075E+3	75.000000000E+0	330.678012750E-12
6.904138645E+3	155.921500000E+0	100.000001490E-3	1.168668114E-9	19.944538402E-12	85.567493743E+6	1.460298390E+6	34.836417000E-6	618.440186687E-6	29.808648493E+3	529.183760165E+3	75.000000000E+0	324.845456090E-12
6.943498739E+3	156.931400000E+0	100.000001490E-3	1.173327747E-9	18.127846473E-12	85.227679758E+6	1.316762769E+6	-1.364706000E-6	588.593030930E-6	-1.163107242E+3	501.644176006E+3	75.000000000E+0	343.148204296E-12
6.982989884E+3	157.929300000E+0	100.000001490E-3	1.174026812E-9	26.612729618E-12	85.176931600E+6	1.930782693E+6	172.789694000E-6	735.560078749E-6	147.176957276E+3	626.527495813E+3	75.000000000E+0	348.025858132E-12
7.022450930E+3	158.936500000E+0	100.000001490E-3	1.210130826E-9	16.461861895E-12	82.635694689E+6	1.124124239E+6	-138.022290667E-6	584.274437640E-6	-114.055677018E+3	482.819233238E+3	75.000000000E+0	338.522487819E-12
7.061964940E+3	159.946100000E+0	100.000001490E-3	1.205395694E-9	17.367646384E-12	82.960310895E+6	1.195313167E+6	51.341022667E-6	635.669353684E-6	42.592671386E+3	527.353264224E+3	75.000000000E+0	331.332072889E-12
7.101614761E+3	160.943300000E+0	100.000001490E-3	1.261156689E-9	16.322052209E-12	79.292289655E+6	1.026211019E+6	86.653132333E-6	533.713762769E-6	68.709251661E+3	423.193856398E+3	75.000000000E+0	331.432353784E-12
7.141062344E+3	161.936500000E+0	100.000001490E-3	1.268235244E-9	21.513599469E-12	78.849725981E+6	1.337560544E+6	-95.641063667E-6	471.276380654E-6	-75.412715503E+3	371.600129223E+3	75.000000000E+0	318.409326683E-12
7.180190119E+3	162.933500000E+0	100.000001490E-3	1.308824364E-9	24.068378489E-12	76.404446824E+6	1.405025147E+6	208.444188667E-6	614.285767826E-6	159.260626914E+3	469.341635830E+3	75.000000000E+0	341.539352355E-12
7.219434650E+3	163.929800000E+0	100.000001490E-3	1.316085987E-9	22.642690697E-12	75.982878378E+6	1.307252589E+6	-269.881275333E-6	941.299027056E-6	-205.063558146E+3	715.226084243E+3	75.000000000E+0	320.872994841E-12
7.258654830E+3	164.938000000E+0	100.000001490E-3	1.364959445E-9	15.913752947E-12	73.262251040E+6	854.147988041E+3	-84.343669000E-6	645.060821098E-6	-61.792069599E+3	472.586071073E+3	75.000000000E+0	314.486658937E-12
7.297801121E+3	165.921500000E+0	100.000001490E-3	1.429964600E-9	19.021743682E-12	69.931802175E+6	930.250173102E+3	115.851333333E-6	573.340129550E-6	81.016924037E+3	400.947079215E+3	75.000000000E+0	360.798335652E-12
