[Main]
Experiment = "IvsV_2.0K"
Header length = 41    
Date = "20200204 16:25:34"
Comments = "SD: 3I+ to 2V-; BG: 3I- to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
0.000000000E+0	0.000000000E+0	184.264525370E-15	303.778721463E-15	0.000000000E+0	0.000000000E+0	2.154500000E+0
8.532951355E+0	100.000001490E-3	724.259726667E-15	253.924872647E-15	138.072017273E+9	48.407937251E+9	2.140500000E+0
16.990645885E+0	200.000002980E-3	1.082685877E-12	244.552508388E-15	184.725789161E+9	41.725080263E+9	2.136300000E+0
25.378569603E+0	300.000011921E-3	1.433747333E-12	243.575427547E-15	209.241897053E+9	35.547535713E+9	2.135700000E+0
33.799987316E+0	400.000005960E-3	1.749022167E-12	262.601956732E-15	228.699220389E+9	34.337393729E+9	2.137600000E+0
42.194263935E+0	500.000000000E-3	2.060156000E-12	286.973190198E-15	242.700067374E+9	33.807348859E+9	2.139500000E+0
50.618385792E+0	600.000023842E-3	2.317266533E-12	268.466253962E-15	258.925771037E+9	29.997771428E+9	2.140400000E+0
59.065135479E+0	699.999988079E-3	2.588413467E-12	263.349990798E-15	270.435924204E+9	27.514652921E+9	2.140400000E+0
67.486737728E+0	800.000011921E-3	2.818297733E-12	272.006763071E-15	283.859296503E+9	27.396554841E+9	2.140500000E+0
75.904046535E+0	899.999976158E-3	3.059844967E-12	271.887863425E-15	294.132541342E+9	26.135660172E+9	2.140400000E+0
84.296895504E+0	1.000000000E+0	3.296810467E-12	273.713229998E-15	303.323472826E+9	25.183021081E+9	2.137700000E+0
92.723443508E+0	1.100000024E+0	3.510484200E-12	272.303493954E-15	313.347094353E+9	24.305908744E+9	2.134300000E+0
101.098884106E+0	1.200000048E+0	3.726962167E-12	274.094999288E-15	321.978059884E+9	23.679493418E+9	2.131500000E+0
109.507088184E+0	1.299999952E+0	3.941594633E-12	280.022718545E-15	329.815740392E+9	23.431100566E+9	2.131100000E+0
117.923921108E+0	1.399999976E+0	4.139393533E-12	291.317247864E-15	338.213790229E+9	23.802402397E+9	2.130900000E+0
126.338412762E+0	1.500000000E+0	4.355044033E-12	287.644757165E-15	344.428205207E+9	22.749016242E+9	2.131200000E+0
134.733020306E+0	1.600000024E+0	4.536469800E-12	284.693921617E-15	352.697161974E+9	22.134113664E+9	2.133000000E+0
143.173763275E+0	1.700000048E+0	4.740660167E-12	299.137135595E-15	358.599854855E+9	22.627762724E+9	2.135400000E+0
151.597434521E+0	1.799999952E+0	4.913737333E-12	302.408088212E-15	366.319937394E+9	22.544573392E+9	2.136400000E+0
160.018571377E+0	1.899999976E+0	5.083053867E-12	293.097955647E-15	373.791037041E+9	21.553458151E+9	2.136800000E+0
168.505743504E+0	2.000000000E+0	5.260147100E-12	300.638126067E-15	380.217503803E+9	21.730927989E+9	2.135300000E+0
176.923219204E+0	2.099999905E+0	5.432709200E-12	288.407095625E-15	386.547453089E+9	20.520705998E+9	2.133400000E+0
185.364672184E+0	2.200000048E+0	5.574870233E-12	287.246612918E-15	394.628028206E+9	20.333309964E+9	2.131600000E+0
