[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191106 10:09:44"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 10.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
454.242023468E+0	13.882000000E+0	100.000001490E-3	5.351607077E-6	849.023035201E-12	18.685976018E+3	2.964497178E+0	23.385051683E-3	30.880582853E-3	20.645050578E-6	8.242867498E-6	4.369725084E+3	5.770338220E+3	3.857729142E+0	1.540260221E+0	75.000000000E+0	107.871697685E-12
497.240001678E+0	14.877200000E+0	100.000001490E-3	5.382685446E-6	2.015737966E-9	18.578087555E+3	6.957225496E+0	23.356292897E-3	30.854820169E-3	19.288314192E-6	6.509717596E-6	4.339152479E+3	5.732235421E+3	3.583399845E+0	1.209381017E+0	75.000000000E+0	109.179068564E-12
540.276484966E+0	15.890900000E+0	100.000001490E-3	5.407459982E-6	1.016707236E-9	18.492971158E+3	3.477036844E+0	23.398849324E-3	30.891744400E-3	16.071061803E-6	6.079010140E-6	4.327142392E+3	5.712801297E+3	2.972016780E+0	1.124189575E+0	75.000000000E+0	71.918859756E-12
583.383005619E+0	16.887300000E+0	100.000001490E-3	5.432687565E-6	910.361880471E-12	18.407095991E+3	3.084498845E+0	23.417386945E-3	30.905053856E-3	15.918811989E-6	12.029308658E-6	4.310460829E+3	5.688722844E+3	2.930190960E+0	2.214246359E+0	75.000000000E+0	73.075281937E-12
627.394914627E+0	17.910100000E+0	100.000001490E-3	5.458244259E-6	1.293381003E-9	18.320909937E+3	4.341307523E+0	23.452539925E-3	30.812674191E-3	16.604123140E-6	7.415510305E-6	4.296718654E+3	5.645162204E+3	3.042026401E+0	1.358588944E+0	75.000000000E+0	110.285475197E-12
671.530822754E+0	18.915400000E+0	100.000001490E-3	5.482535505E-6	1.053280475E-9	18.239736231E+3	3.504137460E+0	23.468898642E-3	30.796405701E-3	19.483211473E-6	8.591717570E-6	4.280665145E+3	5.617183085E+3	3.553686329E+0	1.567106599E+0	75.000000000E+0	120.291956951E-12
715.665983200E+0	19.908400000E+0	100.000001490E-3	5.510482002E-6	1.060167154E-9	18.147233119E+3	3.491364365E+0	23.514826811E-3	30.749363378E-3	16.347909385E-6	10.498989204E-6	4.267290375E+3	5.580158572E+3	2.966693182E+0	1.905276018E+0	75.000000000E+0	88.612908677E-12
758.858494759E+0	20.894200000E+0	100.000001490E-3	5.540426527E-6	1.239350404E-9	18.049152173E+3	4.037455226E+0	23.584396778E-3	30.690015709E-3	15.231383124E-6	4.592221168E-6	4.256783600E+3	5.539287555E+3	2.749135477E+0	828.856974414E-3	75.000000000E+0	114.157183706E-12
802.827028751E+0	21.928900000E+0	100.000001490E-3	5.566571022E-6	1.091220162E-9	17.964380781E+3	3.521574490E+0	23.583451789E-3	30.639928882E-3	13.428032447E-6	6.403054525E-6	4.236621018E+3	5.504273413E+3	2.412262844E+0	1.150269079E+0	75.000000000E+0	136.080910429E-12
846.878944874E+0	22.929600000E+0	100.000001490E-3	5.592901826E-6	1.201598350E-9	17.879806335E+3	3.841359362E+0	23.649469057E-3	30.547435943E-3	17.212152558E-6	4.860529017E-6	4.228479204E+3	5.461822306E+3	3.077499498E+0	869.053162143E-3	75.000000000E+0	93.188817774E-12
891.164197922E+0	23.918900000E+0	100.000001490E-3	5.616777766E-6	1.662974362E-9	17.803802405E+3	5.271219225E+0	23.723463399E-3	30.443160581E-3	16.671033429E-6	5.875270111E-6	4.223678484E+3	5.420040075E+3	2.968077806E+0	1.046021466E+0	75.000000000E+0	91.026568227E-12
935.455410480E+0	24.934200000E+0	100.000001490E-3	5.638471442E-6	882.880582730E-12	17.735303358E+3	2.777021242E+0	23.742808562E-3	30.426678621E-3	10.595469994E-6	5.944846553E-6	4.210859061E+3	5.396263675E+3	1.879138718E+0	1.054336555E+0	75.000000000E+0	102.742758745E-12
979.658404827E+0	25.921500000E+0	100.000001490E-3	5.656324577E-6	866.597567806E-12	17.679325176E+3	2.708624654E+0	23.803417622E-3	30.365475938E-3	11.055897695E-6	7.267379690E-6	4.208283542E+3	5.368411152E+3	1.954608075E+0	1.284823668E+0	75.000000000E+0	95.250474175E-12
1.023695677E+3	26.935800000E+0	100.000001490E-3	5.670044509E-6	1.118903598E-9	17.636546120E+3	3.480324517E+0	23.834805626E-3	30.365986069E-3	10.546406266E-6	5.438206609E-6	4.203636424E+3	5.355511058E+3	1.860021777E+0	959.111802455E-3	75.000000000E+0	89.316963547E-12
1.067725404E+3	27.932600000E+0	100.000001490E-3	5.684317231E-6	1.489910756E-9	17.592262612E+3	4.611090519E+0	23.941289314E-3	30.342804351E-3	6.586931668E-6	5.108321276E-6	4.211814426E+3	5.337985746E+3	1.158790300E+0	898.669280595E-3	75.000000000E+0	104.955266700E-12
1.111934002E+3	28.953700000E+0	100.000001490E-3	5.699351149E-6	916.213057805E-12	17.545857217E+3	2.820626958E+0	24.003039179E-3	30.284284100E-3	19.424051222E-6	6.955376036E-6	4.211538919E+3	5.313637168E+3	3.408116242E+0	1.220380330E+0	75.000000000E+0	93.993340888E-12
1.156298456E+3	29.937600000E+0	100.000001490E-3	5.712505428E-6	1.099204752E-9	17.505454086E+3	3.368413136E+0	24.117331506E-3	30.194200199E-3	14.944301874E-6	4.407571536E-6	4.221848331E+3	5.285631774E+3	2.616067864E+0	771.565400131E-3	75.000000000E+0	72.874206669E-12
1.200747477E+3	30.939900000E+0	100.000001490E-3	5.720770091E-6	1.958397896E-9	17.480164365E+3	5.984005051E+0	24.209926773E-3	30.108497402E-3	26.660359442E-6	6.243034262E-6	4.231934929E+3	5.263014755E+3	4.660274581E+0	1.091292634E+0	75.000000000E+0	84.590251470E-12
1.245167213E+3	31.958000000E+0	100.000001490E-3	5.720647857E-6	821.799606460E-12	17.480537868E+3	2.511166480E+0	24.274546153E-3	30.043760240E-3	14.094328861E-6	9.384602243E-6	4.243321169E+3	5.251810807E+3	2.463764457E+0	1.640478924E+0	75.000000000E+0	44.664938414E-12
1.289498116E+3	32.932200000E+0	100.000001490E-3	5.725389391E-6	1.596235135E-9	17.466061197E+3	4.869527405E+0	24.416907305E-3	30.008469710E-3	5.978252512E-6	8.685892197E-6	4.264671909E+3	5.241297606E+3	1.044165227E+0	1.517083224E+0	75.000000000E+0	71.063890883E-12
1.334009805E+3	33.946400000E+0	100.000001490E-3	5.725862944E-6	874.972866685E-12	17.464616680E+3	2.668779513E+0	24.494667668E-3	29.891654120E-3	10.541942624E-6	4.842906882E-6	4.277899752E+3	5.220462734E+3	1.841109843E+0	845.795110518E-3	75.000000000E+0	84.891975394E-12
1.378386078E+3	34.956000000E+0	100.000001490E-3	5.719213695E-6	1.094511736E-9	17.484921323E+3	3.346168305E+0	24.532374118E-3	29.747262971E-3	12.874810104E-6	4.494859132E-6	4.289466249E+3	5.201285449E+3	2.251150384E+0	785.922571039E-3	75.000000000E+0	127.281296614E-12
1.422933899E+3	35.966500000E+0	100.000001490E-3	5.717982471E-6	990.488481090E-12	17.488686262E+3	3.029450051E+0	24.624492296E-3	29.609038880E-3	7.573273437E-6	7.837003202E-6	4.306500137E+3	5.178231838E+3	1.324466011E+0	1.370588882E+0	75.000000000E+0	94.496160896E-12
1.467628136E+3	36.956400000E+0	100.000001490E-3	5.713358202E-6	707.731485284E-12	17.502841230E+3	2.168131488E+0	24.691750231E-3	29.491188295E-3	10.234165145E-6	9.274524478E-6	4.321757775E+3	5.161795787E+3	1.791269650E+0	1.623305270E+0	75.000000000E+0	108.676206922E-12
1.512073112E+3	37.955100000E+0	100.000001490E-3	5.707999753E-6	969.275310839E-12	17.519272217E+3	2.974947225E+0	24.811798145E-3	29.343398412E-3	10.731724965E-6	18.808830604E-6	4.346846394E+3	5.140749769E+3	1.880120082E+0	3.295170185E+0	75.000000000E+0	83.886279867E-12
1.556391691E+3	38.952200000E+0	100.000001490E-3	5.687176445E-6	714.766143174E-12	17.583418144E+3	2.209889581E+0	24.878155646E-3	29.216485192E-3	7.943053414E-6	6.400022789E-6	4.374430069E+3	5.137256682E+3	1.396660274E+0	1.125342752E+0	75.000000000E+0	125.320170907E-12
1.599529762E+3	39.906400000E+0	100.000001490E-3	5.673085477E-6	734.184485263E-12	17.627092329E+3	2.281216767E+0	24.956191882E-3	29.172311741E-3	10.156570212E-6	10.977100051E-6	4.399050919E+3	5.142230248E+3	1.790307982E+0	1.934943532E+0	75.000000000E+0	78.958395378E-12
1.643752938E+3	40.959900000E+0	100.000001490E-3	5.659747696E-6	775.315714922E-12	17.668632397E+3	2.420384988E+0	25.048816193E-3	29.015396460E-3	6.649075750E-6	9.157334831E-6	4.425783187E+3	5.126623663E+3	1.174800735E+0	1.617975805E+0	75.000000000E+0	88.713446311E-12
1.688103675E+3	41.958000000E+0	100.000001490E-3	5.639900182E-6	616.827169444E-12	17.730810523E+3	1.939191353E+0	25.132335487E-3	28.862741479E-3	7.602790460E-6	12.476701293E-6	4.456166719E+3	5.117597927E+3	1.348036351E+0	2.212220233E+0	75.000000000E+0	45.569908957E-12
1.732449093E+3	42.942300000E+0	100.000001490E-3	5.616076470E-6	834.657866644E-12	17.806025616E+3	2.646320689E+0	25.215939460E-3	28.754381159E-3	5.327628502E-6	13.112666112E-6	4.489956573E+3	5.120012399E+3	948.638881670E-3	2.334844652E+0	75.000000000E+0	97.613764294E-12
1.776854717E+3	43.941000000E+0	100.000001490E-3	5.592048985E-6	597.665620955E-12	17.882533174E+3	1.911244934E+0	25.278190483E-3	28.633423303E-3	6.052363466E-6	7.153557910E-6	4.520380732E+3	5.120381345E+3	1.082315889E+0	1.279237347E+0	75.000000000E+0	88.311247204E-12
1.821178138E+3	44.941700000E+0	100.000001490E-3	5.561090743E-6	618.398229556E-12	17.982084112E+3	1.999623724E+0	25.337269934E-3	28.507612437E-3	7.681584446E-6	7.095380831E-6	4.556169123E+3	5.126262771E+3	1.381308956E+0	1.275897330E+0	75.000000000E+0	80.919403123E-12
1.865594898E+3	45.941100000E+0	100.000001490E-3	5.527693794E-6	617.484761791E-12	18.090727384E+3	2.020869626E+0	25.380061646E-3	28.346435712E-3	10.637489406E-6	9.404789938E-6	4.591437694E+3	5.128076331E+3	1.924399180E+0	1.701394883E+0	75.000000000E+0	95.703001080E-12
1.909991900E+3	46.929600000E+0	100.000001490E-3	5.491859342E-6	586.648834208E-12	18.208769609E+3	1.945088684E+0	25.451935465E-3	28.214546002E-3	6.764852542E-6	9.243534215E-6	4.634484221E+3	5.137521601E+3	1.231796395E+0	1.683133824E+0	75.000000000E+0	35.865123371E-12
1.954310748E+3	47.934200000E+0	100.000001490E-3	5.453440658E-6	739.813117374E-12	18.337047703E+3	2.487601732E+0	25.548469255E-3	28.070235265E-3	4.321666764E-6	8.428247744E-6	4.684834925E+3	5.147252354E+3	792.466084279E-3	1.545491786E+0	75.000000000E+0	72.572399479E-12
1.998372178E+3	48.939800000E+0	100.000001490E-3	5.411226692E-6	606.840618035E-12	18.480098354E+3	2.072445851E+0	25.587933475E-3	27.999389619E-3	10.506217456E-6	10.850639492E-6	4.728675203E+3	5.174314663E+3	1.941559290E+0	2.005208820E+0	75.000000000E+0	104.251204891E-12
