[Main]
Experiment = "RvsB_300.0K"
Header length = 74    
Date = "20201125 03:53:17"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
921.234135628E+0	-8.999983594E+0	1.000000000E-9	NaN	104.020259708E-3	3.154217700E+0	NaN	324.268327733E-3	23.400392838E-3	NaN	104.020259708E+6	3.154217700E+9	NaN	324.268327733E+6	23.400392838E+6	299.996700000E+0
1.168527143E+3	-8.799960937E+0	1.000000000E-9	NaN	90.017326962E-3	2.732846200E+0	NaN	317.345539398E-3	5.791184309E-3	NaN	90.017326962E+6	2.732846200E+9	NaN	317.345539398E+6	5.791184309E+6	300.004900000E+0
1.412729819E+3	-8.599949219E+0	1.000000000E-9	NaN	86.660523092E-3	2.765662667E+0	NaN	315.530970904E-3	7.417178642E-3	NaN	86.660523092E+6	2.765662667E+9	NaN	315.530970904E+6	7.417178642E+6	300.007200000E+0
1.657067886E+3	-8.399957813E+0	1.000000000E-9	NaN	84.613400743E-3	2.824239600E+0	NaN	311.725456647E-3	5.497086822E-3	NaN	84.613400743E+6	2.824239600E+9	NaN	311.725456647E+6	5.497086822E+6	299.993800000E+0
1.901349739E+3	-8.199944531E+0	1.000000000E-9	174.523644532E-3	70.810618010E-3	2.603762483E+0	383.474558034E-3	308.896547225E-3	3.465779445E-3	174.523644532E+6	70.810618010E+6	2.603762483E+9	383.474558034E+6	308.896547225E+6	3.465779445E+6	299.989900000E+0
2.145621737E+3	-7.999953125E+0	1.000000000E-9	133.382686415E-3	55.638470093E-3	2.179498150E+0	373.202080965E-3	304.596175817E-3	5.208087536E-3	133.382686415E+6	55.638470093E+6	2.179498150E+9	373.202080965E+6	304.596175817E+6	5.208087536E+6	299.998900000E+0
2.389854741E+3	-7.799972656E+0	1.000000000E-9	131.576603615E-3	50.676795372E-3	2.067120167E+0	369.761322505E-3	301.395866493E-3	8.269369145E-3	131.576603615E+6	50.676795372E+6	2.067120167E+9	369.761322505E+6	301.395866493E+6	8.269369145E+6	300.010900000E+0
2.631154590E+3	-7.599971094E+0	1.000000000E-9	147.928528429E-3	51.872590438E-3	2.128837817E+0	367.814262117E-3	300.337127684E-3	5.325860742E-3	147.928528429E+6	51.872590438E+6	2.128837817E+9	367.814262117E+6	300.337127684E+6	5.325860742E+6	300.003200000E+0
2.872396722E+3	-7.399969531E+0	1.000000000E-9	156.128228677E-3	48.443736677E-3	2.176046117E+0	367.192194044E-3	299.854048191E-3	6.932351002E-3	156.128228677E+6	48.443736677E+6	2.176046117E+9	367.192194044E+6	299.854048191E+6	6.932351002E+6	300.004100000E+0
3.113809603E+3	-7.199975781E+0	1.000000000E-9	153.473972883E-3	49.987691458E-3	2.166547783E+0	366.052227242E-3	298.269671204E-3	4.459847374E-3	153.473972883E+6	49.987691458E+6	2.166547783E+9	366.052227242E+6	298.269671204E+6	4.459847374E+6	299.992400000E+0
