[Main]
Experiment = "VvsI_400.0K"
Header length = 61    
Date = "20201125 17:49:30"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = -1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-11
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000010
Check output compliance = "Abort"
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Temperature (K)
0.000000000E+0	-1.000000000E-9	-2.224204825E-3	-1.336597021E-3	679.435026667E-6	252.959471326E-6	189.215249973E-6	13.309995198E-6	2.224204825E+6	1.336597021E+6	-679.435026667E+3	252.959471326E+3	189.215249973E+3	13.309995198E+3	NaN	NaN	NaN	400.004900000E+0
17.899464607E+0	-990.000000000E-12	-2.239303943E-3	-1.322785667E-3	694.799013333E-6	276.292567741E-6	189.397764247E-6	15.971574969E-6	2.261923175E+6	1.336147138E+6	-701.817185185E+3	279.083401758E+3	191.310872976E+3	16.132904009E+3	-662.290311161E-9	724.041973003E-9	650.872733553E-9	400.004900000E+0
34.724075794E+0	-980.000000000E-12	-2.212827106E-3	-1.302912356E-3	709.696713333E-6	273.665748570E-6	169.694945165E-6	19.262349870E-6	2.257986843E+6	1.329502404E+6	-724.180319728E+3	279.250763847E+3	173.158107311E+3	19.655459051E+3	377.688609414E-9	503.187408772E-9	671.244554529E-9	400.004900000E+0
51.547135830E+0	-970.000000000E-12	-2.205076616E-3	-1.315870098E-3	723.858243333E-6	315.443608438E-6	157.932280764E-6	15.986004489E-6	2.273274862E+6	1.356567111E+6	-746.245611684E+3	325.199596328E+3	162.816784293E+3	16.480416999E+3	1.290241004E-6	-771.739401159E-9	706.138390414E-9	400.004500000E+0
68.655537605E+0	-960.000000000E-12	-2.206698851E-3	-1.320698062E-3	741.072843333E-6	300.333433178E-6	181.172279913E-6	20.397524049E-6	2.298644636E+6	1.375727148E+6	-771.950878472E+3	312.847326227E+3	188.721124909E+3	21.247420884E+3	-6.164333740E-6	-2.071266480E-6	580.902257386E-9	400.004500000E+0
85.479874611E+0	-950.000000000E-12	-2.198476403E-3	-1.315852537E-3	748.622996667E-6	245.646339625E-6	149.016209245E-6	21.208534997E-6	2.314185688E+6	1.385107934E+6	-788.024207018E+3	258.575094342E+3	156.859167626E+3	22.324773681E+3	1.216182870E-6	2.063760003E-6	1.324476412E-6	400.004500000E+0
102.300328732E+0	-940.000000000E-12	-2.220266213E-3	-1.322658462E-3	762.906463333E-6	253.074713173E-6	190.167742133E-6	19.436049238E-6	2.361985333E+6	1.407083470E+6	-811.602620567E+3	269.228418269E+3	202.306108652E+3	20.676648125E+3	-458.930128622E-9	-1.469308065E-6	700.110150664E-9	400.004500000E+0
119.119609356E+0	-930.000000000E-12	-2.219316771E-3	-1.309427842E-3	767.532256667E-6	295.783257428E-6	151.957153106E-6	13.220307952E-6	2.386362119E+6	1.407986927E+6	-825.303501792E+3	318.046513363E+3	163.394788286E+3	14.215384895E+3	10.532505946E-6	755.822516547E-9	2.161791347E-6	399.999500000E+0
136.184309006E+0	-920.000000000E-12	-2.205294611E-3	-1.314636565E-3	775.210786667E-6	307.784421137E-6	189.870921339E-6	16.628476961E-6	2.397059359E+6	1.428952788E+6	-842.620420290E+3	334.548283844E+3	206.381436238E+3	18.074431479E+3	713.156871857E-9	-1.919856610E-6	1.302332608E-6	399.999500000E+0
153.006145000E+0	-910.000000000E-12	-2.198292935E-3	-1.313475090E-3	789.494430000E-6	323.328069754E-6	177.332058753E-6	20.745709507E-6	2.415706522E+6	1.443379219E+6	-867.576296703E+3	355.305571158E+3	194.870394234E+3	22.797482975E+3	1.428229538E-6	8.609741923E-6	700.101491380E-9	399.999500000E+0
